year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1994,1,1,1,9.46,-3.5,-14.3,0.0,-8.4,76.8,6.8,250,8.3,37.6841,128.761,842.52
1994,1,2,2,7.94,-0.2,-7.4,0.0,-3.0,72.0,10.1,250,5.1,37.6841,128.761,842.52
1994,1,3,3,7.34,3.0,-4.2,0.0,-0.9,66.5,6.3,250,6.1,37.6841,128.761,842.52
1994,1,4,4,8.79,-3.2,-9.5,0.0,-6.2,33.8,7.2,250,8.5,37.6841,128.761,842.52
1994,1,5,5,3.7,-1.1,-9.1,0.0,-6.0,49.5,5.1,270,3.6,37.6841,128.761,842.52
1994,1,6,6,8.57,0.1,-8.3,0.8,-3.6,71.3,9.5,250,6.5,37.6841,128.761,842.52
1994,1,7,7,10.07,-2.0,-13.7,0.0,-8.5,37.5,5.5,250,8.3,37.6841,128.761,842.52
1994,1,8,8,3.18,-0.9,-9.0,0.0,-4.4,78.8,6.8,250,0.9,37.6841,128.761,842.52
1994,1,9,9,9.85,5.0,-4.4,0.0,0.1,73.8,5.1,250,7.9,37.6841,128.761,842.52
1994,1,10,10,6.49,3.5,-8.3,0.0,-3.8,95.3,1.4,250,5.1,37.6841,128.761,842.52
1994,1,11,11,1.39,-1.5,-5.3,18.7,-3.6,96.3,0.8,70,0.0,37.6841,128.761,842.52
1994,1,12,12,6.02,-0.1,-6.9,0.3,-3.8,80.8,2.0,250,4.3,37.6841,128.761,842.52
1994,1,13,13,8.67,-1.3,-11.9,0.0,-7.8,88.3,1.8,270,5.8,37.6841,128.761,842.52
1994,1,14,14,9.11,-2.2,-13.2,0.0,-9.4,87.5,2.6,250,6.3,37.6841,128.761,842.52
1994,1,15,15,10.52,0.8,-14.4,0.0,-6.5,57.8,6.8,250,7.9,37.6841,128.761,842.52
1994,1,16,16,5.24,3.9,-4.3,0.6,-0.7,54.8,7.1,270,4.3,37.6841,128.761,842.52
1994,1,17,17,1.35,-0.2,-5.0,19.9,-2.5,95.0,1.1,70,0.0,37.6841,128.761,842.52
1994,1,18,18,10.06,-2.9,-16.4,0.0,-9.8,75.5,5.8,250,7.4,37.6841,128.761,842.52
