year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1984,1,1,1,6.17,-3.6,-14.0,0.0,-8.1,85.5,0.1,20,3.6,37.8999,127.7379,76.82
1984,1,2,2,2.97,0.2,-8.6,4.6,-3.4,93.3,0.0,20,0.0,37.8999,127.7379,76.82
1984,1,3,3,7.04,3.0,-2.6,1.7,-0.9,85.3,1.5,230,2.7,37.8999,127.7379,76.82
1984,1,4,4,9.47,-2.5,-14.6,0.0,-6.3,67.3,1.9,230,6.8,37.8999,127.7379,76.82
1984,1,5,5,9.14,-6.7,-18.0,0.0,-12.0,78.8,0.2,20,5.4,37.8999,127.7379,76.82
1984,1,6,6,8.09,-5.2,-15.5,0.0,-11.5,80.8,0.1,320,5.7,37.8999,127.7379,76.82
1984,1,7,7,6.93,-5.3,-14.2,0.0,-11.1,83.8,0.4,360,4.4,37.8999,127.7379,76.82
1984,1,8,8,6.97,-1.3,-11.8,0.0,-7.4,83.3,0.3,20,4.8,37.8999,127.7379,76.82
1984,1,9,9,7.49,2.3,-12.2,0.0,-5.3,84.0,0.6,340,5.6,37.8999,127.7379,76.82
1984,1,10,10,8.98,4.2,-9.0,0.0,-3.1,72.8,1.2,230,5.5,37.8999,127.7379,76.82
1984,1,11,11,9.68,2.3,-12.8,0.0,-6.8,69.8,0.5,20,9.0,37.8999,127.7379,76.82
1984,1,12,12,5.17,-2.3,-13.0,1.2,-7.2,87.0,0.5,20,2.2,37.8999,127.7379,76.82
1984,1,13,13,9.59,-0.5,-10.0,0.0,-4.9,84.5,0.4,50,6.1,37.8999,127.7379,76.82
1984,1,14,14,2.88,-2.3,-10.4,0.8,-5.8,91.0,0.4,20,0.0,37.8999,127.7379,76.82
1984,1,15,15,9.54,-0.2,-11.0,0.0,-4.3,41.3,2.4,230,7.2,37.8999,127.7379,76.82
1984,1,16,16,11.87,-5.6,-20.2,0.0,-11.7,58.8,1.4,250,8.3,37.8999,127.7379,76.82
1984,1,17,17,11.71,-3.6,-21.3,0.0,-12.9,72.8,0.8,140,8.9,37.8999,127.7379,76.82
1984,1,18,18,6.71,-5.8,-18.6,0.0,-12.3,70.3,0.2,20,7.4,37.8999,127.7379,76.82
1984,1,19,19,11.33,-0.3,-15.7,0.0,-9.1,65.3,0.6,360,8.5,37.8999,127.7379,76.82
1984,1,20,20,8.92,-0.1,-18.0,0.0,-10.6,70.3,0.2,50,8.5,37.8999,127.7379,76.82
1984,1,21,21,10.45,0.8,-15.8,0.0,-7.8,68.3,0.2,200,8.1,37.8999,127.7379,76.82
1984,1,22,22,12.43,-3.3,-13.7,0.6,-7.6,56.3,1.8,200,8.7,37.8999,127.7379,76.82
1984,1,23,23,12.42,-0.8,-18.4,0.0,-10.9,76.0,0.2,50,9.4,37.8999,127.7379,76.82
1984,1,24,24,7.64,-1.6,-15.6,0.0,-9.1,80.5,0.7,320,6.1,37.8999,127.7379,76.82
1984,1,25,25,12.96,-4.9,-18.4,0.0,-11.0,60.5,2.5,270,8.8,37.8999,127.7379,76.82
1984,1,26,26,12.51,-5.1,-19.8,0.0,-12.3,60.8,1.7,90,9.8,37.8999,127.7379,76.82
1984,1,27,27,10.92,-5.6,-19.6,0.0,-12.4,61.3,1.8,230,8.4,37.8999,127.7379,76.82
1984,1,28,28,12.14,-4.5,-19.6,0.0,-12.9,68.5,1.0,70,8.6,37.8999,127.7379,76.82
1984,1,29,29,10.62,-2.5,-19.2,0.0,-10.5,69.8,0.7,50,7.3,37.8999,127.7379,76.82
1984,1,30,30,6.78,-0.9,-9.9,0.0,-5.3,63.8,0.7,50,2.8,37.8999,127.7379,76.82
1984,1,31,31,11.02,3.5,-9.7,0.0,-4.7,65.5,0.9,180,7.1,37.8999,127.7379,76.82
1984,2,1,32,8.35,1.9,-12.5,6.8,-4.9,82.8,2.3,50,6.8,37.8999,127.7379,76.82
1984,2,2,33,4.99,-3.9,-17.4,0.0,-10.2,55.3,2.9,230,9.1,37.8999,127.7379,76.82
1984,2,3,34,13.95,-5.0,-23.2,0.0,-14.4,69.8,0.9,340,7.7,37.8999,127.7379,76.82
1984,2,4,35,12.57,-1.7,-18.0,0.0,-11.0,75.5,0.7,20,8.5,37.8999,127.7379,76.82
1984,2,5,36,11.84,-0.3,-10.6,0.0,-6.3,62.8,2.3,320,7.1,37.8999,127.7379,76.82
1984,2,6,37,14.82,-7.5,-17.7,0.0,-11.9,50.8,3.4,230,9.2,37.8999,127.7379,76.82
1984,2,7,38,14.2,-5.8,-21.7,0.0,-14.3,63.5,1.4,230,9.8,37.8999,127.7379,76.82
1984,2,8,39,14.03,-3.8,-20.6,0.0,-12.1,65.0,2.1,250,10.2,37.8999,127.7379,76.82
1984,2,9,40,15.13,-2.8,-19.1,0.0,-11.6,68.0,1.2,230,9.2,37.8999,127.7379,76.82
1984,2,10,41,13.01,-1.0,-18.4,0.0,-10.5,72.5,0.7,110,8.8,37.8999,127.7379,76.82
1984,2,11,42,14.25,5.7,-11.8,0.0,-5.0,66.5,0.7,360,8.5,37.8999,127.7379,76.82
1984,2,12,43,14.13,6.1,-10.0,0.0,-3.3,68.8,1.4,360,8.9,37.8999,127.7379,76.82
1984,2,13,44,12.52,3.8,-10.0,0.0,-3.0,81.5,1.4,50,7.5,37.8999,127.7379,76.82
1984,2,14,45,14.84,2.6,-9.8,0.0,-4.0,67.5,1.7,140,10.0,37.8999,127.7379,76.82
1984,2,15,46,15.47,1.2,-11.6,0.0,-4.8,61.0,2.0,200,9.4,37.8999,127.7379,76.82
1984,2,16,47,9.73,-0.7,-11.2,0.0,-5.3,67.5,0.8,180,5.6,37.8999,127.7379,76.82
1984,2,17,48,11.55,2.8,-4.7,0.0,-1.3,62.5,2.1,270,8.4,37.8999,127.7379,76.82
1984,2,18,49,16.3,4.8,-11.0,0.0,-2.8,68.5,1.4,140,9.6,37.8999,127.7379,76.82
1984,2,19,50,14.38,5.7,-9.6,0.0,-2.4,67.8,1.3,270,8.8,37.8999,127.7379,76.82
1984,2,20,51,16.37,8.2,-9.8,0.0,-2.4,72.3,0.8,270,10.2,37.8999,127.7379,76.82
1984,2,21,52,15.25,9.2,-7.1,0.0,0.0,69.5,1.0,290,8.7,37.8999,127.7379,76.82
1984,2,22,53,4.3,4.6,-3.7,0.2,1.7,73.8,3.1,340,0.0,37.8999,127.7379,76.82
1984,2,23,54,10.15,6.8,0.4,8.8,2.6,86.5,1.0,180,4.5,37.8999,127.7379,76.82
1984,2,24,55,16.09,10.8,-1.5,0.0,3.8,75.8,1.4,180,8.0,37.8999,127.7379,76.82
1984,2,25,56,5.82,6.6,0.8,0.8,3.4,77.5,1.6,290,1.0,37.8999,127.7379,76.82
1984,2,26,57,13.02,4.2,-4.5,2.8,1.0,64.8,3.9,200,6.8,37.8999,127.7379,76.82
1984,2,27,58,16.89,0.3,-8.4,0.0,-3.8,52.8,2.5,200,9.6,37.8999,127.7379,76.82
1984,2,28,59,16.87,1.8,-10.3,0.0,-4.1,61.0,2.5,200,8.5,37.8999,127.7379,76.82
1984,2,29,60,18.71,0.1,-10.5,0.0,-4.1,55.5,2.9,180,10.4,37.8999,127.7379,76.82
1984,3,1,61,5.58,0.2,-7.8,3.9,-3.1,91.0,1.0,140,0.0,37.8999,127.7379,76.82
1984,3,2,62,17.62,2.9,-3.0,0.8,-0.7,68.5,3.9,140,7.4,37.8999,127.7379,76.82
1984,3,3,63,17.43,1.5,-11.3,0.0,-4.0,70.0,2.2,180,8.3,37.8999,127.7379,76.82
1984,3,4,64,19.2,3.5,-10.8,0.0,-3.2,63.5,2.1,320,9.9,37.8999,127.7379,76.82
1984,3,5,65,16.38,4.6,-8.8,0.0,-2.0,75.5,0.9,290,8.3,37.8999,127.7379,76.82
1984,3,6,66,17.16,6.0,-5.4,0.0,-0.2,68.8,0.8,200,8.0,37.8999,127.7379,76.82
1984,3,7,67,20.23,7.4,-6.9,0.0,-0.3,62.0,2.2,200,10.4,37.8999,127.7379,76.82
1984,3,8,68,18.48,8.2,-6.2,0.0,1.0,63.8,1.6,180,10.3,37.8999,127.7379,76.82
1984,3,9,69,13.26,8.2,-5.3,1.8,1.1,66.8,1.6,180,5.9,37.8999,127.7379,76.82
1984,3,10,70,20.47,3.4,-3.8,0.0,-0.5,50.3,3.8,180,8.6,37.8999,127.7379,76.82
1984,3,11,71,16.01,7.1,-7.2,4.8,0.6,65.8,2.7,180,7.7,37.8999,127.7379,76.82
1984,3,12,72,18.9,6.9,-1.4,1.5,3.3,55.8,2.5,160,11.0,37.8999,127.7379,76.82
1984,3,13,73,12.8,6.6,-3.6,0.0,1.1,62.5,0.4,230,4.4,37.8999,127.7379,76.82
1984,3,14,74,19.58,12.0,-2.5,0.0,3.8,63.5,0.9,180,10.7,37.8999,127.7379,76.82
1984,3,15,75,6.91,8.2,-1.4,0.0,3.4,69.0,0.4,110,2.0,37.8999,127.7379,76.82
1984,3,16,76,9.9,8.1,0.9,5.1,4.1,69.0,3.0,160,3.8,37.8999,127.7379,76.82
1984,3,17,77,14.18,8.1,0.5,0.0,3.8,50.8,3.9,140,10.0,37.8999,127.7379,76.82
1984,3,18,78,15.67,9.2,-4.6,0.0,2.8,66.5,0.7,250,9.4,37.8999,127.7379,76.82
1984,3,19,79,17.79,11.0,0.2,0.0,5.4,60.5,1.7,290,7.8,37.8999,127.7379,76.82
1984,3,20,80,11.0,5.9,-3.6,0.1,1.4,73.3,1.4,180,4.1,37.8999,127.7379,76.82
1984,3,21,81,20.22,6.8,-2.1,0.0,2.1,60.0,2.3,320,10.0,37.8999,127.7379,76.82
1984,3,22,82,18.87,8.4,-3.8,0.0,1.6,64.3,1.3,160,7.5,37.8999,127.7379,76.82
1984,3,23,83,10.0,7.4,-4.4,0.0,1.9,68.5,1.1,340,4.0,37.8999,127.7379,76.82
1984,3,24,84,23.23,8.7,-1.1,0.4,4.5,54.3,2.9,160,10.0,37.8999,127.7379,76.82
1984,3,25,85,14.93,8.6,-2.7,0.3,2.9,48.0,3.0,140,6.7,37.8999,127.7379,76.82
1984,3,26,86,15.92,8.2,-7.0,0.0,1.2,54.5,1.4,160,8.1,37.8999,127.7379,76.82
1984,3,27,87,16.66,10.2,-0.7,0.4,4.0,71.5,1.8,200,8.6,37.8999,127.7379,76.82
1984,3,28,88,19.74,10.8,-4.3,0.0,3.0,73.8,1.9,160,6.4,37.8999,127.7379,76.82
1984,3,29,89,7.64,15.3,2.3,0.6,7.1,77.3,0.8,160,3.4,37.8999,127.7379,76.82
1984,3,30,90,5.62,14.0,1.1,1.6,6.6,77.8,1.8,340,0.7,37.8999,127.7379,76.82
1984,3,31,91,3.99,6.0,3.9,0.0,4.7,67.3,3.6,360,0.0,37.8999,127.7379,76.82
1984,4,1,92,23.81,14.1,0.4,0.0,7.2,61.5,2.4,290,10.5,37.8999,127.7379,76.82
1984,4,2,93,19.9,15.1,-1.5,0.0,7.3,67.3,1.8,180,10.2,37.8999,127.7379,76.82
1984,4,3,94,23.76,20.4,4.2,0.0,11.8,56.3,1.2,140,9.9,37.8999,127.7379,76.82
