year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2010,1,1,1,3.83,-2.3,-9.0,1.0,-5.5,85.9,6.7,90,1.5,37.9667,124.6167,162.0
2010,1,2,2,3.658,-0.8,-5.3,1.0,-3.0,78.4,5.0,290,1.2,37.9667,124.6167,162.0
2010,1,3,3,6.708,-3.6,-6.8,3.0,-5.7,69.0,3.2,20,6.1,37.9667,124.6167,162.0
2010,1,4,4,2.94,-4.0,-6.7,4.2,-5.2,83.1,6.1,290,0.0,37.9667,124.6167,162.0
2010,1,5,5,3.452,-6.5,-8.2,0.1,-7.4,73.0,6.1,290,0.8,37.9667,124.6167,162.0
2010,1,6,6,3.092,-6.0,-8.1,0.3,-7.2,72.1,5.5,290,0.2,37.9667,124.6167,162.0
2010,1,7,7,3.107,-4.5,-7.2,0.2,-5.9,76.0,4.1,290,0.2,37.9667,124.6167,162.0
2010,1,8,8,4.824,-0.6,-4.5,0.0,-2.6,71.4,2.5,290,2.9,37.9667,124.6167,162.0
2010,1,9,9,3.014,-0.8,-3.4,3.0,-2.2,87.6,3.6,110,0.0,37.9667,124.6167,162.0
2010,1,10,10,3.031,-0.7,-2.3,0.2,-1.5,78.9,2.4,290,0.0,37.9667,124.6167,162.0
2010,1,11,11,3.496,-0.6,-6.5,0.0,-3.0,67.3,5.4,290,0.7,37.9667,124.6167,162.0
2010,1,12,12,4.221,-5.7,-10.0,1.1,-8.3,71.3,5.1,290,1.8,37.9667,124.6167,162.0
2010,1,13,13,3.281,-5.9,-11.0,0.3,-8.8,72.9,5.8,290,0.3,37.9667,124.6167,162.0
2010,1,14,14,6.274,-4.9,-9.6,0.2,-6.6,81.0,5.9,90,4.9,37.9667,124.6167,162.0
2010,1,15,15,6.829,-2.0,-5.1,0.2,-3.9,69.9,3.8,320,5.7,37.9667,124.6167,162.0
2010,1,16,16,8.955,-1.0,-5.8,0.0,-3.5,66.1,1.9,70,8.9,37.9667,124.6167,162.0
2010,1,17,17,7.696,2.0,-3.4,0.0,-1.1,80.3,5.8,110,6.9,37.9667,124.6167,162.0
2010,1,18,18,7.809,4.3,0.7,0.0,2.2,84.4,5.2,110,7.0,37.9667,124.6167,162.0
2010,1,19,19,4.151,3.9,1.5,0.4,2.5,86.3,7.0,90,1.4,37.9667,124.6167,162.0
2010,1,20,20,3.249,6.7,-2.4,0.4,2.2,90.5,4.0,360,0.0,37.9667,124.6167,162.0
2010,1,21,21,7.022,-2.3,-7.1,0.0,-5.9,63.3,6.4,290,5.6,37.9667,124.6167,162.0
2010,1,22,22,5.455,-3.0,-7.4,0.1,-5.0,62.8,4.0,290,3.2,37.9667,124.6167,162.0
2010,1,23,23,7.863,0.4,-4.3,0.0,-1.7,57.5,4.0,270,6.7,37.9667,124.6167,162.0
2010,1,24,24,8.665,3.7,-0.6,0.0,2.2,54.8,7.4,270,7.8,37.9667,124.6167,162.0
2010,1,25,25,8.725,3.5,-6.0,0.0,-3.9,53.5,6.0,290,7.8,37.9667,124.6167,162.0
2010,1,26,26,7.341,2.3,-2.6,0.0,-0.1,59.4,4.2,290,5.7,37.9667,124.6167,162.0
2010,1,27,27,3.517,4.2,-0.6,0.4,1.5,83.4,5.3,90,0.1,37.9667,124.6167,162.0
2010,1,28,28,9.61,2.0,-4.4,0.0,-2.0,64.3,4.9,290,8.8,37.9667,124.6167,162.0
2010,1,29,29,6.665,1.9,-2.4,0.0,0.5,52.0,7.8,270,4.5,37.9667,124.6167,162.0
2010,1,30,30,4.53,5.1,1.3,0.0,3.3,59.0,4.8,270,1.4,37.9667,124.6167,162.0
2010,1,31,31,7.338,5.5,-0.9,0.0,2.7,79.9,3.4,290,5.3,37.9667,124.6167,162.0
2010,2,1,32,7.036,0.3,-4.6,0.0,-1.9,55.5,3.5,20,6.7,37.9667,124.6167,162.0
2010,2,2,33,7.614,-3.8,-6.7,0.0,-5.8,51.0,3.4,320,7.6,37.9667,124.6167,162.0
2010,2,3,34,6.894,-2.5,-9.6,0.4,-5.6,56.6,3.7,290,6.4,37.9667,124.6167,162.0
2010,2,4,35,7.291,0.5,-5.3,0.1,-2.6,50.4,4.6,290,7.0,37.9667,124.6167,162.0
2010,2,5,36,8.751,-3.1,-6.8,0.0,-5.3,50.9,3.0,320,9.3,37.9667,124.6167,162.0
2010,2,6,37,9.16,-1.0,-6.7,0.0,-3.6,56.5,2.7,20,9.9,37.9667,124.6167,162.0
2010,2,7,38,2.982,0.6,-2.7,0.0,-0.8,75.3,5.5,110,0.0,37.9667,124.6167,162.0
2010,2,8,39,2.997,3.0,-0.2,1.5,1.7,93.0,4.3,90,0.0,37.9667,124.6167,162.0
2010,2,9,40,3.014,1.7,0.0,0.0,0.6,69.1,3.3,20,0.0,37.9667,124.6167,162.0
2010,2,10,41,3.031,0.1,-2.8,0.0,-1.9,61.1,4.0,20,0.0,37.9667,124.6167,162.0
