year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2007,1,1,1,7.92,10.3,1.2,0.0,6.0,42.0,2.5,250,5.0,37.7486,128.8933,25.91
2007,1,2,2,5.09,8.6,3.7,8.0,5.6,73.8,2.6,250,1.0,37.7486,128.8933,25.91
2007,1,3,3,1.94,6.0,2.4,0.5,4.4,77.3,2.1,250,0.0,37.7486,128.8933,25.91
2007,1,4,4,7.06,9.6,1.5,0.0,4.8,71.3,2.9,250,3.5,37.7486,128.8933,25.91
2007,1,5,5,5.44,8.6,1.8,0.0,4.7,71.6,2.4,250,0.0,37.7486,128.8933,25.91
2007,1,6,6,8.77,5.3,-1.2,0.4,2.1,56.3,4.6,250,5.5,37.7486,128.8933,25.91
2007,1,7,7,9.42,3.2,-2.0,0.0,-0.3,43.1,6.5,250,8.3,37.7486,128.8933,25.91
2007,1,8,8,11.27,4.4,-2.7,0.0,0.2,36.3,5.7,250,8.8,37.7486,128.8933,25.91
2007,1,9,9,10.56,7.5,-1.6,0.0,1.8,29.8,4.0,250,7.8,37.7486,128.8933,25.91
2007,1,10,10,10.52,6.9,-0.6,0.0,2.5,37.4,3.8,250,8.5,37.7486,128.8933,25.91
2007,1,11,11,8.1,6.5,-0.5,0.0,1.9,26.8,4.2,250,7.2,37.7486,128.8933,25.91
2007,1,12,12,11.18,4.4,-2.7,0.0,0.4,29.1,4.6,250,8.7,37.7486,128.8933,25.91
2007,1,13,13,11.62,3.9,-4.4,0.0,-1.2,24.4,3.8,230,9.0,37.7486,128.8933,25.91
2007,1,14,14,11.51,7.3,-2.9,0.0,1.4,24.0,3.3,250,9.1,37.7486,128.8933,25.91
2007,1,15,15,10.25,9.8,0.1,0.0,3.5,30.8,2.9,250,7.7,37.7486,128.8933,25.91
2007,1,16,16,7.98,8.8,0.6,0.0,4.6,41.9,2.9,250,3.3,37.7486,128.8933,25.91
2007,1,17,17,9.63,9.1,2.7,0.0,5.2,37.4,4.4,250,7.6,37.7486,128.8933,25.91
2007,1,18,18,10.76,6.8,-0.8,0.0,2.9,45.5,3.6,250,8.5,37.7486,128.8933,25.91
2007,1,19,19,11.87,9.3,-0.8,0.0,3.3,31.3,3.0,250,9.1,37.7486,128.8933,25.91
2007,1,20,20,9.13,7.5,-0.1,0.0,3.4,55.0,3.2,250,4.6,37.7486,128.8933,25.91
2007,1,21,21,9.16,8.3,-0.6,0.0,2.9,72.1,2.6,250,5.1,37.7486,128.8933,25.91
2007,1,22,22,2.89,6.0,-0.8,0.2,2.9,67.1,2.6,250,0.0,37.7486,128.8933,25.91
2007,1,23,23,9.73,10.8,0.1,0.0,5.0,44.0,2.5,250,5.6,37.7486,128.8933,25.91
2007,1,24,24,5.05,7.9,-0.8,0.0,2.9,67.3,2.4,250,0.9,37.7486,128.8933,25.91
2007,1,25,25,9.81,10.1,-0.6,0.0,5.0,29.6,3.2,250,6.2,37.7486,128.8933,25.91
2007,1,26,26,5.72,6.4,-0.6,0.0,2.8,52.9,3.0,250,2.0,37.7486,128.8933,25.91
2007,1,27,27,6.48,6.9,-1.1,0.0,2.9,53.3,2.5,250,3.0,37.7486,128.8933,25.91
2007,1,28,28,8.81,6.5,-0.1,4.4,2.0,69.5,3.5,250,3.0,37.7486,128.8933,25.91
2007,1,29,29,10.94,7.1,0.5,3.5,3.3,79.0,1.8,250,6.0,37.7486,128.8933,25.91
2007,1,30,30,9.79,6.1,-2.7,0.0,1.9,45.5,4.2,250,5.7,37.7486,128.8933,25.91
2007,1,31,31,13.1,3.0,-4.5,0.0,-1.0,33.6,4.6,250,9.0,37.7486,128.8933,25.91
2007,2,1,32,12.07,3.4,-5.9,0.0,-2.0,34.5,5.4,230,9.0,37.7486,128.8933,25.91
2007,2,2,33,13.73,5.9,-5.9,0.0,-0.3,34.1,4.5,250,9.4,37.7486,128.8933,25.91
2007,2,3,34,8.91,7.5,-0.8,0.0,3.9,38.5,7.2,250,5.0,37.7486,128.8933,25.91
2007,2,4,35,13.88,14.3,2.0,0.0,8.0,27.6,3.3,230,9.5,37.7486,128.8933,25.91
2007,2,5,36,7.77,14.1,6.0,0.0,10.1,28.4,5.4,230,2.4,37.7486,128.8933,25.91
2007,2,6,37,11.6,15.6,4.4,0.0,9.1,58.6,3.6,250,8.2,37.7486,128.8933,25.91
2007,2,7,38,9.62,9.1,1.8,0.0,5.1,74.5,2.9,250,4.6,37.7486,128.8933,25.91
2007,2,8,39,2.37,7.0,1.8,1.5,4.4,86.4,1.5,230,0.0,37.7486,128.8933,25.91
2007,2,9,40,4.15,7.5,4.1,0.0,5.4,78.6,1.8,250,0.5,37.7486,128.8933,25.91
2007,2,10,41,10.12,8.3,3.0,0.0,5.5,49.4,3.4,250,5.6,37.7486,128.8933,25.91
2007,2,11,42,14.67,10.3,0.6,0.0,4.6,35.0,4.3,250,9.7,37.7486,128.8933,25.91
2007,2,12,43,14.77,9.6,1.2,0.0,4.8,43.5,3.3,250,9.4,37.7486,128.8933,25.91
2007,2,13,44,4.93,10.5,2.0,12.5,5.5,54.8,2.7,250,0.0,37.7486,128.8933,25.91
2007,2,14,45,13.54,8.1,-1.8,4.5,3.4,51.1,5.1,250,7.3,37.7486,128.8933,25.91
2007,2,15,46,16.45,7.6,-3.0,0.0,2.1,20.4,6.3,250,9.7,37.7486,128.8933,25.91
2007,2,16,47,15.48,8.8,-0.8,0.0,3.7,43.4,3.6,250,9.0,37.7486,128.8933,25.91
2007,2,17,48,6.85,9.1,1.5,0.0,5.0,66.5,1.9,250,0.3,37.7486,128.8933,25.91
2007,2,18,49,2.92,7.0,1.7,0.5,4.3,79.4,1.8,250,0.0,37.7486,128.8933,25.91
2007,2,19,50,11.21,11.0,1.6,0.0,5.7,71.1,3.0,250,4.2,37.7486,128.8933,25.91
2007,2,20,51,15.99,14.0,3.5,0.0,8.2,41.0,3.4,250,10.0,37.7486,128.8933,25.91
2007,2,21,52,13.27,14.8,6.1,0.0,10.1,35.0,3.0,250,8.5,37.7486,128.8933,25.91
2007,2,22,53,12.74,18.2,7.1,0.0,12.5,24.8,4.4,250,4.3,37.7486,128.8933,25.91
2007,2,23,54,7.93,11.3,1.7,0.0,5.9,57.1,3.3,250,2.9,37.7486,128.8933,25.91
2007,2,24,55,13.07,8.0,1.0,0.0,4.0,61.8,2.8,250,5.2,37.7486,128.8933,25.91
2007,2,25,56,8.41,10.0,1.2,0.0,5.4,63.1,2.5,250,0.9,37.7486,128.8933,25.91
2007,2,26,57,17.55,13.1,2.0,0.0,7.1,57.6,3.2,250,9.6,37.7486,128.8933,25.91
2007,2,27,58,5.52,14.5,3.2,0.1,7.0,61.1,3.3,250,0.7,37.7486,128.8933,25.91
2007,2,28,59,17.89,10.1,1.5,0.0,5.2,64.4,2.6,250,9.4,37.7486,128.8933,25.91
2007,3,1,60,15.36,17.2,-1.3,0.0,8.1,59.8,1.5,250,8.2,37.7486,128.8933,25.91
2007,3,2,61,2.77,10.8,6.4,4.5,8.5,85.4,1.4,340,0.0,37.7486,128.8933,25.91
2007,3,3,62,4.53,11.6,8.1,0.0,9.1,87.6,2.1,340,0.0,37.7486,128.8933,25.91
2007,3,4,63,1.77,9.8,7.4,4.5,8.1,93.1,1.3,290,0.0,37.7486,128.8933,25.91
2007,3,5,64,17.87,12.1,-3.5,0.5,3.1,49.1,7.4,250,8.2,37.7486,128.8933,25.91
2007,3,6,65,19.55,2.5,-6.0,0.0,-2.1,30.3,5.7,250,10.6,37.7486,128.8933,25.91
2007,3,7,66,19.47,4.1,-5.8,0.0,-0.8,31.4,4.9,250,9.3,37.7486,128.8933,25.91
2007,3,8,67,20.09,8.3,-2.2,0.0,3.1,35.5,4.3,270,10.5,37.7486,128.8933,25.91
2007,3,9,68,18.91,11.8,2.7,0.0,7.0,35.6,4.1,230,10.0,37.7486,128.8933,25.91
2007,3,10,69,15.98,13.1,-0.6,0.5,6.3,32.9,4.9,250,7.0,37.7486,128.8933,25.91
2007,3,11,70,21.18,6.4,-3.0,0.0,1.7,22.3,4.8,270,10.8,37.7486,128.8933,25.91
2007,3,12,71,21.0,10.6,-0.3,0.0,5.5,22.9,4.7,270,10.8,37.7486,128.8933,25.91
2007,3,13,72,20.14,11.3,2.9,0.0,6.5,36.1,3.0,250,10.8,37.7486,128.8933,25.91
2007,3,14,73,17.11,10.8,3.0,0.0,6.6,47.9,2.6,250,8.8,37.7486,128.8933,25.91
2007,3,15,74,11.05,10.1,3.0,1.5,6.2,74.5,2.9,250,2.7,37.7486,128.8933,25.91
2007,3,16,75,7.44,7.5,3.5,4.5,4.6,87.5,2.0,110,0.2,37.7486,128.8933,25.91
2007,3,17,76,8.22,4.8,0.6,9.0,2.7,85.0,1.7,230,0.7,37.7486,128.8933,25.91
2007,3,18,77,10.34,8.8,0.0,0.0,4.7,72.0,2.2,250,4.5,37.7486,128.8933,25.91
2007,3,19,78,2.52,4.4,0.0,19.0,1.4,93.1,1.7,230,0.0,37.7486,128.8933,25.91
2007,3,20,79,14.41,8.5,-1.6,0.0,4.1,68.3,2.2,250,5.7,37.7486,128.8933,25.91
2007,3,21,80,13.25,12.0,4.0,0.0,8.6,54.8,4.3,250,5.5,37.7486,128.8933,25.91
2007,3,22,81,14.86,13.6,8.5,0.0,11.2,50.6,3.7,250,5.7,37.7486,128.8933,25.91
2007,3,23,82,17.16,19.3,10.5,0.0,14.1,41.8,3.5,250,7.6,37.7486,128.8933,25.91
2007,3,24,83,3.98,14.0,8.6,4.5,10.3,81.4,2.4,360,0.2,37.7486,128.8933,25.91
2007,3,25,84,21.15,18.7,10.1,0.0,13.4,34.6,4.9,250,10.6,37.7486,128.8933,25.91
2007,3,26,85,18.32,18.8,7.0,0.0,13.9,27.0,4.4,250,9.3,37.7486,128.8933,25.91
2007,3,27,86,13.41,18.6,9.1,0.0,14.4,40.3,3.6,250,4.7,37.7486,128.8933,25.91
