year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1996,1,1,1,7.901,4.8,-4.5,0.0,-0.9,36.8,2.1,230,7.9,37.5043,129.1266,39.6
1996,1,2,2,7.673,10.3,-1.6,0.0,3.6,56.3,1.4,230,7.5,37.5043,129.1266,39.6
1996,1,3,3,7.634,9.7,-6.3,0.0,0.4,34.3,6.4,290,7.4,37.5043,129.1266,39.6
1996,1,4,4,8.037,3.8,-9.2,0.0,-3.2,33.0,2.0,230,8.0,37.5043,129.1266,39.6
1996,1,5,5,3.008,6.7,-3.1,1.5,2.3,61.0,1.4,230,0.0,37.5043,129.1266,39.6
1996,1,6,6,3.022,5.4,1.5,2.0,4.4,86.3,1.7,270,0.0,37.5043,129.1266,39.6
1996,1,7,7,3.037,8.1,-0.4,0.0,3.6,84.5,2.3,230,0.0,37.5043,129.1266,39.6
1996,1,8,8,6.884,6.2,-7.3,0.0,-0.9,38.3,5.1,290,6.0,37.5043,129.1266,39.6
1996,1,9,9,8.197,0.1,-9.0,0.0,-4.6,21.8,7.9,290,8.0,37.5043,129.1266,39.6
1996,1,10,10,8.363,5.6,-5.9,0.0,-0.1,24.3,3.4,290,8.2,37.5043,129.1266,39.6
1996,1,11,11,7.95,6.6,-4.1,0.0,1.0,44.5,2.6,230,7.5,37.5043,129.1266,39.6
1996,1,12,12,8.313,6.8,-2.4,0.0,0.9,79.3,2.4,230,8.0,37.5043,129.1266,39.6
1996,1,13,13,8.225,10.1,-3.9,0.0,2.0,68.8,2.5,230,7.8,37.5043,129.1266,39.6
1996,1,14,14,3.164,6.7,2.6,5.0,4.7,85.5,1.6,360,0.0,37.5043,129.1266,39.6
1996,1,15,15,3.185,4.3,0.8,8.5,2.6,91.3,1.3,250,0.0,37.5043,129.1266,39.6
1996,1,16,16,8.69,4.7,-3.0,0.0,1.8,48.5,4.1,290,8.3,37.5043,129.1266,39.6
1996,1,17,17,4.624,3.9,-4.6,0.0,-1.1,35.8,2.0,250,2.1,37.5043,129.1266,39.6
1996,1,18,18,8.39,2.0,-4.7,0.0,-1.8,52.0,2.3,230,7.7,37.5043,129.1266,39.6
1996,1,19,19,6.362,6.4,-5.2,0.0,0.3,47.5,2.3,230,4.6,37.5043,129.1266,39.6
1996,1,20,20,7.819,6.9,-3.1,0.0,0.6,45.3,2.3,250,6.7,37.5043,129.1266,39.6
1996,1,21,21,8.953,4.6,-3.7,0.0,0.0,54.5,1.7,230,8.3,37.5043,129.1266,39.6
1996,1,22,22,8.261,5.0,-0.7,0.0,1.9,43.3,2.2,50,7.2,37.5043,129.1266,39.6
1996,1,23,23,8.932,3.0,-1.7,0.0,0.9,38.8,3.7,290,8.1,37.5043,129.1266,39.6
1996,1,24,24,9.542,2.9,-4.3,0.0,-1.6,29.8,4.1,270,8.9,37.5043,129.1266,39.6
1996,1,25,25,8.914,1.4,-5.5,0.0,-3.0,30.0,4.4,290,7.9,37.5043,129.1266,39.6
1996,1,26,26,9.532,1.4,-9.2,0.0,-3.8,41.0,2.5,230,8.7,37.5043,129.1266,39.6
1996,1,27,27,8.898,5.5,-6.0,0.0,-0.1,45.3,2.6,290,7.7,37.5043,129.1266,39.6
1996,1,28,28,4.872,7.0,-1.8,0.0,2.2,59.0,1.9,360,1.9,37.5043,129.1266,39.6
1996,1,29,29,9.238,6.8,-0.4,0.1,2.0,48.8,3.6,290,8.0,37.5043,129.1266,39.6
1996,1,30,30,10.018,0.5,-5.2,0.0,-2.5,17.3,5.4,290,9.0,37.5043,129.1266,39.6
1996,1,31,31,8.798,0.8,-8.0,0.0,-4.3,24.8,4.5,230,7.2,37.5043,129.1266,39.6
1996,2,1,32,8.463,-1.9,-9.7,0.0,-6.1,29.5,5.4,290,8.8,37.5043,129.1266,39.6
1996,2,2,33,8.488,0.8,-12.7,0.0,-5.4,32.5,3.8,290,8.8,37.5043,129.1266,39.6
1996,2,3,34,8.576,4.9,-6.8,0.0,-1.2,24.0,3.1,250,8.9,37.5043,129.1266,39.6
1996,2,4,35,4.508,6.9,-2.7,0.0,2.4,53.0,1.1,140,2.4,37.5043,129.1266,39.6
1996,2,5,36,8.951,2.7,-5.9,0.0,-2.2,45.8,6.1,290,9.4,37.5043,129.1266,39.6
1996,2,6,37,8.476,-1.0,-7.8,0.0,-4.8,38.5,4.5,290,8.6,37.5043,129.1266,39.6
