year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1989,1,1,1,8.57,3.5,-3.4,0.0,-0.6,64.5,2.1,290,7.8,37.57141,126.96579,86.02
1989,1,2,2,1.82,2.9,-4.0,0.0,-0.5,83.8,1.6,50,0.0,37.57141,126.96579,86.02
1989,1,3,3,7.89,2.9,-4.1,0.0,0.0,61.8,3.0,290,7.7,37.57141,126.96579,86.02
1989,1,4,4,7.17,1.5,-7.2,0.0,-2.9,45.0,1.5,290,8.1,37.57141,126.96579,86.02
1989,1,5,5,8.0,6.3,-7.6,0.0,-1.3,43.5,1.3,50,7.3,37.57141,126.96579,86.02
1989,1,6,6,2.33,7.1,0.1,0.0,3.7,34.3,1.9,70,0.0,37.57141,126.96579,86.02
1989,1,7,7,2.03,11.2,6.7,4.3,8.8,62.0,2.5,70,0.0,37.57141,126.96579,86.02
1989,1,8,8,2.39,9.8,6.7,2.7,8.3,81.3,4.0,70,0.0,37.57141,126.96579,86.02
1989,1,9,9,1.06,6.8,4.9,2.2,6.1,88.8,3.0,70,0.0,37.57141,126.96579,86.02
1989,1,10,10,1.15,8.2,5.2,1.4,6.8,92.3,1.6,50,0.0,37.57141,126.96579,86.02
1989,1,11,11,1.46,6.6,0.7,12.8,3.0,89.3,4.5,50,0.0,37.57141,126.96579,86.02
1989,1,12,12,1.96,2.3,0.9,0.0,1.5,73.5,2.1,50,0.0,37.57141,126.96579,86.02
1989,1,13,13,3.56,1.1,-5.3,0.3,-1.2,74.8,3.5,290,1.7,37.57141,126.96579,86.02
1989,1,14,14,8.36,0.2,-7.9,0.0,-4.1,59.3,2.1,290,8.2,37.57141,126.96579,86.02
1989,1,15,15,8.8,0.6,-6.2,0.0,-2.8,69.5,1.7,270,7.8,37.57141,126.96579,86.02
1989,1,16,16,4.67,4.3,-1.8,0.0,0.7,64.5,1.4,270,2.8,37.57141,126.96579,86.02
1989,1,17,17,8.18,4.6,-3.6,0.0,0.2,73.3,1.9,20,7.3,37.57141,126.96579,86.02
1989,1,18,18,1.23,3.0,-2.2,4.2,0.8,82.0,1.8,70,0.0,37.57141,126.96579,86.02
1989,1,19,19,1.89,6.2,2.7,1.7,4.2,91.0,1.2,50,0.0,37.57141,126.96579,86.02
1989,1,20,20,3.6,6.1,2.4,4.4,4.2,89.0,2.2,290,0.0,37.57141,126.96579,86.02
1989,1,21,21,7.19,5.4,0.0,0.0,2.2,82.0,1.4,290,4.5,37.57141,126.96579,86.02
1989,1,22,22,5.22,8.2,0.0,0.8,4.2,61.0,2.1,70,4.4,37.57141,126.96579,86.02
1989,1,23,23,2.4,5.0,1.0,6.8,2.6,90.5,2.1,290,0.0,37.57141,126.96579,86.02
1989,1,24,24,3.45,2.7,-0.5,0.0,1.0,81.5,2.6,270,0.8,37.57141,126.96579,86.02
1989,1,25,25,6.18,3.9,-1.9,0.0,1.0,67.8,1.6,50,3.8,37.57141,126.96579,86.02
1989,1,26,26,1.87,3.3,-4.8,3.0,0.6,70.8,3.3,290,0.0,37.57141,126.96579,86.02
1989,1,27,27,7.57,-4.8,-9.5,0.0,-7.7,47.8,5.0,290,5.5,37.57141,126.96579,86.02
1989,1,28,28,12.67,-1.3,-11.2,0.0,-6.9,37.8,2.6,290,8.8,37.57141,126.96579,86.02
1989,1,29,29,7.38,0.5,-9.2,0.0,-4.5,46.5,1.8,290,5.4,37.57141,126.96579,86.02
1989,1,30,30,6.41,1.1,-7.1,0.0,-3.1,63.5,1.5,20,2.9,37.57141,126.96579,86.02
1989,1,31,31,4.06,2.9,-4.4,0.0,-0.5,76.3,1.8,270,0.2,37.57141,126.96579,86.02
1989,2,1,32,11.86,1.4,-6.0,0.0,-2.7,38.5,4.3,290,9.1,37.57141,126.96579,86.02
1989,2,2,33,12.19,-1.4,-7.8,0.0,-5.2,41.0,3.3,290,8.9,37.57141,126.96579,86.02
1989,2,3,34,11.78,1.4,-8.2,0.0,-3.6,40.5,1.9,270,8.6,37.57141,126.96579,86.02
