year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2007,1,1,1,6.91,7.2,-4.2,0.0,1.5,46.8,0.3,290,3.4,37.334,127.9504,150.0
2007,1,2,2,6.77,8.6,-1.2,0.0,3.1,63.6,0.6,250,3.7,37.334,127.9504,150.0
2007,1,3,3,5.76,8.9,-1.6,0.0,3.5,69.8,0.9,20,1.7,37.334,127.9504,150.0
2007,1,4,4,9.44,10.9,-0.2,0.0,4.0,60.9,0.5,90,7.5,37.334,127.9504,150.0
2007,1,5,5,6.45,9.5,-3.2,0.0,2.5,66.5,0.7,70,1.6,37.334,127.9504,150.0
2007,1,6,6,2.13,4.5,-3.8,4.6,-0.4,72.8,3.0,250,0.0,37.334,127.9504,150.0
2007,1,7,7,8.41,-0.7,-7.8,0.0,-3.8,63.4,2.0,230,6.3,37.334,127.9504,150.0
2007,1,8,8,10.35,1.1,-7.8,0.0,-3.7,60.8,1.5,250,8.1,37.334,127.9504,150.0
2007,1,9,9,10.99,2.5,-9.8,0.0,-4.2,65.5,0.7,20,7.9,37.334,127.9504,150.0
2007,1,10,10,9.33,3.4,-7.9,0.0,-2.9,70.6,0.7,70,7.0,37.334,127.9504,150.0
2007,1,11,11,7.23,2.2,-8.5,0.0,-4.3,65.4,0.6,70,5.6,37.334,127.9504,150.0
2007,1,12,12,10.7,1.9,-7.4,0.0,-3.7,51.3,1.6,270,8.0,37.334,127.9504,150.0
2007,1,13,13,11.07,-0.3,-11.7,0.0,-6.7,53.6,0.9,70,8.2,37.334,127.9504,150.0
2007,1,14,14,11.27,1.8,-13.0,0.0,-6.0,56.1,0.7,70,8.2,37.334,127.9504,150.0
2007,1,15,15,9.05,4.9,-9.7,0.0,-3.0,59.9,0.5,50,6.6,37.334,127.9504,150.0
2007,1,16,16,6.87,6.4,-4.6,0.0,0.0,61.9,0.5,180,2.0,37.334,127.9504,150.0
2007,1,17,17,7.34,5.9,-4.5,0.0,-0.1,65.1,0.7,230,4.5,37.334,127.9504,150.0
2007,1,18,18,10.27,5.2,-4.0,0.0,-0.1,61.6,1.1,70,7.8,37.334,127.9504,150.0
2007,1,19,19,11.51,5.5,-8.4,0.0,-2.3,57.6,0.6,90,8.3,37.334,127.9504,150.0
2007,1,20,20,10.26,7.6,-7.7,0.0,-1.3,55.8,0.6,70,7.6,37.334,127.9504,150.0
2007,1,21,21,10.23,8.4,-7.7,0.0,-1.2,57.1,0.6,50,7.4,37.334,127.9504,150.0
2007,1,22,22,8.06,5.6,-3.7,0.4,0.1,73.6,0.6,70,5.4,37.334,127.9504,150.0
2007,1,23,23,7.97,7.1,-5.6,0.0,-0.5,69.4,0.5,70,5.0,37.334,127.9504,150.0
2007,1,24,24,9.02,7.0,-5.3,0.0,-0.4,64.9,0.8,70,6.7,37.334,127.9504,150.0
2007,1,25,25,8.9,5.5,-7.2,0.0,-1.7,64.0,0.8,70,5.6,37.334,127.9504,150.0
2007,1,26,26,5.75,4.9,-4.7,0.0,-0.3,70.0,0.9,50,1.0,37.334,127.9504,150.0
2007,1,27,27,8.25,4.8,-0.4,0.0,1.2,69.6,1.3,250,4.7,37.334,127.9504,150.0
2007,1,28,28,10.52,4.9,-4.7,0.0,-0.6,69.5,1.1,290,6.8,37.334,127.9504,150.0
2007,1,29,29,9.98,6.3,-3.4,0.0,0.3,63.0,1.0,290,6.8,37.334,127.9504,150.0
