year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2013,1,1,1,4.027,2.4,-2.6,0.9,-0.1,56.0,4.3,230,1.7,37.48,130.89999,221.0
2013,1,2,2,5.922,2.1,-5.4,0.4,-2.9,52.1,5.5,250,4.7,37.48,130.89999,221.0
2013,1,3,3,3.048,-3.9,-5.7,8.6,-4.9,77.6,2.8,20,0.1,37.48,130.89999,221.0
2013,1,4,4,4.575,-0.3,-4.9,1.8,-2.8,73.0,1.9,50,2.5,37.48,130.89999,221.0
2013,1,5,5,8.072,4.8,-1.9,0.0,1.2,57.6,3.0,230,8.0,37.48,130.89999,221.0
2013,1,6,6,5.246,4.4,-0.2,0.0,1.3,57.1,2.1,250,3.5,37.48,130.89999,221.0
2013,1,7,7,7.625,6.0,-0.3,0.0,1.9,55.0,1.9,50,7.2,37.48,130.89999,221.0
2013,1,8,8,6.762,4.9,0.3,0.0,1.5,61.4,2.2,70,5.8,37.48,130.89999,221.0
2013,1,9,9,6.087,0.5,-2.5,1.3,-1.0,67.5,4.2,290,4.7,37.48,130.89999,221.0
2013,1,10,10,3.733,-1.3,-3.3,7.9,-2.6,69.1,2.2,20,1.0,37.48,130.89999,221.0
2013,1,11,11,8.408,4.9,-2.6,0.0,0.8,56.3,2.4,230,8.2,37.48,130.89999,221.0
2013,1,12,12,8.385,7.1,0.8,0.0,4.5,52.6,5.7,230,8.1,37.48,130.89999,221.0
2013,1,13,13,5.819,4.8,2.3,0.0,3.6,67.9,2.6,50,4.1,37.48,130.89999,221.0
2013,1,14,14,7.423,5.8,-1.8,0.6,2.6,70.4,5.8,50,6.5,37.48,130.89999,221.0
2013,1,15,15,4.306,2.1,-2.0,0.4,-0.6,77.4,3.6,50,1.7,37.48,130.89999,221.0
2013,1,16,16,7.639,3.2,-1.5,12.8,1.4,72.9,4.3,50,6.7,37.48,130.89999,221.0
2013,1,17,17,5.226,-1.4,-3.3,3.9,-2.7,75.4,8.6,50,3.0,37.48,130.89999,221.0
2013,1,18,18,8.33,4.5,-3.5,0.1,0.6,58.4,3.0,230,7.6,37.48,130.89999,221.0
2013,1,19,19,3.348,2.0,-0.2,0.8,0.8,71.0,2.0,140,0.1,37.48,130.89999,221.0
2013,1,20,20,3.576,3.2,1.2,0.0,1.9,70.0,3.1,50,0.4,37.48,130.89999,221.0
