year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2001,1,1,1,7.81,-0.6,-10.4,0.3,-4.5,64.6,1.1,140,5.1,37.2695,126.9875,33.58
2001,1,2,2,6.55,-1.0,-8.7,0.1,-4.0,62.5,1.7,320,1.8,37.2695,126.9875,33.58
2001,1,3,3,8.93,-4.1,-10.4,0.0,-8.0,46.4,1.5,320,7.1,37.2695,126.9875,33.58
2001,1,4,4,10.39,-4.6,-12.4,0.0,-9.0,42.8,1.5,320,8.6,37.2695,126.9875,33.58
2001,1,5,5,8.93,-1.9,-12.6,0.0,-7.0,56.4,1.0,320,8.0,37.2695,126.9875,33.58
2001,1,6,6,8.66,1.4,-10.4,0.0,-2.8,45.5,1.3,90,5.6,37.2695,126.9875,33.58
2001,1,7,7,1.29,2.0,-0.9,23.6,0.9,81.0,3.4,70,0.0,37.2695,126.9875,33.58
2001,1,8,8,11.24,6.9,-1.3,0.0,2.6,69.5,1.8,70,8.5,37.2695,126.9875,33.58
2001,1,9,9,2.36,2.9,-5.7,10.4,0.0,76.3,2.2,320,0.0,37.2695,126.9875,33.58
2001,1,10,10,10.97,-0.2,-9.6,0.1,-5.3,51.6,1.2,320,8.9,37.2695,126.9875,33.58
2001,1,11,11,10.6,-2.9,-12.4,0.3,-7.3,46.0,1.9,320,7.6,37.2695,126.9875,33.58
2001,1,12,12,10.04,-4.9,-15.7,0.0,-11.1,44.0,0.8,250,6.2,37.2695,126.9875,33.58
2001,1,13,13,10.29,-4.1,-13.8,0.0,-9.2,49.5,1.4,320,7.3,37.2695,126.9875,33.58
2001,1,14,14,11.14,-8.7,-16.6,0.0,-13.7,46.1,1.6,320,7.1,37.2695,126.9875,33.58
2001,1,15,15,12.06,-9.9,-18.3,0.0,-14.3,48.8,1.3,320,9.2,37.2695,126.9875,33.58
2001,1,16,16,12.1,-7.6,-16.8,0.0,-12.8,51.8,0.9,320,9.1,37.2695,126.9875,33.58
2001,1,17,17,10.7,-2.1,-15.4,0.0,-7.8,53.5,0.8,200,8.6,37.2695,126.9875,33.58
