year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2016,1,1,1,4.515,4.3,-6.1,0.0,-1.1,83.0,0.6,270.0,2.4,37.1784,128.4597,239.79
2016,1,2,2,4.846,9.2,0.2,0.0,4.5,77.0,0.9,320.0,2.9,37.1784,128.4597,239.79
2016,1,3,3,7.147,11.2,-0.4,0.0,4.2,82.9,0.6,270.0,6.5,37.1784,128.4597,239.79
2016,1,4,4,7.616,9.0,0.4,0.0,5.2,49.3,2.0,250.0,7.2,37.1784,128.4597,239.79
2016,1,5,5,6.813,3.9,-4.6,0.0,-1.0,41.9,1.2,270.0,5.9,37.1784,128.4597,239.79
2016,1,6,6,7.607,3.5,-9.3,0.0,-2.9,62.9,1.1,290.0,7.1,37.1784,128.4597,239.79
2016,1,7,7,8.601,2.4,-7.5,0.0,-2.5,57.6,1.4,250.0,8.6,37.1784,128.4597,239.79
2016,1,8,8,8.7,1.9,-10.4,0.0,-4.3,54.8,1.2,270.0,8.7,37.1784,128.4597,239.79
2016,1,9,9,7.896,3.1,-8.1,0.0,-1.7,55.6,1.3,270.0,7.4,37.1784,128.4597,239.79
2016,1,10,10,6.762,5.6,-3.0,0.0,1.1,45.9,1.6,270.0,5.6,37.1784,128.4597,239.79
2016,1,11,11,8.816,2.9,-8.4,0.0,-3.4,43.8,0.7,250.0,8.7,37.1784,128.4597,239.79
2016,1,12,12,8.793,2.2,-12.1,0.0,-4.7,51.9,0.9,270.0,8.6,37.1784,128.4597,239.79
2016,1,13,13,6.93,1.7,-7.4,0.9,-3.1,69.6,1.4,270.0,5.7,37.1784,128.4597,239.79
2016,1,14,14,8.75,0.9,-8.3,0.1,-2.7,52.4,1.6,270.0,8.4,37.1784,128.4597,239.79
2016,1,15,15,7.204,3.5,-5.5,1.2,-2.1,85.4,0.4,250.0,6.0,37.1784,128.4597,239.79
2016,1,16,16,7.312,5.4,-9.5,0.0,-2.6,77.8,0.3,90.0,6.1,37.1784,128.4597,239.79
2016,1,17,17,3.268,3.9,-4.6,0.3,-0.1,84.4,0.3,270.0,0.0,37.1784,128.4597,239.79
2016,1,18,18,5.648,1.7,-10.0,0.7,-3.3,64.6,2.8,270.0,3.5,37.1784,128.4597,239.79
2016,1,19,19,9.337,-7.1,-13.1,0.0,-10.3,38.0,3.2,270.0,8.9,37.1784,128.4597,239.79
2016,1,20,20,7.557,-5.0,-16.0,0.0,-10.6,59.3,0.9,270.0,6.2,37.1784,128.4597,239.79
2016,1,21,21,6.238,-0.8,-13.0,0.0,-7.9,58.6,0.6,270.0,4.2,37.1784,128.4597,239.79
2016,1,22,22,7.861,-0.9,-14.7,0.0,-7.6,56.3,0.8,270.0,6.5,37.1784,128.4597,239.79
2016,1,23,23,9.087,-5.7,-13.0,0.0,-8.5,31.6,2.7,270.0,8.2,37.1784,128.4597,239.79
2016,1,24,24,9.772,-8.6,-17.0,0.0,-12.8,39.3,2.0,250.0,9.1,37.1784,128.4597,239.79
2016,1,25,25,9.557,-3.3,-17.4,0.0,-10.0,51.3,1.1,270.0,8.7,37.1784,128.4597,239.79
2016,1,26,26,6.389,0.3,-13.7,0.0,-5.4,71.4,1.1,270.0,4.1,37.1784,128.4597,239.79
2016,1,27,27,9.404,4.3,-5.9,0.0,-1.1,60.6,1.3,270.0,8.3,37.1784,128.4597,239.79
2016,1,28,28,3.854,2.1,-9.7,0.0,-2.6,68.5,0.3,340.0,0.4,37.1784,128.4597,239.79
2016,1,29,29,3.601,5.8,-0.8,0.2,2.7,71.9,1.6,50.0,0.0,37.1784,128.4597,239.79
2016,1,30,30,5.791,9.3,-1.4,0.0,3.3,65.3,1.1,270.0,3.0,37.1784,128.4597,239.79
2016,1,31,31,9.746,3.1,-5.4,0.0,-1.6,53.8,1.3,250.0,8.4,37.1784,128.4597,239.79
2016,2,1,32,8.493,1.4,-10.0,0.0,-4.6,47.3,1.2,290.0,8.7,37.1784,128.4597,239.79
2016,2,2,33,8.96,2.2,-13.5,0.0,-5.8,49.4,0.8,270.0,9.4,37.1784,128.4597,239.79
2016,2,3,34,8.924,4.1,-13.7,0.0,-4.8,54.4,0.9,250.0,9.3,37.1784,128.4597,239.79
2016,2,4,35,7.425,5.5,-9.8,0.0,-1.9,52.3,1.2,270.0,6.9,37.1784,128.4597,239.79
2016,2,5,36,9.111,3.8,-9.1,0.0,-2.6,43.6,1.2,270.0,9.5,37.1784,128.4597,239.79
2016,2,6,37,8.888,3.6,-8.0,0.0,-2.6,43.3,1.0,270.0,9.1,37.1784,128.4597,239.79
2016,2,7,38,9.308,4.3,-11.5,0.0,-3.9,46.6,0.9,290.0,9.7,37.1784,128.4597,239.79
2016,2,8,39,5.67,6.5,-8.3,1.4,-1.1,68.8,0.8,250.0,4.0,37.1784,128.4597,239.79
2016,2,9,40,9.19,5.0,-2.6,0.0,1.2,49.5,2.1,270.0,9.4,37.1784,128.4597,239.79
2016,2,10,41,9.425,10.5,-7.9,0.0,0.2,54.1,0.5,90.0,9.7,37.1784,128.4597,239.79
2016,2,11,42,7.708,14.5,-6.5,0.0,4.2,49.5,0.6,140.0,7.0,37.1784,128.4597,239.79
2016,2,12,43,3.162,7.8,2.9,18.5,5.7,97.4,0.4,270.0,0.0,37.1784,128.4597,239.79
2016,2,13,44,3.182,16.0,6.2,10.2,10.6,96.8,0.5,320.0,0.0,37.1784,128.4597,239.79
2016,2,14,45,3.202,13.9,-3.8,1.0,0.3,81.5,2.9,250.0,0.0,37.1784,128.4597,239.79
2016,2,15,46,9.593,-1.3,-7.6,0.2,-4.6,50.3,2.6,270.0,9.6,37.1784,128.4597,239.79
2016,2,16,47,6.912,1.9,-6.5,0.5,-1.9,72.0,2.1,270.0,5.5,37.1784,128.4597,239.79
2016,2,17,48,9.966,4.9,-7.7,0.0,-0.4,53.5,1.5,250.0,10.0,37.1784,128.4597,239.79
2016,2,18,49,7.263,8.3,-4.4,0.0,2.6,60.9,1.4,250.0,5.9,37.1784,128.4597,239.79
2016,2,19,50,3.655,6.0,-0.2,0.0,3.3,62.4,1.2,270.0,0.5,37.1784,128.4597,239.79
2016,2,20,51,8.237,8.5,-2.3,0.0,2.4,56.3,1.6,270.0,7.2,37.1784,128.4597,239.79
2016,2,21,52,10.134,4.6,-5.0,0.0,0.1,32.4,2.1,270.0,9.9,37.1784,128.4597,239.79
2016,2,22,53,4.7,7.1,-3.0,0.0,1.8,42.4,0.8,270.0,1.9,37.1784,128.4597,239.79
2016,2,23,54,8.534,7.1,-2.6,0.0,2.7,40.1,2.2,270.0,7.4,37.1784,128.4597,239.79
2016,2,24,55,9.772,3.3,-6.9,0.0,-1.7,48.8,1.6,270.0,9.1,37.1784,128.4597,239.79
2016,2,25,56,8.788,4.1,-8.6,0.0,-0.9,56.9,1.7,250.0,7.6,37.1784,128.4597,239.79
2016,2,26,57,10.253,6.9,-0.9,0.0,2.9,48.5,2.2,250.0,9.6,37.1784,128.4597,239.79
2016,2,27,58,9.121,7.6,-0.6,6.8,2.4,75.9,1.2,250.0,7.9,37.1784,128.4597,239.79
2016,2,28,59,3.57,4.3,-1.3,15.9,0.7,86.5,0.7,290.0,0.0,37.1784,128.4597,239.79
