year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2023,1,1,1,9.89,4.8,-8.1,0.0,-2.3,61.0,0.9,230,7.9,36.9672,127.9522,113.1
2023,1,2,2,10.56,0.0,-11.5,0.0,-6.4,53.0,0.8,90,7.9,36.9672,127.9522,113.1
2023,1,3,3,11.48,0.5,-14.0,0.0,-7.8,60.0,0.8,90,8.1,36.9672,127.9522,113.1
2023,1,4,4,9.97,2.7,-11.9,0.0,-5.5,66.0,0.6,90,7.8,36.9672,127.9522,113.1
2023,1,5,5,7.13,1.7,-11.0,0.0,-5.1,76.1,0.4,90,4.3,36.9672,127.9522,113.1
2023,1,6,6,8.43,4.5,-10.1,0.0,-3.3,77.6,0.4,290,6.3,36.9672,127.9522,113.1
2023,1,7,7,6.13,4.1,-3.3,2.6,0.8,76.5,1.6,270,2.1,36.9672,127.9522,113.1
2023,1,8,8,8.39,4.8,-7.4,0.0,-1.9,78.4,0.3,90,6.0,36.9672,127.9522,113.1
2023,1,9,9,7.13,8.0,-4.0,0.0,1.5,73.8,0.7,270,4.2,36.9672,127.9522,113.1
2023,1,10,10,10.86,8.1,-7.4,0.0,-1.3,76.8,0.4,90,8.0,36.9672,127.9522,113.1
2023,1,11,11,10.47,8.2,-6.3,0.0,-0.8,71.8,0.4,90,8.1,36.9672,127.9522,113.1
2023,1,12,12,10.52,11.8,-5.9,0.0,1.2,69.4,0.4,90,8.2,36.9672,127.9522,113.1
2023,1,13,13,1.27,8.9,2.4,9.5,6.0,94.5,0.4,50,0.0,36.9672,127.9522,113.1
2023,1,14,14,1.33,8.5,4.5,1.5,6.7,87.5,1.4,90,0.0,36.9672,127.9522,113.1
2023,1,15,15,0.28,4.5,-2.8,6.6,0.5,86.5,1.6,250,0.0,36.9672,127.9522,113.1
2023,1,16,16,8.17,-1.3,-8.2,0.0,-4.3,75.9,1.6,270,4.7,36.9672,127.9522,113.1
2023,1,17,17,7.78,-0.4,-8.4,0.0,-4.1,70.8,0.5,340,4.8,36.9672,127.9522,113.1
