year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1985,1,1,1,10.27,2.8,-7.2,0.0,-2.4,80.0,1.1,340,6.8,36.7737,126.4959,25.93
1985,1,2,2,6.35,2.0,-6.8,0.0,-2.3,76.5,1.3,50,2.7,36.7737,126.4959,25.93
1985,1,3,3,6.53,3.2,-5.3,0.0,-1.2,82.8,1.4,50,2.1,36.7737,126.4959,25.93
1985,1,4,4,11.07,-0.9,-7.0,0.0,-3.5,68.0,3.6,360,8.4,36.7737,126.4959,25.93
1985,1,5,5,10.61,-0.6,-11.4,0.0,-6.9,75.5,0.8,340,7.8,36.7737,126.4959,25.93
1985,1,6,6,10.54,-0.2,-8.4,0.0,-4.5,72.5,1.8,320,7.4,36.7737,126.4959,25.93
1985,1,7,7,10.57,-2.4,-9.7,0.0,-6.7,75.5,1.4,340,8.3,36.7737,126.4959,25.93
1985,1,8,8,9.85,-0.1,-9.7,0.0,-5.6,86.0,0.9,50,5.9,36.7737,126.4959,25.93
1985,1,9,9,8.99,2.1,-9.2,4.2,-3.1,91.0,2.0,160,4.5,36.7737,126.4959,25.93
1985,1,10,10,7.61,-1.1,-12.9,0.6,-5.3,81.5,2.2,70,3.2,36.7737,126.4959,25.93
1985,1,11,11,6.55,2.5,-13.8,4.2,-4.1,80.3,1.5,140,0.9,36.7737,126.4959,25.93
1985,1,12,12,9.3,1.4,-7.1,0.4,-1.9,66.0,3.5,320,5.9,36.7737,126.4959,25.93
1985,1,13,13,7.18,-6.7,-9.9,0.9,-7.7,73.5,2.5,360,2.3,36.7737,126.4959,25.93
1985,1,14,14,11.62,-6.4,-14.6,0.2,-11.7,80.8,1.1,70,7.7,36.7737,126.4959,25.93
1985,1,15,15,6.11,4.3,-13.8,1.8,-3.8,80.3,4.1,230,1.6,36.7737,126.4959,25.93
1985,1,16,16,11.83,-5.0,-13.0,0.0,-8.2,62.3,2.1,320,8.6,36.7737,126.4959,25.93
1985,1,17,17,11.19,-2.5,-14.0,0.0,-8.8,69.5,1.9,70,8.2,36.7737,126.4959,25.93
1985,1,18,18,10.67,3.9,-10.2,0.0,-3.6,65.5,1.5,70,7.7,36.7737,126.4959,25.93
1985,1,19,19,2.87,3.7,-3.6,7.8,0.2,86.5,2.6,290,0.7,36.7737,126.4959,25.93
1985,1,20,20,12.05,1.1,-8.9,0.0,-2.2,73.3,3.0,320,8.5,36.7737,126.4959,25.93
1985,1,21,21,7.54,0.6,-11.8,0.0,-5.4,76.0,1.0,20,1.6,36.7737,126.4959,25.93
1985,1,22,22,7.9,3.7,-3.0,0.0,-0.3,77.8,1.5,50,1.1,36.7737,126.4959,25.93
1985,1,23,23,11.97,-0.2,-6.6,0.0,-3.3,72.3,2.4,340,6.8,36.7737,126.4959,25.93
1985,1,24,24,12.21,-1.3,-9.8,0.0,-4.4,58.8,3.8,360,7.5,36.7737,126.4959,25.93
1985,1,25,25,12.46,2.0,-12.2,0.0,-5.3,86.0,1.5,180,7.2,36.7737,126.4959,25.93
1985,1,26,26,9.89,3.4,-4.8,0.0,-0.6,90.0,1.4,180,2.9,36.7737,126.4959,25.93
1985,1,27,27,3.75,1.3,-4.0,2.3,-0.7,84.5,3.4,290,0.0,36.7737,126.4959,25.93
1985,1,28,28,13.54,-3.4,-7.6,0.0,-5.8,64.0,3.1,320,8.9,36.7737,126.4959,25.93
1985,1,29,29,9.65,-5.7,-10.5,0.4,-8.7,68.8,2.9,340,4.8,36.7737,126.4959,25.93
1985,1,30,30,13.69,-3.8,-12.4,0.0,-8.9,71.5,1.7,340,9.0,36.7737,126.4959,25.93
1985,1,31,31,7.03,3.4,-9.5,0.2,-1.5,83.3,3.5,140,2.3,36.7737,126.4959,25.93
1985,2,1,32,12.53,6.5,-3.5,0.0,2.3,81.5,3.2,200,8.9,36.7737,126.4959,25.93
1985,2,2,33,12.75,6.1,-6.2,0.0,-0.3,88.3,1.7,180,8.3,36.7737,126.4959,25.93
1985,2,3,34,13.98,5.0,-2.8,0.0,1.6,72.5,2.0,320,9.4,36.7737,126.4959,25.93
1985,2,4,35,7.12,5.5,-4.6,0.0,0.0,83.3,1.2,20,2.9,36.7737,126.4959,25.93
1985,2,5,36,12.95,9.6,-0.1,0.0,3.3,76.3,1.6,50,7.2,36.7737,126.4959,25.93
1985,2,6,37,10.56,9.7,-1.5,0.0,2.2,84.0,1.1,360,7.5,36.7737,126.4959,25.93
1985,2,7,38,14.01,7.1,-2.4,0.0,1.3,85.8,1.7,70,9.0,36.7737,126.4959,25.93
1985,2,8,39,7.55,8.6,-0.6,0.3,4.4,79.3,2.9,50,1.3,36.7737,126.4959,25.93
1985,2,9,40,3.48,6.4,2.4,5.3,4.1,94.8,4.2,360,0.0,36.7737,126.4959,25.93
1985,2,10,41,10.04,6.4,0.5,0.7,2.2,85.5,3.6,340,4.7,36.7737,126.4959,25.93
