year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1997,1,1,1,7.34,16.0,-4.5,0.0,3.8,58.4,10.1,270,6.8,36.9889,129.4153,49.42
1997,1,2,2,8.252,0.8,-6.0,0.0,-3.3,21.6,8.8,250,8.2,36.9889,129.4153,49.42
1997,1,3,3,8.66,4.8,-5.0,0.0,-1.5,17.8,4.9,250,8.8,36.9889,129.4153,49.42
1997,1,4,4,7.728,3.9,-5.6,0.0,-1.6,46.5,3.0,270,7.3,36.9889,129.4153,49.42
1997,1,5,5,3.069,1.8,-3.5,9.1,-0.3,86.8,3.9,320,0.0,36.9889,129.4153,49.42
1997,1,6,6,8.041,1.4,-4.4,0.0,-2.3,62.4,5.6,270,7.7,36.9889,129.4153,49.42
1997,1,7,7,3.098,2.6,-4.8,3.4,0.4,80.9,6.1,320,0.0,36.9889,129.4153,49.42
1997,1,8,8,7.003,4.2,-2.1,0.0,1.4,67.0,5.1,340,6.0,36.9889,129.4153,49.42
1997,1,9,9,8.595,5.5,-4.1,0.0,-0.4,48.3,3.0,250,8.4,36.9889,129.4153,49.42
1997,1,10,10,8.372,4.3,-5.6,0.0,-0.5,72.8,3.5,270,8.0,36.9889,129.4153,49.42
1997,1,11,11,6.181,4.9,-2.7,0.0,0.9,84.4,3.1,290,4.6,36.9889,129.4153,49.42
1997,1,12,12,8.846,7.9,-2.7,0.0,2.8,72.6,3.3,270,8.6,36.9889,129.4153,49.42
1997,1,13,13,8.757,11.8,2.2,0.0,6.4,51.4,3.8,270,8.4,36.9889,129.4153,49.42
1997,1,14,14,8.868,7.2,-3.4,0.0,2.5,52.5,4.5,250,8.5,36.9889,129.4153,49.42
1997,1,15,15,8.848,6.3,-4.5,0.0,0.6,47.0,3.0,250,8.4,36.9889,129.4153,49.42
1997,1,16,16,8.695,6.9,-1.7,0.0,1.8,55.5,3.3,270,8.1,36.9889,129.4153,49.42
1997,1,17,17,8.138,9.1,-3.1,0.0,3.0,49.5,4.2,250,7.2,36.9889,129.4153,49.42
1997,1,18,18,9.2,6.6,-2.0,0.0,1.6,40.3,3.3,250,8.7,36.9889,129.4153,49.42
1997,1,19,19,9.322,6.3,-4.0,0.0,0.2,40.5,3.7,270,8.8,36.9889,129.4153,49.42
1997,1,20,20,9.104,9.9,-2.7,0.0,3.3,50.1,3.6,250,8.4,36.9889,129.4153,49.42
1997,1,21,21,5.725,2.1,-8.9,4.7,-4.8,51.9,6.4,320,3.4,36.9889,129.4153,49.42
1997,1,22,22,9.355,4.2,-9.9,0.0,-2.3,35.4,3.5,250,8.6,36.9889,129.4153,49.42
1997,1,23,23,3.444,0.8,-3.4,0.0,-0.5,38.4,5.0,250,0.0,36.9889,129.4153,49.42
1997,1,24,24,9.266,3.3,-5.6,0.0,-1.7,42.6,3.8,250,8.3,36.9889,129.4153,49.42
1997,1,25,25,9.538,7.3,-6.0,0.0,0.3,37.6,4.3,230,8.6,36.9889,129.4153,49.42
1997,1,26,26,9.461,9.0,-1.0,0.0,3.7,43.6,3.9,250,8.4,36.9889,129.4153,49.42
1997,1,27,27,9.809,8.9,-0.5,0.0,3.2,39.3,3.9,250,8.8,36.9889,129.4153,49.42
1997,1,28,28,8.377,3.9,-2.8,0.0,0.5,53.4,5.5,250,6.7,36.9889,129.4153,49.42
1997,1,29,29,10.161,3.5,-4.4,0.0,-1.1,38.8,4.8,250,9.1,36.9889,129.4153,49.42
1997,1,30,30,10.087,3.5,-5.7,0.0,-1.0,45.8,2.6,270,8.9,36.9889,129.4153,49.42
1997,1,31,31,7.832,6.8,-5.3,0.0,0.1,54.8,2.9,270,5.7,36.9889,129.4153,49.42
1997,2,1,32,6.959,3.7,-3.1,0.5,-0.5,77.3,3.1,270,6.2,36.9889,129.4153,49.42
1997,2,2,33,8.125,8.5,-4.9,0.0,0.1,57.3,4.1,250,8.0,36.9889,129.4153,49.42
1997,2,3,34,5.405,1.6,-3.8,1.8,-1.0,84.6,4.4,320,3.7,36.9889,129.4153,49.42
1997,2,4,35,6.704,4.2,-6.3,0.0,-1.0,72.0,2.8,270,5.7,36.9889,129.4153,49.42
1997,2,5,36,8.14,9.7,-3.8,0.0,3.0,51.8,3.2,270,7.9,36.9889,129.4153,49.42
1997,2,6,37,7.333,5.4,-2.3,0.0,1.3,56.3,4.3,250,6.6,36.9889,129.4153,49.42
1997,2,7,38,6.974,9.1,-3.6,0.0,2.6,47.1,4.0,250,6.0,36.9889,129.4153,49.42
1997,2,8,39,8.689,12.0,-2.5,0.0,3.3,43.8,3.1,270,8.6,36.9889,129.4153,49.42
1997,2,9,40,7.229,9.4,-2.6,0.0,3.3,65.8,3.5,270,6.3,36.9889,129.4153,49.42
1997,2,10,41,7.588,10.0,-1.7,0.0,3.4,53.6,4.1,290,6.8,36.9889,129.4153,49.42
1997,2,11,42,8.148,4.8,-3.5,0.0,-0.2,48.3,5.8,270,7.6,36.9889,129.4153,49.42
