year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1991,1,1,1,1.35,2.7,-1.6,1.7,0.7,92.3,1.4,340,0.0,36.6363,127.4428,57.36
1991,1,2,2,9.95,-1.6,-7.2,0.0,-4.1,48.3,3.1,360,7.5,36.6363,127.4428,57.36
1991,1,3,3,8.83,2.3,-10.8,1.5,-4.5,74.5,2.3,320,6.7,36.6363,127.4428,57.36
1991,1,4,4,9.46,-3.1,-9.7,0.0,-6.6,60.0,2.1,20,7.3,36.6363,127.4428,57.36
1991,1,5,5,8.4,-4.5,-12.9,0.2,-8.6,73.5,1.9,360,5.3,36.6363,127.4428,57.36
1991,1,6,6,9.56,0.0,-12.7,0.0,-7.1,82.0,0.7,70,7.8,36.6363,127.4428,57.36
1991,1,7,7,1.09,-0.7,-5.8,4.6,-3.5,86.5,1.6,90,0.0,36.6363,127.4428,57.36
1991,1,8,8,10.35,-2.4,-11.7,0.0,-7.1,75.8,1.2,360,7.6,36.6363,127.4428,57.36
1991,1,9,9,9.88,2.3,-15.8,0.0,-7.9,78.8,0.6,270,7.7,36.6363,127.4428,57.36
1991,1,10,10,6.58,4.4,-4.6,0.0,-0.8,81.5,1.7,20,2.7,36.6363,127.4428,57.36
1991,1,11,11,8.29,2.9,-6.0,0.0,-1.9,70.5,1.4,270,6.2,36.6363,127.4428,57.36
1991,1,12,12,7.23,2.6,-7.4,0.0,-3.2,72.3,1.9,360,6.1,36.6363,127.4428,57.36
1991,1,13,13,10.04,-0.9,-10.7,0.0,-6.1,63.8,1.7,360,8.1,36.6363,127.4428,57.36
1991,1,14,14,5.98,-2.2,-12.3,0.0,-7.5,72.5,0.7,270,4.6,36.6363,127.4428,57.36
1991,1,15,15,5.9,1.3,-11.8,0.0,-5.5,82.5,0.9,90,3.6,36.6363,127.4428,57.36
1991,1,16,16,8.39,8.3,-9.7,0.0,-1.5,81.3,1.5,270,6.6,36.6363,127.4428,57.36
1991,1,17,17,11.01,4.2,-5.7,1.8,-0.4,63.0,2.8,360,8.5,36.6363,127.4428,57.36
1991,1,18,18,11.02,1.6,-9.7,0.0,-4.5,69.0,1.1,90,8.5,36.6363,127.4428,57.36
1991,1,19,19,9.6,7.2,-9.7,0.0,-2.2,77.0,0.8,70,7.0,36.6363,127.4428,57.36
1991,1,20,20,10.69,8.5,-6.7,0.0,0.6,66.0,1.4,70,7.8,36.6363,127.4428,57.36
1991,1,21,21,2.24,4.6,2.0,3.5,3.2,75.0,1.6,90,0.0,36.6363,127.4428,57.36
1991,1,22,22,1.14,4.0,1.5,2.3,2.5,92.0,2.3,90,0.0,36.6363,127.4428,57.36
1991,1,23,23,6.98,7.9,-0.5,0.0,2.1,91.3,1.4,20,3.6,36.6363,127.4428,57.36
1991,1,24,24,1.38,3.0,-0.6,5.6,1.0,94.0,1.3,340,0.0,36.6363,127.4428,57.36
1991,1,25,25,10.62,4.1,-4.2,0.0,0.4,75.8,2.5,20,8.3,36.6363,127.4428,57.36
1991,1,26,26,12.35,3.2,-6.8,0.0,-2.6,68.8,1.7,20,8.7,36.6363,127.4428,57.36
1991,1,27,27,12.23,3.9,-6.4,0.0,-2.3,67.8,1.4,20,8.6,36.6363,127.4428,57.36
1991,1,28,28,12.51,5.4,-8.0,0.0,-2.0,71.3,1.1,90,7.3,36.6363,127.4428,57.36
1991,1,29,29,11.59,8.1,-5.3,0.0,-0.1,69.5,1.0,70,8.5,36.6363,127.4428,57.36
1991,1,30,30,10.46,7.1,-6.2,0.0,-0.8,73.8,1.1,20,8.0,36.6363,127.4428,57.36
1991,1,31,31,11.86,6.4,-6.9,0.0,-1.4,72.8,1.5,270,6.9,36.6363,127.4428,57.36
1991,2,1,32,8.1,2.9,-7.3,0.0,-2.8,74.5,1.7,20,6.6,36.6363,127.4428,57.36
1991,2,2,33,12.71,5.2,-9.4,0.0,-3.2,68.8,1.3,270,8.7,36.6363,127.4428,57.36
1991,2,3,34,9.67,4.8,-8.7,0.0,-2.8,75.8,1.0,270,8.2,36.6363,127.4428,57.36
1991,2,4,35,9.91,3.8,-2.6,1.0,0.0,70.5,3.0,360,6.3,36.6363,127.4428,57.36
1991,2,5,36,12.84,5.4,-7.8,0.0,-1.8,68.0,1.7,20,8.8,36.6363,127.4428,57.36
1991,2,6,37,11.07,6.6,-8.1,0.0,-1.3,79.3,0.8,270,6.8,36.6363,127.4428,57.36
1991,2,7,38,6.36,7.9,-3.8,3.4,1.5,88.5,2.0,270,4.1,36.6363,127.4428,57.36
1991,2,8,39,13.5,7.7,-4.2,0.0,0.9,66.8,1.6,290,9.4,36.6363,127.4428,57.36
1991,2,9,40,5.89,7.5,-4.9,4.2,1.4,77.8,1.6,90,3.1,36.6363,127.4428,57.36
1991,2,10,41,1.69,4.6,0.6,8.2,3.0,96.5,1.9,360,0.0,36.6363,127.4428,57.36
1991,2,11,42,3.68,4.3,-0.5,1.7,2.2,91.8,1.7,340,1.6,36.6363,127.4428,57.36
1991,2,12,43,13.23,8.2,-4.2,0.0,0.9,68.5,1.3,290,9.0,36.6363,127.4428,57.36
1991,2,13,44,5.81,8.4,-1.7,0.0,1.7,74.3,0.9,50,2.6,36.6363,127.4428,57.36
1991,2,14,45,8.01,11.2,-3.2,0.2,4.2,72.3,2.1,180,4.8,36.6363,127.4428,57.36
1991,2,15,46,2.4,6.1,1.2,15.8,2.9,95.3,2.2,360,0.0,36.6363,127.4428,57.36
1991,2,16,47,11.85,6.0,-3.2,0.0,1.5,74.5,1.8,50,8.1,36.6363,127.4428,57.36
1991,2,17,48,11.51,5.6,-5.5,0.0,-0.3,58.0,1.6,70,9.8,36.6363,127.4428,57.36
1991,2,18,49,4.28,4.0,-3.3,0.0,0.1,76.0,2.2,270,0.0,36.6363,127.4428,57.36
1991,2,19,50,14.65,0.2,-5.5,0.0,-2.8,53.5,4.0,360,9.3,36.6363,127.4428,57.36
1991,2,20,51,9.79,1.5,-8.5,2.5,-3.7,83.3,2.7,270,6.7,36.6363,127.4428,57.36
1991,2,21,52,10.61,-2.9,-9.9,2.0,-5.6,73.5,3.7,360,7.2,36.6363,127.4428,57.36
1991,2,22,53,12.01,-6.5,-12.0,2.2,-9.1,79.3,3.0,20,6.4,36.6363,127.4428,57.36
1991,2,23,54,15.58,-4.4,-15.8,0.0,-10.8,73.5,1.4,20,10.0,36.6363,127.4428,57.36
1991,2,24,55,16.58,-2.3,-17.2,0.0,-9.8,74.3,1.5,360,10.0,36.6363,127.4428,57.36
1991,2,25,56,16.78,3.2,-14.6,0.0,-5.6,73.5,1.3,20,10.2,36.6363,127.4428,57.36
1991,2,26,57,12.78,6.4,-7.6,0.0,-1.2,78.8,1.1,270,8.4,36.6363,127.4428,57.36
1991,2,27,58,4.04,4.9,-3.1,5.2,1.0,92.8,0.8,90,2.4,36.6363,127.4428,57.36
