year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1992,1,1,1,4.92,6.2,-0.6,0.0,2.2,66.8,0.5,50,1.3,36.369,127.3742,68.28
1992,1,2,2,5.39,6.6,-3.9,0.0,0.8,69.5,1.1,270,3.3,36.369,127.3742,68.28
1992,1,3,3,8.94,5.1,-4.6,0.0,-0.5,66.0,1.0,270,6.0,36.369,127.3742,68.28
1992,1,4,4,9.29,5.0,-6.2,0.0,-1.5,70.0,0.6,50,7.3,36.369,127.3742,68.28
1992,1,5,5,4.03,2.5,-4.4,0.0,-0.7,74.0,0.6,20,0.0,36.369,127.3742,68.28
1992,1,6,6,4.64,7.8,0.8,3.7,4.0,83.8,0.6,340,0.8,36.369,127.3742,68.28
1992,1,7,7,4.03,5.9,-0.3,0.5,3.7,74.8,2.5,270,1.3,36.369,127.3742,68.28
1992,1,8,8,5.34,4.9,-2.4,0.0,1.5,72.8,0.8,50,0.5,36.369,127.3742,68.28
1992,1,9,9,5.54,5.2,-1.2,0.2,1.7,70.3,1.6,270,1.6,36.369,127.3742,68.28
1992,1,10,10,8.7,6.6,-4.9,0.2,0.1,71.3,0.7,140,7.3,36.369,127.3742,68.28
1992,1,11,11,6.99,6.0,-5.4,0.0,-0.5,63.5,0.5,20,7.1,36.369,127.3742,68.28
1992,1,12,12,5.05,7.1,-5.1,0.0,0.7,71.0,0.8,250,1.9,36.369,127.3742,68.28
1992,1,13,13,2.95,5.4,0.0,0.0,2.0,74.0,1.1,320,0.7,36.369,127.3742,68.28
1992,1,14,14,6.52,5.5,-2.5,0.6,0.6,69.0,0.8,320,4.4,36.369,127.3742,68.28
1992,1,15,15,8.53,4.9,-6.1,0.0,-1.2,67.0,0.8,50,5.7,36.369,127.3742,68.28
1992,1,16,16,3.3,3.9,-0.4,1.7,1.0,68.0,2.0,250,1.0,36.369,127.3742,68.28
1992,1,17,17,6.4,0.6,-4.0,0.2,-1.4,52.5,3.6,290,4.7,36.369,127.3742,68.28
1992,1,18,18,10.3,0.7,-5.1,0.0,-2.8,42.0,3.6,320,8.2,36.369,127.3742,68.28
1992,1,19,19,10.31,3.0,-9.3,0.0,-3.8,53.0,1.0,320,8.1,36.369,127.3742,68.28
1992,1,20,20,9.29,4.9,-9.2,0.0,-3.1,56.0,0.5,70,7.8,36.369,127.3742,68.28
1992,1,21,21,8.25,6.2,-6.7,0.0,-0.5,57.5,0.8,250,5.9,36.369,127.3742,68.28
1992,1,22,22,9.62,4.8,-1.6,0.0,1.8,57.0,2.9,250,7.1,36.369,127.3742,68.28
1992,1,23,23,7.98,2.5,-5.2,0.0,-0.7,57.0,1.8,250,5.4,36.369,127.3742,68.28
1992,1,24,24,6.06,6.4,-3.2,0.0,0.7,61.3,1.3,250,3.0,36.369,127.3742,68.28
