year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1985,1,1,1,9.38,3.3,-7.8,0.0,-2.7,69.8,3.0,250,8.1,36.217,127.9967,242.53
1985,1,2,2,6.56,3.8,-8.3,0.0,-2.6,65.8,1.2,140,4.0,36.217,127.9967,242.53
1985,1,3,3,9.48,5.7,-4.6,0.0,0.0,57.5,4.2,270,7.3,36.217,127.9967,242.53
1985,1,4,4,10.45,-0.2,-5.9,0.0,-3.4,52.8,6.2,270,8.5,36.217,127.9967,242.53
1985,1,5,5,9.97,-1.4,-8.7,0.0,-5.3,48.0,5.9,250,8.8,36.217,127.9967,242.53
1985,1,6,6,9.63,0.5,-6.1,0.0,-3.5,50.3,4.4,250,6.9,36.217,127.9967,242.53
1985,1,7,7,9.47,-2.7,-8.9,0.0,-6.2,49.5,5.0,270,8.1,36.217,127.9967,242.53
1985,1,8,8,8.96,-0.8,-10.4,0.0,-5.4,56.3,5.1,270,8.8,36.217,127.9967,242.53
1985,1,9,9,9.24,1.8,-9.7,0.3,-3.8,75.0,2.5,270,7.5,36.217,127.9967,242.53
1985,1,10,10,6.24,-1.0,-8.9,0.8,-4.3,73.8,4.4,270,2.7,36.217,127.9967,242.53
1985,1,11,11,9.92,3.5,-13.0,0.0,-4.8,60.3,1.2,90,7.9,36.217,127.9967,242.53
1985,1,12,12,6.8,1.2,-9.5,4.7,-3.3,60.3,4.0,270,4.2,36.217,127.9967,242.53
1985,1,13,13,7.33,-6.8,-13.5,0.1,-10.7,61.0,3.4,270,4.9,36.217,127.9967,242.53
1985,1,14,14,12.03,-6.5,-15.4,0.1,-11.5,54.8,4.4,270,8.7,36.217,127.9967,242.53
1985,1,15,15,6.07,1.4,-17.2,1.6,-6.4,81.3,3.0,270,2.2,36.217,127.9967,242.53
1985,1,16,16,12.29,-3.6,-11.9,0.0,-8.3,49.5,6.1,270,8.9,36.217,127.9967,242.53
1985,1,17,17,11.42,-2.4,-13.0,0.0,-9.3,51.5,3.7,250,8.7,36.217,127.9967,242.53
1985,1,18,18,10.67,4.5,-14.4,0.0,-6.5,58.0,0.8,50,8.8,36.217,127.9967,242.53
1985,1,19,19,1.47,1.7,-6.8,4.8,-2.9,74.0,1.9,140,0.0,36.217,127.9967,242.53
1985,1,20,20,10.7,1.4,-5.5,0.0,-1.0,55.8,7.2,270,7.8,36.217,127.9967,242.53
1985,1,21,21,10.64,5.6,-12.0,0.0,-2.6,60.5,1.4,180,6.6,36.217,127.9967,242.53
1985,1,22,22,7.09,5.3,-2.0,0.0,1.1,51.8,3.5,270,3.1,36.217,127.9967,242.53
1985,1,23,23,10.3,2.8,-4.9,0.0,-1.8,62.0,6.0,270,7.5,36.217,127.9967,242.53
1985,1,24,24,10.59,-0.7,-7.0,0.0,-4.4,47.8,6.6,270,7.0,36.217,127.9967,242.53
1985,1,25,25,12.74,1.1,-9.7,0.0,-4.3,51.3,3.2,250,8.9,36.217,127.9967,242.53
1985,1,26,26,11.49,5.0,-7.4,0.0,-1.7,72.3,1.7,250,8.5,36.217,127.9967,242.53
1985,1,27,27,4.25,4.8,-5.3,1.2,-1.6,85.5,3.0,270,0.8,36.217,127.9967,242.53
1985,1,28,28,12.19,-3.7,-9.6,0.0,-6.6,53.0,6.6,270,8.4,36.217,127.9967,242.53
1985,1,29,29,5.68,-7.6,-13.7,0.2,-10.6,68.3,4.2,270,2.6,36.217,127.9967,242.53
1985,1,30,30,13.27,-5.8,-14.1,0.0,-10.3,56.8,6.5,250,9.1,36.217,127.9967,242.53
1985,1,31,31,6.86,0.7,-10.7,0.0,-3.5,67.0,4.8,270,3.8,36.217,127.9967,242.53
1985,2,1,32,9.17,7.2,0.1,0.0,3.4,56.5,7.1,270,7.5,36.217,127.9967,242.53
1985,2,2,33,12.49,9.0,-6.2,0.0,0.8,58.0,2.1,270,9.2,36.217,127.9967,242.53
1985,2,3,34,12.44,6.4,-2.6,0.0,2.6,52.0,3.7,270,8.2,36.217,127.9967,242.53
1985,2,4,35,7.12,6.3,-5.8,0.0,0.4,56.5,1.7,20,4.1,36.217,127.9967,242.53
1985,2,5,36,4.75,5.5,-2.0,0.9,1.7,86.3,0.9,90,0.0,36.217,127.9967,242.53
1985,2,6,37,10.73,10.5,-4.5,0.0,1.8,70.5,2.4,250,9.0,36.217,127.9967,242.53
1985,2,7,38,12.33,12.8,-2.4,0.0,3.3,60.8,1.1,360,9.2,36.217,127.9967,242.53
1985,2,8,39,5.63,8.7,0.9,0.0,4.6,76.0,2.8,70,0.8,36.217,127.9967,242.53
1985,2,9,40,4.08,5.7,2.1,15.3,3.8,87.5,2.6,70,0.0,36.217,127.9967,242.53
1985,2,10,41,3.43,2.1,0.2,6.5,1.4,83.8,3.7,270,1.6,36.217,127.9967,242.53
1985,2,11,42,10.9,5.7,-0.9,0.0,1.5,67.3,2.6,270,5.5,36.217,127.9967,242.53
1985,2,12,43,7.8,3.8,-1.1,0.1,1.3,73.8,4.3,270,2.9,36.217,127.9967,242.53
1985,2,13,44,9.59,1.6,-5.0,0.8,-1.2,69.0,8.1,270,5.5,36.217,127.9967,242.53
1985,2,14,45,14.36,3.6,-6.7,0.0,-2.3,52.5,5.0,270,9.8,36.217,127.9967,242.53
1985,2,15,46,8.68,6.7,-3.8,0.0,1.0,54.5,1.1,70,4.0,36.217,127.9967,242.53
1985,2,16,47,11.0,3.6,-3.7,0.6,0.3,62.0,4.3,270,6.0,36.217,127.9967,242.53
1985,2,17,48,13.86,5.6,-6.5,0.0,-0.8,63.3,1.9,50,9.1,36.217,127.9967,242.53
1985,2,18,49,2.62,0.8,-0.8,1.6,0.0,85.5,2.4,70,0.0,36.217,127.9967,242.53
1985,2,19,50,9.45,9.5,0.8,0.5,3.9,74.5,2.9,90,4.4,36.217,127.9967,242.53
1985,2,20,51,10.69,3.8,-6.0,5.2,-2.1,72.3,8.5,270,3.4,36.217,127.9967,242.53
1985,2,21,52,10.05,-4.7,-8.5,0.9,-6.4,62.3,6.8,270,4.9,36.217,127.9967,242.53
1985,2,22,53,13.52,-3.0,-9.6,0.1,-6.9,63.3,4.9,270,8.1,36.217,127.9967,242.53
1985,2,23,54,11.35,-3.9,-8.7,0.6,-6.8,67.3,6.3,270,5.2,36.217,127.9967,242.53
1985,2,24,55,14.67,-1.1,-9.7,0.1,-5.8,57.3,5.6,270,9.4,36.217,127.9967,242.53
1985,2,25,56,11.1,1.5,-8.9,0.0,-3.5,52.0,3.2,270,9.5,36.217,127.9967,242.53
1985,2,26,57,8.72,4.5,-4.7,0.0,-1.1,52.5,2.0,270,3.6,36.217,127.9967,242.53
1985,2,27,58,4.66,5.4,-3.0,2.5,1.1,69.0,3.5,70,0.0,36.217,127.9967,242.53
1985,2,28,59,5.17,5.2,0.4,2.0,2.4,82.3,2.0,70,0.0,36.217,127.9967,242.53
1985,3,1,60,6.19,9.5,0.7,0.0,4.3,73.8,0.6,140,0.3,36.217,127.9967,242.53
1985,3,2,61,1.24,5.7,2.1,4.0,4.3,86.5,1.5,270,0.0,36.217,127.9967,242.53
1985,3,3,62,12.68,9.8,-0.8,0.0,3.3,63.3,2.8,270,8.3,36.217,127.9967,242.53
1985,3,4,63,11.84,7.1,-1.8,0.0,2.5,45.3,3.7,250,8.8,36.217,127.9967,242.53
1985,3,5,64,14.85,5.1,-3.3,0.0,0.2,47.0,4.7,250,9.8,36.217,127.9967,242.53
1985,3,6,65,10.35,3.6,-4.1,0.0,-0.8,60.0,3.5,270,4.0,36.217,127.9967,242.53
1985,3,7,66,8.98,8.7,-1.1,7.1,2.8,70.3,2.1,270,2.8,36.217,127.9967,242.53
1985,3,8,67,2.05,6.3,2.9,15.9,4.3,90.8,4.3,270,0.0,36.217,127.9967,242.53
1985,3,9,68,16.98,3.6,-4.2,0.0,0.4,45.3,6.6,270,8.7,36.217,127.9967,242.53
1985,3,10,69,13.13,5.2,-7.0,0.0,-1.2,54.8,2.8,270,6.2,36.217,127.9967,242.53
1985,3,11,70,11.75,5.9,-1.5,0.0,1.1,55.3,4.1,250,5.4,36.217,127.9967,242.53
1985,3,12,71,17.76,7.9,-4.9,0.0,1.2,56.0,3.2,250,9.7,36.217,127.9967,242.53
1985,3,13,72,10.94,9.5,-1.7,0.0,3.0,67.3,2.2,250,3.9,36.217,127.9967,242.53
1985,3,14,73,17.21,10.2,-2.3,0.0,3.7,55.0,3.7,250,10.0,36.217,127.9967,242.53
1985,3,15,74,9.5,9.1,0.5,0.0,4.1,69.8,3.0,90,4.3,36.217,127.9967,242.53
1985,3,16,75,10.92,8.5,-1.7,5.0,3.0,77.5,1.8,70,3.5,36.217,127.9967,242.53
1985,3,17,76,15.79,13.0,0.4,3.5,5.9,70.0,4.0,250,8.5,36.217,127.9967,242.53
1985,3,18,77,11.02,14.2,1.0,0.0,7.5,54.8,2.4,70,5.2,36.217,127.9967,242.53
1985,3,19,78,14.95,14.2,3.2,1.0,7.3,71.8,1.5,20,6.6,36.217,127.9967,242.53
1985,3,20,79,12.0,16.5,2.9,0.0,8.3,57.0,1.3,20,6.1,36.217,127.9967,242.53
1985,3,21,80,17.67,13.8,2.0,0.0,7.8,43.5,4.0,250,9.9,36.217,127.9967,242.53
1985,3,22,81,14.01,14.1,-1.8,0.0,5.5,67.0,1.8,50,6.3,36.217,127.9967,242.53
1985,3,23,82,14.85,14.9,4.1,0.0,8.4,64.5,3.1,50,6.9,36.217,127.9967,242.53
1985,3,24,83,18.45,16.0,0.5,0.0,8.6,64.3,2.8,50,10.5,36.217,127.9967,242.53
1985,3,25,84,2.38,12.2,4.8,18.1,8.4,84.3,4.0,270,0.0,36.217,127.9967,242.53
1985,3,26,85,18.81,16.6,3.1,0.1,9.8,59.5,3.3,270,9.5,36.217,127.9967,242.53
1985,3,27,86,6.38,11.7,4.1,8.1,7.2,83.3,3.2,20,0.9,36.217,127.9967,242.53
1985,3,28,87,16.54,12.5,4.0,0.0,6.8,68.5,4.7,250,7.6,36.217,127.9967,242.53
1985,3,29,88,18.19,7.7,-0.6,0.0,3.4,57.0,6.9,270,9.8,36.217,127.9967,242.53
1985,3,30,89,20.08,8.6,-1.5,0.0,2.7,51.3,6.4,270,11.0,36.217,127.9967,242.53
