year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2022,1,1,1,10.49,1.1,-14.2,0.0,-6.1,41.5,0.7,230,9.1,36.5701,128.7095,139.39
2022,1,2,2,7.63,5.8,-11.2,0.0,-2.9,50.5,1.1,290,6.1,36.5701,128.7095,139.39
2022,1,3,3,10.95,3.5,-11.4,0.0,-2.7,49.3,1.7,290,8.6,36.5701,128.7095,139.39
2022,1,4,4,11.08,5.8,-5.5,0.0,0.3,40.6,1.7,270,9.0,36.5701,128.7095,139.39
2022,1,5,5,6.41,4.0,-9.5,0.0,-2.3,54.0,0.5,250,4.0,36.5701,128.7095,139.39
2022,1,6,6,11.06,7.4,-5.0,0.0,-0.1,45.5,1.6,290,9.1,36.5701,128.7095,139.39
2022,1,7,7,11.01,6.0,-10.4,0.0,-2.9,47.3,0.7,140,9.1,36.5701,128.7095,139.39
2022,1,8,8,10.84,7.0,-10.7,0.0,-1.1,52.4,1.3,270,8.9,36.5701,128.7095,139.39
2022,1,9,9,8.53,7.1,-3.3,0.0,1.7,62.5,0.6,250,6.9,36.5701,128.7095,139.39
2022,1,10,10,9.04,7.3,-6.5,0.0,0.5,58.5,0.9,290,7.1,36.5701,128.7095,139.39
2022,1,11,11,11.57,2.4,-8.0,0.0,-3.3,41.3,4.2,290,8.8,36.5701,128.7095,139.39
2022,1,12,12,11.93,-1.0,-10.7,0.0,-5.9,36.0,3.3,290,9.0,36.5701,128.7095,139.39
2022,1,13,13,11.67,-1.3,-9.4,0.0,-5.5,36.1,3.7,290,8.9,36.5701,128.7095,139.39
2022,1,14,14,12.08,2.0,-12.7,0.0,-5.6,37.8,1.3,290,8.9,36.5701,128.7095,139.39
2022,1,15,15,9.64,5.5,-9.7,0.0,-1.9,45.3,0.6,140,6.1,36.5701,128.7095,139.39
2022,1,16,16,11.39,4.5,-5.0,0.0,0.3,41.4,2.9,290,7.9,36.5701,128.7095,139.39
2022,1,17,17,11.56,2.4,-7.5,0.0,-3.1,43.6,3.4,290,7.7,36.5701,128.7095,139.39
2022,1,18,18,12.46,1.0,-10.2,0.0,-4.8,36.8,1.8,290,8.9,36.5701,128.7095,139.39
2022,1,19,19,9.56,3.0,-13.2,0.0,-4.6,56.4,1.6,320,6.9,36.5701,128.7095,139.39
2022,1,20,20,12.73,4.0,-9.2,0.0,-3.6,50.4,1.1,250,8.9,36.5701,128.7095,139.39
2022,1,21,21,12.93,5.6,-11.9,0.0,-3.6,50.5,0.5,140,8.2,36.5701,128.7095,139.39
2022,1,22,22,7.92,7.5,-8.2,0.0,-0.3,58.9,0.6,140,3.6,36.5701,128.7095,139.39
2022,1,23,23,9.24,10.6,-0.9,0.0,4.5,59.8,0.8,140,5.9,36.5701,128.7095,139.39
2022,1,24,24,6.21,5.9,-2.3,0.0,2.4,61.8,1.6,110,2.9,36.5701,128.7095,139.39
2022,1,25,25,2.63,2.5,-0.9,0.0,0.8,78.8,0.9,320,0.0,36.5701,128.7095,139.39
