year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2021,1,1,1,3.803,-1.0,-8.5,0.5,-4.2,79.8,1.6,250,1.1,36.4,128.14999,100.0
2021,1,2,2,7.96,0.5,-5.5,0.0,-3.1,56.5,2.1,250,7.5,36.4,128.14999,100.0
2021,1,3,3,7.659,1.0,-7.0,0.0,-3.2,47.8,2.6,250,7.0,36.4,128.14999,100.0
2021,1,4,4,8.334,4.0,-7.4,0.0,-2.0,59.8,1.5,270,8.0,36.4,128.14999,100.0
2021,1,5,5,7.122,1.3,-7.6,0.0,-2.7,51.8,2.4,270,6.1,36.4,128.14999,100.0
2021,1,6,6,8.392,-0.3,-10.1,0.3,-5.6,57.0,2.0,270,8.0,36.4,128.14999,100.0
2021,1,7,7,8.358,-4.0,-15.4,2.0,-11.8,42.3,4.3,290,7.9,36.4,128.14999,100.0
2021,1,8,8,8.523,-7.8,-16.3,0.0,-12.8,45.0,2.8,270,8.1,36.4,128.14999,100.0
2021,1,9,9,8.558,-5.7,-14.7,0.0,-10.6,51.0,2.7,250,8.1,36.4,128.14999,100.0
2021,1,10,10,8.396,-0.4,-10.9,0.0,-6.9,48.9,2.3,270,7.8,36.4,128.14999,100.0
2021,1,11,11,3.368,-3.0,-11.1,0.0,-6.8,65.5,0.9,200,0.2,36.4,128.14999,100.0
2021,1,12,12,7.537,2.9,-9.0,0.0,-2.3,64.1,1.2,200,6.4,36.4,128.14999,100.0
2021,1,13,13,8.582,10.6,-6.1,0.0,2.6,71.9,1.3,250,7.9,36.4,128.14999,100.0
2021,1,14,14,8.827,9.8,-2.6,0.0,3.2,46.6,1.3,360,8.2,36.4,128.14999,100.0
2021,1,15,15,5.687,12.7,-4.4,0.0,3.7,59.8,1.4,270,3.5,36.4,128.14999,100.0
2021,1,16,16,7.422,3.9,-5.2,0.0,-1.2,52.9,3.3,270,6.0,36.4,128.14999,100.0
2021,1,17,17,9.037,0.2,-8.0,0.1,-3.7,50.4,1.9,230,8.3,36.4,128.14999,100.0
2021,1,18,18,4.689,2.8,-6.2,1.7,-2.6,67.6,2.5,290,1.9,36.4,128.14999,100.0
2021,1,19,19,9.209,1.6,-10.2,0.0,-5.1,50.1,1.4,270,8.4,36.4,128.14999,100.0
2021,1,20,20,9.193,5.2,-11.9,0.0,-4.1,57.6,0.6,20,8.3,36.4,128.14999,100.0
2021,1,21,21,6.249,8.0,-5.5,3.4,2.0,67.0,0.5,50,4.0,36.4,128.14999,100.0
2021,1,22,22,4.537,9.3,2.4,2.7,5.3,96.3,0.3,320,1.5,36.4,128.14999,100.0
2021,1,23,23,3.512,10.5,4.8,0.0,7.5,81.1,1.5,50,0.0,36.4,128.14999,100.0
2021,1,24,24,8.43,12.1,-0.7,0.0,5.6,75.3,1.0,70,6.9,36.4,128.14999,100.0
2021,1,25,25,8.771,11.5,-1.2,0.0,4.8,76.5,1.1,50,7.3,36.4,128.14999,100.0
2021,1,26,26,4.1,7.1,1.5,3.9,4.2,88.9,1.4,270,0.7,36.4,128.14999,100.0
2021,1,27,27,9.321,9.4,-1.0,0.0,3.5,52.6,2.0,270,7.9,36.4,128.14999,100.0
2021,1,28,28,6.268,8.3,-7.0,1.9,-1.9,60.6,3.5,290,3.6,36.4,128.14999,100.0
2021,1,29,29,10.031,-2.0,-9.7,0.0,-6.3,39.5,4.1,290,8.7,36.4,128.14999,100.0
2021,1,30,30,6.875,7.8,-9.2,0.0,-1.2,47.8,1.7,290,4.3,36.4,128.14999,100.0
2021,1,31,31,10.023,8.6,-7.2,0.0,0.3,55.9,0.9,20,8.5,36.4,128.14999,100.0
2021,2,1,32,4.966,12.5,-1.0,7.9,4.7,79.4,1.8,270,2.9,36.4,128.14999,100.0
2021,2,2,33,8.801,3.8,-5.1,0.0,-2.9,39.1,4.1,270,8.8,36.4,128.14999,100.0
2021,2,3,34,8.827,3.1,-8.2,0.0,-2.6,45.8,2.3,270,8.8,36.4,128.14999,100.0
2021,2,4,35,8.92,3.0,-3.0,0.2,-0.2,40.6,3.2,270,8.9,36.4,128.14999,100.0
2021,2,5,36,6.991,8.2,-6.9,0.0,0.8,44.8,1.4,250,5.9,36.4,128.14999,100.0
2021,2,6,37,6.428,11.9,-3.0,0.0,4.0,65.4,1.4,270,5.0,36.4,128.14999,100.0
2021,2,7,38,8.818,12.0,0.9,0.0,6.9,53.3,2.8,270,8.6,36.4,128.14999,100.0
2021,2,8,39,9.116,3.2,-4.0,0.0,-1.5,40.1,3.3,270,9.0,36.4,128.14999,100.0
2021,2,9,40,9.154,7.0,-5.5,0.0,0.2,38.8,2.6,270,9.0,36.4,128.14999,100.0
2021,2,10,41,8.994,8.9,-5.3,0.0,2.7,60.0,1.9,250,8.7,36.4,128.14999,100.0
2021,2,11,42,8.101,10.6,-2.5,0.0,3.7,67.3,0.9,50,7.3,36.4,128.14999,100.0
2021,2,12,43,8.607,16.1,-2.1,0.0,5.7,56.1,0.9,70,8.0,36.4,128.14999,100.0
2021,2,13,44,9.321,17.6,-2.8,0.0,6.4,49.0,0.7,70,9.0,36.4,128.14999,100.0
2021,2,14,45,4.846,13.5,0.6,0.5,6.8,62.3,0.5,20,2.3,36.4,128.14999,100.0
2021,2,15,46,6.433,8.3,-3.0,0.4,3.1,65.8,4.1,290,4.6,36.4,128.14999,100.0
2021,2,16,47,7.967,2.9,-5.9,0.4,-2.8,54.1,3.3,290,6.8,36.4,128.14999,100.0
2021,2,17,48,8.9,-4.8,-8.5,0.0,-7.1,49.8,6.0,290,8.1,36.4,128.14999,100.0
2021,2,18,49,9.569,-0.6,-9.7,0.0,-5.3,49.1,3.4,290,9.0,36.4,128.14999,100.0
2021,2,19,50,9.761,10.5,-4.9,0.0,3.1,54.4,2.9,270,9.2,36.4,128.14999,100.0
2021,2,20,51,9.679,16.7,4.6,0.0,10.7,53.8,2.4,270,9.0,36.4,128.14999,100.0
2021,2,21,52,10.016,24.0,0.3,0.0,13.1,45.3,2.2,250,9.4,36.4,128.14999,100.0
2021,2,22,53,10.076,20.2,3.0,0.0,11.7,41.1,2.8,270,9.4,36.4,128.14999,100.0
2021,2,23,54,10.279,8.9,-1.5,0.0,2.7,31.3,2.9,270,9.6,36.4,128.14999,100.0
2021,2,24,55,9.493,10.6,-1.4,0.0,3.4,37.0,1.1,50,8.4,36.4,128.14999,100.0
2021,2,25,56,3.569,7.7,-2.5,0.1,3.3,70.3,0.5,200,0.0,36.4,128.14999,100.0
2021,2,26,57,10.047,13.9,-0.7,0.0,6.9,62.1,1.6,90,9.0,36.4,128.14999,100.0
2021,2,27,58,6.222,10.3,2.7,0.0,6.3,57.9,2.1,90,3.6,36.4,128.14999,100.0
2021,2,28,59,6.485,10.0,-1.3,0.2,5.4,72.0,0.9,50,3.9,36.4,128.14999,100.0
2021,3,1,60,3.092,9.6,1.9,44.1,6.4,97.0,1.4,20,0.0,36.4,128.14999,100.0
2021,3,2,61,4.139,5.6,-2.3,2.8,1.9,85.3,1.0,290,1.6,36.4,128.14999,100.0
2021,3,3,62,6.75,7.8,-3.8,0.0,1.9,79.8,0.8,320,5.6,36.4,128.14999,100.0
2021,3,4,63,3.256,9.3,-1.7,2.2,3.6,87.0,0.7,70,0.2,36.4,128.14999,100.0
2021,3,5,64,7.187,17.2,2.2,0.0,8.9,78.1,1.0,70,6.2,36.4,128.14999,100.0
2021,3,6,65,4.397,10.1,2.9,0.0,5.9,71.0,2.0,90,1.9,36.4,128.14999,100.0
2021,3,7,66,5.664,9.1,2.2,0.0,4.7,73.4,1.0,50,3.8,36.4,128.14999,100.0
2021,3,8,67,8.853,14.2,-1.2,0.0,5.9,70.9,1.1,50,8.6,36.4,128.14999,100.0
2021,3,9,68,7.698,15.2,1.0,0.0,7.7,59.1,1.7,270,6.8,36.4,128.14999,100.0
2021,3,10,69,9.724,16.7,2.4,0.0,8.6,53.6,1.7,70,9.8,36.4,128.14999,100.0
2021,3,11,70,8.701,18.5,-0.5,0.0,8.8,59.9,0.9,290,8.2,36.4,128.14999,100.0
2021,3,12,71,3.254,9.3,5.9,20.5,7.2,93.4,0.9,20,0.0,36.4,128.14999,100.0
2021,3,13,72,8.447,16.2,2.2,0.0,8.6,72.5,1.5,270,7.7,36.4,128.14999,100.0
2021,3,14,73,8.692,16.0,6.0,0.0,9.7,65.0,1.7,270,8.0,36.4,128.14999,100.0
2021,3,15,74,8.94,18.9,2.0,0.0,11.0,64.8,1.2,140,8.3,36.4,128.14999,100.0
2021,3,16,75,9.805,17.6,6.3,0.3,12.0,51.8,3.2,270,9.5,36.4,128.14999,100.0
2021,3,17,76,10.405,17.7,1.4,0.0,9.5,49.1,1.5,50,10.3,36.4,128.14999,100.0
2021,3,18,77,9.843,17.0,3.0,0.0,10.2,69.3,1.5,70,9.4,36.4,128.14999,100.0
2021,3,19,78,8.587,17.0,7.4,0.0,11.3,62.4,1.9,90,7.5,36.4,128.14999,100.0
2021,3,20,79,3.433,10.1,6.5,2.1,8.2,87.5,1.2,50,0.0,36.4,128.14999,100.0
2021,3,21,80,6.946,10.3,3.5,0.0,6.6,62.4,4.0,270,5.0,36.4,128.14999,100.0
2021,3,22,81,10.777,11.8,1.4,0.0,6.6,45.3,3.2,270,10.4,36.4,128.14999,100.0
2021,3,23,82,11.266,18.4,1.3,0.0,10.2,46.6,2.5,270,11.0,36.4,128.14999,100.0
2021,3,24,83,10.131,19.6,1.7,0.0,11.0,44.0,1.4,270,9.3,36.4,128.14999,100.0
2021,3,25,84,11.407,21.7,4.0,0.0,14.0,47.5,1.6,250,11.0,36.4,128.14999,100.0
2021,3,26,85,11.336,23.8,4.6,0.0,14.6,45.3,1.2,70,10.8,36.4,128.14999,100.0
2021,3,27,86,3.7,15.1,6.5,23.3,10.4,81.9,1.2,320,0.1,36.4,128.14999,100.0
2021,3,28,87,4.239,14.6,8.8,3.1,11.0,85.4,2.1,270,0.8,36.4,128.14999,100.0
2021,3,29,88,10.323,17.8,8.8,0.0,13.0,50.3,2.9,270,9.1,36.4,128.14999,100.0
2021,3,30,89,11.933,21.6,6.7,0.0,13.5,33.4,1.7,270,11.2,36.4,128.14999,100.0
2021,3,31,90,11.792,22.9,2.2,0.0,13.1,47.6,1.2,50,10.9,36.4,128.14999,100.0
2021,4,1,91,8.971,19.8,6.0,0.0,13.1,52.4,2.2,90,9.1,36.4,128.14999,100.0
2021,4,2,92,6.923,21.8,10.3,0.0,15.7,57.4,1.7,70,5.9,36.4,128.14999,100.0
2021,4,3,93,3.114,14.8,12.0,27.5,13.4,88.3,1.1,360,0.0,36.4,128.14999,100.0
2021,4,4,94,3.126,13.3,5.8,19.2,9.5,91.5,1.4,70,0.0,36.4,128.14999,100.0
2021,4,5,95,9.472,17.4,1.7,0.0,9.0,67.3,1.0,290,9.7,36.4,128.14999,100.0
2021,4,6,96,8.982,21.7,2.2,0.0,12.4,51.5,1.7,230,8.9,36.4,128.14999,100.0
2021,4,7,97,10.395,23.5,9.0,0.0,15.9,34.4,2.1,270,11.0,36.4,128.14999,100.0
2021,4,8,98,10.435,20.1,9.1,0.0,14.4,32.0,2.2,270,11.0,36.4,128.14999,100.0
2021,4,9,99,8.624,15.8,3.1,0.0,9.8,56.4,1.9,70,8.2,36.4,128.14999,100.0
2021,4,10,100,10.388,18.9,1.6,0.0,10.0,59.5,0.9,50,10.8,36.4,128.14999,100.0
2021,4,11,101,10.5,22.2,2.9,0.0,12.7,58.1,0.9,340,10.9,36.4,128.14999,100.0
2021,4,12,102,3.254,12.8,9.3,22.3,10.8,79.1,1.0,360,0.0,36.4,128.14999,100.0
2021,4,13,103,7.238,18.2,6.0,0.8,12.0,71.6,2.4,290,5.9,36.4,128.14999,100.0
2021,4,14,104,10.784,17.2,3.5,0.0,10.1,44.5,2.8,250,11.1,36.4,128.14999,100.0
2021,4,15,105,10.499,18.3,2.0,0.0,10.3,47.0,1.1,200,10.6,36.4,128.14999,100.0
2021,4,16,106,4.495,18.0,4.9,0.0,11.4,66.8,1.3,290,1.7,36.4,128.14999,100.0
2021,4,17,107,9.447,17.6,5.5,0.0,10.7,54.4,2.2,290,8.9,36.4,128.14999,100.0
2021,4,18,108,9.294,17.6,6.2,0.0,11.2,50.5,2.5,270,8.6,36.4,128.14999,100.0
2021,4,19,109,11.557,22.1,6.0,0.0,14.6,43.1,2.6,270,11.8,36.4,128.14999,100.0
2021,4,20,110,11.206,26.7,8.5,0.0,18.5,38.5,1.5,270,11.2,36.4,128.14999,100.0
2021,4,21,111,11.132,29.0,9.3,0.0,19.3,48.9,0.9,50,11.0,36.4,128.14999,100.0
2021,4,22,112,9.095,28.5,14.1,0.0,20.8,42.6,1.4,140,8.0,36.4,128.14999,100.0
2021,4,23,113,4.076,20.4,14.1,0.0,16.6,40.9,1.5,70,0.8,36.4,128.14999,100.0
2021,4,24,114,8.076,22.8,10.3,0.0,16.5,52.8,0.9,90,6.4,36.4,128.14999,100.0
2021,4,25,115,11.549,23.1,8.3,0.0,15.3,54.3,1.3,90,11.2,36.4,128.14999,100.0
2021,4,26,116,12.053,21.2,4.5,0.0,13.0,54.8,1.0,290,11.8,36.4,128.14999,100.0
2021,4,27,117,6.655,21.6,7.6,0.0,15.0,59.3,0.8,20,4.2,36.4,128.14999,100.0
2021,4,28,118,7.934,22.0,12.8,0.0,16.9,51.4,1.6,270,5.9,36.4,128.14999,100.0
2021,4,29,119,9.448,22.2,10.9,0.6,15.6,53.1,1.4,270,7.9,36.4,128.14999,100.0
2021,4,30,120,7.241,19.1,11.1,0.1,14.2,57.9,2.6,270,4.8,36.4,128.14999,100.0
2021,5,1,121,4.836,14.9,8.6,2.0,10.3,76.4,1.9,290,2.7,36.4,128.14999,100.0
2021,5,2,122,8.931,19.7,7.3,2.4,12.9,64.3,1.8,250,9.0,36.4,128.14999,100.0
2021,5,3,123,10.645,23.8,5.9,0.0,15.9,50.4,1.6,290,11.6,36.4,128.14999,100.0
2021,5,4,124,3.126,20.9,10.1,7.4,15.2,81.3,1.0,140,0.0,36.4,128.14999,100.0
2021,5,5,125,11.104,21.6,11.3,2.2,16.1,50.5,2.6,270,12.2,36.4,128.14999,100.0
2021,5,6,126,9.309,23.7,4.6,0.0,14.7,54.4,0.9,270,9.4,36.4,128.14999,100.0
2021,5,7,127,8.687,21.3,7.9,0.8,14.4,63.6,1.7,270,8.4,36.4,128.14999,100.0
2021,5,8,128,10.303,25.2,6.1,0.0,16.3,54.1,2.2,270,10.8,36.4,128.14999,100.0
2021,5,9,129,11.403,23.3,10.9,0.0,16.9,44.0,2.7,270,12.4,36.4,128.14999,100.0
2021,5,10,130,3.217,13.1,9.0,15.1,10.6,88.1,0.7,340,0.0,36.4,128.14999,100.0
2021,5,11,131,3.435,18.5,10.5,6.2,13.5,82.5,0.7,20,0.3,36.4,128.14999,100.0
2021,5,12,132,11.284,24.5,8.0,0.0,16.7,61.0,1.0,50,12.0,36.4,128.14999,100.0
2021,5,13,133,11.538,29.2,9.7,0.0,19.8,67.8,0.7,50,12.3,36.4,128.14999,100.0
2021,5,14,134,10.919,29.8,13.8,0.0,22.3,69.1,0.9,140,11.3,36.4,128.14999,100.0
2021,5,15,135,3.315,21.4,16.6,3.9,19.4,90.5,0.7,340,0.0,36.4,128.14999,100.0
2021,5,16,136,3.337,22.9,18.7,53.0,20.6,99.8,0.5,320,0.0,36.4,128.14999,100.0
2021,5,17,137,3.36,18.7,14.6,8.6,15.9,98.0,1.0,50,0.0,36.4,128.14999,100.0
2021,5,18,138,7.644,24.1,14.0,0.0,18.4,79.8,1.0,250,6.2,36.4,128.14999,100.0
2021,5,19,139,11.349,28.9,14.5,0.0,21.2,62.8,1.3,230,11.5,36.4,128.14999,100.0
2021,5,20,140,3.433,17.7,14.5,25.2,15.4,93.6,0.9,20,0.0,36.4,128.14999,100.0
2021,5,21,141,3.459,16.7,13.8,0.8,15.0,91.8,1.6,270,0.0,36.4,128.14999,100.0
2021,5,22,142,12.11,26.7,13.3,0.0,19.7,68.4,1.9,270,12.3,36.4,128.14999,100.0
2021,5,23,143,9.786,27.8,15.5,0.0,21.7,61.9,1.4,250,8.9,36.4,128.14999,100.0
2021,5,24,144,8.288,26.2,16.6,0.0,20.9,51.8,1.8,250,6.7,36.4,128.14999,100.0
