year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1990,1,1,1,4.27,5.6,-2.0,0.0,0.9,60.3,2.0,270,3.1,36.0297,129.382,1.88
1990,1,2,2,8.41,5.8,-1.6,0.0,1.0,59.0,2.6,290,7.7,36.0297,129.382,1.88
1990,1,3,3,8.68,4.1,-3.5,0.0,-0.6,43.3,3.0,270,8.0,36.0297,129.382,1.88
1990,1,4,4,8.98,5.2,-4.6,0.0,-0.6,41.0,3.4,270,8.3,36.0297,129.382,1.88
1990,1,5,5,5.22,9.4,-0.6,0.0,3.9,54.3,2.5,270,3.0,36.0297,129.382,1.88
1990,1,6,6,8.46,7.2,-1.6,0.0,2.1,44.0,2.7,290,8.4,36.0297,129.382,1.88
1990,1,7,7,8.73,7.2,-3.6,0.0,0.6,47.8,2.2,250,8.3,36.0297,129.382,1.88
1990,1,8,8,6.99,12.4,-1.9,0.0,4.5,54.3,1.8,250,4.7,36.0297,129.382,1.88
1990,1,9,9,2.46,12.8,4.8,2.4,7.9,79.8,1.2,250,0.4,36.0297,129.382,1.88
1990,1,10,10,3.34,13.3,3.8,0.0,8.7,73.3,2.4,270,3.0,36.0297,129.382,1.88
1990,1,11,11,7.55,11.6,1.7,0.0,6.0,71.0,1.7,270,7.2,36.0297,129.382,1.88
1990,1,12,12,6.65,8.7,1.6,0.0,5.1,59.3,2.2,320,7.4,36.0297,129.382,1.88
1990,1,13,13,9.02,6.8,-2.0,0.0,0.5,37.0,3.0,270,8.4,36.0297,129.382,1.88
1990,1,14,14,8.06,5.9,-4.1,0.0,-0.1,35.3,2.9,250,5.2,36.0297,129.382,1.88
1990,1,15,15,3.41,3.7,-1.9,0.0,0.9,51.5,1.7,270,0.0,36.0297,129.382,1.88
1990,1,16,16,9.16,7.5,-3.2,0.0,1.2,40.3,2.8,270,8.4,36.0297,129.382,1.88
1990,1,17,17,9.23,9.0,-1.5,0.0,2.4,51.0,2.6,270,8.1,36.0297,129.382,1.88
1990,1,18,18,4.3,11.5,3.3,0.0,6.8,51.5,2.8,270,0.8,36.0297,129.382,1.88
1990,1,19,19,7.69,6.9,-2.7,0.0,2.5,33.0,3.5,270,6.8,36.0297,129.382,1.88
1990,1,20,20,10.53,1.8,-6.8,0.0,-3.2,31.3,3.3,270,8.6,36.0297,129.382,1.88
1990,1,21,21,9.77,4.7,-6.0,0.0,-1.7,36.3,2.5,250,8.5,36.0297,129.382,1.88
1990,1,22,22,10.14,2.4,-8.2,0.0,-1.7,37.8,4.0,270,8.5,36.0297,129.382,1.88
1990,1,23,23,10.53,0.0,-10.0,0.0,-6.3,30.3,3.4,270,8.3,36.0297,129.382,1.88
1990,1,24,24,10.73,-3.2,-9.4,0.0,-7.6,30.8,3.7,270,8.7,36.0297,129.382,1.88
1990,1,25,25,10.28,-1.9,-11.1,0.0,-7.6,35.3,2.8,270,8.8,36.0297,129.382,1.88
1990,1,26,26,8.35,1.7,-11.0,0.0,-6.0,27.5,3.4,270,6.6,36.0297,129.382,1.88
1990,1,27,27,9.08,4.1,-7.5,0.0,-2.7,37.5,2.0,270,8.1,36.0297,129.382,1.88
1990,1,28,28,4.01,5.8,-4.9,2.8,0.1,71.5,1.3,250,1.4,36.0297,129.382,1.88
1990,1,29,29,1.82,9.2,2.4,5.1,4.8,90.5,2.4,20,0.7,36.0297,129.382,1.88
1990,1,30,30,0.27,4.6,2.9,9.0,3.8,84.5,6.2,90,0.0,36.0297,129.382,1.88
1990,1,31,31,1.08,4.1,2.9,11.2,3.4,89.3,7.3,70,0.0,36.0297,129.382,1.88
1990,2,1,32,1.7,3.4,0.8,16.8,1.8,92.8,3.8,360,0.0,36.0297,129.382,1.88
1990,2,2,33,9.21,8.6,-1.2,0.0,3.3,73.8,1.9,270,5.2,36.0297,129.382,1.88
1990,2,3,34,7.23,7.8,1.3,0.0,3.7,58.5,3.3,270,3.9,36.0297,129.382,1.88
1990,2,4,35,0.27,5.6,2.5,3.8,4.9,76.0,4.4,70,0.0,36.0297,129.382,1.88
1990,2,5,36,4.47,8.6,1.2,0.0,4.3,77.8,1.3,270,4.0,36.0297,129.382,1.88
1990,2,6,37,9.04,12.4,2.8,0.0,6.1,58.3,1.5,270,5.0,36.0297,129.382,1.88
1990,2,7,38,5.37,9.7,0.7,0.0,4.6,60.5,2.5,20,3.4,36.0297,129.382,1.88
1990,2,8,39,0.41,7.4,4.6,9.7,5.7,89.3,2.8,20,0.0,36.0297,129.382,1.88
1990,2,9,40,9.54,12.4,3.6,0.2,7.2,75.5,1.2,270,5.4,36.0297,129.382,1.88
1990,2,10,41,0.01,7.5,4.5,20.1,6.2,91.5,0.4,250,0.0,36.0297,129.382,1.88
1990,2,11,42,10.84,10.8,4.5,0.2,7.1,58.0,1.3,270,8.7,36.0297,129.382,1.88
1990,2,12,43,12.55,8.6,1.5,0.0,4.9,36.5,2.2,270,8.7,36.0297,129.382,1.88
1990,2,13,44,9.49,8.6,-1.3,0.0,3.3,47.0,1.5,270,6.0,36.0297,129.382,1.88
1990,2,14,45,4.16,8.8,3.8,4.5,6.1,79.3,2.3,20,0.2,36.0297,129.382,1.88
1990,2,15,46,5.98,10.1,7.0,0.0,8.5,65.0,2.2,70,1.9,36.0297,129.382,1.88
1990,2,16,47,7.83,11.6,3.7,0.4,7.0,74.8,1.6,360,2.5,36.0297,129.382,1.88
1990,2,17,48,12.33,15.5,2.4,0.0,7.9,70.8,1.6,250,8.9,36.0297,129.382,1.88
1990,2,18,49,1.18,12.8,7.5,4.7,9.4,83.8,1.4,110,0.0,36.0297,129.382,1.88
1990,2,19,50,0.23,12.5,8.0,16.8,10.5,87.3,1.2,270,0.0,36.0297,129.382,1.88
1990,2,20,51,13.39,12.8,5.3,0.0,8.2,53.0,2.4,270,8.9,36.0297,129.382,1.88
1990,2,21,52,2.0,11.9,3.1,0.0,7.8,77.0,2.3,270,0.0,36.0297,129.382,1.88
1990,2,22,53,0.08,10.7,9.2,33.3,10.1,91.0,4.6,70,0.0,36.0297,129.382,1.88
1990,2,23,54,0.89,9.8,7.3,15.7,8.7,89.8,6.9,50,0.0,36.0297,129.382,1.88
1990,2,24,55,0.28,7.5,4.5,0.3,5.5,81.8,4.4,20,0.0,36.0297,129.382,1.88
1990,2,25,56,5.0,7.0,2.8,5.8,4.7,73.5,1.2,270,2.3,36.0297,129.382,1.88
1990,2,26,57,1.63,5.4,0.5,11.0,3.0,75.8,1.7,250,0.0,36.0297,129.382,1.88
1990,2,27,58,2.03,6.1,3.5,13.9,4.3,92.8,2.8,360,0.0,36.0297,129.382,1.88
1990,2,28,59,4.04,9.9,2.4,0.6,5.8,75.3,1.7,110,0.5,36.0297,129.382,1.88
1990,3,1,60,0.65,8.1,7.0,1.6,7.8,71.5,4.3,50,0.0,36.0297,129.382,1.88
1990,3,2,61,7.61,11.0,5.8,0.0,7.9,60.3,5.4,50,4.7,36.0297,129.382,1.88
1990,3,3,62,12.32,11.7,2.5,0.0,6.4,69.5,1.4,70,6.0,36.0297,129.382,1.88
1990,3,4,63,13.37,14.1,3.5,0.0,7.9,59.8,1.2,250,8.3,36.0297,129.382,1.88
1990,3,5,64,14.46,13.5,2.7,0.0,6.8,49.0,1.9,270,9.8,36.0297,129.382,1.88
1990,3,6,65,15.56,14.0,2.9,0.0,7.6,41.8,3.1,270,9.4,36.0297,129.382,1.88
1990,3,7,66,5.73,7.2,1.4,6.3,4.1,68.5,2.8,20,2.3,36.0297,129.382,1.88
1990,3,8,67,15.98,14.1,-0.2,0.0,5.9,40.3,2.6,270,9.9,36.0297,129.382,1.88
1990,3,9,68,18.2,18.0,3.3,0.0,9.7,27.3,2.9,270,9.9,36.0297,129.382,1.88
1990,3,10,69,14.68,19.2,6.9,0.0,12.4,41.5,2.5,270,8.9,36.0297,129.382,1.88
1990,3,11,70,3.14,17.2,9.9,2.0,12.4,75.0,2.6,270,0.0,36.0297,129.382,1.88
1990,3,12,71,3.15,12.1,4.7,0.1,8.2,59.3,3.2,270,0.5,36.0297,129.382,1.88
1990,3,13,72,15.95,13.7,2.8,0.0,8.2,57.3,1.4,250,10.4,36.0297,129.382,1.88
1990,3,14,73,2.64,12.4,5.0,5.5,8.9,80.8,1.0,270,0.0,36.0297,129.382,1.88
1990,3,15,74,14.61,16.4,6.5,0.0,10.9,50.0,2.1,320,9.4,36.0297,129.382,1.88
1990,3,16,75,13.22,15.0,4.7,0.0,8.2,53.0,2.7,290,7.0,36.0297,129.382,1.88
1990,3,17,76,6.11,16.0,3.4,0.0,8.7,47.3,2.8,270,3.7,36.0297,129.382,1.88
1990,3,18,77,10.91,11.4,3.1,0.0,6.6,56.0,3.1,320,7.2,36.0297,129.382,1.88
1990,3,19,78,17.9,18.1,3.7,0.0,10.6,32.3,3.7,250,10.7,36.0297,129.382,1.88
1990,3,20,79,15.82,19.0,7.9,0.0,12.0,36.8,2.8,270,10.1,36.0297,129.382,1.88
1990,3,21,80,8.51,16.4,6.3,0.0,11.4,75.8,2.7,20,6.3,36.0297,129.382,1.88
1990,3,22,81,15.05,18.6,7.3,0.0,12.3,76.3,2.1,250,8.5,36.0297,129.382,1.88
1990,3,23,82,5.09,19.2,11.2,0.5,15.2,76.5,2.0,250,3.8,36.0297,129.382,1.88
1990,3,24,83,0.13,16.0,6.9,9.0,9.2,87.8,8.4,50,0.0,36.0297,129.382,1.88
1990,3,25,84,10.49,9.5,6.8,0.0,7.6,54.8,9.2,50,3.4,36.0297,129.382,1.88
1990,3,26,85,18.79,13.9,3.7,0.0,9.2,58.5,2.8,50,10.1,36.0297,129.382,1.88
1990,3,27,86,7.7,14.9,3.0,0.3,9.1,74.3,1.6,250,4.4,36.0297,129.382,1.88
1990,3,28,87,0.07,11.4,9.0,19.9,10.5,93.0,3.0,70,0.0,36.0297,129.382,1.88
1990,3,29,88,0.79,11.5,9.0,7.0,10.6,82.8,3.7,50,0.0,36.0297,129.382,1.88
1990,3,30,89,8.16,13.6,9.0,0.0,11.7,74.3,2.8,70,4.0,36.0297,129.382,1.88
1990,3,31,90,14.49,18.4,8.0,0.0,12.4,71.3,2.1,250,9.6,36.0297,129.382,1.88
1990,4,1,91,15.64,21.0,9.7,0.0,14.2,65.5,2.4,250,9.0,36.0297,129.382,1.88
1990,4,2,92,19.06,20.2,10.8,0.0,14.9,71.8,2.5,270,10.3,36.0297,129.382,1.88
1990,4,3,93,5.76,19.7,11.0,10.5,14.1,70.8,1.9,270,0.8,36.0297,129.382,1.88
1990,4,4,94,7.0,12.0,5.2,1.5,8.2,52.0,2.3,320,2.1,36.0297,129.382,1.88
1990,4,5,95,21.71,16.7,3.4,0.0,10.0,28.0,3.7,270,11.5,36.0297,129.382,1.88
1990,4,6,96,20.14,20.5,8.6,0.0,13.8,25.5,3.8,270,10.7,36.0297,129.382,1.88
1990,4,7,97,2.5,19.3,11.2,0.2,14.9,64.5,2.7,250,0.0,36.0297,129.382,1.88
1990,4,8,98,18.72,18.0,8.0,0.0,12.6,20.8,5.0,270,10.6,36.0297,129.382,1.88
1990,4,9,99,14.77,22.5,9.0,0.0,15.7,29.3,3.0,250,10.0,36.0297,129.382,1.88
1990,4,10,100,16.65,23.0,13.0,0.0,17.2,37.8,2.5,270,8.8,36.0297,129.382,1.88
1990,4,11,101,17.49,19.0,9.3,0.0,14.5,76.8,1.8,70,10.6,36.0297,129.382,1.88
1990,4,12,102,0.21,17.1,14.1,23.6,15.7,92.8,2.6,180,0.0,36.0297,129.382,1.88
1990,4,13,103,11.82,18.4,8.8,0.0,15.0,72.8,2.6,270,2.5,36.0297,129.382,1.88
1990,4,14,104,11.28,14.3,7.0,0.0,10.3,60.3,2.5,270,4.0,36.0297,129.382,1.88
1990,4,15,105,12.26,16.0,7.8,0.0,11.4,62.8,2.6,270,3.2,36.0297,129.382,1.88
1990,4,16,106,6.29,12.9,7.3,6.5,9.5,81.0,3.2,20,0.5,36.0297,129.382,1.88
1990,4,17,107,15.37,12.7,7.3,0.0,9.4,70.5,3.5,20,5.2,36.0297,129.382,1.88
1990,4,18,108,15.97,13.6,6.9,0.0,10.4,66.5,1.4,70,4.6,36.0297,129.382,1.88
1990,4,19,109,17.99,16.4,6.6,0.0,11.8,68.8,2.0,140,9.6,36.0297,129.382,1.88
1990,4,20,110,2.89,11.6,9.7,5.5,10.5,87.0,0.9,360,0.0,36.0297,129.382,1.88
1990,4,21,111,18.21,16.2,8.4,0.0,12.6,82.5,2.1,70,7.7,36.0297,129.382,1.88
1990,4,22,112,0.8,12.8,10.7,30.0,11.9,91.5,2.1,20,0.0,36.0297,129.382,1.88
1990,4,23,113,16.6,16.5,9.1,0.6,12.8,68.0,2.4,270,8.0,36.0297,129.382,1.88
1990,4,24,114,24.6,18.5,6.6,0.0,12.4,33.8,3.1,270,10.8,36.0297,129.382,1.88
1990,4,25,115,24.23,20.3,7.1,0.0,14.0,27.0,3.5,250,10.9,36.0297,129.382,1.88
1990,4,26,116,20.51,24.8,10.4,0.0,15.6,54.0,3.6,250,11.0,36.0297,129.382,1.88
1990,4,27,117,20.77,26.0,7.0,0.0,16.6,50.3,2.2,270,10.7,36.0297,129.382,1.88
1990,4,28,118,3.11,19.5,12.9,1.3,16.0,78.5,1.9,250,0.8,36.0297,129.382,1.88
1990,4,29,119,20.52,19.2,10.6,0.0,15.3,67.0,3.2,70,10.7,36.0297,129.382,1.88
1990,4,30,120,22.06,22.4,8.9,0.0,14.6,62.0,2.5,250,11.0,36.0297,129.382,1.88
1990,5,1,121,11.89,16.1,11.6,1.9,14.2,72.0,5.7,70,6.8,36.0297,129.382,1.88
1990,5,2,122,0.8,12.4,10.3,20.6,11.5,93.0,7.2,70,0.0,36.0297,129.382,1.88
1990,5,3,123,1.6,13.0,11.5,24.1,12.2,92.5,7.7,20,0.0,36.0297,129.382,1.88
1990,5,4,124,0.25,13.2,11.7,2.8,12.3,91.8,1.3,50,0.0,36.0297,129.382,1.88
1990,5,5,125,24.07,23.7,9.9,0.0,16.3,55.8,2.5,270,11.8,36.0297,129.382,1.88
1990,5,6,126,22.06,23.9,11.4,0.0,18.1,51.3,3.2,230,12.1,36.0297,129.382,1.88
1990,5,7,127,5.99,21.1,13.9,0.0,17.1,77.5,1.7,20,1.5,36.0297,129.382,1.88
1990,5,8,128,20.76,24.0,12.4,0.0,17.1,77.8,2.3,250,11.5,36.0297,129.382,1.88
1990,5,9,129,22.23,29.8,15.9,0.0,22.3,58.5,3.6,250,11.9,36.0297,129.382,1.88
1990,5,10,130,22.54,30.4,19.4,0.0,24.6,49.0,3.7,250,12.0,36.0297,129.382,1.88
1990,5,11,131,14.35,28.4,18.4,0.2,22.2,65.8,3.0,250,7.5,36.0297,129.382,1.88
1990,5,12,132,23.74,29.7,18.2,0.0,23.5,61.0,2.8,250,12.2,36.0297,129.382,1.88
1990,5,13,133,19.48,26.3,16.1,0.0,20.9,76.0,3.0,50,11.1,36.0297,129.382,1.88
1990,5,14,134,6.44,17.7,13.6,6.7,15.5,86.8,4.0,20,0.7,36.0297,129.382,1.88
1990,5,15,135,24.89,28.5,11.6,0.0,17.9,66.8,3.6,270,12.0,36.0297,129.382,1.88
1990,5,16,136,16.13,21.7,11.3,0.0,16.5,75.5,1.8,140,9.8,36.0297,129.382,1.88
1990,5,17,137,6.62,22.8,13.6,4.4,16.8,79.8,2.1,250,1.3,36.0297,129.382,1.88
1990,5,18,138,1.9,18.6,14.3,11.0,16.0,89.3,1.7,250,0.0,36.0297,129.382,1.88
1990,5,19,139,20.38,24.5,13.4,0.0,19.3,67.5,3.1,250,6.1,36.0297,129.382,1.88
1990,5,20,140,20.63,26.2,17.6,0.0,20.9,51.5,3.9,270,8.6,36.0297,129.382,1.88
1990,5,21,141,24.16,25.1,15.5,0.0,20.1,29.0,3.3,270,11.8,36.0297,129.382,1.88
1990,5,22,142,18.15,21.0,13.8,0.0,16.8,59.0,2.9,270,6.0,36.0297,129.382,1.88
1990,5,23,143,20.76,26.4,14.2,0.0,19.5,55.3,3.1,250,9.5,36.0297,129.382,1.88
1990,5,24,144,19.84,19.1,12.3,2.4,15.7,83.5,3.2,360,6.9,36.0297,129.382,1.88
1990,5,25,145,21.21,20.9,11.7,0.0,16.0,74.8,2.0,270,9.1,36.0297,129.382,1.88
1990,5,26,146,22.01,26.4,12.2,0.0,18.9,48.5,2.8,270,11.4,36.0297,129.382,1.88
1990,5,27,147,25.3,28.7,12.5,0.0,20.9,44.5,2.6,250,12.4,36.0297,129.382,1.88
1990,5,28,148,20.78,29.0,18.6,0.0,23.1,58.8,2.6,250,10.5,36.0297,129.382,1.88
1990,5,29,149,14.49,24.7,18.6,0.0,21.8,70.0,2.2,270,8.6,36.0297,129.382,1.88
1990,5,30,150,9.83,26.9,18.2,0.5,21.8,77.3,2.2,270,2.3,36.0297,129.382,1.88
1990,5,31,151,3.76,23.8,17.0,6.1,20.2,77.0,4.7,230,0.0,36.0297,129.382,1.88
1990,6,1,152,9.64,23.5,18.9,0.0,20.8,61.8,2.6,250,1.3,36.0297,129.382,1.88
1990,6,2,153,23.52,26.0,16.1,0.0,20.8,64.0,2.4,270,10.9,36.0297,129.382,1.88
1990,6,3,154,15.0,26.7,17.7,0.0,21.6,66.8,2.4,250,7.4,36.0297,129.382,1.88
1990,6,4,155,4.55,22.3,15.9,0.0,18.1,85.5,1.1,70,0.0,36.0297,129.382,1.88
1990,6,5,156,23.11,27.7,14.5,0.0,20.8,65.5,2.3,70,11.9,36.0297,129.382,1.88
1990,6,6,157,17.38,21.7,15.9,0.0,18.0,84.8,3.0,50,6.2,36.0297,129.382,1.88
1990,6,7,158,20.55,31.4,15.2,0.0,22.0,69.5,1.8,140,11.3,36.0297,129.382,1.88
1990,6,8,159,4.78,24.9,19.9,8.3,22.1,78.5,3.4,200,1.1,36.0297,129.382,1.88
1990,6,9,160,25.38,26.4,19.8,0.0,23.3,59.3,4.1,270,12.1,36.0297,129.382,1.88
1990,6,10,161,19.0,31.4,17.8,0.0,24.1,58.5,2.9,250,8.9,36.0297,129.382,1.88
1990,6,11,162,19.52,33.2,19.9,0.0,25.1,59.0,1.8,270,8.9,36.0297,129.382,1.88
1990,6,12,163,15.34,27.7,19.2,0.0,22.2,72.8,2.4,270,8.4,36.0297,129.382,1.88
1990,6,13,164,21.53,27.3,19.7,0.0,23.4,73.0,2.6,250,8.6,36.0297,129.382,1.88
1990,6,14,165,20.28,31.4,20.4,0.0,25.9,67.0,2.8,230,9.7,36.0297,129.382,1.88
1990,6,15,166,3.12,20.5,17.4,20.2,18.9,92.0,3.0,50,0.0,36.0297,129.382,1.88
1990,6,16,167,13.16,26.7,16.6,33.8,20.8,76.5,2.1,70,4.9,36.0297,129.382,1.88
1990,6,17,168,22.8,32.4,20.3,0.0,26.2,59.3,2.6,270,12.0,36.0297,129.382,1.88
1990,6,18,169,12.95,31.1,21.3,0.0,25.9,55.5,2.7,230,6.7,36.0297,129.382,1.88
1990,6,19,170,6.62,29.8,20.6,21.6,25.7,77.3,3.0,250,0.9,36.0297,129.382,1.88
1990,6,20,171,1.41,22.8,18.5,15.9,19.9,92.0,1.8,250,0.0,36.0297,129.382,1.88
1990,6,21,172,11.76,30.0,18.9,0.6,23.8,81.8,2.9,250,6.3,36.0297,129.382,1.88
1990,6,22,173,17.32,31.0,18.6,16.3,23.2,81.3,1.8,250,4.7,36.0297,129.382,1.88
