year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1993,1,1,1,8.174,6.8,-3.4,0.0,0.6,63.8,2.1,90,7.7,35.99,126.7078,25.57
1993,1,2,2,7.214,10.9,-1.9,0.0,4.2,73.8,3.0,200,6.2,35.99,126.7078,25.57
1993,1,3,3,4.608,7.3,-1.7,0.0,4.5,71.0,4.9,290,2.2,35.99,126.7078,25.57
1993,1,4,4,7.851,1.6,-4.8,0.0,-2.2,54.5,3.5,50,7.1,35.99,126.7078,25.57
1993,1,5,5,8.406,4.9,-5.4,0.0,-1.4,62.0,2.0,90,7.9,35.99,126.7078,25.57
1993,1,6,6,3.202,6.7,-1.0,0.3,3.0,58.5,2.7,70,0.0,35.99,126.7078,25.57
1993,1,7,7,3.217,5.0,0.0,1.3,2.7,77.0,2.3,180,0.0,35.99,126.7078,25.57
1993,1,8,8,4.499,5.3,-2.5,0.0,1.2,76.5,2.3,90,1.9,35.99,126.7078,25.57
1993,1,9,9,3.248,5.2,1.6,3.0,3.5,79.8,2.4,290,0.0,35.99,126.7078,25.57
1993,1,10,10,6.556,3.9,-0.3,0.0,2.1,65.5,4.1,290,4.9,35.99,126.7078,25.57
1993,1,11,11,8.474,1.3,-3.0,0.0,-0.5,64.5,4.4,290,7.7,35.99,126.7078,25.57
1993,1,12,12,6.483,3.3,-4.2,0.0,-0.7,63.0,3.8,70,4.7,35.99,126.7078,25.57
1993,1,13,13,3.73,2.4,-1.8,0.5,0.3,64.8,2.3,50,0.6,35.99,126.7078,25.57
1993,1,14,14,3.342,1.0,-1.0,3.6,0.4,69.3,1.6,320,0.0,35.99,126.7078,25.57
1993,1,15,15,4.254,-0.1,-3.5,0.1,-1.3,65.0,5.5,320,1.3,35.99,126.7078,25.57
1993,1,16,16,7.928,-1.6,-5.5,0.0,-3.4,61.5,5.3,320,6.6,35.99,126.7078,25.57
1993,1,17,17,3.823,0.4,-4.7,1.1,-2.3,81.5,2.4,140,0.6,35.99,126.7078,25.57
1993,1,18,18,3.431,-2.3,-5.9,11.6,-3.9,82.5,2.3,320,0.0,35.99,126.7078,25.57
1993,1,19,19,7.504,-1.5,-9.1,0.5,-5.6,81.5,2.5,70,5.8,35.99,126.7078,25.57
1993,1,20,20,8.952,-1.8,-6.5,0.4,-4.4,72.0,3.1,90,7.8,35.99,126.7078,25.57
1993,1,21,21,9.498,-0.4,-8.6,0.0,-4.3,73.3,2.9,90,8.5,35.99,126.7078,25.57
1993,1,22,22,9.272,3.6,-8.2,0.0,-2.2,71.8,2.4,90,8.1,35.99,126.7078,25.57
1993,1,23,23,3.56,2.8,-2.5,0.0,-0.2,72.0,2.4,70,0.0,35.99,126.7078,25.57
1993,1,24,24,6.165,5.6,-3.6,0.0,0.4,81.3,2.3,110,3.6,35.99,126.7078,25.57
1993,1,25,25,7.431,4.5,-0.3,0.0,1.8,81.5,3.4,290,5.3,35.99,126.7078,25.57
1993,1,26,26,8.784,6.1,-2.3,0.0,1.4,76.0,3.9,110,7.1,35.99,126.7078,25.57
1993,1,27,27,6.805,1.0,-4.1,2.1,-1.8,73.3,7.5,320,4.3,35.99,126.7078,25.57
1993,1,28,28,10.439,-0.7,-5.4,0.0,-3.3,61.8,6.6,320,9.2,35.99,126.7078,25.57
1993,1,29,29,5.872,2.4,-6.3,0.0,-1.7,71.0,2.1,160,2.9,35.99,126.7078,25.57
1993,1,30,30,9.839,5.2,-3.5,0.0,0.9,75.0,1.9,200,8.2,35.99,126.7078,25.57
1993,1,31,31,4.769,7.0,0.0,0.0,2.4,76.3,6.8,180,1.3,35.99,126.7078,25.57
1993,2,1,32,8.893,2.3,-1.7,0.0,0.7,57.8,8.1,320,8.8,35.99,126.7078,25.57
1993,2,2,33,9.048,5.2,-4.8,0.0,-0.3,63.0,2.6,70,9.0,35.99,126.7078,25.57
1993,2,3,34,7.104,6.4,-3.3,0.0,0.9,78.0,2.3,140,6.0,35.99,126.7078,25.57
1993,2,4,35,8.51,8.0,-1.3,0.0,2.8,81.5,2.9,110,8.1,35.99,126.7078,25.57
1993,2,5,36,8.142,14.4,-0.5,0.0,6.5,74.0,3.7,140,7.5,35.99,126.7078,25.57
1993,2,6,37,8.435,20.0,4.4,0.0,10.5,80.5,5.2,160,7.9,35.99,126.7078,25.57
1993,2,7,38,8.732,4.4,-1.9,0.0,0.8,63.5,11.9,290,8.3,35.99,126.7078,25.57
1993,2,8,39,8.766,-0.2,-5.5,0.0,-2.4,56.3,4.5,320,8.3,35.99,126.7078,25.57
1993,2,9,40,7.999,2.8,-2.8,0.0,-0.1,60.5,2.6,270,7.1,35.99,126.7078,25.57
1993,2,10,41,7.362,7.0,-4.0,0.0,0.9,70.5,2.7,110,6.1,35.99,126.7078,25.57
1993,2,11,42,5.98,5.7,1.3,2.0,3.0,78.3,5.3,250,4.0,35.99,126.7078,25.57
1993,2,12,43,6.821,7.3,-3.7,0.0,2.4,74.5,3.9,250,5.2,35.99,126.7078,25.57
1993,2,13,44,4.953,8.3,-1.8,0.0,2.4,85.8,4.6,230,2.4,35.99,126.7078,25.57
1993,2,14,45,9.415,7.2,-3.0,0.0,1.6,56.8,3.0,290,8.9,35.99,126.7078,25.57
1993,2,15,46,4.734,9.4,-3.5,0.0,3.1,64.0,2.2,90,2.0,35.99,126.7078,25.57
1993,2,16,47,3.385,7.5,4.8,40.6,6.6,83.5,5.7,70,0.0,35.99,126.7078,25.57
1993,2,17,48,6.865,6.1,2.6,1.2,4.1,80.3,7.2,290,5.0,35.99,126.7078,25.57
1993,2,18,49,9.058,5.1,-1.3,0.0,2.0,75.3,2.9,270,8.1,35.99,126.7078,25.57
1993,2,19,50,9.738,8.2,-1.3,0.0,2.6,67.8,2.7,70,9.0,35.99,126.7078,25.57
1993,2,20,51,4.392,8.2,0.3,11.5,4.1,73.0,5.1,70,1.3,35.99,126.7078,25.57
1993,2,21,52,3.506,6.3,3.5,21.3,4.4,85.8,8.2,290,0.0,35.99,126.7078,25.57
1993,2,22,53,4.596,3.7,-3.7,0.7,0.7,67.0,13.3,290,1.5,35.99,126.7078,25.57
1993,2,23,54,6.694,-1.6,-4.1,0.5,-2.7,63.5,10.9,320,4.4,35.99,126.7078,25.57
1993,2,24,55,10.748,-1.2,-4.8,0.0,-2.9,56.0,6.1,320,10.0,35.99,126.7078,25.57
1993,2,25,56,8.511,2.0,-5.8,0.0,-1.6,71.3,3.5,110,6.8,35.99,126.7078,25.57
1993,2,26,57,8.133,3.8,-3.2,0.0,0.5,77.3,3.4,270,6.2,35.99,126.7078,25.57
1993,2,27,58,5.204,4.9,-1.3,0.0,1.3,79.3,2.3,110,2.1,35.99,126.7078,25.57
1993,2,28,59,5.828,3.7,-2.4,0.9,1.9,73.0,10.6,290,2.9,35.99,126.7078,25.57
1993,3,1,60,4.514,-0.1,-4.1,2.3,-2.1,72.8,7.2,290,2.1,35.99,126.7078,25.57
1993,3,2,61,9.573,4.1,-4.6,0.0,-0.2,60.8,3.1,180,9.8,35.99,126.7078,25.57
1993,3,3,62,7.432,8.6,-2.0,0.0,3.1,79.0,3.8,160,6.5,35.99,126.7078,25.57
1993,3,4,63,8.378,10.9,2.8,0.0,5.8,78.5,3.6,250,7.9,35.99,126.7078,25.57
1993,3,5,64,9.463,14.5,0.3,0.0,6.8,65.5,3.8,160,9.5,35.99,126.7078,25.57
1993,3,6,65,3.202,8.3,3.4,5.4,5.6,88.0,3.7,290,0.0,35.99,126.7078,25.57
1993,3,7,66,3.217,5.4,3.0,0.0,4.1,85.0,4.2,290,0.0,35.99,126.7078,25.57
1993,3,8,67,7.566,6.9,-1.7,0.0,3.0,86.3,2.9,270,6.5,35.99,126.7078,25.57
1993,3,9,68,6.661,6.2,-1.8,0.0,2.2,76.0,3.2,270,5.1,35.99,126.7078,25.57
1993,3,10,69,6.086,10.2,-0.1,0.0,4.1,79.8,3.0,250,4.2,35.99,126.7078,25.57
1993,3,11,70,5.778,12.4,0.3,0.0,4.1,86.3,3.0,70,3.7,35.99,126.7078,25.57
1993,3,12,71,8.377,10.5,1.0,0.6,4.1,81.3,3.5,270,7.5,35.99,126.7078,25.57
1993,3,13,72,8.689,12.3,-0.1,0.0,3.9,78.5,2.8,270,7.9,35.99,126.7078,25.57
