year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2005,1,1,1,12.22,2.0,-5.0,0.0,-1.8,35.9,3.5,270,9.2,35.8822,128.6212,57.64
2005,1,2,2,11.32,7.3,-4.0,0.0,1.4,49.6,1.7,270,8.7,35.8822,128.6212,57.64
2005,1,3,3,9.18,11.6,-1.1,0.0,5.5,48.6,2.6,270,5.4,35.8822,128.6212,57.64
2005,1,4,4,12.16,6.5,-3.6,0.0,-0.4,28.5,4.9,290,9.1,35.8822,128.6212,57.64
2005,1,5,5,10.89,4.5,-7.5,0.0,-1.1,36.9,1.6,20,8.3,35.8822,128.6212,57.64
2005,1,6,6,11.29,7.9,0.4,0.0,3.5,34.1,2.7,270,7.9,35.8822,128.6212,57.64
2005,1,7,7,11.86,5.6,-2.3,0.0,2.6,33.4,4.0,290,8.3,35.8822,128.6212,57.64
2005,1,8,8,12.08,3.7,-4.0,0.0,-0.4,35.1,3.9,270,8.4,35.8822,128.6212,57.64
2005,1,9,9,12.87,0.8,-7.1,0.0,-3.8,25.5,4.0,290,9.5,35.8822,128.6212,57.64
2005,1,10,10,12.24,3.1,-6.9,0.0,-1.9,43.0,3.5,290,9.2,35.8822,128.6212,57.64
2005,1,11,11,12.11,2.9,-2.7,0.0,-0.3,41.6,4.6,290,9.2,35.8822,128.6212,57.64
2005,1,12,12,12.54,2.1,-4.4,0.0,-1.8,41.0,4.1,290,9.3,35.8822,128.6212,57.64
2005,1,13,13,10.67,2.5,-3.9,0.0,-1.2,47.0,3.0,270,7.9,35.8822,128.6212,57.64
2005,1,14,14,10.65,5.5,-5.4,0.0,0.2,46.4,1.9,270,6.8,35.8822,128.6212,57.64
2005,1,15,15,12.35,5.3,-2.2,0.0,0.9,40.0,4.1,270,9.0,35.8822,128.6212,57.64
2005,1,16,16,5.4,3.8,-2.3,0.1,0.6,55.6,4.1,270,2.9,35.8822,128.6212,57.64
2005,1,17,17,12.46,8.0,-3.7,0.0,2.1,50.5,1.8,20,9.4,35.8822,128.6212,57.64
2005,1,18,18,11.08,8.1,-4.4,0.0,2.5,54.3,1.3,50,7.7,35.8822,128.6212,57.64
2005,1,19,19,13.23,4.1,-1.1,0.0,1.2,39.4,4.7,290,9.4,35.8822,128.6212,57.64
2005,1,20,20,12.76,2.0,-4.0,0.0,-1.1,36.9,5.1,290,9.3,35.8822,128.6212,57.64
2005,1,21,21,13.6,4.5,-6.4,0.0,-1.4,31.8,2.9,270,9.7,35.8822,128.6212,57.64
2005,1,22,22,9.41,5.3,-5.5,0.0,1.0,30.5,1.0,20,4.9,35.8822,128.6212,57.64
2005,1,23,23,10.19,10.7,0.2,0.0,4.8,55.5,1.4,50,5.3,35.8822,128.6212,57.64
2005,1,24,24,5.51,7.3,1.5,0.0,4.0,56.5,2.2,290,0.3,35.8822,128.6212,57.64
2005,1,25,25,3.18,4.0,-1.9,4.7,0.8,77.8,1.4,250,0.0,35.8822,128.6212,57.64
