year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1993,1,1,1,9.46,6.4,-6.7,0.0,-1.3,62.0,0.6,160,7.9,35.8185,127.1571,53.48
1993,1,2,2,7.11,12.0,-4.0,0.0,3.5,68.0,0.8,160,5.7,35.8185,127.1571,53.48
1993,1,3,3,4.26,6.8,-1.5,0.0,4.9,65.0,1.8,360,2.3,35.8185,127.1571,53.48
1993,1,4,4,7.9,2.9,-5.0,0.0,-1.9,51.8,1.3,360,6.7,35.8185,127.1571,53.48
1993,1,5,5,9.14,4.7,-8.3,0.0,-2.9,63.0,0.7,160,8.0,35.8185,127.1571,53.48
1993,1,6,6,3.15,8.4,-2.7,0.3,3.0,63.0,0.6,90,1.3,35.8185,127.1571,53.48
1993,1,7,7,0.26,4.3,-1.5,8.5,1.6,79.3,0.6,110,0.0,35.8185,127.1571,53.48
1993,1,8,8,4.92,3.2,-3.6,0.0,-0.3,88.5,0.6,230,3.5,35.8185,127.1571,53.48
1993,1,9,9,1.52,4.8,0.8,4.9,2.8,89.8,0.5,110,0.0,35.8185,127.1571,53.48
1993,1,10,10,5.0,5.9,-1.0,0.0,2.5,68.8,1.2,270,2.3,35.8185,127.1571,53.48
1993,1,11,11,8.36,3.3,-4.2,0.0,-0.8,63.5,1.1,360,5.9,35.8185,127.1571,53.48
1993,1,12,12,9.06,3.8,-7.2,0.0,-2.3,62.0,1.1,20,7.1,35.8185,127.1571,53.48
1993,1,13,13,2.52,3.1,-2.8,4.8,-0.6,67.3,0.6,200,0.1,35.8185,127.1571,53.48
1993,1,14,14,0.18,0.4,-2.6,4.6,-1.2,91.3,0.8,360,0.0,35.8185,127.1571,53.48
1993,1,15,15,0.32,-0.7,-4.7,0.0,-2.4,70.8,1.5,20,0.0,35.8185,127.1571,53.48
1993,1,16,16,9.45,-0.3,-8.2,0.0,-5.1,62.0,1.2,90,7.5,35.8185,127.1571,53.48
1993,1,17,17,8.63,2.1,-9.2,0.6,-3.7,76.8,1.1,270,4.9,35.8185,127.1571,53.48
1993,1,18,18,2.4,-1.9,-6.3,1.5,-4.1,75.0,1.2,70,1.1,35.8185,127.1571,53.48
1993,1,19,19,10.22,-1.1,-11.3,0.0,-6.2,65.8,1.4,20,6.8,35.8185,127.1571,53.48
1993,1,20,20,10.68,-0.4,-9.0,0.0,-5.3,63.3,1.2,50,8.2,35.8185,127.1571,53.48
1993,1,21,21,11.94,1.0,-12.3,0.0,-6.5,69.5,0.9,160,8.3,35.8185,127.1571,53.48
1993,1,22,22,11.55,4.4,-10.7,0.0,-4.0,67.8,1.0,160,8.3,35.8185,127.1571,53.48
1993,1,23,23,6.46,2.9,-6.0,0.0,-1.7,69.5,0.9,360,3.6,35.8185,127.1571,53.48
1993,1,24,24,4.48,3.5,-6.1,0.0,-1.2,72.8,0.5,160,0.9,35.8185,127.1571,53.48
1993,1,25,25,7.48,7.0,-1.2,0.0,1.6,74.5,1.2,270,4.0,35.8185,127.1571,53.48
1993,1,26,26,9.14,6.7,-3.4,0.0,1.4,72.3,1.4,270,7.0,35.8185,127.1571,53.48
1993,1,27,27,9.23,1.0,-4.9,0.4,-1.8,61.8,2.4,320,5.8,35.8185,127.1571,53.48
1993,1,28,28,11.23,0.4,-7.6,0.0,-4.0,55.5,1.9,290,8.7,35.8185,127.1571,53.48
1993,1,29,29,6.78,2.2,-8.5,0.0,-2.9,66.8,0.9,160,4.0,35.8185,127.1571,53.48
1993,1,30,30,11.72,5.6,-4.4,0.0,0.1,75.3,1.0,160,8.5,35.8185,127.1571,53.48
1993,1,31,31,4.29,8.0,-1.0,0.0,2.8,66.3,2.0,290,1.2,35.8185,127.1571,53.48
1993,2,1,32,11.87,4.4,-3.8,0.0,0.1,52.5,1.9,290,8.7,35.8185,127.1571,53.48
1993,2,2,33,12.28,7.2,-6.4,0.0,-0.8,58.3,0.9,270,8.8,35.8185,127.1571,53.48
1993,2,3,34,9.18,6.7,-5.0,0.0,0.0,69.0,0.8,160,6.7,35.8185,127.1571,53.48
1993,2,4,35,14.19,9.7,-1.2,0.0,2.6,73.8,0.9,360,8.2,35.8185,127.1571,53.48
1993,2,5,36,10.23,16.7,-0.9,0.0,8.1,56.0,1.9,180,8.2,35.8185,127.1571,53.48
1993,2,6,37,9.69,21.5,6.8,0.3,15.0,53.5,3.1,250,8.1,35.8185,127.1571,53.48
1993,2,7,38,11.46,6.8,-2.6,0.0,1.3,55.8,2.9,290,8.0,35.8185,127.1571,53.48
1993,2,8,39,12.3,2.6,-6.4,0.0,-2.2,50.8,0.6,20,8.4,35.8185,127.1571,53.48
1993,2,9,40,9.82,4.0,-3.9,0.0,-0.6,56.3,0.5,290,7.2,35.8185,127.1571,53.48
1993,2,10,41,11.17,7.3,-5.5,0.0,0.3,65.3,0.9,160,7.3,35.8185,127.1571,53.48
1993,2,11,42,4.0,7.1,-2.0,1.1,2.7,69.8,1.1,160,2.5,35.8185,127.1571,53.48
1993,2,12,43,11.21,7.5,-5.3,0.0,0.8,72.8,1.4,160,7.8,35.8185,127.1571,53.48
1993,2,13,44,7.51,9.7,-1.9,0.0,3.1,80.5,1.6,250,5.0,35.8185,127.1571,53.48
1993,2,14,45,13.92,11.2,-5.0,0.0,1.3,58.3,1.0,320,9.2,35.8185,127.1571,53.48
1993,2,15,46,7.48,10.2,-4.7,0.0,2.4,44.3,0.6,160,5.4,35.8185,127.1571,53.48
1993,2,16,47,0.76,10.0,4.6,26.3,7.8,81.3,1.5,140,0.0,35.8185,127.1571,53.48
1993,2,17,48,1.52,8.2,3.0,3.4,4.8,81.0,2.1,270,0.0,35.8185,127.1571,53.48
1993,2,18,49,13.0,9.3,-0.9,0.0,3.2,69.5,1.1,270,8.2,35.8185,127.1571,53.48
1993,2,19,50,14.53,10.1,-3.0,0.0,2.6,68.8,0.8,320,9.4,35.8185,127.1571,53.48
1993,2,20,51,6.32,10.4,-1.0,9.7,4.1,69.0,1.2,70,2.8,35.8185,127.1571,53.48
1993,2,21,52,0.83,5.6,3.7,22.5,5.0,89.3,1.4,270,0.0,35.8185,127.1571,53.48
1993,2,22,53,6.17,3.8,-3.5,1.5,0.2,65.8,3.6,320,2.4,35.8185,127.1571,53.48
1993,2,23,54,13.71,-0.3,-4.6,0.3,-3.0,57.3,3.5,340,7.9,35.8185,127.1571,53.48
1993,2,24,55,13.66,1.1,-6.3,0.0,-3.2,52.0,1.8,340,8.0,35.8185,127.1571,53.48
1993,2,25,56,14.42,3.9,-8.2,0.0,-2.8,67.5,1.1,270,8.3,35.8185,127.1571,53.48
1993,2,26,57,12.65,5.2,-4.8,0.0,-0.7,71.0,1.1,160,7.7,35.8185,127.1571,53.48
1993,2,27,58,7.64,5.4,-2.7,0.0,0.5,72.8,0.8,270,2.3,35.8185,127.1571,53.48
1993,2,28,59,9.18,4.1,-2.6,1.7,1.6,71.5,3.1,320,4.7,35.8185,127.1571,53.48
1993,3,1,60,10.1,1.0,-4.2,0.5,-2.6,76.8,2.4,320,4.5,35.8185,127.1571,53.48
1993,3,2,61,16.74,5.5,-7.2,0.0,-1.8,60.0,1.3,160,9.4,35.8185,127.1571,53.48
1993,3,3,62,13.48,9.7,-3.1,0.0,2.7,66.3,1.5,160,6.5,35.8185,127.1571,53.48
1993,3,4,63,14.19,12.0,1.1,0.0,6.0,58.0,1.4,160,7.0,35.8185,127.1571,53.48
1993,3,5,64,16.79,16.3,-0.6,0.0,7.2,50.0,1.8,180,9.3,35.8185,127.1571,53.48
1993,3,6,65,1.72,11.8,4.6,10.6,9.3,68.8,1.6,270,0.0,35.8185,127.1571,53.48
1993,3,7,66,1.37,5.9,3.8,3.3,4.4,88.3,1.6,270,0.0,35.8185,127.1571,53.48
1993,3,8,67,16.89,10.3,0.8,0.0,4.7,65.5,1.2,340,9.6,35.8185,127.1571,53.48
1993,3,9,68,12.68,9.3,-2.1,0.0,2.6,62.5,1.2,180,6.5,35.8185,127.1571,53.48
1993,3,10,69,7.25,8.6,-1.8,0.0,3.3,67.8,1.0,160,1.8,35.8185,127.1571,53.48
1993,3,11,70,12.8,12.8,-0.7,0.0,4.9,68.8,1.0,160,8.2,35.8185,127.1571,53.48
1993,3,12,71,14.23,12.3,-0.8,0.4,4.6,68.3,1.2,180,6.8,35.8185,127.1571,53.48
1993,3,13,72,16.52,15.2,-1.5,0.0,5.3,64.0,1.0,160,9.7,35.8185,127.1571,53.48
1993,3,14,73,5.24,15.0,3.3,3.6,9.7,61.3,1.1,160,0.0,35.8185,127.1571,53.48
1993,3,15,74,9.55,14.4,5.6,5.0,9.7,68.0,2.0,110,3.2,35.8185,127.1571,53.48
1993,3,16,75,14.17,10.8,-0.5,0.0,5.7,49.0,1.5,20,7.5,35.8185,127.1571,53.48
1993,3,17,76,18.43,11.0,1.2,0.0,5.6,45.3,1.8,20,10.1,35.8185,127.1571,53.48
1993,3,18,77,14.49,10.4,-1.9,0.0,4.0,59.8,1.2,160,7.3,35.8185,127.1571,53.48
1993,3,19,78,14.04,10.8,-0.8,0.0,4.5,61.3,1.2,320,7.4,35.8185,127.1571,53.48
1993,3,20,79,16.65,12.6,-2.4,0.0,4.2,61.0,1.1,180,9.4,35.8185,127.1571,53.48
1993,3,21,80,14.41,12.0,-1.3,0.0,4.9,62.5,1.2,270,6.8,35.8185,127.1571,53.48
1993,3,22,81,15.74,15.4,-1.4,0.0,5.7,65.3,1.1,320,8.3,35.8185,127.1571,53.48
1993,3,23,82,10.39,14.5,3.0,0.0,8.5,56.3,0.9,320,3.1,35.8185,127.1571,53.48
1993,3,24,83,0.89,8.2,5.2,19.9,6.7,82.0,1.3,340,0.0,35.8185,127.1571,53.48
1993,3,25,84,15.28,14.4,1.6,0.0,7.6,75.0,1.0,360,8.1,35.8185,127.1571,53.48
1993,3,26,85,15.86,16.4,3.8,0.0,9.5,65.5,1.1,320,9.6,35.8185,127.1571,53.48
1993,3,27,86,15.63,18.4,0.9,0.0,9.3,65.0,1.1,160,8.6,35.8185,127.1571,53.48
1993,3,28,87,17.02,15.8,4.3,0.0,8.4,67.0,1.9,320,9.7,35.8185,127.1571,53.48
1993,3,29,88,19.05,13.4,0.3,0.0,6.5,56.8,1.4,180,10.6,35.8185,127.1571,53.48
1993,3,30,89,9.23,13.8,3.3,0.0,8.6,52.0,1.2,180,2.4,35.8185,127.1571,53.48
1993,3,31,90,8.97,16.4,7.2,0.0,10.6,63.3,2.9,270,4.8,35.8185,127.1571,53.48
1993,4,1,91,17.43,16.8,6.1,0.0,10.0,63.5,1.6,270,8.6,35.8185,127.1571,53.48
1993,4,2,92,14.39,19.9,2.0,0.0,10.2,58.8,1.1,290,9.3,35.8185,127.1571,53.48
1993,4,3,93,16.29,20.6,4.0,0.0,11.0,56.0,1.4,270,10.0,35.8185,127.1571,53.48
1993,4,4,94,15.28,16.0,7.4,0.0,10.6,67.3,1.7,110,7.8,35.8185,127.1571,53.48
1993,4,5,95,20.29,16.6,2.2,0.0,8.9,52.0,1.5,320,10.9,35.8185,127.1571,53.48
1993,4,6,96,18.91,15.4,0.6,0.0,7.7,57.8,1.9,180,10.5,35.8185,127.1571,53.48
1993,4,7,97,18.54,8.7,1.3,0.0,5.3,54.5,3.4,290,10.5,35.8185,127.1571,53.48
1993,4,8,98,6.13,5.6,0.6,1.5,2.3,82.0,2.4,290,0.9,35.8185,127.1571,53.48
1993,4,9,99,20.34,11.6,-1.0,0.0,5.1,48.3,1.6,320,10.8,35.8185,127.1571,53.48
1993,4,10,100,3.87,10.0,-0.8,5.1,3.7,75.3,1.4,160,0.7,35.8185,127.1571,53.48
1993,4,11,101,9.66,9.4,2.4,0.6,5.7,69.0,1.9,290,3.2,35.8185,127.1571,53.48
1993,4,12,102,20.05,13.8,-0.4,0.0,6.6,66.0,1.3,360,10.7,35.8185,127.1571,53.48
1993,4,13,103,18.89,16.3,0.3,0.0,7.8,50.3,1.3,180,10.7,35.8185,127.1571,53.48
1993,4,14,104,20.16,19.0,1.4,0.0,9.8,44.0,1.3,340,10.7,35.8185,127.1571,53.48
1993,4,15,105,13.77,20.2,4.6,0.0,11.5,38.0,1.0,180,6.3,35.8185,127.1571,53.48
1993,4,16,106,19.71,20.0,4.8,0.0,11.9,46.8,1.4,270,9.6,35.8185,127.1571,53.48
1993,4,17,107,21.21,21.3,4.6,0.0,12.3,67.0,1.4,290,11.0,35.8185,127.1571,53.48
