year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2017,1,1,1,8.619,11.8,2.1,0.0,6.5,60.4,1.8,290,8.2,35.5571,129.32249,34.69
2017,1,2,2,8.509,13.6,2.6,0.0,8.2,64.3,2.1,290,8.0,35.5571,129.32249,34.69
2017,1,3,3,8.6,13.1,2.2,0.0,7.1,42.8,2.1,340,8.1,35.5571,129.32249,34.69
2017,1,4,4,8.159,12.0,1.8,0.0,6.9,52.5,1.7,340,7.4,35.5571,129.32249,34.69
2017,1,5,5,3.239,8.2,2.5,11.2,5.5,90.1,2.1,320,0.0,35.5571,129.32249,34.69
2017,1,6,6,5.063,10.2,2.5,0.0,6.2,68.0,2.0,340,2.7,35.5571,129.32249,34.69
2017,1,7,7,5.42,10.0,0.2,0.0,6.3,78.9,1.4,340,3.2,35.5571,129.32249,34.69
2017,1,8,8,3.283,10.3,6.5,2.1,8.4,87.4,2.2,340,0.0,35.5571,129.32249,34.69
2017,1,9,9,8.851,9.7,2.8,0.0,6.4,56.6,3.1,290,8.2,35.5571,129.32249,34.69
2017,1,10,10,9.16,5.8,-0.6,0.0,2.4,45.0,3.3,320,8.6,35.5571,129.32249,34.69
2017,1,11,11,8.654,3.1,-3.1,0.0,0.0,34.3,3.0,290,7.8,35.5571,129.32249,34.69
2017,1,12,12,8.214,8.2,-1.6,0.0,2.9,46.4,2.4,250,7.1,35.5571,129.32249,34.69
2017,1,13,13,8.596,5.8,-3.0,0.0,0.5,39.3,2.9,320,7.6,35.5571,129.32249,34.69
2017,1,14,14,9.535,0.0,-6.4,0.0,-3.5,33.3,4.1,290,8.9,35.5571,129.32249,34.69
2017,1,15,15,9.652,4.5,-8.7,0.0,-2.7,26.6,2.7,320,9.0,35.5571,129.32249,34.69
2017,1,16,16,9.701,5.7,-5.1,0.0,0.0,39.8,2.8,320,9.0,35.5571,129.32249,34.69
2017,1,17,17,8.283,9.6,-1.9,0.0,3.5,40.4,1.5,340,6.9,35.5571,129.32249,34.69
2017,1,18,18,7.346,7.6,-0.9,0.0,3.1,48.6,2.0,340,5.5,35.5571,129.32249,34.69
2017,1,19,19,8.517,10.4,-0.7,0.0,4.1,63.5,1.3,340,7.1,35.5571,129.32249,34.69
2017,1,20,20,8.353,3.5,-3.3,0.0,0.7,58.8,3.1,290,6.8,35.5571,129.32249,34.69
2017,1,21,21,9.187,3.5,-5.2,0.0,-1.0,49.8,2.4,340,7.9,35.5571,129.32249,34.69
2017,1,22,22,9.743,1.0,-4.9,0.0,-1.3,46.0,3.2,320,8.6,35.5571,129.32249,34.69
2017,1,23,23,10.305,0.3,-6.7,0.0,-3.5,37.5,4.3,290,9.3,35.5571,129.32249,34.69
2017,1,24,24,10.44,3.4,-6.3,0.0,-2.2,33.9,3.2,320,9.4,35.5571,129.32249,34.69
2017,1,25,25,10.577,6.7,-5.3,0.0,-0.1,33.8,2.3,340,9.5,35.5571,129.32249,34.69
2017,1,26,26,10.643,11.5,-5.3,0.0,3.4,26.3,2.5,200,9.5,35.5571,129.32249,34.69
2017,1,27,27,8.211,9.5,1.4,0.0,5.9,27.0,3.0,320,6.1,35.5571,129.32249,34.69
2017,1,28,28,10.558,11.3,-1.2,0.0,4.9,37.8,2.1,340,9.2,35.5571,129.32249,34.69
2017,1,29,29,3.787,6.7,4.0,1.9,5.6,84.0,1.1,340,0.0,35.5571,129.32249,34.69
2017,1,30,30,10.772,5.7,-2.3,0.1,2.4,54.5,3.5,340,9.3,35.5571,129.32249,34.69
2017,1,31,31,10.619,9.3,-4.7,0.0,1.6,49.0,2.7,340,9.0,35.5571,129.32249,34.69
2017,2,1,32,6.964,6.4,-2.2,0.0,1.4,31.9,3.4,320,5.7,35.5571,129.32249,34.69
2017,2,2,33,9.57,9.3,-3.9,0.0,2.4,24.5,3.4,340,9.6,35.5571,129.32249,34.69
2017,2,3,34,9.265,10.9,-1.4,0.0,4.5,43.8,2.1,340,9.1,35.5571,129.32249,34.69
2017,2,4,35,7.893,14.3,1.8,0.0,8.5,36.5,2.2,320,7.0,35.5571,129.32249,34.69
2017,2,5,36,6.114,13.4,4.0,2.4,7.1,75.6,2.6,290,4.3,35.5571,129.32249,34.69
2017,2,6,37,9.69,6.9,-0.2,0.0,2.9,42.1,3.7,290,9.6,35.5571,129.32249,34.69
2017,2,7,38,8.245,9.2,-1.8,0.0,3.3,54.0,2.4,340,7.4,35.5571,129.32249,34.69
2017,2,8,39,5.105,10.6,0.4,0.0,4.7,55.5,1.8,340,2.7,35.5571,129.32249,34.69
2017,2,9,40,9.596,3.5,-4.0,0.0,0.3,36.3,5.5,290,9.3,35.5571,129.32249,34.69
2017,2,10,41,9.975,0.8,-5.1,0.0,-2.4,38.4,4.5,290,9.8,35.5571,129.32249,34.69
2017,2,11,42,10.086,3.6,-5.9,0.0,-1.3,40.3,3.8,290,9.9,35.5571,129.32249,34.69
2017,2,12,43,10.199,6.7,-3.2,0.0,1.4,39.1,3.4,320,10.0,35.5571,129.32249,34.69
2017,2,13,44,10.04,9.0,-2.0,0.0,3.6,41.4,2.5,290,9.7,35.5571,129.32249,34.69
