year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1991,1,1,1,3.437,10.3,4.2,0.7,6.8,76.0,2.2,360,0.3,35.1871,128.56731,12.5
1991,1,2,2,8.138,4.9,-1.2,0.0,1.4,36.5,4.9,360,7.3,35.1871,128.56731,12.5
1991,1,3,3,8.43,6.2,-3.9,0.0,1.0,43.3,3.0,340,7.7,35.1871,128.56731,12.5
1991,1,4,4,7.917,3.4,-3.1,0.0,-0.1,44.5,3.1,340,6.9,35.1871,128.56731,12.5
1991,1,5,5,6.66,2.5,-4.2,0.0,-1.8,44.0,3.2,360,5.0,35.1871,128.56731,12.5
1991,1,6,6,8.309,6.1,-5.6,0.0,-0.1,49.0,1.8,340,7.4,35.1871,128.56731,12.5
1991,1,7,7,3.312,3.2,-2.6,2.9,0.3,72.8,1.5,340,0.0,35.1871,128.56731,12.5
1991,1,8,8,8.234,2.7,-4.1,0.0,-1.1,51.0,3.5,360,7.2,35.1871,128.56731,12.5
1991,1,9,9,8.472,7.0,-5.0,0.0,0.5,44.8,2.0,360,7.5,35.1871,128.56731,12.5
1991,1,10,10,7.409,9.0,-2.4,0.0,3.2,55.0,1.3,320,5.9,35.1871,128.56731,12.5
1991,1,11,11,3.723,5.9,1.4,0.0,3.6,59.0,2.1,340,0.5,35.1871,128.56731,12.5
1991,1,12,12,8.098,7.3,-0.9,0.0,2.4,51.5,3.1,340,6.8,35.1871,128.56731,12.5
1991,1,13,13,8.483,5.4,-3.6,0.0,0.2,43.8,3.0,360,7.3,35.1871,128.56731,12.5
1991,1,14,14,4.691,2.7,-5.4,0.0,-1.2,44.0,2.6,360,1.8,35.1871,128.56731,12.5
1991,1,15,15,8.076,7.5,-4.9,0.0,1.0,52.0,1.2,140,6.6,35.1871,128.56731,12.5
1991,1,16,16,6.431,8.2,-2.1,0.0,2.6,70.0,1.2,160,4.2,35.1871,128.56731,12.5
1991,1,17,17,8.867,9.1,0.5,0.0,4.5,40.8,2.8,340,7.6,35.1871,128.56731,12.5
1991,1,18,18,9.411,7.8,-2.2,0.0,2.7,31.5,3.0,340,8.3,35.1871,128.56731,12.5
1991,1,19,19,8.536,10.1,-2.2,0.0,4.0,65.5,1.5,340,7.0,35.1871,128.56731,12.5
1991,1,20,20,3.574,8.1,2.0,0.9,5.5,69.5,0.8,50,0.0,35.1871,128.56731,12.5
1991,1,21,21,3.6,8.7,5.8,22.5,7.2,87.0,2.6,340,0.0,35.1871,128.56731,12.5
1991,1,22,22,3.626,8.2,5.4,1.1,6.6,87.3,1.5,360,0.0,35.1871,128.56731,12.5
1991,1,23,23,8.81,10.4,1.6,0.0,5.4,81.0,1.2,360,7.1,35.1871,128.56731,12.5
1991,1,24,24,3.68,7.9,4.0,8.6,5.7,83.0,1.4,50,0.0,35.1871,128.56731,12.5
1991,1,25,25,9.287,8.9,1.8,0.0,5.1,50.3,2.5,290,7.6,35.1871,128.56731,12.5
1991,1,26,26,9.714,7.0,-1.8,0.0,2.5,38.8,3.3,360,8.1,35.1871,128.56731,12.5
1991,1,27,27,10.221,6.3,-2.0,0.0,2.4,34.5,3.2,360,8.7,35.1871,128.56731,12.5
1991,1,28,28,9.615,7.9,-2.0,0.0,3.2,43.3,1.8,340,7.8,35.1871,128.56731,12.5
1991,1,29,29,8.853,9.7,-1.3,0.0,3.9,59.0,1.6,320,6.7,35.1871,128.56731,12.5
1991,1,30,30,6.424,8.7,0.6,0.0,4.1,68.8,1.1,70,3.4,35.1871,128.56731,12.5
1991,1,31,31,9.428,10.4,0.6,0.0,5.0,48.5,2.0,20,7.3,35.1871,128.56731,12.5
1991,2,1,32,9.187,9.7,-1.2,0.0,3.7,43.3,3.3,360,8.9,35.1871,128.56731,12.5
1991,2,2,33,9.143,7.5,-2.4,0.0,2.5,44.0,3.5,340,8.8,35.1871,128.56731,12.5
1991,2,3,34,8.43,9.3,-3.0,0.0,3.1,46.0,1.6,20,7.7,35.1871,128.56731,12.5
1991,2,4,35,8.186,8.3,-0.7,0.0,3.0,53.5,2.3,290,7.3,35.1871,128.56731,12.5
1991,2,5,36,9.563,9.6,-2.4,0.0,2.6,51.3,2.1,360,9.3,35.1871,128.56731,12.5
1991,2,6,37,7.36,7.4,0.4,0.0,3.3,47.8,2.4,360,6.0,35.1871,128.56731,12.5
1991,2,7,38,8.882,11.3,-0.1,0.0,5.2,59.5,1.7,200,8.2,35.1871,128.56731,12.5
1991,2,8,39,9.597,10.2,2.0,0.0,6.5,42.3,2.8,340,9.2,35.1871,128.56731,12.5
1991,2,9,40,3.343,10.5,-0.2,5.2,5.1,69.8,1.2,50,0.0,35.1871,128.56731,12.5
1991,2,10,41,3.36,8.8,6.3,9.3,7.3,86.5,1.4,20,0.0,35.1871,128.56731,12.5
1991,2,11,42,7.993,11.4,4.0,0.0,7.3,67.3,2.5,270,6.7,35.1871,128.56731,12.5
1991,2,12,43,9.895,9.4,1.2,0.0,4.8,47.0,2.4,360,9.4,35.1871,128.56731,12.5
1991,2,13,44,3.416,8.8,1.8,0.0,5.1,62.5,1.1,50,0.0,35.1871,128.56731,12.5
1991,2,14,45,3.437,9.3,3.6,3.8,6.6,75.3,2.7,340,0.0,35.1871,128.56731,12.5
1991,2,15,46,3.458,7.9,4.7,19.0,6.7,90.8,3.6,20,0.0,35.1871,128.56731,12.5
1991,2,16,47,8.399,8.5,2.5,0.0,5.2,62.5,3.4,340,7.0,35.1871,128.56731,12.5
1991,2,17,48,8.514,7.6,0.7,0.0,3.6,52.0,2.8,340,7.1,35.1871,128.56731,12.5
1991,2,18,49,3.525,6.1,1.0,0.0,3.4,62.0,1.9,270,0.0,35.1871,128.56731,12.5
1991,2,19,50,10.103,5.3,-1.2,0.0,2.3,32.8,3.2,320,9.2,35.1871,128.56731,12.5
1991,2,20,51,8.155,4.7,-4.0,0.0,0.0,47.0,2.4,250,6.4,35.1871,128.56731,12.5
1991,2,21,52,9.929,2.7,-4.0,0.0,-1.0,50.0,2.9,340,8.8,35.1871,128.56731,12.5
1991,2,22,53,8.613,-1.2,-7.7,1.4,-4.9,60.5,3.1,340,6.9,35.1871,128.56731,12.5
1991,2,23,54,10.917,-0.2,-11.3,0.0,-5.5,43.5,2.5,320,10.0,35.1871,128.56731,12.5
1991,2,24,55,10.69,3.1,-8.9,0.0,-2.9,42.8,2.7,340,9.6,35.1871,128.56731,12.5
1991,2,25,56,10.755,6.2,-6.1,0.0,0.1,35.8,4.0,360,9.6,35.1871,128.56731,12.5
1991,2,26,57,11.116,8.5,-4.3,0.0,2.6,43.3,1.8,20,10.0,35.1871,128.56731,12.5
1991,2,27,58,3.767,7.1,0.2,9.0,3.8,84.3,0.9,70,0.0,35.1871,128.56731,12.5
1991,2,28,59,3.798,8.4,5.6,0.0,7.1,62.0,2.1,360,0.0,35.1871,128.56731,12.5
1991,3,1,60,9.454,12.0,2.3,0.0,6.4,41.8,3.1,340,9.3,35.1871,128.56731,12.5
1991,3,2,61,9.746,12.7,0.9,0.0,6.7,27.5,2.4,20,9.7,35.1871,128.56731,12.5
1991,3,3,62,9.773,13.5,1.7,0.0,7.3,44.5,2.4,160,9.7,35.1871,128.56731,12.5
1991,3,4,63,3.27,9.7,1.0,0.2,5.7,71.5,0.8,50,0.0,35.1871,128.56731,12.5
1991,3,5,64,9.968,16.8,3.2,0.0,8.9,58.8,1.8,160,9.9,35.1871,128.56731,12.5
1991,3,6,65,9.663,19.8,3.9,0.0,11.2,57.8,1.5,160,9.4,35.1871,128.56731,12.5
1991,3,7,66,5.35,11.4,4.1,13.0,7.6,76.0,3.5,360,3.0,35.1871,128.56731,12.5
1991,3,8,67,3.327,6.0,3.9,12.0,5.0,92.0,2.9,340,0.0,35.1871,128.56731,12.5
1991,3,9,68,4.437,10.8,4.2,0.2,6.7,82.0,1.5,360,1.6,35.1871,128.56731,12.5
1991,3,10,69,3.36,8.6,2.3,13.7,5.7,82.0,2.0,340,0.0,35.1871,128.56731,12.5
1991,3,11,70,3.378,8.5,4.7,15.0,6.5,80.8,2.2,340,0.0,35.1871,128.56731,12.5
1991,3,12,71,10.172,13.9,3.9,0.0,9.0,58.8,2.8,340,9.8,35.1871,128.56731,12.5
1991,3,13,72,10.079,15.7,4.3,0.0,9.8,40.8,2.3,360,9.6,35.1871,128.56731,12.5
1991,3,14,73,10.684,9.9,2.1,0.0,6.2,40.0,4.6,340,10.4,35.1871,128.56731,12.5
1991,3,15,74,5.697,9.5,1.6,0.0,5.0,59.5,2.3,340,3.2,35.1871,128.56731,12.5
