year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2002,1,1,1,12.35,4.8,-2.4,0.1,0.5,57.3,3.1,20,6.4,35.1698,126.8936,70.53
2002,1,2,2,2.7,-0.8,-6.1,1.9,-4.3,74.3,2.6,20,0.7,35.1698,126.8936,70.53
2002,1,3,3,8.27,3.0,-7.5,0.0,-1.7,68.0,1.5,20,5.8,35.1698,126.8936,70.53
2002,1,4,4,10.52,10.7,-0.5,0.0,4.9,68.8,2.7,250,6.2,35.1698,126.8936,70.53
2002,1,5,5,12.22,6.2,-1.7,0.0,2.6,53.0,2.4,20,7.5,35.1698,126.8936,70.53
2002,1,6,6,12.22,9.3,-5.4,0.0,1.8,53.3,1.2,230,7.8,35.1698,126.8936,70.53
2002,1,7,7,6.0,6.7,-3.0,4.5,1.1,76.8,2.7,290,1.7,35.1698,126.8936,70.53
2002,1,8,8,7.26,0.8,-3.2,2.0,-1.6,72.5,2.6,20,2.9,35.1698,126.8936,70.53
2002,1,9,9,13.26,6.0,-2.1,0.0,1.1,56.6,1.8,290,8.1,35.1698,126.8936,70.53
2002,1,10,10,6.09,11.4,-3.2,0.0,3.8,75.8,1.0,230,1.7,35.1698,126.8936,70.53
2002,1,11,11,9.32,12.0,-0.7,0.0,4.8,78.1,1.3,250,5.0,35.1698,126.8936,70.53
2002,1,12,12,8.4,13.6,-1.6,0.0,5.5,72.9,0.9,270,3.9,35.1698,126.8936,70.53
2002,1,13,13,3.93,13.5,3.7,0.0,9.5,68.0,1.3,50,0.2,35.1698,126.8936,70.53
2002,1,14,14,4.57,15.8,10.2,1.5,12.5,75.1,2.1,20,0.5,35.1698,126.8936,70.53
2002,1,15,15,1.21,16.5,11.9,48.0,15.3,92.0,2.7,230,0.0,35.1698,126.8936,70.53
2002,1,16,16,1.6,14.6,4.5,19.0,8.5,89.9,2.8,250,0.0,35.1698,126.8936,70.53
2002,1,17,17,8.95,7.6,0.9,0.0,3.8,71.3,1.8,270,3.6,35.1698,126.8936,70.53
2002,1,18,18,9.28,9.4,-0.2,0.0,4.3,70.3,1.7,20,2.8,35.1698,126.8936,70.53
2002,1,19,19,10.41,12.6,2.5,0.0,6.9,66.3,1.9,20,4.6,35.1698,126.8936,70.53
2002,1,20,20,5.01,8.5,2.2,6.5,4.3,77.8,1.6,20,0.1,35.1698,126.8936,70.53
2002,1,21,21,6.64,5.5,-0.2,0.5,1.7,73.9,2.2,290,1.6,35.1698,126.8936,70.53
2002,1,22,22,7.11,2.0,-2.6,2.5,-0.9,77.6,2.2,340,1.9,35.1698,126.8936,70.53
2002,1,23,23,8.91,2.9,-2.8,3.5,-1.0,77.5,1.8,360,3.1,35.1698,126.8936,70.53
2002,1,24,24,14.19,4.5,-3.4,0.0,-0.4,63.0,2.0,360,8.1,35.1698,126.8936,70.53
2002,1,25,25,11.98,5.9,-5.2,0.0,0.5,48.9,2.2,20,5.0,35.1698,126.8936,70.53
2002,1,26,26,2.43,3.5,1.3,4.5,2.3,78.9,2.5,20,0.0,35.1698,126.8936,70.53
2002,1,27,27,6.56,4.4,0.3,0.2,1.5,69.0,2.1,360,1.3,35.1698,126.8936,70.53
2002,1,28,28,11.08,3.5,-2.3,0.5,0.4,59.6,2.4,360,4.2,35.1698,126.8936,70.53
2002,1,29,29,13.53,3.8,-3.9,0.5,-0.3,66.4,1.6,290,6.3,35.1698,126.8936,70.53
2002,1,30,30,13.26,5.5,-1.5,0.0,1.5,51.0,2.1,340,6.8,35.1698,126.8936,70.53
2002,1,31,31,15.37,5.3,-3.2,0.0,0.3,48.9,2.3,360,8.2,35.1698,126.8936,70.53
2002,2,1,32,12.43,8.3,-4.8,0.0,1.1,54.3,1.4,250,6.3,35.1698,126.8936,70.53
2002,2,2,33,11.13,10.1,-2.9,0.0,2.7,67.6,1.0,250,5.1,35.1698,126.8936,70.53
2002,2,3,34,14.26,11.2,-3.5,0.0,2.9,65.8,1.1,230,7.2,35.1698,126.8936,70.53
2002,2,4,35,6.25,8.9,-2.4,0.0,3.9,65.4,1.1,50,0.0,35.1698,126.8936,70.53
2002,2,5,36,13.88,12.6,1.7,0.0,5.8,51.9,1.3,250,7.7,35.1698,126.8936,70.53
2002,2,6,37,12.72,11.8,-3.4,0.0,4.6,63.3,1.7,230,6.4,35.1698,126.8936,70.53
2002,2,7,38,16.0,11.4,0.3,0.0,5.4,41.5,2.6,20,8.4,35.1698,126.8936,70.53
2002,2,8,39,9.43,10.1,-2.5,0.0,3.1,64.0,1.8,360,2.0,35.1698,126.8936,70.53
