year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2002,1,1,1,7.597,8.7,-1.6,0.0,4.1,43.8,3.6,340,6.4,34.8423,128.43781,31.7
2002,1,2,2,9.172,3.7,-5.7,0.0,-1.5,29.0,3.6,360,8.7,34.8423,128.43781,31.7
2002,1,3,3,9.333,5.9,-6.3,0.0,0.2,46.6,1.8,320,8.9,34.8423,128.43781,31.7
2002,1,4,4,8.885,12.3,3.5,0.0,8.3,50.8,3.5,250,8.2,34.8423,128.43781,31.7
2002,1,5,5,9.322,10.7,0.2,0.0,5.9,31.6,2.8,320,8.8,34.8423,128.43781,31.7
2002,1,6,6,9.626,10.4,-2.4,0.0,3.6,48.9,1.3,20,9.2,34.8423,128.43781,31.7
2002,1,7,7,7.603,11.8,0.2,1.0,4.0,59.4,4.3,320,6.2,34.8423,128.43781,31.7
2002,1,8,8,9.558,4.4,-1.4,0.0,0.7,43.0,5.3,320,9.0,34.8423,128.43781,31.7
2002,1,9,9,9.871,7.3,-3.4,0.0,1.8,48.8,1.8,340,9.4,34.8423,128.43781,31.7
2002,1,10,10,4.786,12.4,-0.2,0.0,6.8,67.0,0.8,250,2.0,34.8423,128.43781,31.7
2002,1,11,11,9.604,13.8,4.1,0.0,8.8,52.0,1.6,250,8.9,34.8423,128.43781,31.7
2002,1,12,12,8.111,15.0,2.4,0.0,8.9,58.8,0.6,250,6.7,34.8423,128.43781,31.7
2002,1,13,13,3.667,13.8,8.4,0.0,10.7,67.6,1.3,360,0.3,34.8423,128.43781,31.7
2002,1,14,14,3.547,14.5,11.3,1.5,12.5,78.5,1.9,20,0.1,34.8423,128.43781,31.7
2002,1,15,15,3.498,18.4,12.1,29.5,16.3,89.5,4.4,180,0.0,34.8423,128.43781,31.7
2002,1,16,16,3.52,15.5,6.8,8.5,10.6,90.6,0.4,20,0.0,34.8423,128.43781,31.7
2002,1,17,17,4.041,9.3,5.5,2.0,6.7,82.8,1.6,20,0.7,34.8423,128.43781,31.7
2002,1,18,18,6.355,9.9,4.5,0.1,6.6,72.8,1.9,360,3.9,34.8423,128.43781,31.7
2002,1,19,19,9.122,12.0,4.5,0.0,7.3,60.6,1.7,20,7.7,34.8423,128.43781,31.7
2002,1,20,20,3.903,10.9,2.7,0.0,6.8,64.9,2.4,360,0.4,34.8423,128.43781,31.7
2002,1,21,21,8.934,8.9,1.4,0.0,5.3,51.9,3.7,320,7.3,34.8423,128.43781,31.7
2002,1,22,22,9.424,6.1,0.2,0.0,2.0,49.1,5.3,320,7.9,34.8423,128.43781,31.7
2002,1,23,23,10.139,5.5,-2.0,0.0,0.8,51.3,3.5,320,8.8,34.8423,128.43781,31.7
2002,1,24,24,11.009,7.0,-3.0,0.0,1.4,46.4,1.8,360,9.9,34.8423,128.43781,31.7
2002,1,25,25,8.854,7.5,-2.7,0.0,3.2,43.6,2.4,360,6.9,34.8423,128.43781,31.7
2002,1,26,26,3.777,5.9,3.6,11.0,4.4,82.8,3.6,360,0.0,34.8423,128.43781,31.7
2002,1,27,27,10.238,9.8,-0.2,0.0,4.3,58.6,3.9,360,8.6,34.8423,128.43781,31.7
2002,1,28,28,10.904,7.2,-1.6,0.0,1.7,47.0,3.0,360,9.4,34.8423,128.43781,31.7
2002,1,29,29,11.049,6.1,-2.9,0.0,1.0,43.6,2.5,360,9.5,34.8423,128.43781,31.7
2002,1,30,30,10.208,8.5,-0.5,0.0,3.5,41.4,2.6,340,8.3,34.8423,128.43781,31.7
2002,1,31,31,11.192,6.9,-2.8,0.0,1.3,42.6,2.1,360,9.5,34.8423,128.43781,31.7
2002,2,1,32,9.216,10.0,-1.8,0.0,3.2,43.6,1.0,250,8.8,34.8423,128.43781,31.7
2002,2,2,33,9.308,12.5,0.0,0.0,4.9,52.6,1.0,360,8.9,34.8423,128.43781,31.7
2002,2,3,34,9.198,12.2,1.0,0.0,5.7,62.4,1.8,360,8.7,34.8423,128.43781,31.7
2002,2,4,35,4.603,12.0,1.5,0.0,6.3,67.8,1.0,20,1.9,34.8423,128.43781,31.7
2002,2,5,36,6.527,12.7,4.5,0.0,7.8,67.6,1.0,250,4.7,34.8423,128.43781,31.7
2002,2,6,37,9.49,13.6,1.0,0.0,7.7,53.5,1.6,250,9.0,34.8423,128.43781,31.7
2002,2,7,38,9.934,12.6,3.0,0.0,7.8,44.8,2.1,360,9.6,34.8423,128.43781,31.7
2002,2,8,39,7.082,12.6,1.1,0.0,7.2,52.1,2.1,250,5.4,34.8423,128.43781,31.7
2002,2,9,40,9.802,7.6,-0.2,0.0,3.2,25.5,3.3,360,9.3,34.8423,128.43781,31.7
2002,2,10,41,9.772,9.1,0.7,0.0,4.1,41.0,3.5,320,9.2,34.8423,128.43781,31.7
2002,2,11,42,9.117,8.7,-2.1,0.0,2.1,32.3,3.5,320,8.2,34.8423,128.43781,31.7
2002,2,12,43,10.064,8.2,-3.0,0.0,2.6,36.1,2.0,250,9.5,34.8423,128.43781,31.7
2002,2,13,44,9.899,10.9,1.0,0.0,5.0,36.4,2.3,20,9.2,34.8423,128.43781,31.7
2002,2,14,45,10.226,11.0,-0.9,0.0,4.3,38.5,2.1,360,9.6,34.8423,128.43781,31.7
2002,2,15,46,10.346,11.4,-1.0,0.0,4.2,42.6,1.7,20,9.7,34.8423,128.43781,31.7
2002,2,16,47,9.546,11.6,-0.2,0.0,6.0,48.1,1.5,20,8.5,34.8423,128.43781,31.7
2002,2,17,48,9.239,15.2,4.5,0.0,9.0,44.3,2.9,320,8.0,34.8423,128.43781,31.7
2002,2,18,49,10.646,9.2,-0.3,0.0,3.7,24.8,3.3,340,9.9,34.8423,128.43781,31.7
2002,2,19,50,10.559,7.5,-2.6,0.0,2.0,38.9,2.0,340,9.7,34.8423,128.43781,31.7
2002,2,20,51,10.761,11.4,-1.5,0.0,5.4,50.9,1.1,230,9.9,34.8423,128.43781,31.7
2002,2,21,52,3.785,11.5,3.6,11.5,7.1,77.3,0.7,360,0.2,34.8423,128.43781,31.7
2002,2,22,53,10.59,14.2,3.4,0.0,8.3,72.9,1.5,20,9.5,34.8423,128.43781,31.7
2002,2,23,54,7.575,13.5,3.3,0.0,7.4,57.5,2.0,20,5.3,34.8423,128.43781,31.7
2002,2,24,55,9.757,13.7,4.3,0.0,7.8,54.9,2.1,20,8.2,34.8423,128.43781,31.7
2002,2,25,56,9.742,13.4,2.6,0.0,9.0,63.5,1.9,250,8.1,34.8423,128.43781,31.7
2002,2,26,57,5.562,14.5,8.5,0.0,10.7,53.1,1.9,250,2.4,34.8423,128.43781,31.7
2002,2,27,58,3.807,12.5,6.2,3.5,8.9,64.3,0.7,20,0.0,34.8423,128.43781,31.7
2002,2,28,59,9.927,15.5,6.1,0.1,9.6,70.1,1.2,20,8.1,34.8423,128.43781,31.7
2002,3,1,60,4.762,14.2,4.9,0.0,9.4,65.1,2.0,20,2.2,34.8423,128.43781,31.7
2002,3,2,61,3.964,14.2,5.6,0.0,8.9,68.9,1.9,20,1.0,34.8423,128.43781,31.7
2002,3,3,62,5.536,13.7,5.4,0.0,8.6,67.5,2.0,20,3.3,34.8423,128.43781,31.7
2002,3,4,63,8.749,14.5,2.0,0.0,8.2,42.8,1.8,360,8.0,34.8423,128.43781,31.7
2002,3,5,64,3.324,9.2,5.8,7.0,7.2,84.0,2.8,360,0.0,34.8423,128.43781,31.7
2002,3,6,65,9.216,11.2,2.8,0.0,6.6,51.5,4.6,320,8.6,34.8423,128.43781,31.7
2002,3,7,66,10.346,11.3,-1.1,0.0,4.3,35.0,2.5,360,10.2,34.8423,128.43781,31.7
2002,3,8,67,10.314,11.7,-1.5,0.0,6.0,44.9,1.5,230,10.1,34.8423,128.43781,31.7
2002,3,9,68,10.009,15.9,3.9,0.0,10.9,68.0,2.5,250,9.6,34.8423,128.43781,31.7
2002,3,10,69,7.348,16.4,9.5,0.0,12.9,57.5,3.4,250,5.7,34.8423,128.43781,31.7
2002,3,11,70,10.438,15.6,4.0,0.0,10.1,37.5,1.7,250,10.1,34.8423,128.43781,31.7
2002,3,12,71,8.809,18.0,5.2,0.0,10.9,44.4,1.0,360,7.7,34.8423,128.43781,31.7
2002,3,13,72,10.389,17.7,6.9,0.0,12.0,61.9,1.3,160,9.9,34.8423,128.43781,31.7
2002,3,14,73,3.477,11.9,8.7,74.5,10.5,87.0,3.0,20,0.0,34.8423,128.43781,31.7
2002,3,15,74,10.275,17.7,9.5,0.1,12.6,60.0,3.2,320,9.6,34.8423,128.43781,31.7
2002,3,16,75,10.397,17.1,6.9,0.0,11.7,49.0,1.9,230,9.7,34.8423,128.43781,31.7
2002,3,17,76,9.666,18.0,8.5,0.0,13.1,46.6,2.6,250,8.6,34.8423,128.43781,31.7
2002,3,18,77,10.861,17.2,8.6,0.0,12.3,28.1,3.0,290,10.2,34.8423,128.43781,31.7
2002,3,19,78,10.272,15.7,7.0,0.0,11.8,50.1,3.7,250,9.3,34.8423,128.43781,31.7
2002,3,20,79,9.678,19.1,8.6,0.0,14.4,74.1,3.4,180,8.4,34.8423,128.43781,31.7
2002,3,21,80,6.904,17.5,11.0,21.0,13.7,51.1,6.0,250,4.5,34.8423,128.43781,31.7
2002,3,22,81,3.666,12.9,6.7,0.0,10.1,43.6,3.2,320,0.0,34.8423,128.43781,31.7
2002,3,23,82,10.944,13.8,5.2,0.0,8.7,32.3,4.4,320,9.9,34.8423,128.43781,31.7
2002,3,24,83,8.8,11.7,2.5,0.0,7.7,36.4,2.2,180,6.9,34.8423,128.43781,31.7
2002,3,25,84,10.704,14.6,4.1,0.0,9.4,47.1,1.9,180,9.4,34.8423,128.43781,31.7
2002,3,26,85,3.777,13.5,5.3,0.1,9.7,67.8,1.2,360,0.0,34.8423,128.43781,31.7
2002,3,27,86,11.285,19.4,8.2,0.0,12.6,51.5,2.4,360,10.0,34.8423,128.43781,31.7
2002,3,28,87,10.077,18.3,7.9,1.5,12.4,58.1,2.0,20,8.3,34.8423,128.43781,31.7
2002,3,29,88,7.723,17.3,9.4,36.5,11.8,81.5,2.8,20,5.1,34.8423,128.43781,31.7
2002,3,30,89,6.559,16.5,9.5,0.0,12.8,78.8,2.4,160,3.5,34.8423,128.43781,31.7
2002,3,31,90,10.81,21.6,11.3,0.0,14.5,66.5,1.8,250,9.0,34.8423,128.43781,31.7
2002,4,1,91,9.419,22.9,9.1,0.0,15.7,51.3,1.4,250,9.1,34.8423,128.43781,31.7
2002,4,2,92,9.24,20.8,10.1,0.0,15.3,61.1,1.7,140,8.8,34.8423,128.43781,31.7
2002,4,3,93,8.452,21.7,9.7,0.0,14.4,60.6,1.8,160,7.6,34.8423,128.43781,31.7
2002,4,4,94,10.516,18.6,6.5,0.0,12.5,43.5,1.5,20,10.6,34.8423,128.43781,31.7
2002,4,5,95,10.208,20.7,8.4,0.0,15.3,49.8,2.4,20,10.1,34.8423,128.43781,31.7
2002,4,6,96,3.338,17.5,13.7,69.0,15.8,85.3,5.6,160,0.0,34.8423,128.43781,31.7
2002,4,7,97,6.438,18.9,11.4,0.0,14.2,85.4,1.4,160,4.5,34.8423,128.43781,31.7
2002,4,8,98,5.706,19.1,11.5,0.0,14.4,48.4,2.3,320,3.4,34.8423,128.43781,31.7
2002,4,9,99,9.457,14.4,7.6,0.0,11.4,39.1,3.2,250,8.8,34.8423,128.43781,31.7
2002,4,10,100,7.694,15.1,7.8,0.0,11.4,40.3,2.5,360,6.2,34.8423,128.43781,31.7
2002,4,11,101,4.531,16.7,7.7,0.0,12.1,45.8,1.4,180,1.6,34.8423,128.43781,31.7
2002,4,12,102,10.064,17.8,6.8,0.0,12.9,58.5,3.1,250,9.5,34.8423,128.43781,31.7
2002,4,13,103,10.459,16.7,9.6,0.0,13.2,52.9,3.5,250,10.0,34.8423,128.43781,31.7
2002,4,14,104,8.117,20.8,13.1,1.5,16.9,73.5,4.3,200,6.6,34.8423,128.43781,31.7
2002,4,15,105,3.498,18.6,14.2,77.0,16.1,89.9,4.2,180,0.0,34.8423,128.43781,31.7
2002,4,16,106,4.158,20.4,15.2,30.5,18.1,86.0,4.6,230,0.9,34.8423,128.43781,31.7
2002,4,17,107,8.242,19.6,9.2,0.4,14.4,33.6,3.5,360,6.6,34.8423,128.43781,31.7
2002,4,18,108,6.641,14.9,6.4,0.0,11.3,48.1,2.2,250,4.3,34.8423,128.43781,31.7
2002,4,19,109,9.481,19.7,7.3,0.0,13.4,50.8,1.8,160,8.2,34.8423,128.43781,31.7
2002,4,20,110,5.347,19.0,8.7,0.4,14.4,59.3,1.6,20,2.4,34.8423,128.43781,31.7
2002,4,21,111,11.328,25.3,14.1,0.5,18.6,70.5,2.5,360,10.6,34.8423,128.43781,31.7
2002,4,22,112,5.488,22.7,13.7,0.0,17.4,80.4,1.2,20,2.5,34.8423,128.43781,31.7
2002,4,23,113,3.692,17.6,15.5,78.5,16.9,91.5,2.3,140,0.0,34.8423,128.43781,31.7
2002,4,24,114,9.904,22.1,10.4,0.0,16.8,52.4,2.9,360,8.4,34.8423,128.43781,31.7
2002,4,25,115,9.52,18.7,8.0,0.0,11.9,48.9,3.4,360,7.8,34.8423,128.43781,31.7
2002,4,26,116,11.216,19.5,8.4,0.0,12.9,51.9,2.0,20,10.0,34.8423,128.43781,31.7
2002,4,27,117,6.499,18.7,10.4,0.0,13.6,58.0,2.3,360,3.6,34.8423,128.43781,31.7
2002,4,28,118,3.837,16.9,11.1,0.4,14.1,64.4,2.0,360,0.0,34.8423,128.43781,31.7
2002,4,29,119,3.868,19.8,13.1,2.0,16.9,77.1,4.0,180,0.0,34.8423,128.43781,31.7
2002,4,30,120,3.899,19.9,14.3,11.0,16.8,88.3,5.6,180,0.0,34.8423,128.43781,31.7
2002,5,1,121,4.222,19.7,13.7,0.0,15.9,58.1,2.6,20,1.4,34.8423,128.43781,31.7
2002,5,2,122,9.443,22.5,13.5,0.0,17.0,51.8,2.4,20,9.1,34.8423,128.43781,31.7
2002,5,3,123,3.299,18.0,13.4,40.0,15.7,89.6,1.6,360,0.0,34.8423,128.43781,31.7
2002,5,4,124,8.545,26.0,16.4,7.0,19.0,83.5,1.3,20,7.7,34.8423,128.43781,31.7
2002,5,5,125,4.96,25.2,15.2,0.0,18.1,61.9,1.3,20,2.4,34.8423,128.43781,31.7
2002,5,6,126,3.338,18.2,11.8,2.5,14.4,61.4,2.7,20,0.0,34.8423,128.43781,31.7
2002,5,7,127,3.352,14.6,11.6,26.0,13.1,90.4,3.0,20,0.0,34.8423,128.43781,31.7
2002,5,8,128,3.574,19.3,12.7,1.5,14.9,78.9,1.8,360,0.3,34.8423,128.43781,31.7
2002,5,9,129,5.73,21.2,11.7,0.0,15.7,65.9,1.7,20,3.4,34.8423,128.43781,31.7
2002,5,10,130,3.47,18.9,12.5,0.0,15.7,72.9,1.1,360,0.1,34.8423,128.43781,31.7
2002,5,11,131,10.924,19.5,11.4,0.0,15.3,73.6,1.7,160,10.8,34.8423,128.43781,31.7
2002,5,12,132,9.785,22.1,12.6,0.0,17.0,76.9,1.1,20,9.1,34.8423,128.43781,31.7
2002,5,13,133,8.779,22.3,14.2,0.0,17.9,78.0,0.9,160,7.6,34.8423,128.43781,31.7
2002,5,14,134,3.477,22.8,14.2,5.0,17.8,76.9,0.9,20,0.0,34.8423,128.43781,31.7
2002,5,15,135,3.498,17.0,13.9,39.5,15.8,89.9,3.5,20,0.0,34.8423,128.43781,31.7
2002,5,16,136,3.52,17.3,14.4,2.5,15.8,87.1,1.6,360,0.0,34.8423,128.43781,31.7
2002,5,17,137,3.542,16.5,13.9,1.0,14.9,86.6,0.9,20,0.0,34.8423,128.43781,31.7
2002,5,18,138,3.565,16.2,13.8,8.5,14.8,92.3,1.4,20,0.0,34.8423,128.43781,31.7
2002,5,19,139,9.84,21.7,13.7,0.0,16.9,79.4,1.5,180,8.7,34.8423,128.43781,31.7
2002,5,20,140,11.483,25.3,12.2,0.0,18.5,69.9,1.2,20,10.9,34.8423,128.43781,31.7
2002,5,21,141,9.877,26.2,14.7,0.0,19.8,66.8,1.1,140,8.6,34.8423,128.43781,31.7
2002,5,22,142,4.467,23.3,16.5,0.5,19.4,70.0,1.1,140,1.1,34.8423,128.43781,31.7
2002,5,23,143,11.53,27.3,16.1,0.0,20.0,70.5,1.5,20,10.7,34.8423,128.43781,31.7
2002,5,24,144,12.187,28.2,13.6,0.0,21.2,43.1,1.8,250,11.5,34.8423,128.43781,31.7
2002,5,25,145,12.258,26.3,15.0,0.0,20.8,48.6,1.6,140,11.5,34.8423,128.43781,31.7
2002,5,26,146,12.034,27.4,15.6,0.0,20.8,52.0,2.1,140,11.1,34.8423,128.43781,31.7
2002,5,27,147,12.332,23.2,13.5,0.0,17.7,69.8,2.2,180,11.4,34.8423,128.43781,31.7
2002,5,28,148,6.393,22.2,13.4,0.3,18.1,76.5,1.4,180,3.4,34.8423,128.43781,31.7
2002,5,29,149,11.427,24.1,14.6,0.0,19.4,78.3,2.3,180,10.0,34.8423,128.43781,31.7
2002,5,30,150,4.659,22.0,17.0,0.1,19.0,84.0,2.8,230,1.0,34.8423,128.43781,31.7
2002,5,31,151,12.185,24.0,16.1,0.0,19.9,77.4,1.6,180,10.8,34.8423,128.43781,31.7
2002,6,1,152,8.879,26.2,17.5,0.0,20.8,77.8,1.5,160,8.3,34.8423,128.43781,31.7
2002,6,2,153,7.414,25.4,17.3,0.5,20.2,81.5,1.5,160,6.1,34.8423,128.43781,31.7
2002,6,3,154,7.842,24.1,17.4,0.0,20.2,82.9,1.3,180,6.7,34.8423,128.43781,31.7
2002,6,4,155,7.39,24.0,17.6,0.0,19.4,88.1,1.2,160,6.0,34.8423,128.43781,31.7
2002,6,5,156,10.413,29.8,19.2,0.0,23.3,61.9,1.6,20,10.4,34.8423,128.43781,31.7
2002,6,6,157,11.062,30.8,17.2,0.0,23.4,59.6,1.5,20,11.3,34.8423,128.43781,31.7
2002,6,7,158,11.031,26.6,16.9,0.0,21.8,71.9,1.4,160,11.2,34.8423,128.43781,31.7
2002,6,8,159,10.039,28.3,19.2,0.0,23.8,59.3,1.6,230,9.7,34.8423,128.43781,31.7
2002,6,9,160,8.905,27.1,18.6,0.0,22.3,54.4,1.9,50,8.0,34.8423,128.43781,31.7
2002,6,10,161,3.401,24.7,17.3,14.5,22.0,86.1,3.7,230,0.0,34.8423,128.43781,31.7
2002,6,11,162,8.284,27.6,18.5,6.0,23.1,73.1,3.0,250,7.0,34.8423,128.43781,31.7
2002,6,12,163,9.855,25.9,15.6,0.0,21.7,71.3,1.9,160,9.2,34.8423,128.43781,31.7
2002,6,13,164,9.199,26.7,19.6,0.0,22.0,81.5,1.6,160,8.2,34.8423,128.43781,31.7
2002,6,14,165,11.562,26.2,17.4,0.0,21.4,62.9,2.0,20,11.5,34.8423,128.43781,31.7
2002,6,15,166,6.604,26.9,17.6,0.0,21.1,73.5,0.7,160,4.4,34.8423,128.43781,31.7
2002,6,16,167,10.467,27.8,17.3,0.0,21.5,69.5,1.5,180,9.8,34.8423,128.43781,31.7
2002,6,17,168,6.462,28.3,18.8,0.0,22.5,71.5,0.9,20,4.1,34.8423,128.43781,31.7
2002,6,18,169,10.861,28.8,18.3,0.0,22.1,71.8,1.5,160,10.2,34.8423,128.43781,31.7
2002,6,19,170,4.308,25.8,18.9,0.0,21.7,83.4,2.6,160,1.0,34.8423,128.43781,31.7
2002,6,20,171,9.75,27.7,20.4,0.0,23.0,73.9,2.6,20,8.5,34.8423,128.43781,31.7
2002,6,21,172,11.908,29.5,19.4,0.0,23.5,69.5,2.1,180,11.4,34.8423,128.43781,31.7
2002,6,22,173,9.715,26.3,19.9,0.0,22.1,62.5,2.1,50,8.3,34.8423,128.43781,31.7
2002,6,23,174,3.692,22.5,17.4,1.0,19.4,73.0,1.5,50,0.0,34.8423,128.43781,31.7
2002,6,24,175,3.72,17.8,16.2,41.5,17.0,87.0,2.8,20,0.0,34.8423,128.43781,31.7
2002,6,25,176,5.598,23.3,15.6,0.0,18.6,63.8,2.1,20,2.5,34.8423,128.43781,31.7
2002,6,26,177,12.332,24.4,13.0,0.0,18.4,62.6,2.2,20,11.5,34.8423,128.43781,31.7
2002,6,27,178,12.033,25.0,14.7,0.0,18.6,73.5,1.8,180,11.0,34.8423,128.43781,31.7
2002,6,28,179,10.904,25.6,15.0,0.0,20.4,68.3,1.5,20,9.4,34.8423,128.43781,31.7
