year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2025,1,1,1,12.09,10.5,0.6,0.0,5.2,51.5,3.8,340,8.9,34.7362,127.7428,66.05
2025,1,2,2,11.41,11.3,3.8,0.0,6.2,45.6,3.8,320,8.8,34.7362,127.7428,66.05
2025,1,3,3,12.67,5.3,0.9,0.0,2.7,38.1,4.4,320,9.1,34.7362,127.7428,66.05
2025,1,4,4,12.41,8.3,0.7,0.0,3.8,49.9,3.4,320,9.0,34.7362,127.7428,66.05
2025,1,5,5,2.69,6.1,1.2,2.5,3.9,74.8,1.1,90,0.0,34.7362,127.7428,66.05
2025,1,6,6,9.7,8.7,0.5,0.1,4.1,69.9,4.8,320,7.1,34.7362,127.7428,66.05
2025,1,7,7,10.05,3.8,-1.2,0.0,1.1,62.4,4.9,320,6.3,34.7362,127.7428,66.05
2025,1,8,8,11.8,7.9,-0.2,0.0,2.9,60.1,4.5,290,7.5,34.7362,127.7428,66.05
2025,1,9,9,11.0,-0.2,-7.8,0.0,-4.0,49.3,6.4,320,7.3,34.7362,127.7428,66.05
2025,1,10,10,13.25,0.7,-8.4,0.0,-3.2,49.8,6.0,320,9.1,34.7362,127.7428,66.05
2025,1,11,11,11.22,4.3,-3.4,0.0,0.1,57.6,3.5,290,6.2,34.7362,127.7428,66.05
2025,1,12,12,12.39,4.4,-2.1,0.0,1.0,50.8,5.0,320,8.7,34.7362,127.7428,66.05
2025,1,13,13,12.79,7.5,-0.7,0.0,2.6,54.0,3.5,290,8.8,34.7362,127.7428,66.05
2025,1,14,14,11.22,11.6,1.4,0.0,5.9,54.4,2.6,250,8.6,34.7362,127.7428,66.05
2025,1,15,15,13.37,4.4,-1.7,0.0,0.9,45.9,6.4,320,9.0,34.7362,127.7428,66.05
2025,1,16,16,13.17,6.7,-2.3,0.0,2.2,51.5,5.6,320,9.0,34.7362,127.7428,66.05
2025,1,17,17,12.57,7.4,0.2,0.0,3.4,60.0,1.8,230,9.0,34.7362,127.7428,66.05
2025,1,18,18,11.04,8.6,-0.4,0.0,3.8,59.1,1.8,250,6.1,34.7362,127.7428,66.05
2025,1,19,19,13.14,11.6,0.5,0.0,5.6,50.9,2.7,270,9.0,34.7362,127.7428,66.05
2025,1,20,20,12.02,10.2,2.5,0.0,5.9,59.9,3.5,250,8.5,34.7362,127.7428,66.05
2025,1,21,21,12.59,10.1,1.1,0.0,5.2,55.3,2.9,340,8.9,34.7362,127.7428,66.05
2025,1,22,22,9.04,9.4,1.4,0.0,5.7,58.0,2.0,230,5.1,34.7362,127.7428,66.05
2025,1,23,23,11.75,12.0,2.8,0.0,6.6,58.0,1.6,90,8.4,34.7362,127.7428,66.05
2025,1,24,24,12.72,12.0,4.6,0.0,7.4,51.6,3.3,70,8.5,34.7362,127.7428,66.05
2025,1,25,25,13.66,8.9,5.1,0.0,6.7,57.9,5.4,90,8.2,34.7362,127.7428,66.05
2025,1,26,26,7.91,7.7,4.3,0.0,6.0,51.5,5.1,90,3.1,34.7362,127.7428,66.05
2025,1,27,27,11.66,6.1,-0.3,3.5,2.6,66.8,5.5,290,5.5,34.7362,127.7428,66.05
2025,1,28,28,13.06,3.9,-1.6,0.0,0.1,60.5,6.9,290,6.8,34.7362,127.7428,66.05
2025,1,29,29,7.36,2.5,-1.9,0.0,-0.3,57.9,6.1,290,3.1,34.7362,127.7428,66.05
2025,1,30,30,14.56,7.9,-2.9,0.0,2.1,54.9,2.6,320,9.0,34.7362,127.7428,66.05
2025,1,31,31,6.23,6.5,1.1,0.0,4.3,63.3,2.8,90,1.3,34.7362,127.7428,66.05
