year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2001,1,1,1,10.28,8.1,0.8,0.0,4.2,63.4,6.0,230,6.4,34.6833,125.45,73.8
2001,1,2,2,10.63,7.8,2.7,0.0,4.7,52.9,10.3,360,7.1,34.6833,125.45,73.8
2001,1,3,3,6.21,2.7,0.7,0.0,1.7,66.6,7.9,360,2.3,34.6833,125.45,73.8
2001,1,4,4,7.66,2.2,-0.4,0.0,0.4,63.0,9.9,360,3.0,34.6833,125.45,73.8
2001,1,5,5,9.17,1.4,-0.6,0.0,0.4,69.8,5.0,50,4.9,34.6833,125.45,73.8
2001,1,6,6,4.74,5.2,-0.4,5.7,2.2,66.8,7.1,50,2.3,34.6833,125.45,73.8
2001,1,7,7,1.92,10.8,2.7,16.7,5.8,88.1,10.1,360,0.0,34.6833,125.45,73.8
2001,1,8,8,10.13,7.2,4.3,0.0,5.3,80.9,7.4,50,4.4,34.6833,125.45,73.8
2001,1,9,9,1.72,7.8,1.7,6.8,5.0,77.3,11.7,360,0.0,34.6833,125.45,73.8
2001,1,10,10,10.36,3.3,0.7,0.0,1.6,61.1,6.3,360,4.5,34.6833,125.45,73.8
2001,1,11,11,10.12,5.9,-0.7,0.0,2.3,70.9,6.8,20,5.1,34.6833,125.45,73.8
2001,1,12,12,8.36,1.4,-1.8,0.0,-0.3,71.5,5.8,360,3.3,34.6833,125.45,73.8
2001,1,13,13,5.12,1.3,-2.9,1.4,-0.3,80.6,8.0,20,1.4,34.6833,125.45,73.8
2001,1,14,14,4.95,-2.1,-5.9,0.1,-3.9,78.3,12.2,360,1.0,34.6833,125.45,73.8
2001,1,15,15,5.27,-1.9,-5.6,1.0,-3.3,74.5,12.7,360,1.3,34.6833,125.45,73.8
2001,1,16,16,5.57,-0.5,-4.0,0.5,-2.0,75.8,8.0,360,0.6,34.6833,125.45,73.8
2001,1,17,17,9.43,2.0,-2.5,0.0,-0.1,77.6,3.1,110,4.9,34.6833,125.45,73.8
2001,1,18,18,10.99,9.8,0.6,0.0,4.9,67.4,2.8,160,5.5,34.6833,125.45,73.8
2001,1,19,19,1.74,5.3,3.7,3.5,4.5,77.9,5.0,70,0.0,34.6833,125.45,73.8
2001,1,20,20,7.92,6.2,3.4,3.3,4.7,82.3,8.7,360,2.2,34.6833,125.45,73.8
2001,1,21,21,12.37,5.5,2.9,0.0,3.8,68.9,5.6,360,7.8,34.6833,125.45,73.8
2001,1,22,22,8.22,4.2,1.8,0.0,3.2,65.0,7.4,20,4.1,34.6833,125.45,73.8
2001,1,23,23,11.9,3.7,1.4,0.0,2.4,59.0,9.8,20,6.3,34.6833,125.45,73.8
2001,1,24,24,3.54,6.4,1.7,0.0,4.7,65.8,5.7,50,0.0,34.6833,125.45,73.8
2001,1,25,25,8.8,5.2,4.1,0.0,4.5,69.0,10.1,20,2.4,34.6833,125.45,73.8
2001,1,26,26,2.98,5.1,1.9,7.5,3.4,86.1,3.5,20,0.0,34.6833,125.45,73.8
2001,1,27,27,10.37,5.6,2.2,3.6,4.2,67.8,8.4,360,5.2,34.6833,125.45,73.8
2001,1,28,28,3.85,5.2,-0.8,0.0,2.4,64.4,10.0,360,0.4,34.6833,125.45,73.8
2001,1,29,29,10.09,6.2,1.3,0.0,3.0,49.5,5.6,270,3.9,34.6833,125.45,73.8
