year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1987,1,1,1,5.653,7.3,0.1,0.8,3.3,55.8,5.1,360,3.4,34.3927,126.7039,34.87
1987,1,2,2,3.341,9.3,5.5,24.1,7.4,90.8,5.3,20,0.0,34.3927,126.7039,34.87
1987,1,3,3,7.607,7.3,1.5,0.0,5.0,66.8,9.3,340,6.2,34.3927,126.7039,34.87
1987,1,4,4,8.18,6.8,-0.3,0.0,3.2,52.5,6.0,360,7.0,34.3927,126.7039,34.87
1987,1,5,5,6.136,7.9,3.3,0.0,5.3,49.5,5.0,340,4.0,34.3927,126.7039,34.87
1987,1,6,6,5.189,8.1,3.2,0.0,5.3,65.0,2.9,340,2.6,34.3927,126.7039,34.87
1987,1,7,7,3.475,12.2,2.6,1.0,5.6,88.0,3.7,320,0.1,34.3927,126.7039,34.87
1987,1,8,8,9.127,8.9,2.7,0.0,5.9,64.0,3.4,270,8.2,34.3927,126.7039,34.87
1987,1,9,9,8.953,9.6,1.4,0.0,7.0,70.0,6.0,340,7.9,34.3927,126.7039,34.87
1987,1,10,10,9.199,3.6,-1.1,0.0,0.7,57.3,7.4,360,8.2,34.3927,126.7039,34.87
1987,1,11,11,5.862,4.2,-1.3,0.0,1.4,55.8,5.7,360,3.4,34.3927,126.7039,34.87
1987,1,12,12,3.773,4.5,-4.9,4.8,0.9,71.8,7.0,320,0.4,34.3927,126.7039,34.87
1987,1,13,13,4.572,-1.1,-5.5,1.9,-3.1,77.3,8.0,320,1.5,34.3927,126.7039,34.87
1987,1,14,14,9.005,3.9,-2.5,0.0,0.7,69.0,3.5,340,7.7,34.3927,126.7039,34.87
1987,1,15,15,9.12,9.2,0.1,0.0,3.9,87.8,0.5,90,7.8,34.3927,126.7039,34.87
1987,1,16,16,3.572,14.0,4.4,13.8,7.9,83.8,2.9,270,0.0,34.3927,126.7039,34.87
1987,1,17,17,8.923,8.1,1.3,0.0,3.9,59.5,6.9,320,7.4,34.3927,126.7039,34.87
1987,1,18,18,3.979,5.1,1.4,0.0,3.0,64.0,3.6,320,0.5,34.3927,126.7039,34.87
1987,1,19,19,9.817,4.6,-0.9,0.0,0.9,59.5,6.3,340,8.5,34.3927,126.7039,34.87
1987,1,20,20,9.797,5.6,-1.4,0.0,1.5,74.3,2.4,360,8.4,34.3927,126.7039,34.87
1987,1,21,21,5.085,6.3,0.5,0.0,2.8,67.5,2.2,360,1.9,34.3927,126.7039,34.87
1987,1,22,22,7.549,10.4,2.5,0.4,6.4,72.3,2.9,360,5.2,34.3927,126.7039,34.87
1987,1,23,23,3.744,12.6,1.8,15.9,6.6,82.8,6.3,340,0.0,34.3927,126.7039,34.87
1987,1,24,24,5.632,2.2,-0.8,0.0,0.4,65.0,9.8,340,2.5,34.3927,126.7039,34.87
1987,1,25,25,8.96,0.7,-1.8,0.0,-0.8,67.3,8.6,340,6.9,34.3927,126.7039,34.87
1987,1,26,26,9.466,4.2,-1.0,0.0,1.7,58.8,4.5,320,7.5,34.3927,126.7039,34.87
1987,1,27,27,10.28,7.2,0.8,0.0,4.1,59.5,3.6,340,8.5,34.3927,126.7039,34.87
1987,1,28,28,10.648,9.6,1.0,0.0,5.5,53.5,1.7,270,8.9,34.3927,126.7039,34.87
1987,1,29,29,5.522,11.4,1.5,0.0,6.0,83.5,1.2,270,2.1,34.3927,126.7039,34.87
1987,1,30,30,10.859,7.2,-0.4,0.0,2.4,64.0,8.6,340,9.0,34.3927,126.7039,34.87
1987,1,31,31,11.006,1.9,-1.4,0.0,-0.2,62.0,9.6,340,9.1,34.3927,126.7039,34.87
1987,2,1,32,9.069,4.1,-2.5,0.0,0.3,62.8,4.9,360,8.4,34.3927,126.7039,34.87
1987,2,2,33,6.696,4.5,-2.9,0.7,-0.3,70.5,7.1,320,4.9,34.3927,126.7039,34.87
1987,2,3,34,6.234,1.8,-4.8,1.3,-1.2,72.8,10.6,340,4.2,34.3927,126.7039,34.87
1987,2,4,35,9.831,3.3,0.5,0.0,1.7,66.3,8.2,340,9.4,34.3927,126.7039,34.87
1987,2,5,36,9.792,7.2,0.1,0.0,4.0,66.5,4.3,320,9.3,34.3927,126.7039,34.87
1987,2,6,37,5.674,9.8,2.4,0.0,6.2,76.0,1.7,270,3.3,34.3927,126.7039,34.87
1987,2,7,38,9.788,12.6,5.1,0.0,8.4,58.5,1.3,250,9.2,34.3927,126.7039,34.87
1987,2,8,39,9.893,13.3,1.4,0.0,6.6,63.3,0.8,230,9.3,34.3927,126.7039,34.87
1987,2,9,40,9.721,15.7,4.5,0.0,10.2,74.5,2.2,230,9.0,34.3927,126.7039,34.87
1987,2,10,41,4.995,16.8,7.7,0.0,13.0,85.3,2.1,250,2.2,34.3927,126.7039,34.87
1987,2,11,42,3.472,16.8,9.7,8.0,13.7,91.5,3.5,250,0.0,34.3927,126.7039,34.87
1987,2,12,43,6.948,10.0,2.4,2.3,6.5,71.3,8.4,340,4.9,34.3927,126.7039,34.87
1987,2,13,44,10.097,11.1,1.6,0.0,6.0,56.5,3.0,360,9.3,34.3927,126.7039,34.87
1987,2,14,45,7.37,9.1,-0.2,0.0,5.5,65.8,6.9,340,5.4,34.3927,126.7039,34.87
1987,2,15,46,9.976,6.9,-0.8,0.0,2.8,47.5,7.0,340,9.0,34.3927,126.7039,34.87
1987,2,16,47,8.878,8.5,0.9,0.0,4.4,57.8,4.9,20,7.4,34.3927,126.7039,34.87
1987,2,17,48,3.595,8.4,5.1,27.5,6.5,86.0,4.8,20,0.0,34.3927,126.7039,34.87
1987,2,18,49,8.463,8.4,2.7,0.0,5.8,77.5,7.5,360,6.7,34.3927,126.7039,34.87
1987,2,19,50,3.642,6.6,2.5,1.0,4.6,79.0,5.1,340,0.0,34.3927,126.7039,34.87
1987,2,20,51,9.87,7.9,2.6,0.0,5.1,60.0,6.5,340,8.5,34.3927,126.7039,34.87
1987,2,21,52,9.044,7.6,1.5,0.0,3.3,66.8,6.3,340,7.3,34.3927,126.7039,34.87
1987,2,22,53,10.57,7.6,1.7,0.0,4.4,62.8,4.4,340,9.3,34.3927,126.7039,34.87
1987,2,23,54,9.519,11.0,4.7,0.0,8.1,74.8,3.1,250,7.8,34.3927,126.7039,34.87
1987,2,24,55,8.757,10.8,-1.9,0.0,5.3,76.0,6.6,320,6.7,34.3927,126.7039,34.87
1987,2,25,56,9.707,1.5,-3.3,0.0,-0.9,67.0,7.8,340,7.9,34.3927,126.7039,34.87
1987,2,26,57,9.541,1.4,-1.7,0.0,-0.2,64.5,6.8,320,7.6,34.3927,126.7039,34.87
1987,2,27,58,7.862,0.7,-4.7,1.7,-1.6,74.0,7.6,320,5.3,34.3927,126.7039,34.87
1987,2,28,59,11.332,8.3,-1.5,0.0,4.0,61.3,5.0,270,9.8,34.3927,126.7039,34.87
1987,3,1,60,7.566,4.7,-0.4,0.0,2.0,64.0,7.5,340,6.2,34.3927,126.7039,34.87
1987,3,2,61,10.393,4.5,-0.7,0.0,1.7,61.5,7.4,340,10.3,34.3927,126.7039,34.87
1987,3,3,62,10.352,8.9,-0.5,0.0,4.7,71.8,2.6,250,10.2,34.3927,126.7039,34.87
1987,3,4,63,3.364,12.4,5.2,0.0,9.5,85.0,2.9,290,0.0,34.3927,126.7039,34.87
1987,3,5,64,9.792,14.5,6.7,0.0,10.4,78.5,3.2,250,9.3,34.3927,126.7039,34.87
1987,3,6,65,6.919,10.2,3.1,0.8,7.1,49.3,5.5,360,5.1,34.3927,126.7039,34.87
1987,3,7,66,3.405,8.6,2.3,19.9,4.7,86.8,4.4,20,0.0,34.3927,126.7039,34.87
1987,3,8,67,6.831,7.5,0.9,10.4,4.4,80.5,1.7,360,4.9,34.3927,126.7039,34.87
1987,3,9,68,8.953,10.1,3.4,2.4,6.2,69.0,5.5,360,7.9,34.3927,126.7039,34.87
1987,3,10,69,3.454,8.6,4.3,0.0,6.7,82.8,3.5,20,0.0,34.3927,126.7039,34.87
1987,3,11,70,10.573,9.6,3.9,0.0,6.3,70.8,4.9,340,10.1,34.3927,126.7039,34.87
1987,3,12,71,3.49,10.9,3.9,3.0,7.9,81.8,3.4,110,0.0,34.3927,126.7039,34.87
1987,3,13,72,4.005,13.4,7.5,14.9,9.8,86.3,3.0,20,0.7,34.3927,126.7039,34.87
1987,3,14,73,10.143,8.4,1.7,0.0,5.5,59.5,10.1,340,9.3,34.3927,126.7039,34.87
1987,3,15,74,8.049,7.1,0.1,0.0,4.1,50.8,8.0,360,6.3,34.3927,126.7039,34.87
1987,3,16,75,7.157,9.9,3.4,0.0,7.4,68.8,1.6,140,5.0,34.3927,126.7039,34.87
1987,3,17,76,5.323,10.6,6.5,7.4,8.5,87.3,3.5,20,2.4,34.3927,126.7039,34.87
1987,3,18,77,10.994,12.9,5.6,0.0,8.5,70.0,4.0,340,10.2,34.3927,126.7039,34.87
1987,3,19,78,3.642,11.5,8.5,9.6,9.7,88.0,4.5,20,0.0,34.3927,126.7039,34.87
1987,3,20,79,10.454,11.4,7.5,0.0,9.5,79.8,3.4,110,9.3,34.3927,126.7039,34.87
1987,3,21,80,11.537,14.4,6.6,0.0,9.9,79.3,4.1,360,10.7,34.3927,126.7039,34.87
1987,3,22,81,4.012,11.9,10.0,3.2,11.1,80.3,4.2,70,0.4,34.3927,126.7039,34.87
1987,3,23,82,3.744,11.9,9.3,26.1,10.5,89.0,3.6,20,0.0,34.3927,126.7039,34.87
1987,3,24,83,4.962,10.9,2.7,1.5,7.9,80.5,5.0,340,1.6,34.3927,126.7039,34.87
1987,3,25,84,9.109,3.1,-0.3,0.0,1.2,54.5,11.3,340,7.1,34.3927,126.7039,34.87
1987,3,26,85,12.247,7.3,-0.2,0.0,3.5,50.8,4.9,320,11.2,34.3927,126.7039,34.87
1987,3,27,86,10.96,8.7,0.5,0.0,5.0,59.0,1.8,270,9.4,34.3927,126.7039,34.87
