year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2016,1,1,1,8.502,6.8,-0.5,0.0,2.1,76.9,3.3,340,7.6,34.472,126.3236,476.63
2016,1,2,2,4.766,10.1,3.0,0.0,7.0,86.3,3.2,270,2.1,34.472,126.3236,476.63
2016,1,3,3,9.369,13.2,4.4,0.0,7.3,82.9,4.0,290,8.8,34.472,126.3236,476.63
2016,1,4,4,8.229,8.1,-0.7,0.0,3.7,85.0,5.0,340,7.1,34.472,126.3236,476.63
2016,1,5,5,3.85,1.0,-3.2,0.0,-1.5,77.6,5.0,360,0.7,34.472,126.3236,476.63
2016,1,6,6,8.075,2.9,-3.6,0.0,-0.6,75.5,5.8,340,6.8,34.472,126.3236,476.63
2016,1,7,7,4.573,2.8,-1.9,0.0,-0.6,77.6,5.7,320,1.7,34.472,126.3236,476.63
2016,1,8,8,4.592,1.6,-2.9,0.0,-1.3,82.9,5.3,320,1.7,34.472,126.3236,476.63
2016,1,9,9,4.891,3.9,-2.5,0.0,-0.1,73.9,4.5,320,2.1,34.472,126.3236,476.63
2016,1,10,10,9.108,6.2,-0.8,0.0,1.3,72.9,3.4,340,8.1,34.472,126.3236,476.63
2016,1,11,11,8.304,2.5,-3.6,0.0,-1.6,73.0,4.4,340,6.9,34.472,126.3236,476.63
2016,1,12,12,7.495,1.4,-5.6,0.0,-2.9,81.9,5.1,340,5.7,34.472,126.3236,476.63
2016,1,13,13,4.49,-0.5,-4.1,0.0,-2.4,83.6,6.4,320,1.4,34.472,126.3236,476.63
2016,1,14,14,8.559,4.3,-2.2,0.0,-0.7,69.5,5.3,320,7.1,34.472,126.3236,476.63
2016,1,15,15,6.89,5.9,-1.2,0.0,1.6,67.3,1.5,270,4.7,34.472,126.3236,476.63
2016,1,16,16,9.717,8.3,0.4,0.0,3.0,58.5,1.7,110,8.6,34.472,126.3236,476.63
2016,1,17,17,3.585,5.0,-0.3,0.0,2.1,84.0,4.5,110,0.0,34.472,126.3236,476.63
2016,1,18,18,4.33,1.1,-6.7,0.0,-3.9,96.8,9.0,320,1.0,34.472,126.3236,476.63
2016,1,19,19,4.502,-5.1,-8.0,5.1,-6.7,99.4,9.2,320,1.2,34.472,126.3236,476.63
2016,1,20,20,6.571,-2.3,-7.5,0.0,-5.5,91.4,4.5,340,4.0,34.472,126.3236,476.63
2016,1,21,21,4.561,-2.2,-7.2,0.0,-5.4,95.3,4.0,360,1.2,34.472,126.3236,476.63
2016,1,22,22,8.856,-1.5,-7.1,0.0,-5.2,77.0,4.1,360,7.0,34.472,126.3236,476.63
2016,1,23,23,3.883,-6.0,-11.9,2.8,-8.6,97.9,4.6,360,0.2,34.472,126.3236,476.63
2016,1,24,24,4.208,-6.7,-12.7,4.3,-10.1,100.0,9.3,320,0.6,34.472,126.3236,476.63
2016,1,25,25,4.985,-3.4,-7.8,0.2,-5.1,100.0,7.0,290,1.6,34.472,126.3236,476.63
2016,1,26,26,6.896,1.4,-4.1,0.0,-1.7,89.8,5.1,290,4.1,34.472,126.3236,476.63
2016,1,27,27,8.751,5.3,-1.6,0.0,1.3,72.1,2.1,290,6.5,34.472,126.3236,476.63
2016,1,28,28,3.879,3.3,1.3,3.1,2.2,98.8,3.7,110,0.0,34.472,126.3236,476.63
2016,1,29,29,3.91,3.5,-0.2,3.1,1.5,100.0,4.4,110,0.0,34.472,126.3236,476.63
2016,1,30,30,7.466,5.3,-2.4,0.0,-0.2,100.0,5.7,340,4.6,34.472,126.3236,476.63
2016,1,31,31,6.208,0.0,-4.7,0.0,-3.0,89.0,6.7,340,2.9,34.472,126.3236,476.63
2016,2,1,32,5.366,-1.6,-6.0,0.0,-4.7,92.1,5.7,340,3.0,34.472,126.3236,476.63
2016,2,2,33,9.548,0.3,-6.8,0.0,-4.5,87.0,4.6,340,9.1,34.472,126.3236,476.63
2016,2,3,34,10.054,3.1,-6.4,0.0,-2.1,68.5,4.1,320,9.8,34.472,126.3236,476.63
2016,2,4,35,6.925,4.4,-2.3,0.0,-0.2,70.5,5.3,340,5.2,34.472,126.3236,476.63
2016,2,5,36,9.7,3.3,-3.3,0.0,-1.3,80.8,5.4,320,9.2,34.472,126.3236,476.63
2016,2,6,37,4.762,-1.2,-4.3,0.0,-3.0,86.5,5.9,340,2.0,34.472,126.3236,476.63
2016,2,7,38,9.696,3.4,-5.9,0.0,-2.4,75.6,3.5,340,9.1,34.472,126.3236,476.63
2016,2,8,39,9.593,6.2,-3.4,0.0,1.8,68.3,5.5,290,8.9,34.472,126.3236,476.63
2016,2,9,40,10.535,6.0,-1.1,0.0,1.3,62.5,4.7,320,10.2,34.472,126.3236,476.63
2016,2,10,41,10.436,10.5,-1.2,0.0,3.5,62.1,3.9,160,10.0,34.472,126.3236,476.63
2016,2,11,42,4.445,10.9,2.6,1.4,7.2,89.5,10.0,160,1.4,34.472,126.3236,476.63
2016,2,12,43,3.481,13.4,9.4,39.7,11.8,100.0,7.4,160,0.0,34.472,126.3236,476.63
2016,2,13,44,3.5,14.0,2.9,12.5,11.0,100.0,6.7,160,0.0,34.472,126.3236,476.63
2016,2,14,45,3.52,2.9,-5.1,0.0,-2.9,98.8,10.5,320,0.0,34.472,126.3236,476.63
2016,2,15,46,6.178,-3.3,-7.0,0.4,-5.3,96.8,7.8,320,3.7,34.472,126.3236,476.63
2016,2,16,47,7.141,2.9,-5.4,0.2,-1.6,82.5,7.4,290,5.0,34.472,126.3236,476.63
2016,2,17,48,9.981,4.6,-2.9,0.0,-0.1,70.4,4.2,320,8.9,34.472,126.3236,476.63
2016,2,18,49,9.383,8.6,-2.0,0.0,2.9,72.3,3.8,270,8.0,34.472,126.3236,476.63
2016,2,19,50,7.62,9.5,1.4,0.0,4.5,71.9,2.9,290,5.5,34.472,126.3236,476.63
2016,2,20,51,9.921,5.0,-2.3,0.0,1.0,57.5,5.7,340,8.6,34.472,126.3236,476.63
2016,2,21,52,10.123,4.9,-3.4,0.0,-0.7,64.0,4.0,340,8.8,34.472,126.3236,476.63
2016,2,22,53,3.708,4.2,-2.8,0.0,0.5,68.8,1.4,360,0.0,34.472,126.3236,476.63
2016,2,23,54,7.873,6.3,-4.0,0.0,0.5,81.1,4.9,340,5.6,34.472,126.3236,476.63
2016,2,24,55,8.516,0.7,-5.6,0.0,-3.6,74.8,5.3,340,6.4,34.472,126.3236,476.63
2016,2,25,56,11.404,4.8,-5.2,0.0,-0.7,62.3,3.9,340,10.2,34.472,126.3236,476.63
2016,2,26,57,6.22,7.5,-1.1,0.0,3.3,76.4,4.5,270,3.2,34.472,126.3236,476.63
2016,2,27,58,10.41,12.0,3.2,0.0,6.7,82.1,3.4,290,8.7,34.472,126.3236,476.63
2016,2,28,59,6.988,12.5,-1.9,1.6,5.0,94.4,6.2,340,4.1,34.472,126.3236,476.63
2016,2,29,60,7.34,-1.3,-6.3,0.2,-3.6,78.3,7.8,320,4.5,34.472,126.3236,476.63
2016,3,1,61,9.865,2.5,-5.7,0.0,-2.4,72.8,5.2,320,9.6,34.472,126.3236,476.63
2016,3,2,62,10.846,9.4,-2.9,0.0,3.0,73.6,3.1,250,11.0,34.472,126.3236,476.63
2016,3,3,63,5.329,13.3,3.8,0.0,8.7,88.3,5.3,160,2.9,34.472,126.3236,476.63
2016,3,4,64,4.041,13.1,9.9,14.4,11.1,100.0,6.0,200,1.0,34.472,126.3236,476.63
2016,3,5,65,3.368,13.5,9.7,34.4,12.2,100.0,7.5,160,0.0,34.472,126.3236,476.63
2016,3,6,66,8.49,12.7,3.5,0.0,8.6,69.1,5.1,340,7.4,34.472,126.3236,476.63
2016,3,7,67,6.304,16.1,6.7,0.0,10.6,76.3,2.9,160,4.2,34.472,126.3236,476.63
2016,3,8,68,3.411,6.7,-1.5,33.8,2.1,78.0,5.4,50,0.0,34.472,126.3236,476.63
2016,3,9,69,9.002,0.1,-3.8,4.0,-2.4,88.1,5.7,340,8.0,34.472,126.3236,476.63
2016,3,10,70,9.457,0.2,-4.5,0.0,-2.8,69.8,6.5,340,8.6,34.472,126.3236,476.63
2016,3,11,71,9.496,2.1,-4.1,0.0,-2.0,66.5,4.6,340,8.6,34.472,126.3236,476.63
2016,3,12,72,10.734,6.2,-4.5,0.0,0.7,48.3,1.8,110,10.3,34.472,126.3236,476.63
2016,3,13,73,3.712,5.7,0.2,0.1,2.0,70.0,3.8,110,0.3,34.472,126.3236,476.63
2016,3,14,74,8.133,4.6,-1.2,0.0,0.9,81.6,5.4,340,6.5,34.472,126.3236,476.63
2016,3,15,75,11.095,12.0,-1.6,0.0,4.5,52.8,2.1,50,10.6,34.472,126.3236,476.63
2016,3,16,76,7.928,13.8,3.9,0.0,8.0,66.6,2.2,160,6.1,34.472,126.3236,476.63
2016,3,17,77,10.053,18.2,7.0,0.8,11.3,59.0,3.1,160,9.0,34.472,126.3236,476.63
2016,3,18,78,3.609,12.7,8.1,9.6,10.2,100.0,4.7,140,0.0,34.472,126.3236,476.63
2016,3,19,79,11.536,11.1,2.0,0.0,6.3,84.8,8.5,340,10.9,34.472,126.3236,476.63
2016,3,20,80,9.994,14.1,1.5,0.0,6.6,71.8,2.6,340,8.7,34.472,126.3236,476.63
2016,3,21,81,10.489,15.5,3.4,0.0,7.9,76.1,3.3,290,9.3,34.472,126.3236,476.63
2016,3,22,82,12.092,14.1,1.9,0.0,6.3,83.4,5.5,320,11.4,34.472,126.3236,476.63
2016,3,23,83,8.686,12.1,0.5,0.0,4.0,74.6,6.4,340,6.7,34.472,126.3236,476.63
2016,3,24,84,11.932,10.2,0.0,0.0,3.4,69.5,5.4,340,11.0,34.472,126.3236,476.63
2016,3,25,85,11.703,10.0,-0.6,0.0,3.1,77.4,4.9,320,10.6,34.472,126.3236,476.63
2016,3,26,86,10.272,8.0,-1.1,0.0,2.2,73.6,5.3,320,8.6,34.472,126.3236,476.63
2016,3,27,87,12.447,12.6,0.1,0.0,5.3,47.0,4.5,320,11.4,34.472,126.3236,476.63
2016,3,28,88,12.522,16.6,3.2,0.0,8.3,47.5,3.9,270,11.4,34.472,126.3236,476.63
2016,3,29,89,4.672,11.9,6.9,0.0,8.8,82.9,6.2,250,1.0,34.472,126.3236,476.63
2016,3,30,90,11.451,20.7,6.8,0.0,12.8,52.6,2.0,270,9.8,34.472,126.3236,476.63
2016,3,31,91,6.67,18.6,9.9,0.0,12.7,57.8,1.8,160,3.5,34.472,126.3236,476.63
2016,4,1,92,11.16,21.7,9.9,0.0,14.2,43.6,2.8,340,11.5,34.472,126.3236,476.63
2016,4,2,93,8.934,19.2,10.2,0.0,13.2,72.5,4.8,160,8.2,34.472,126.3236,476.63
2016,4,3,94,3.343,14.8,9.9,6.9,11.7,99.8,3.0,110,0.0,34.472,126.3236,476.63
2016,4,4,95,5.483,13.3,7.5,3.7,9.2,99.3,2.5,360,3.1,34.472,126.3236,476.63
2016,4,5,96,8.186,17.0,6.7,0.0,9.6,43.5,2.8,20,7.0,34.472,126.3236,476.63
2016,4,6,97,4.072,14.9,6.3,10.7,9.8,63.4,8.5,140,1.0,34.472,126.3236,476.63
2016,4,7,98,3.812,12.1,8.1,15.5,10.1,97.8,7.6,340,0.6,34.472,126.3236,476.63
2016,4,8,99,10.148,21.1,6.7,0.0,13.8,59.1,2.8,340,9.7,34.472,126.3236,476.63
2016,4,9,100,11.44,22.9,12.3,0.0,16.0,30.3,1.7,290,11.5,34.472,126.3236,476.63
2016,4,10,101,10.925,22.8,8.6,0.0,14.9,57.400000000000006,2.7,340,10.7,34.472,126.3236,476.63
2016,4,11,102,9.496,17.6,5.9,0.0,10.6,84.5,6.0,160,8.6,34.472,126.3236,476.63
2016,4,12,103,8.129,17.5,5.4,2.9,11.0,83.0,8.8,160,6.6,34.472,126.3236,476.63
2016,4,13,104,4.419,19.1,11.4,16.6,13.7,100.0,3.2,160,1.3,34.472,126.3236,476.63
2016,4,14,105,11.753,20.1,10.3,0.0,13.9,72.0,5.3,340,11.6,34.472,126.3236,476.63
2016,4,15,106,12.306,20.5,8.3,0.0,13.1,57.9,7.2,160,12.3,34.472,126.3236,476.63
