year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1987,1,1,1,8.43,9.9,2.1,2.5,6.4,58.5,3.4,50,4.7,33.5109,126.5317,19.97
1987,1,2,2,2.29,19.7,8.7,10.2,12.0,80.3,6.1,320,0.0,33.5109,126.5317,19.97
1987,1,3,3,2.72,9.0,4.4,0.0,6.9,60.3,5.4,320,0.0,33.5109,126.5317,19.97
1987,1,4,4,10.55,7.2,2.3,0.0,4.8,52.5,2.5,360,7.4,33.5109,126.5317,19.97
1987,1,5,5,5.17,9.5,6.0,3.7,7.2,59.3,4.0,20,1.8,33.5109,126.5317,19.97
1987,1,6,6,4.62,10.4,4.2,0.0,7.2,57.3,3.1,360,0.8,33.5109,126.5317,19.97
1987,1,7,7,5.54,14.7,4.1,0.0,9.3,61.8,6.0,230,3.1,33.5109,126.5317,19.97
1987,1,8,8,10.0,10.9,6.3,0.0,8.0,55.5,5.1,290,6.1,33.5109,126.5317,19.97
1987,1,9,9,2.34,11.8,4.9,0.0,8.8,61.3,4.6,360,0.0,33.5109,126.5317,19.97
1987,1,10,10,11.68,6.8,1.3,0.0,3.7,61.0,2.7,360,8.7,33.5109,126.5317,19.97
1987,1,11,11,4.19,7.8,0.2,0.0,3.3,73.0,2.8,160,1.3,33.5109,126.5317,19.97
1987,1,12,12,2.74,9.0,-2.2,5.7,3.5,73.5,11.1,290,0.0,33.5109,126.5317,19.97
1987,1,13,13,3.25,1.3,-3.0,1.3,-0.5,67.5,13.3,320,1.5,33.5109,126.5317,19.97
1987,1,14,14,5.34,6.8,0.4,0.0,3.9,63.3,4.8,270,1.9,33.5109,126.5317,19.97
1987,1,15,15,12.23,12.6,2.4,0.0,6.8,57.8,2.9,160,8.3,33.5109,126.5317,19.97
1987,1,16,16,1.4,15.6,5.7,11.4,10.3,69.5,5.7,200,0.0,33.5109,126.5317,19.97
1987,1,17,17,8.22,10.7,4.4,0.0,6.1,53.5,7.3,290,3.3,33.5109,126.5317,19.97
1987,1,18,18,3.98,7.2,4.4,0.0,5.6,52.3,4.3,320,0.0,33.5109,126.5317,19.97
1987,1,19,19,5.63,6.3,2.1,0.0,3.5,53.3,5.6,360,2.5,33.5109,126.5317,19.97
1987,1,20,20,3.26,6.0,2.6,0.0,4.3,55.8,3.1,360,0.0,33.5109,126.5317,19.97
1987,1,21,21,5.31,8.1,3.2,0.0,5.4,69.8,2.1,160,0.2,33.5109,126.5317,19.97
1987,1,22,22,7.18,13.7,5.1,0.0,8.7,68.0,3.3,110,2.8,33.5109,126.5317,19.97
1987,1,23,23,0.48,15.7,4.5,5.8,10.2,76.0,7.3,320,0.0,33.5109,126.5317,19.97
1987,1,24,24,2.51,4.8,1.8,0.1,3.0,64.0,10.4,320,0.0,33.5109,126.5317,19.97
1987,1,25,25,3.52,2.9,1.0,0.0,1.8,61.3,8.2,340,0.9,33.5109,126.5317,19.97
1987,1,26,26,4.05,5.7,1.5,0.0,3.9,53.0,4.8,290,0.0,33.5109,126.5317,19.97
1987,1,27,27,5.38,8.6,4.8,0.0,6.6,52.8,6.5,290,0.9,33.5109,126.5317,19.97
1987,1,28,28,13.46,11.3,4.8,0.0,7.3,49.3,3.3,270,8.7,33.5109,126.5317,19.97
1987,1,29,29,10.67,14.2,1.8,0.0,8.0,55.3,4.0,180,5.2,33.5109,126.5317,19.97
1987,1,30,30,13.89,11.5,2.4,0.0,5.4,62.3,4.6,320,8.1,33.5109,126.5317,19.97
1987,1,31,31,5.94,3.3,1.0,0.0,1.9,58.3,5.5,360,2.9,33.5109,126.5317,19.97
1987,2,1,32,13.16,5.3,0.1,0.0,2.3,56.3,2.6,320,7.1,33.5109,126.5317,19.97
1987,2,2,33,1.5,4.7,-1.5,6.7,2.6,67.5,8.7,320,0.0,33.5109,126.5317,19.97
1987,2,3,34,1.67,2.9,-2.8,0.9,0.5,72.0,11.2,340,0.0,33.5109,126.5317,19.97
1987,2,4,35,4.25,4.9,2.0,0.0,3.7,59.3,7.6,320,1.5,33.5109,126.5317,19.97
1987,2,5,36,13.36,9.3,3.3,0.0,6.0,60.8,4.2,290,7.6,33.5109,126.5317,19.97
1987,2,6,37,7.24,12.1,5.0,0.0,8.0,61.5,3.8,230,1.8,33.5109,126.5317,19.97
1987,2,7,38,11.52,13.6,7.5,0.0,9.5,57.5,3.5,230,8.7,33.5109,126.5317,19.97
1987,2,8,39,14.96,15.0,4.2,0.0,9.1,47.5,2.8,160,9.3,33.5109,126.5317,19.97
1987,2,9,40,14.94,20.5,5.8,0.0,11.7,40.3,3.4,160,9.5,33.5109,126.5317,19.97
1987,2,10,41,12.27,21.3,10.2,0.0,15.9,53.0,5.7,230,6.5,33.5109,126.5317,19.97
1987,2,11,42,14.07,22.0,11.4,0.0,17.8,74.5,7.1,250,7.6,33.5109,126.5317,19.97
1987,2,12,43,6.05,11.4,4.1,9.8,7.7,69.5,4.4,340,3.2,33.5109,126.5317,19.97
1987,2,13,44,15.34,12.1,2.1,0.0,7.0,61.0,2.9,160,9.5,33.5109,126.5317,19.97
1987,2,14,45,10.63,10.8,2.7,0.0,7.2,61.8,4.7,360,4.8,33.5109,126.5317,19.97
1987,2,15,46,15.36,8.1,1.8,0.0,4.6,58.8,3.4,360,8.4,33.5109,126.5317,19.97
1987,2,16,47,11.06,12.6,1.9,0.0,7.2,59.3,3.6,110,5.5,33.5109,126.5317,19.97
1987,2,17,48,0.63,11.0,8.0,25.8,9.4,82.5,5.7,90,0.0,33.5109,126.5317,19.97
1987,2,18,49,3.04,8.9,4.9,5.2,6.9,76.5,4.8,360,0.0,33.5109,126.5317,19.97
1987,2,19,50,2.03,9.2,4.6,10.1,6.2,74.3,2.3,110,0.0,33.5109,126.5317,19.97
1987,2,20,51,15.47,8.7,5.0,2.0,6.7,56.5,3.8,360,6.7,33.5109,126.5317,19.97
1987,2,21,52,9.24,7.5,4.0,0.0,5.0,59.0,3.5,320,4.2,33.5109,126.5317,19.97
1987,2,22,53,11.32,8.4,3.8,0.0,5.9,58.8,3.7,290,4.5,33.5109,126.5317,19.97
1987,2,23,54,14.16,13.4,6.6,0.0,9.4,57.5,3.8,250,6.6,33.5109,126.5317,19.97
1987,2,24,55,5.69,12.8,1.7,0.0,6.8,64.5,7.4,320,3.7,33.5109,126.5317,19.97
1987,2,25,56,5.22,2.6,-0.4,0.1,1.3,62.5,9.4,340,0.8,33.5109,126.5317,19.97
1987,2,26,57,6.77,3.9,1.1,0.0,2.3,60.3,8.0,320,1.7,33.5109,126.5317,19.97
1987,2,27,58,6.14,2.8,-1.8,1.9,0.8,63.5,12.5,320,3.1,33.5109,126.5317,19.97
1987,2,28,59,13.82,10.5,1.3,0.0,6.3,50.8,8.1,270,6.6,33.5109,126.5317,19.97
