year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1995,1,1,1,5.14,6.5,5.1,0.0,6.0,65.3,13.2,320,2.3,33.2833,126.1667,71.7
1995,1,2,2,9.35,8.8,3.6,0.0,6.4,70.0,5.9,320,2.9,33.2833,126.1667,71.7
1995,1,3,3,1.13,11.4,5.7,15.2,8.1,89.3,5.7,70,0.0,33.2833,126.1667,71.7
1995,1,4,4,1.89,9.1,3.8,1.4,6.8,76.8,13.7,290,0.0,33.2833,126.1667,71.7
1995,1,5,5,2.64,7.6,3.0,2.0,5.6,71.3,14.5,290,0.2,33.2833,126.1667,71.7
1995,1,6,6,6.59,8.5,5.2,0.0,6.6,60.5,11.4,320,4.0,33.2833,126.1667,71.7
1995,1,7,7,10.39,14.6,8.0,0.0,11.6,58.3,6.9,250,6.2,33.2833,126.1667,71.7
1995,1,8,8,9.15,15.5,11.3,0.0,13.6,61.0,8.6,230,4.7,33.2833,126.1667,71.7
1995,1,9,9,11.69,12.3,5.3,0.0,9.1,66.8,14.0,320,7.4,33.2833,126.1667,71.7
1995,1,10,10,4.15,5.9,4.2,0.0,5.0,66.8,14.3,320,0.4,33.2833,126.1667,71.7
1995,1,11,11,5.16,5.3,3.9,0.0,4.3,66.8,11.5,320,0.8,33.2833,126.1667,71.7
1995,1,12,12,6.17,9.3,5.0,0.0,6.7,61.5,10.1,290,1.9,33.2833,126.1667,71.7
1995,1,13,13,4.33,6.9,1.3,0.3,4.8,71.0,16.5,290,1.7,33.2833,126.1667,71.7
1995,1,14,14,5.36,4.4,1.3,0.1,3.0,68.8,15.1,320,1.8,33.2833,126.1667,71.7
1995,1,15,15,4.69,7.1,4.0,0.0,5.4,58.3,7.9,320,1.5,33.2833,126.1667,71.7
1995,1,16,16,6.34,9.0,5.5,0.0,6.7,54.8,8.8,320,2.4,33.2833,126.1667,71.7
1995,1,17,17,7.74,8.3,3.3,0.0,6.8,56.0,8.7,320,1.2,33.2833,126.1667,71.7
