year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2012,1,1,1,5.367,10.1,3.8,0.0,7.2,55.3,2.9,320,2.7,33.2428,126.5674,50.47
2012,1,2,2,6.016,10.0,1.9,0.0,5.6,61.9,1.8,340,3.6,33.2428,126.5674,50.47
2012,1,3,3,5.043,9.8,3.3,0.0,6.0,56.9,2.9,320,2.2,33.2428,126.5674,50.47
2012,1,4,4,6.264,5.0,0.1,0.4,2.5,70.5,2.7,320,3.9,33.2428,126.5674,50.47
2012,1,5,5,6.213,9.0,1.3,0.0,4.9,62.4,1.4,20,3.8,33.2428,126.5674,50.47
2012,1,6,6,6.091,9.3,3.2,0.0,5.9,62.9,1.8,20,3.6,33.2428,126.5674,50.47
2012,1,7,7,7.327,10.6,3.7,0.0,6.7,66.5,1.8,20,5.3,33.2428,126.5674,50.47
2012,1,8,8,3.771,10.3,5.6,0.0,8.0,72.8,1.3,20,0.3,33.2428,126.5674,50.47
2012,1,9,9,7.31,11.2,5.5,0.0,8.0,66.6,1.9,360,5.2,33.2428,126.5674,50.47
2012,1,10,10,7.195,10.8,5.5,0.0,7.7,55.9,1.9,290,5.0,33.2428,126.5674,50.47
2012,1,11,11,8.599,8.2,1.6,0.0,4.8,56.9,2.7,290,6.9,33.2428,126.5674,50.47
2012,1,12,12,9.724,8.8,0.3,0.0,4.0,63.6,2.3,290,8.4,33.2428,126.5674,50.47
2012,1,13,13,8.308,10.4,2.6,0.0,6.4,55.3,2.3,290,6.4,33.2428,126.5674,50.47
2012,1,14,14,5.785,11.4,3.7,0.0,7.8,57.3,1.8,340,2.9,33.2428,126.5674,50.47
2012,1,15,15,3.685,10.3,6.6,0.0,8.2,49.9,2.0,70,0.0,33.2428,126.5674,50.47
2012,1,16,16,3.706,10.6,5.7,0.0,8.5,60.3,1.9,20,0.0,33.2428,126.5674,50.47
2012,1,17,17,6.097,14.8,5.4,0.0,9.6,60.5,1.7,360,3.2,33.2428,126.5674,50.47
