year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1991,1,1,1,2.62,8.2,-0.3,2.1,4.2,83.5,1.5,20,0.0,35.2054,128.12131,21.32
1991,1,2,2,11.77,4.2,-1.2,0.0,1.4,30.5,4.2,360,7.3,35.2054,128.12131,21.32
1991,1,3,3,11.31,5.0,-6.1,0.0,0.2,45.3,2.7,20,7.6,35.2054,128.12131,21.32
1991,1,4,4,10.64,2.8,-2.1,0.0,-0.3,40.5,4.5,360,5.7,35.2054,128.12131,21.32
1991,1,5,5,11.0,1.3,-4.2,0.0,-2.1,44.3,3.8,360,6.7,35.2054,128.12131,21.32
1991,1,6,6,12.18,5.5,-8.8,0.0,-2.1,57.8,1.9,180,7.8,35.2054,128.12131,21.32
1991,1,7,7,2.69,1.4,-6.6,2.1,-1.9,74.8,1.3,50,0.0,35.2054,128.12131,21.32
1991,1,8,8,12.07,3.3,-4.4,0.0,-0.9,47.0,3.2,360,7.9,35.2054,128.12131,21.32
1991,1,9,9,12.53,6.8,-9.8,0.0,-2.6,64.5,1.3,180,8.0,35.2054,128.12131,21.32
1991,1,10,10,10.57,8.1,-7.3,0.0,0.3,68.8,1.1,180,4.8,35.2054,128.12131,21.32
1991,1,11,11,5.85,6.3,-5.0,0.0,0.6,74.5,0.7,360,0.7,35.2054,128.12131,21.32
1991,1,12,12,9.54,5.7,-6.7,0.0,-1.2,70.5,1.7,360,5.2,35.2054,128.12131,21.32
1991,1,13,13,12.94,4.0,-3.6,0.0,-0.7,45.5,3.4,340,8.0,35.2054,128.12131,21.32
1991,1,14,14,6.5,2.5,-8.0,0.0,-2.5,56.5,1.7,360,1.6,35.2054,128.12131,21.32
1991,1,15,15,10.85,6.9,-9.0,0.0,-2.5,74.3,0.7,320,6.6,35.2054,128.12131,21.32
1991,1,16,16,8.05,8.1,-7.7,0.0,-1.1,72.0,0.8,180,2.3,35.2054,128.12131,21.32
1991,1,17,17,13.05,7.7,-4.9,0.0,1.0,45.3,2.6,340,8.6,35.2054,128.12131,21.32
1991,1,18,18,13.58,7.7,-10.1,0.0,-1.8,48.3,1.0,20,8.3,35.2054,128.12131,21.32
1991,1,19,19,11.83,9.1,-8.8,0.0,-1.1,74.8,0.7,20,6.6,35.2054,128.12131,21.32
