year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1987,1,1,1,5.547,-1.4,-9.3,0.0,-5.6,43.3,1.5,320,4.2,37.7046,126.4486,45.65
1987,1,2,2,2.947,1.2,-2.7,10.6,-0.4,95.8,1.2,140,0.0,37.7046,126.4486,45.65
1987,1,3,3,7.394,0.5,-10.7,0.0,-2.9,60.3,2.1,320,7.1,37.7046,126.4486,45.65
1987,1,4,4,7.545,-3.9,-13.7,0.0,-9.8,66.3,0.8,290,7.3,37.7046,126.4486,45.65
1987,1,5,5,5.624,0.0,-10.0,0.0,-6.3,63.5,0.6,20,4.2,37.7046,126.4486,45.65
1987,1,6,6,7.222,3.8,-7.5,0.0,-1.9,75.8,0.7,270,6.7,37.7046,126.4486,45.65
1987,1,7,7,3.013,3.2,-7.5,0.4,-0.1,89.0,2.2,320,0.0,37.7046,126.4486,45.65
1987,1,8,8,7.028,6.4,-7.4,0.0,0.3,80.8,1.6,270,6.3,37.7046,126.4486,45.65
1987,1,9,9,7.824,2.7,-10.8,0.0,-4.2,43.8,3.1,320,7.5,37.7046,126.4486,45.65
1987,1,10,10,7.924,-6.5,-13.4,0.0,-10.1,42.5,1.4,270,7.6,37.7046,126.4486,45.65
1987,1,11,11,7.705,-1.6,-14.5,0.0,-8.7,60.3,0.6,270,7.2,37.7046,126.4486,45.65
1987,1,12,12,6.647,-1.8,-11.6,0.1,-6.3,69.3,3.0,290,5.5,37.7046,126.4486,45.65
1987,1,13,13,8.043,-9.4,-15.5,0.0,-12.0,66.8,2.5,270,7.6,37.7046,126.4486,45.65
1987,1,14,14,6.263,-2.4,-17.0,0.0,-8.6,82.5,1.0,140,4.8,37.7046,126.4486,45.65
1987,1,15,15,6.103,5.8,-3.3,0.0,1.6,79.5,1.0,140,4.5,37.7046,126.4486,45.65
1987,1,16,16,3.184,6.1,0.8,11.3,3.6,90.5,2.1,250,0.0,37.7046,126.4486,45.65
1987,1,17,17,8.421,1.8,-8.7,0.0,-3.9,52.8,3.0,270,7.9,37.7046,126.4486,45.65
1987,1,18,18,7.542,0.5,-10.8,0.0,-5.5,71.5,1.4,270,6.5,37.7046,126.4486,45.65
1987,1,19,19,8.456,-0.2,-9.8,0.0,-5.6,60.3,1.2,270,7.8,37.7046,126.4486,45.65
1987,1,20,20,8.508,1.5,-11.3,0.0,-6.0,64.0,0.9,270,7.8,37.7046,126.4486,45.65
1987,1,21,21,8.562,3.0,-9.2,0.0,-4.2,74.3,0.7,270,7.8,37.7046,126.4486,45.65
1987,1,22,22,7.33,6.2,-6.2,0.0,-1.2,74.5,0.7,250,5.9,37.7046,126.4486,45.65
1987,1,23,23,3.36,1.9,-5.8,3.5,-0.2,77.8,2.1,270,0.0,37.7046,126.4486,45.65
1987,1,24,24,8.939,-3.5,-8.5,0.0,-7.0,48.0,4.1,270,8.1,37.7046,126.4486,45.65
1987,1,25,25,9.069,-4.0,-10.7,0.0,-7.4,36.8,2.2,270,8.2,37.7046,126.4486,45.65
1987,1,26,26,9.062,1.3,-13.5,0.0,-6.3,70.0,0.6,250,8.1,37.7046,126.4486,45.65
1987,1,27,27,8.847,5.3,-4.7,0.0,-1.6,80.8,0.7,250,7.7,37.7046,126.4486,45.65
1987,1,28,28,7.858,5.9,-5.8,0.0,-0.1,80.5,0.9,160,6.2,37.7046,126.4486,45.65
1987,1,29,29,5.799,7.0,-3.0,0.0,2.3,78.0,2.5,270,3.2,37.7046,126.4486,45.65
1987,1,30,30,9.75,-2.0,-7.8,0.0,-5.4,38.5,3.0,270,8.7,37.7046,126.4486,45.65
1987,1,31,31,9.822,-3.4,-9.5,0.0,-6.8,38.3,2.9,270,8.7,37.7046,126.4486,45.65
1987,2,1,32,8.157,-0.2,-13.6,0.0,-6.5,60.3,0.9,140,8.4,37.7046,126.4486,45.65
1987,2,2,33,6.997,-1.8,-8.3,10.1,-4.6,70.5,3.5,270,6.5,37.7046,126.4486,45.65
1987,2,3,34,7.394,-2.2,-9.1,0.0,-6.2,49.3,3.5,290,7.1,37.7046,126.4486,45.65
1987,2,4,35,8.61,0.3,-14.5,0.0,-6.6,55.8,1.1,270,9.0,37.7046,126.4486,45.65
1987,2,5,36,8.389,4.5,-12.1,0.0,-4.7,77.8,0.6,250,8.6,37.7046,126.4486,45.65
1987,2,6,37,6.34,5.5,-6.3,0.0,-0.6,87.5,1.0,140,5.3,37.7046,126.4486,45.65
1987,2,7,38,6.872,5.3,-3.9,0.0,1.1,81.5,0.7,250,6.1,37.7046,126.4486,45.65
1987,2,8,39,5.759,4.7,-5.5,0.0,-1.5,82.8,0.7,270,4.3,37.7046,126.4486,45.65
1987,2,9,40,7.761,11.8,-2.0,0.0,4.3,83.8,0.7,230,7.4,37.7046,126.4486,45.65
1987,2,10,41,3.063,10.8,4.6,13.1,8.2,94.5,1.0,140,0.0,37.7046,126.4486,45.65
1987,2,11,42,3.145,9.0,4.6,3.2,5.9,88.0,1.4,270,0.1,37.7046,126.4486,45.65
1987,2,12,43,8.84,5.2,-2.4,0.0,1.5,62.8,2.1,270,8.9,37.7046,126.4486,45.65
1987,2,13,44,6.423,4.2,-5.3,0.0,0.4,79.5,1.6,270,5.1,37.7046,126.4486,45.65
1987,2,14,45,6.263,2.8,-7.4,0.0,-3.4,58.3,3.2,270,4.8,37.7046,126.4486,45.65
1987,2,15,46,9.372,-0.6,-9.5,0.0,-5.2,42.8,2.1,270,9.5,37.7046,126.4486,45.65
1987,2,16,47,7.65,1.2,-9.1,0.0,-3.6,60.8,0.9,270,6.8,37.7046,126.4486,45.65
1987,2,17,48,4.263,5.0,-1.1,0.0,1.4,56.5,1.2,270,1.6,37.7046,126.4486,45.65
1987,2,18,49,9.333,4.9,-2.8,0.0,0.6,61.8,2.4,270,9.2,37.7046,126.4486,45.65
1987,2,19,50,6.322,3.8,-4.6,0.0,-0.8,64.8,1.5,270,4.6,37.7046,126.4486,45.65
1987,2,20,51,9.983,3.6,-4.3,0.0,-1.2,55.8,1.8,270,10.0,37.7046,126.4486,45.65
1987,2,21,52,8.562,3.5,-5.3,0.0,-1.0,71.3,1.1,250,7.8,37.7046,126.4486,45.65
1987,2,22,53,9.566,6.1,-4.8,0.0,0.3,74.5,0.9,230,9.2,37.7046,126.4486,45.65
1987,2,23,54,7.789,8.8,-0.9,0.5,4.1,76.5,1.7,270,6.5,37.7046,126.4486,45.65
1987,2,24,55,9.144,0.9,-6.1,0.0,-2.2,50.8,3.8,270,8.4,37.7046,126.4486,45.65
1987,2,25,56,10.171,-1.7,-7.8,0.0,-5.0,45.8,4.5,270,9.8,37.7046,126.4486,45.65
1987,2,26,57,10.379,-0.4,-7.5,0.0,-4.4,43.3,3.8,270,10.0,37.7046,126.4486,45.65
1987,2,27,58,10.171,-2.7,-8.3,0.0,-5.6,39.0,4.7,270,9.6,37.7046,126.4486,45.65
1987,2,28,59,8.068,4.5,-8.7,0.0,-2.1,73.0,2.4,270,6.5,37.7046,126.4486,45.65
1987,3,1,60,9.028,0.5,-5.5,0.0,-2.9,48.3,4.0,270,9.8,37.7046,126.4486,45.65
