year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2011,1,1,1,7.342,0.1,-15.2,0.0,-8.1,76.0,0.7,160.0,7.0,37.4858,127.4966,47.01
2011,1,2,2,7.176,1.3,-13.1,0.0,-7.2,78.5,0.8,180.0,6.7,37.4858,127.4966,47.01
2011,1,3,3,7.198,2.3,-13.5,0.0,-6.1,79.4,0.7,200.0,6.7,37.4858,127.4966,47.01
2011,1,4,4,3.249,-0.1,-11.6,0.0,-5.8,83.9,0.7,160.0,0.4,37.4858,127.4966,47.01
2011,1,5,5,4.212,0.2,-6.7,0.0,-3.2,69.1,1.9,270.0,1.9,37.4858,127.4966,47.01
2011,1,6,6,8.355,-2.7,-12.5,0.0,-7.9,64.3,1.6,270.0,8.4,37.4858,127.4966,47.01
2011,1,7,7,8.515,-1.3,-15.9,0.0,-9.4,67.9,1.0,180.0,8.6,37.4858,127.4966,47.01
2011,1,8,8,3.246,-3.1,-15.3,0.1,-8.2,83.5,0.6,90.0,0.3,37.4858,127.4966,47.01
2011,1,9,9,8.458,-2.2,-10.5,0.0,-5.4,58.3,2.7,270.0,8.4,37.4858,127.4966,47.01
2011,1,10,10,8.174,-2.4,-17.7,0.0,-9.7,59.6,1.2,270.0,7.9,37.4858,127.4966,47.01
2011,1,11,11,3.688,-2.7,-12.8,0.4,-7.3,71.0,1.0,140.0,0.9,37.4858,127.4966,47.01
2011,1,12,12,8.772,-3.1,-12.5,0.0,-7.8,53.3,2.4,270.0,8.7,37.4858,127.4966,47.01
2011,1,13,13,8.686,-1.3,-17.5,0.0,-9.6,65.1,0.8,180.0,8.5,37.4858,127.4966,47.01
2011,1,14,14,4.344,-1.8,-12.6,0.5,-6.5,73.0,1.1,290.0,1.8,37.4858,127.4966,47.01
2011,1,15,15,8.318,-5.2,-15.5,0.0,-10.8,42.5,3.8,290.0,7.8,37.4858,127.4966,47.01
2011,1,16,16,8.893,-9.3,-18.7,0.0,-14.0,47.3,1.9,270.0,8.6,37.4858,127.4966,47.01
2011,1,17,17,9.01,-3.4,-20.9,0.0,-12.0,61.1,1.2,290.0,8.7,37.4858,127.4966,47.01
