year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1994,1,1,1,6.517,1.2,-8.1,0.0,-3.4,75.5,0.6,270,5.6,37.2611,127.4863,77.79
1994,1,2,2,3.0,4.7,-1.4,0.0,1.4,74.3,0.3,270,0.0,37.2611,127.4863,77.79
1994,1,3,3,5.354,8.8,-0.6,0.0,3.4,68.8,0.7,270,3.7,37.2611,127.4863,77.79
1994,1,4,4,8.103,3.7,-5.3,0.0,-0.6,43.0,1.5,270,8.0,37.2611,127.4863,77.79
1994,1,5,5,6.094,3.6,-5.0,0.0,-0.6,66.5,0.5,70,4.8,37.2611,127.4863,77.79
1994,1,6,6,4.009,8.3,-2.0,0.1,2.3,58.5,1.7,270,1.5,37.2611,127.4863,77.79
1994,1,7,7,8.514,2.7,-8.8,0.0,-3.1,56.5,1.0,270,8.5,37.2611,127.4863,77.79
1994,1,8,8,6.619,7.5,-6.6,0.0,0.3,66.8,0.5,230,5.5,37.2611,127.4863,77.79
1994,1,9,9,4.066,9.9,0.1,0.0,4.6,74.5,0.3,290,1.5,37.2611,127.4863,77.79
1994,1,10,10,3.115,7.1,-3.3,0.0,1.6,81.0,0.2,50,0.0,37.2611,127.4863,77.79
1994,1,11,11,3.133,7.0,-2.3,0.0,1.3,80.8,0.4,250,0.0,37.2611,127.4863,77.79
1994,1,12,12,3.152,5.7,-1.7,0.0,1.3,78.0,0.7,250,0.0,37.2611,127.4863,77.79
1994,1,13,13,7.37,7.3,-2.2,0.0,1.4,67.8,1.2,250,6.4,37.2611,127.4863,77.79
1994,1,14,14,8.398,3.9,-5.6,0.0,-1.1,55.0,1.1,290,7.9,37.2611,127.4863,77.79
1994,1,15,15,8.112,6.6,-8.2,0.0,-2.4,62.8,0.5,90,7.4,37.2611,127.4863,77.79
1994,1,16,16,3.236,5.4,-6.2,0.0,0.2,66.3,0.4,50,0.0,37.2611,127.4863,77.79
1994,1,17,17,3.259,5.0,-1.3,2.5,2.9,83.5,1.1,270,0.0,37.2611,127.4863,77.79
1994,1,18,18,8.386,-1.3,-9.9,0.0,-5.5,45.0,2.7,270,7.6,37.2611,127.4863,77.79
1994,1,19,19,9.044,-1.5,-11.6,0.0,-7.1,47.8,1.6,270,8.5,37.2611,127.4863,77.79
1994,1,20,20,8.827,-0.5,-12.1,0.0,-5.9,50.8,1.2,270,8.1,37.2611,127.4863,77.79
1994,1,21,21,8.882,0.2,-11.8,0.0,-5.5,55.0,1.1,230,8.1,37.2611,127.4863,77.79
1994,1,22,22,4.825,1.5,-6.2,0.1,-3.2,70.5,1.1,270,2.1,37.2611,127.4863,77.79
1994,1,23,23,9.065,-3.6,-10.8,0.4,-6.2,58.8,2.0,290,8.2,37.2611,127.4863,77.79
1994,1,24,24,7.738,0.1,-14.4,0.0,-7.0,73.8,0.8,290,6.2,37.2611,127.4863,77.79
1994,1,25,25,5.7,5.0,-5.8,0.1,-0.3,74.8,0.5,290,3.2,37.2611,127.4863,77.79
1994,1,26,26,6.163,5.5,-3.8,0.0,0.6,66.3,1.6,270,3.8,37.2611,127.4863,77.79
1994,1,27,27,9.382,2.6,-7.8,0.0,-2.9,46.0,1.3,270,8.3,37.2611,127.4863,77.79
1994,1,28,28,6.752,4.5,-7.8,0.0,-2.3,57.8,1.2,270,4.5,37.2611,127.4863,77.79
1994,1,29,29,7.302,3.2,-6.5,0.0,-1.9,59.0,1.3,270,5.2,37.2611,127.4863,77.79
1994,1,30,30,7.07,2.4,-10.7,0.0,-4.1,68.0,0.5,90,4.8,37.2611,127.4863,77.79
1994,1,31,31,5.318,6.9,-2.8,0.0,1.2,63.0,0.5,90,2.3,37.2611,127.4863,77.79
1994,2,1,32,7.588,5.9,-2.9,0.0,1.7,59.8,2.0,290,7.3,37.2611,127.4863,77.79
1994,2,2,33,7.168,2.2,-6.5,0.0,-1.8,57.3,1.9,270,6.6,37.2611,127.4863,77.79
1994,2,3,34,8.14,4.9,-7.2,0.0,-1.7,55.5,1.4,250,8.1,37.2611,127.4863,77.79
1994,2,4,35,3.024,3.6,-6.2,0.0,-1.3,57.3,0.7,250,0.0,37.2611,127.4863,77.79
1994,2,5,36,3.037,5.2,-5.0,0.0,-0.9,69.5,0.5,50,0.0,37.2611,127.4863,77.79
1994,2,6,37,3.243,7.2,-1.9,0.0,2.7,74.0,0.6,250,0.3,37.2611,127.4863,77.79
1994,2,7,38,8.001,9.6,-1.5,0.0,3.5,68.3,1.3,230,7.7,37.2611,127.4863,77.79
1994,2,8,39,3.081,3.7,-3.3,3.0,0.3,81.5,0.6,290,0.0,37.2611,127.4863,77.79
1994,2,9,40,3.098,3.3,-9.0,2.1,-3.7,69.3,2.5,250,0.0,37.2611,127.4863,77.79
1994,2,10,41,8.558,-0.2,-12.8,0.0,-5.6,54.0,1.1,270,8.4,37.2611,127.4863,77.79
1994,2,11,42,3.133,1.2,-8.8,0.2,-3.4,70.8,0.7,360,0.0,37.2611,127.4863,77.79
1994,2,12,43,7.333,6.9,-4.5,1.2,1.3,68.8,1.5,290,6.4,37.2611,127.4863,77.79
1994,2,13,44,9.142,5.9,-6.9,0.0,0.1,49.3,1.3,230,9.1,37.2611,127.4863,77.79
1994,2,14,45,8.332,7.5,-8.9,0.0,-0.6,65.0,0.7,270,7.8,37.2611,127.4863,77.79
1994,2,15,46,3.214,8.4,-2.0,0.0,2.3,57.0,0.8,250,0.0,37.2611,127.4863,77.79
1994,2,16,47,8.689,9.0,-3.4,0.0,2.3,64.5,1.0,250,8.2,37.2611,127.4863,77.79
1994,2,17,48,9.072,10.2,-5.7,0.0,1.5,64.3,0.4,110,8.7,37.2611,127.4863,77.79
1994,2,18,49,8.722,13.0,-3.5,0.0,3.5,62.0,0.7,90,8.1,37.2611,127.4863,77.79
1994,2,19,50,9.044,12.7,-3.6,0.0,4.5,59.3,0.7,90,8.5,37.2611,127.4863,77.79
