year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1990,1,1,1,7.383,2.3,-11.1,0.0,-5.9,69.5,1.1,250,7.3,38.0573,128.1692,198.6
1990,1,2,2,5.371,0.1,-11.4,0.0,-6.3,66.5,0.8,70,4.0,38.0573,128.1692,198.6
1990,1,3,3,7.552,-0.5,-13.5,0.0,-8.8,68.3,0.9,250,7.5,38.0573,128.1692,198.6
1990,1,4,4,7.578,0.8,-15.4,0.0,-7.5,59.0,1.5,250,7.5,38.0573,128.1692,198.6
1990,1,5,5,2.942,1.5,-2.5,0.6,-0.2,72.0,2.9,250,0.0,38.0573,128.1692,198.6
1990,1,6,6,7.572,0.6,-10.8,0.0,-4.9,61.3,2.0,250,7.4,38.0573,128.1692,198.6
1990,1,7,7,7.603,3.2,-14.7,0.0,-7.8,62.8,0.5,250,7.4,38.0573,128.1692,198.6
1990,1,8,8,3.741,4.4,-12.6,0.0,-4.5,67.5,0.5,250,1.2,38.0573,128.1692,198.6
1990,1,9,9,3.003,7.0,-2.9,1.5,1.4,69.5,0.3,90,0.0,38.0573,128.1692,198.6
1990,1,10,10,3.021,4.8,-0.1,11.8,2.1,83.0,2.9,50,0.0,38.0573,128.1692,198.6
1990,1,11,11,3.357,4.2,0.1,0.0,1.5,84.0,0.9,250,0.5,38.0573,128.1692,198.6
1990,1,12,12,3.249,2.9,-2.3,0.0,0.9,71.0,2.8,250,0.3,38.0573,128.1692,198.6
1990,1,13,13,7.053,-0.1,-9.6,0.0,-4.0,61.3,1.5,250,6.2,38.0573,128.1692,198.6
1990,1,14,14,6.448,-0.5,-12.5,0.0,-6.4,71.3,2.3,230,5.2,38.0573,128.1692,198.6
1990,1,15,15,3.961,-0.5,-8.2,0.0,-3.9,75.3,0.8,250,1.3,38.0573,128.1692,198.6
1990,1,16,16,7.564,1.3,-12.4,0.0,-6.6,72.5,0.9,250,6.8,38.0573,128.1692,198.6
1990,1,17,17,5.91,2.9,-11.2,0.0,-3.9,72.3,1.6,250,4.2,38.0573,128.1692,198.6
1990,1,18,18,7.261,5.6,-2.3,0.3,2.0,67.5,4.5,250,6.2,38.0573,128.1692,198.6
1990,1,19,19,7.835,0.2,-10.8,0.0,-4.6,45.5,1.5,250,7.0,38.0573,128.1692,198.6
1990,1,20,20,8.217,-3.4,-15.4,0.0,-10.6,58.3,1.0,250,7.5,38.0573,128.1692,198.6
1990,1,21,21,4.266,-1.8,-14.7,0.3,-8.5,76.3,1.6,250,1.5,38.0573,128.1692,198.6
1990,1,22,22,8.056,-2.5,-14.6,1.1,-7.9,50.8,1.7,230,7.1,38.0573,128.1692,198.6
1990,1,23,23,8.043,-6.6,-20.6,0.1,-14.1,59.8,1.1,250,7.0,38.0573,128.1692,198.6
1990,1,24,24,8.506,-8.8,-16.0,0.0,-13.2,42.0,3.1,250,7.6,38.0573,128.1692,198.6
1990,1,25,25,8.497,-8.4,-20.5,0.0,-15.3,53.3,1.7,250,7.5,38.0573,128.1692,198.6
1990,1,26,26,8.557,-5.0,-21.7,0.0,-14.7,55.5,0.8,250,7.5,38.0573,128.1692,198.6
1990,1,27,27,8.135,-0.9,-18.2,0.0,-10.8,68.0,0.7,250,6.8,38.0573,128.1692,198.6
1990,1,28,28,7.639,0.5,-12.0,0.0,-5.3,72.3,0.3,50,6.0,38.0573,128.1692,198.6
1990,1,29,29,4.059,1.7,-2.6,7.1,-0.4,86.3,3.5,20,0.8,38.0573,128.1692,198.6
1990,1,30,30,3.532,0.3,-3.6,3.1,-1.5,86.3,3.5,50,0.0,38.0573,128.1692,198.6
1990,1,31,31,3.566,-1.3,-3.9,1.3,-2.9,88.0,2.2,20,0.0,38.0573,128.1692,198.6
1990,2,1,32,2.894,0.7,-4.8,0.2,-2.3,83.5,1.0,20,0.0,38.0573,128.1692,198.6
1990,2,2,33,3.337,1.9,-8.0,0.0,-1.9,79.0,1.3,230,0.7,38.0573,128.1692,198.6
1990,2,3,34,4.894,2.9,-10.2,0.0,-5.0,72.5,1.5,230,3.2,38.0573,128.1692,198.6
1990,2,4,35,3.301,2.3,-4.3,0.9,-0.4,82.3,3.2,20,0.6,38.0573,128.1692,198.6
1990,2,5,36,5.118,4.9,-3.3,0.1,0.4,77.3,1.1,230,3.5,38.0573,128.1692,198.6
1990,2,6,37,7.697,5.4,-6.6,0.0,-1.3,69.5,1.4,250,7.6,38.0573,128.1692,198.6
1990,2,7,38,3.597,4.9,-11.6,0.0,-4.8,70.8,0.5,20,1.0,38.0573,128.1692,198.6
1990,2,8,39,4.746,4.4,-8.2,0.6,-2.4,81.5,0.8,70,2.8,38.0573,128.1692,198.6
1990,2,9,40,5.526,6.4,-2.6,0.0,1.4,80.0,0.8,230,4.0,38.0573,128.1692,198.6
1990,2,10,41,3.021,2.5,-2.6,9.1,-0.2,86.8,0.4,20,0.0,38.0573,128.1692,198.6
1990,2,11,42,3.611,4.6,0.2,0.7,2.2,76.8,4.4,230,0.9,38.0573,128.1692,198.6
1990,2,12,43,7.718,2.6,-8.2,0.0,-2.5,57.3,1.8,230,7.3,38.0573,128.1692,198.6
1990,2,13,44,6.54,4.9,-12.4,0.0,-4.5,66.3,0.4,230,5.4,38.0573,128.1692,198.6
1990,2,14,45,4.902,7.7,-2.8,0.0,1.3,69.8,1.6,20,2.8,38.0573,128.1692,198.6
1990,2,15,46,3.12,5.7,1.0,1.7,2.8,82.3,0.6,70,0.0,38.0573,128.1692,198.6
1990,2,16,47,6.914,10.5,-2.0,0.0,3.0,77.0,0.4,200,5.8,38.0573,128.1692,198.6
