year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1994,1,1,1,5.676,0.0,-9.0,0.0,-4.9,79.3,0.5,200,4.4,37.6808,127.8826,140.59
1994,1,2,2,2.95,3.7,-3.9,0.0,-0.6,77.5,0.4,70,0.0,37.6808,127.8826,140.59
1994,1,3,3,4.399,7.7,-3.7,0.0,1.6,68.0,0.6,70,2.3,37.6808,127.8826,140.59
1994,1,4,4,7.488,1.9,-9.6,0.0,-4.7,60.5,1.0,290,7.2,37.6808,127.8826,140.59
1994,1,5,5,2.987,1.3,-10.4,0.0,-4.9,71.5,0.3,70,0.0,37.6808,127.8826,140.59
1994,1,6,6,3.001,5.7,-3.7,0.7,0.5,60.5,1.5,270,0.0,37.6808,127.8826,140.59
1994,1,7,7,7.321,1.2,-12.4,0.0,-5.4,55.5,0.7,90,6.8,37.6808,127.8826,140.59
1994,1,8,8,3.984,5.3,-9.8,0.0,-2.6,69.5,0.4,230,1.5,37.6808,127.8826,140.59
1994,1,9,9,5.535,8.8,-2.5,0.0,2.0,76.5,0.4,70,3.9,37.6808,127.8826,140.59
1994,1,10,10,3.321,6.0,-4.5,0.0,-0.8,81.8,0.3,70,0.4,37.6808,127.8826,140.59
1994,1,11,11,3.083,6.0,-4.3,0.0,-0.1,80.5,0.6,70,0.0,37.6808,127.8826,140.59
1994,1,12,12,3.296,5.0,-2.7,0.0,0.0,76.8,0.5,90,0.3,37.6808,127.8826,140.59
1994,1,13,13,6.039,4.7,-5.9,0.0,-0.9,73.5,0.6,290,4.5,37.6808,127.8826,140.59
1994,1,14,14,8.091,2.3,-10.3,0.0,-5.3,71.0,0.4,290,7.6,37.6808,127.8826,140.59
1994,1,15,15,7.809,5.8,-11.7,0.0,-4.9,67.3,0.5,90,7.1,37.6808,127.8826,140.59
1994,1,16,16,3.186,4.4,-10.0,0.0,-3.1,74.3,0.3,90,0.0,37.6808,127.8826,140.59
1994,1,17,17,3.209,1.3,-0.6,7.0,0.3,87.0,0.4,110,0.0,37.6808,127.8826,140.59
1994,1,18,18,8.012,-0.2,-11.8,0.0,-6.1,55.5,1.9,290,7.2,37.6808,127.8826,140.59
