year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2005,1,1,1,7.865,-2.7,-13.3,0.0,-7.9,40.9,1.5,230,7.7,37.1675,128.9915,713.45
2005,1,2,2,7.697,0.0,-8.1,0.0,-3.5,55.4,3.1,200,7.4,37.1675,128.9915,713.45
2005,1,3,3,5.88,3.4,-2.0,0.1,0.5,61.8,5.0,250,4.5,37.1675,128.9915,713.45
2005,1,4,4,7.937,-2.0,-12.1,0.0,-7.8,42.0,1.7,270,7.7,37.1675,128.9915,713.45
2005,1,5,5,7.965,0.4,-15.3,0.0,-6.4,49.4,1.8,200,7.7,37.1675,128.9915,713.45
2005,1,6,6,7.226,2.2,-2.7,0.0,-1.0,44.3,2.4,180,6.5,37.1675,128.9915,713.45
2005,1,7,7,7.833,-0.6,-9.0,0.1,-3.8,46.0,2.1,250,7.4,37.1675,128.9915,713.45
2005,1,8,8,8.058,-3.0,-11.3,0.2,-7.0,41.3,1.7,200,7.7,37.1675,128.9915,713.45
2005,1,9,9,8.093,-5.0,-14.5,0.0,-10.2,39.9,1.8,290,7.7,37.1675,128.9915,713.45
2005,1,10,10,7.999,-3.9,-12.8,0.0,-8.3,44.3,2.4,250,7.5,37.1675,128.9915,713.45
2005,1,11,11,8.167,-2.4,-10.1,0.0,-7.4,42.8,2.1,250,7.7,37.1675,128.9915,713.45
2005,1,12,12,8.272,-2.0,-13.3,0.0,-8.3,43.4,1.8,180,7.8,37.1675,128.9915,713.45
2005,1,13,13,8.314,-0.8,-11.8,0.0,-7.5,54.8,1.1,180,7.8,37.1675,128.9915,713.45
2005,1,14,14,7.167,2.7,-13.3,0.0,-5.6,73.0,1.1,180,6.0,37.1675,128.9915,713.45
2005,1,15,15,8.534,0.0,-9.0,0.0,-4.5,51.0,1.4,320,8.0,37.1675,128.9915,713.45
2005,1,16,16,3.247,-1.2,-10.6,29.1,-4.7,87.8,3.0,360,0.0,37.1675,128.9915,713.45
2005,1,17,17,8.696,1.5,-14.5,0.0,-6.8,71.5,0.7,180,8.1,37.1675,128.9915,713.45
2005,1,18,18,7.939,2.2,-9.3,0.4,-2.8,69.5,1.6,230,6.9,37.1675,128.9915,713.45
2005,1,19,19,8.866,-2.0,-9.0,0.0,-6.7,49.3,2.6,140,8.2,37.1675,128.9915,713.45
2005,1,20,20,8.92,-5.1,-11.8,0.0,-9.2,51.0,2.2,320,8.2,37.1675,128.9915,713.45
2005,1,21,21,8.975,0.6,-16.7,0.0,-9.0,57.4,0.9,200,8.2,37.1675,128.9915,713.45
2005,1,22,22,8.894,3.5,-14.5,0.0,-5.5,67.0,0.8,70,8.0,37.1675,128.9915,713.45
2005,1,23,23,7.086,3.4,-4.6,0.0,-0.7,74.6,1.1,200,5.3,37.1675,128.9915,713.45
2005,1,24,24,8.941,2.2,-6.6,0.0,-1.0,56.8,1.6,180,7.9,37.1675,128.9915,713.45
2005,1,25,25,3.48,-0.8,-9.3,2.9,-3.9,87.1,0.7,360,0.0,37.1675,128.9915,713.45
2005,1,26,26,8.429,2.2,-5.5,0.7,-1.7,75.9,0.9,340,7.0,37.1675,128.9915,713.45
2005,1,27,27,8.205,4.3,-6.3,0.0,-0.8,42.1,1.3,270,6.6,37.1675,128.9915,713.45
2005,1,28,28,9.686,6.5,-9.8,0.0,-1.4,53.6,1.2,250,8.6,37.1675,128.9915,713.45
2005,1,29,29,9.11,2.5,-7.5,0.0,-1.6,54.6,2.6,230,7.7,37.1675,128.9915,713.45
2005,1,30,30,9.391,-3.2,-11.3,0.0,-7.7,39.6,1.9,290,8.0,37.1675,128.9915,713.45
2005,1,31,31,9.169,-5.5,-13.3,0.0,-9.7,35.0,2.8,250,7.6,37.1675,128.9915,713.45
2005,2,1,32,8.307,-11.0,-18.0,0.0,-14.6,48.3,2.5,320,8.4,37.1675,128.9915,713.45
2005,2,2,33,8.584,-4.1,-16.2,0.0,-10.4,54.8,1.9,230,8.8,37.1675,128.9915,713.45
2005,2,3,34,8.546,-0.6,-11.8,0.0,-6.5,47.3,1.9,180,8.7,37.1675,128.9915,713.45
2005,2,4,35,8.446,0.5,-8.0,0.0,-3.7,40.0,1.3,340,8.5,37.1675,128.9915,713.45
2005,2,5,36,8.731,1.5,-7.9,0.0,-4.1,56.1,1.5,320,8.9,37.1675,128.9915,713.45
2005,2,6,37,8.443,3.2,-10.8,0.0,-4.1,75.9,1.0,200,8.4,37.1675,128.9915,713.45
2005,2,7,38,3.719,3.5,-5.8,0.0,-0.9,80.5,0.7,200,1.0,37.1675,128.9915,713.45
2005,2,8,39,5.608,3.7,-5.8,0.4,-0.3,85.3,0.8,180,3.9,37.1675,128.9915,713.45
2005,2,9,40,5.18,2.9,-8.3,0.0,-3.5,63.5,1.2,180,3.2,37.1675,128.9915,713.45
2005,2,10,41,9.039,-2.5,-11.3,0.0,-6.9,41.4,1.6,320,9.1,37.1675,128.9915,713.45
2005,2,11,42,8.95,-4.0,-13.5,0.0,-8.8,37.1,1.4,320,8.9,37.1675,128.9915,713.45
2005,2,12,43,7.617,-0.6,-14.1,0.0,-7.8,40.4,0.9,180,6.8,37.1675,128.9915,713.45
2005,2,13,44,9.3,0.5,-10.5,0.0,-4.9,32.1,1.7,270,9.3,37.1675,128.9915,713.45
2005,2,14,45,7.96,6.6,-10.8,0.0,-1.9,38.6,0.8,200,7.2,37.1675,128.9915,713.45
2005,2,15,46,4.552,2.5,-4.9,9.0,-0.5,70.5,1.8,50,2.0,37.1675,128.9915,713.45
2005,2,16,47,3.98,0.0,-1.7,20.5,-1.1,93.3,1.5,20,1.1,37.1675,128.9915,713.45
2005,2,17,48,6.151,-0.4,-2.0,0.4,-1.4,90.1,2.0,70,4.3,37.1675,128.9915,713.45
2005,2,18,49,3.697,-1.6,-3.5,1.6,-2.4,86.9,2.4,50,0.6,37.1675,128.9915,713.45
2005,2,19,50,7.784,0.4,-11.8,0.0,-4.2,65.3,1.6,230,6.6,37.1675,128.9915,713.45
2005,2,20,51,9.396,-6.4,-15.6,0.0,-11.4,49.5,2.0,200,8.9,37.1675,128.9915,713.45
