year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2005,1,1,1,8.31,-2.2,-14.6,0.0,-9.2,57.9,1.7,230,8.4,37.1564,128.1965,263.21
2005,1,2,2,5.103,2.5,-13.6,0.0,-3.8,60.6,1.0,230,3.3,37.1564,128.1965,263.21
2005,1,3,3,3.151,5.5,-0.6,0.5,2.2,60.6,3.4,250,0.2,37.1564,128.1965,263.21
2005,1,4,4,8.577,-0.6,-12.3,0.0,-6.2,46.6,2.8,270,8.7,37.1564,128.1965,263.21
2005,1,5,5,8.415,2.0,-15.6,0.0,-7.3,57.8,0.7,20,8.4,37.1564,128.1965,263.21
2005,1,6,6,7.677,4.0,-6.5,0.0,-1.4,53.4,1.9,230,7.2,37.1564,128.1965,263.21
2005,1,7,7,8.478,1.0,-11.1,0.0,-2.8,48.3,3.5,270,8.4,37.1564,128.1965,263.21
2005,1,8,8,8.706,0.3,-15.1,0.0,-6.8,55.1,2.3,270,8.7,37.1564,128.1965,263.21
2005,1,9,9,8.873,-3.5,-15.1,0.0,-9.3,51.3,2.2,250,8.9,37.1564,128.1965,263.21
2005,1,10,10,8.457,-1.7,-16.6,0.0,-7.6,59.6,2.3,230,8.2,37.1564,128.1965,263.21
2005,1,11,11,8.953,-2.0,-13.0,0.0,-6.5,54.0,3.5,270,8.9,37.1564,128.1965,263.21
2005,1,12,12,9.061,-2.0,-14.1,0.0,-8.2,49.5,2.3,250,9.0,37.1564,128.1965,263.21
2005,1,13,13,8.843,-1.2,-15.3,0.0,-8.7,60.0,1.3,230,8.6,37.1564,128.1965,263.21
2005,1,14,14,7.963,1.3,-14.3,0.0,-5.8,59.5,0.8,20,7.2,37.1564,128.1965,263.21
2005,1,15,15,8.935,2.7,-12.1,0.0,-4.2,53.0,1.4,270,8.6,37.1564,128.1965,263.21
2005,1,16,16,6.383,3.7,-8.6,0.0,-3.7,62.0,2.3,230,4.7,37.1564,128.1965,263.21
2005,1,17,17,8.766,4.1,-12.1,0.0,-5.3,62.3,1.1,230,8.2,37.1564,128.1965,263.21
2005,1,18,18,6.056,3.5,-9.1,1.5,-1.5,65.3,1.0,230,4.1,37.1564,128.1965,263.21
2005,1,19,19,9.478,-0.6,-8.6,0.0,-4.1,50.6,3.7,270,9.1,37.1564,128.1965,263.21
2005,1,20,20,9.127,-2.0,-12.8,0.0,-7.6,53.8,2.8,230,8.5,37.1564,128.1965,263.21
2005,1,21,21,9.525,-1.2,-16.3,0.0,-9.5,61.1,1.3,230,9.0,37.1564,128.1965,263.21
2005,1,22,22,8.347,4.5,-14.3,0.0,-5.4,53.4,0.6,200,7.2,37.1564,128.1965,263.21
2005,1,23,23,9.577,9.0,-4.4,0.0,0.4,48.5,0.8,20,8.9,37.1564,128.1965,263.21
2005,1,24,24,8.527,5.0,-6.5,0.0,-1.7,57.8,1.4,270,7.3,37.1564,128.1965,263.21
2005,1,25,25,3.551,4.6,-8.8,0.2,-1.6,69.9,0.9,90,0.1,37.1564,128.1965,263.21
2005,1,26,26,6.956,5.3,-5.0,0.0,-1.0,73.0,0.9,230,4.9,37.1564,128.1965,263.21
