year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1989,1,1,1,7.851,3.6,-8.0,0.0,-3.5,72.8,0.7,230,7.4,36.4847,127.7363,174.1
1989,1,2,2,4.966,3.8,-10.8,0.0,-2.9,70.0,0.8,140,2.9,36.4847,127.7363,174.1
1989,1,3,3,8.026,5.0,-7.5,0.0,1.3,63.3,2.6,270,7.6,36.4847,127.7363,174.1
1989,1,4,4,8.247,3.0,-11.2,0.0,-5.8,69.5,0.5,140,7.9,36.4847,127.7363,174.1
1989,1,5,5,8.6,8.3,-13.6,0.0,-5.1,63.0,0.4,230,8.4,36.4847,127.7363,174.1
1989,1,6,6,3.143,5.8,-6.0,2.2,-1.0,74.8,0.6,90,0.0,36.4847,127.7363,174.1
1989,1,7,7,3.158,8.1,4.3,9.8,6.8,88.3,1.0,90,0.0,36.4847,127.7363,174.1
1989,1,8,8,3.173,12.5,5.9,3.2,9.4,83.3,1.4,140,0.0,36.4847,127.7363,174.1
1989,1,9,9,3.322,10.4,5.4,0.9,7.7,80.5,1.7,140,0.2,36.4847,127.7363,174.1
1989,1,10,10,3.207,8.4,5.3,2.0,6.9,90.5,0.5,50,0.0,36.4847,127.7363,174.1
1989,1,11,11,3.225,8.2,2.8,13.8,6.1,85.8,1.6,110,0.0,36.4847,127.7363,174.1
1989,1,12,12,3.244,3.2,1.2,0.3,2.2,76.0,1.1,140,0.0,36.4847,127.7363,174.1
1989,1,13,13,5.744,2.1,-4.0,0.4,0.0,68.8,2.4,320,3.7,36.4847,127.7363,174.1
1989,1,14,14,8.131,1.4,-9.6,0.0,-3.8,53.3,1.2,320,7.2,36.4847,127.7363,174.1
1989,1,15,15,7.16,2.9,-7.4,0.0,-1.1,69.3,1.3,320,5.7,36.4847,127.7363,174.1
1989,1,16,16,9.033,4.4,-8.0,0.0,-2.6,69.5,0.8,50,8.4,36.4847,127.7363,174.1
1989,1,17,17,8.946,8.6,-8.2,0.0,-1.7,67.5,0.3,180,8.2,36.4847,127.7363,174.1
1989,1,18,18,3.374,2.7,-4.6,10.9,-1.0,89.5,0.4,320,0.0,36.4847,127.7363,174.1
1989,1,19,19,3.398,4.8,0.7,14.7,2.9,95.5,0.3,50,0.0,36.4847,127.7363,174.1
1989,1,20,20,3.423,3.8,2.2,5.7,3.2,90.5,1.4,320,0.0,36.4847,127.7363,174.1
1989,1,21,21,8.112,7.5,-2.8,0.0,2.2,76.0,1.0,270,6.7,36.4847,127.7363,174.1
1989,1,22,22,3.475,7.4,-3.6,0.0,2.0,74.5,0.8,140,0.0,36.4847,127.7363,174.1
1989,1,23,23,3.854,7.4,1.0,7.6,4.0,88.8,1.6,320,0.5,36.4847,127.7363,174.1
