year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2023,1,1,1,8.095,4.5,-8.8,0.0,-2.3,65.0,0.9,290,7.9,36.7767,127.1213,24.89
2023,1,2,2,8.887,0.0,-9.9,0.0,-4.8,55.0,1.0,290,9.1,36.7767,127.1213,24.89
2023,1,3,3,8.913,1.5,-13.6,0.0,-6.3,67.0,0.9,270,9.1,36.7767,127.1213,24.89
2023,1,4,4,7.332,4.0,-11.1,0.0,-3.9,69.0,0.7,110,6.6,36.7767,127.1213,24.89
2023,1,5,5,5.872,3.4,-10.0,0.0,-3.7,82.6,0.4,50,4.3,36.7767,127.1213,24.89
2023,1,6,6,7.903,5.5,-8.1,5.4,-1.2,85.8,0.7,90,7.4,36.7767,127.1213,24.89
2023,1,7,7,5.983,4.8,-3.3,0.7,1.6,83.4,1.7,270,4.4,36.7767,127.1213,24.89
2023,1,8,8,8.096,5.9,-6.7,0.0,-0.9,84.4,0.5,110,7.6,36.7767,127.1213,24.89
2023,1,9,9,6.428,7.9,-3.5,0.0,1.7,74.9,0.9,290,5.0,36.7767,127.1213,24.89
2023,1,10,10,8.823,8.3,-7.3,0.0,-0.7,79.4,0.5,110,8.6,36.7767,127.1213,24.89
2023,1,11,11,9.061,8.9,-6.2,0.0,-0.2,76.5,0.4,140,8.9,36.7767,127.1213,24.89
2023,1,12,12,9.236,13.8,-5.3,0.1,2.8,70.5,0.6,110,9.1,36.7767,127.1213,24.89
2023,1,13,13,3.229,11.2,4.2,14.9,8.6,100.0,0.9,90,0.0,36.7767,127.1213,24.89
2023,1,14,14,3.25,9.2,4.5,5.0,6.6,100.0,1.0,250,0.0,36.7767,127.1213,24.89
2023,1,15,15,3.271,4.6,-3.1,1.8,0.2,93.6,1.4,270,0.0,36.7767,127.1213,24.89
2023,1,16,16,9.291,-0.5,-7.8,0.2,-3.7,70.9,1.5,320,8.9,36.7767,127.1213,24.89
2023,1,17,17,7.243,2.2,-8.5,0.0,-3.1,72.1,0.8,110,5.8,36.7767,127.1213,24.89
2023,1,18,18,8.782,3.6,-6.2,0.0,-1.9,71.4,0.8,270,8.0,36.7767,127.1213,24.89
