year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1987,1,1,1,7.569,1.6,-5.0,1.9,-2.1,63.3,2.5,20,6.9,36.3243,126.5594,15.29
1987,1,2,2,3.306,7.3,0.7,22.4,3.5,93.5,3.4,20,0.3,36.3243,126.5594,15.29
1987,1,3,3,7.938,4.5,-3.8,0.0,1.0,70.8,2.2,20,7.4,36.3243,126.5594,15.29
1987,1,4,4,8.55,1.5,-6.2,0.0,-2.8,59.3,3.0,20,8.3,36.3243,126.5594,15.29
1987,1,5,5,8.317,4.5,-2.9,0.0,-0.8,60.3,2.2,20,7.9,36.3243,126.5594,15.29
1987,1,6,6,8.478,7.0,-3.5,0.1,1.0,84.3,0.9,70,8.1,36.3243,126.5594,15.29
1987,1,7,7,3.177,6.1,-2.3,9.1,3.2,83.5,2.4,340,0.0,36.3243,126.5594,15.29
1987,1,8,8,8.675,7.9,-2.3,0.0,2.6,81.8,2.6,200,8.3,36.3243,126.5594,15.29
1987,1,9,9,8.777,6.3,-5.2,0.0,1.3,67.0,3.1,20,8.4,36.3243,126.5594,15.29
1987,1,10,10,8.948,-1.5,-7.3,0.0,-5.2,52.3,2.5,20,8.6,36.3243,126.5594,15.29
1987,1,11,11,8.721,2.7,-8.3,0.0,-3.1,63.3,1.6,50,8.2,36.3243,126.5594,15.29
1987,1,12,12,6.482,2.3,-7.5,9.6,-3.0,73.0,4.1,340,4.8,36.3243,126.5594,15.29
1987,1,13,13,7.322,-5.4,-10.1,4.0,-7.6,77.8,2.9,20,6.0,36.3243,126.5594,15.29
1987,1,14,14,8.374,0.8,-10.2,0.2,-4.6,83.0,2.1,200,7.5,36.3243,126.5594,15.29
1987,1,15,15,8.961,7.8,-0.3,0.0,3.5,78.8,2.6,180,8.3,36.3243,126.5594,15.29
1987,1,16,16,3.346,9.6,3.2,16.9,7.3,84.8,4.3,180,0.0,36.3243,126.5594,15.29
1987,1,17,17,9.057,3.2,-3.5,0.0,-0.1,60.3,3.5,340,8.3,36.3243,126.5594,15.29
1987,1,18,18,8.419,2.3,-4.0,0.0,-0.7,75.5,1.9,200,7.3,36.3243,126.5594,15.29
1987,1,19,19,9.367,1.7,-6.1,0.0,-2.4,59.8,2.3,20,8.6,36.3243,126.5594,15.29
1987,1,20,20,9.7,2.9,-6.8,0.0,-2.8,67.3,1.3,50,9.0,36.3243,126.5594,15.29
1987,1,21,21,9.338,5.6,-5.7,0.0,-1.1,59.0,1.5,50,8.4,36.3243,126.5594,15.29
1987,1,22,22,8.622,9.8,-4.4,0.0,1.3,61.5,1.1,50,7.3,36.3243,126.5594,15.29
1987,1,23,23,3.521,3.3,-1.2,6.9,1.9,81.3,2.5,340,0.0,36.3243,126.5594,15.29
