year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2021,1,1,1,4.015,-2.2,-11.5,1.6,-6.2,92.9,0.3,200.0,1.4,36.2694,126.9229,11.35
2021,1,2,2,8.708,0.9,-8.3,0.0,-4.5,77.3,0.9,320.0,8.6,36.2694,126.9229,11.35
2021,1,3,3,5.671,-0.1,-10.4,0.0,-5.1,75.9,0.4,180.0,3.9,36.2694,126.9229,11.35
2021,1,4,4,5.951,2.0,-9.5,0.0,-3.5,72.6,0.9,20.0,4.3,36.2694,126.9229,11.35
2021,1,5,5,6.825,0.4,-10.1,0.1,-3.4,66.0,1.3,340.0,5.6,36.2694,126.9229,11.35
2021,1,6,6,8.493,-0.6,-12.3,4.0,-6.0,73.1,1.2,270.0,8.1,36.2694,126.9229,11.35
2021,1,7,7,8.854,-3.2,-19.2,4.0,-11.3,66.5,2.3,340.0,8.6,36.2694,126.9229,11.35
2021,1,8,8,8.889,-8.2,-20.7,0.0,-15.3,73.3,0.7,50.0,8.6,36.2694,126.9229,11.35
2021,1,9,9,8.859,-6.0,-21.2,0.0,-13.0,70.3,0.6,340.0,8.5,36.2694,126.9229,11.35
2021,1,10,10,8.23,-1.8,-17.6,0.0,-8.8,67.9,0.7,200.0,7.5,36.2694,126.9229,11.35
2021,1,11,11,3.251,-2.5,-11.6,0.0,-6.5,72.0,0.6,290.0,0.0,36.2694,126.9229,11.35
2021,1,12,12,7.5,2.2,-9.4,2.2,-3.4,87.9,0.6,250.0,6.3,36.2694,126.9229,11.35
2021,1,13,13,7.2,9.5,-6.1,0.0,0.4,89.3,0.6,230.0,5.8,36.2694,126.9229,11.35
2021,1,14,14,9.065,9.7,-3.7,0.0,1.7,62.8,1.0,20.0,8.5,36.2694,126.9229,11.35
2021,1,15,15,3.467,12.2,-3.1,0.0,3.7,77.6,1.1,320.0,0.2,36.2694,126.9229,11.35
2021,1,16,16,7.315,2.2,-4.4,0.0,-1.7,61.5,2.2,320.0,5.8,36.2694,126.9229,11.35
2021,1,17,17,8.935,1.5,-9.2,0.6,-3.6,69.5,1.2,50.0,8.1,36.2694,126.9229,11.35
2021,1,18,18,4.64,5.0,-5.0,3.2,-1.3,73.6,1.6,320.0,1.8,36.2694,126.9229,11.35
2021,1,19,19,9.521,0.5,-11.2,0.0,-5.5,55.5,1.0,20.0,8.8,36.2694,126.9229,11.35
2021,1,20,20,9.576,8.3,-9.7,0.0,-1.8,63.4,0.6,250.0,8.8,36.2694,126.9229,11.35
2021,1,21,21,4.804,7.6,-1.8,9.1,3.3,79.5,0.5,290.0,1.9,36.2694,126.9229,11.35
2021,1,22,22,6.666,12.8,3.7,2.2,7.4,91.1,1.0,20.0,4.5,36.2694,126.9229,11.35
2021,1,23,23,3.527,12.8,6.4,0.0,9.2,75.4,2.2,20.0,0.0,36.2694,126.9229,11.35
2021,1,24,24,9.741,13.8,4.1,0.0,8.0,64.9,2.1,20.0,8.7,36.2694,126.9229,11.35
2021,1,25,25,9.232,15.3,1.0,0.0,6.3,75.0,0.9,50.0,7.9,36.2694,126.9229,11.35
2021,1,26,26,3.613,7.4,2.4,3.1,4.8,89.0,0.6,320.0,0.0,36.2694,126.9229,11.35
2021,1,27,27,9.137,8.5,-1.6,0.0,3.1,51.4,1.2,340.0,7.6,36.2694,126.9229,11.35
2021,1,28,28,5.564,4.3,-5.5,2.0,-1.5,64.5,2.4,320.0,2.6,36.2694,126.9229,11.35
2021,1,29,29,10.285,-0.3,-9.4,0.0,-5.2,55.3,1.7,340.0,9.0,36.2694,126.9229,11.35
2021,1,30,30,6.899,9.3,-8.3,0.0,-1.0,67.3,0.8,290.0,4.3,36.2694,126.9229,11.35
2021,1,31,31,8.578,11.5,-6.5,0.0,2.5,75.0,0.6,200.0,6.5,36.2694,126.9229,11.35
2021,2,1,32,3.561,10.8,2.0,7.5,6.2,85.1,1.1,230.0,0.7,36.2694,126.9229,11.35
2021,2,2,33,9.098,2.0,-4.8,0.2,-2.2,48.3,2.2,320.0,9.2,36.2694,126.9229,11.35
2021,2,3,34,9.125,3.5,-9.6,0.3,-2.2,69.9,1.1,200.0,9.2,36.2694,126.9229,11.35
2021,2,4,35,9.219,3.6,-5.4,0.6,-1.0,54.6,1.3,340.0,9.3,36.2694,126.9229,11.35
2021,2,5,36,6.89,8.0,-7.4,0.0,0.0,65.0,0.7,230.0,5.7,36.2694,126.9229,11.35
2021,2,6,37,3.169,9.6,-2.5,0.0,5.0,79.6,1.0,230.0,0.0,36.2694,126.9229,11.35
2021,2,7,38,7.14,11.4,-0.3,0.0,4.7,72.6,1.3,340.0,6.0,36.2694,126.9229,11.35
2021,2,8,39,9.418,2.8,-6.2,0.0,-2.0,54.6,1.5,320.0,9.4,36.2694,126.9229,11.35
2021,2,9,40,9.456,7.5,-8.4,0.0,-1.3,63.1,0.7,200.0,9.4,36.2694,126.9229,11.35
2021,2,10,41,7.764,10.3,-6.2,0.0,1.0,77.6,0.7,290.0,6.8,36.2694,126.9229,11.35
2021,2,11,42,7.264,12.1,-2.6,0.0,3.8,72.1,0.6,20.0,6.0,36.2694,126.9229,11.35
2021,2,12,43,9.045,16.0,-1.9,0.0,5.2,65.6,0.5,140.0,8.6,36.2694,126.9229,11.35
2021,2,13,44,9.628,17.4,-3.2,0.0,6.0,60.3,0.5,20.0,9.4,36.2694,126.9229,11.35
2021,2,14,45,3.716,14.3,1.6,0.7,7.6,74.4,0.5,110.0,0.6,36.2694,126.9229,11.35
2021,2,15,46,6.663,7.0,-1.2,0.1,2.8,67.5,2.7,290.0,4.9,36.2694,126.9229,11.35
2021,2,16,47,5.812,2.0,-7.9,7.3,-3.4,74.5,1.2,340.0,3.6,36.2694,126.9229,11.35
2021,2,17,48,8.386,-3.9,-7.2,0.0,-5.7,59.9,3.0,320.0,7.3,36.2694,126.9229,11.35
2021,2,18,49,9.95,1.0,-7.5,0.0,-4.1,61.0,2.1,320.0,9.5,36.2694,126.9229,11.35
2021,2,19,50,10.075,9.1,-9.1,0.0,0.9,75.5,1.4,230.0,9.6,36.2694,126.9229,11.35
2021,2,20,51,9.298,16.3,2.1,0.0,8.0,75.5,1.2,230.0,8.4,36.2694,126.9229,11.35
2021,2,21,52,10.263,20.6,-0.9,0.0,9.6,69.1,1.5,230.0,9.7,36.2694,126.9229,11.35
2021,2,22,53,10.184,19.1,1.7,0.0,8.3,62.5,1.6,320.0,9.5,36.2694,126.9229,11.35
2021,2,23,54,10.529,8.0,-4.6,0.0,1.3,43.1,1.3,360.0,9.9,36.2694,126.9229,11.35
2021,2,24,55,8.461,11.4,-2.8,0.0,3.1,46.5,0.8,20.0,6.9,36.2694,126.9229,11.35
2021,2,25,56,3.584,8.1,-2.3,1.4,3.3,71.0,0.6,160.0,0.0,36.2694,126.9229,11.35
2021,2,26,57,8.501,15.5,4.1,0.0,9.4,44.1,1.8,90.0,6.8,36.2694,126.9229,11.35
2021,2,27,58,10.438,13.9,3.7,0.0,8.6,49.4,2.7,90.0,9.4,36.2694,126.9229,11.35
2021,2,28,59,4.11,12.3,1.3,0.0,7.2,66.8,1.3,20.0,0.6,36.2694,126.9229,11.35
2021,3,1,60,3.107,14.8,3.2,54.4,8.7,96.3,1.1,320.0,0.0,36.2694,126.9229,11.35
2021,3,2,61,6.043,8.7,-0.8,0.0,3.5,73.4,1.4,340.0,4.5,36.2694,126.9229,11.35
2021,3,3,62,7.822,9.7,-3.3,0.0,3.2,72.9,0.4,140.0,7.2,36.2694,126.9229,11.35
2021,3,4,63,3.142,10.4,0.4,1.6,5.1,82.9,0.8,20.0,0.0,36.2694,126.9229,11.35
2021,3,5,64,9.577,17.8,-0.4,0.0,8.9,71.9,1.2,340.0,9.8,36.2694,126.9229,11.35
2021,3,6,65,7.967,15.8,2.3,0.0,7.7,74.6,1.3,20.0,7.3,36.2694,126.9229,11.35
2021,3,7,66,5.096,12.4,3.5,0.0,7.0,72.9,1.2,20.0,2.9,36.2694,126.9229,11.35
2021,3,8,67,8.558,14.2,0.8,0.0,6.3,76.9,0.8,250.0,8.1,36.2694,126.9229,11.35
2021,3,9,68,6.933,13.5,1.0,0.0,6.0,72.5,0.8,250.0,5.6,36.2694,126.9229,11.35
2021,3,10,69,10.096,18.0,-2.1,0.0,7.2,62.0,0.7,20.0,10.3,36.2694,126.9229,11.35
2021,3,11,70,8.134,18.3,0.1,0.0,9.3,62.5,0.8,320.0,7.3,36.2694,126.9229,11.35
2021,3,12,71,3.269,10.0,4.9,2.2,7.9,85.9,0.9,70.0,0.0,36.2694,126.9229,11.35
2021,3,13,72,8.481,15.7,0.3,0.0,8.5,76.0,1.0,320.0,7.7,36.2694,126.9229,11.35
2021,3,14,73,6.695,15.5,2.3,0.0,7.9,79.3,0.7,290.0,5.0,36.2694,126.9229,11.35
2021,3,15,74,7.003,18.0,1.1,0.0,9.9,74.4,0.9,230.0,5.4,36.2694,126.9229,11.35
2021,3,16,75,10.253,16.2,1.4,0.0,9.8,53.5,2.0,320.0,10.1,36.2694,126.9229,11.35
2021,3,17,76,10.582,18.9,-1.6,0.0,7.4,59.1,0.9,360.0,10.5,36.2694,126.9229,11.35
2021,3,18,77,9.95,20.1,0.5,0.0,9.7,59.9,0.8,230.0,9.5,36.2694,126.9229,11.35
2021,3,19,78,7.442,19.7,7.5,0.0,13.4,54.4,0.9,90.0,5.8,36.2694,126.9229,11.35
