year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1990,1,1,1,4.626,3.6,-7.0,0.0,-1.2,76.0,0.4,360,2.3,36.1027,127.4839,171.26
1990,1,2,2,4.052,1.7,-3.4,0.6,-2.0,74.0,1.0,290,1.4,36.1027,127.4839,171.26
1990,1,3,3,8.126,0.3,-8.4,0.0,-4.4,70.8,0.9,290,7.6,36.1027,127.4839,171.26
1990,1,4,4,8.545,3.1,-12.5,0.0,-5.6,74.0,0.5,290,8.2,36.1027,127.4839,171.26
1990,1,5,5,3.438,5.6,-7.3,6.4,0.1,79.8,1.0,160,0.4,36.1027,127.4839,171.26
1990,1,6,6,8.538,2.4,-6.1,0.0,-1.3,56.8,1.8,270,8.1,36.1027,127.4839,171.26
1990,1,7,7,8.834,5.9,-10.4,0.0,-3.6,69.8,0.3,270,8.5,36.1027,127.4839,171.26
1990,1,8,8,4.88,4.6,-8.5,0.0,-2.6,71.5,0.1,110,2.5,36.1027,127.4839,171.26
1990,1,9,9,4.903,11.0,0.5,4.6,4.5,77.8,0.4,140,2.5,36.1027,127.4839,171.26
1990,1,10,10,3.252,9.9,2.3,5.2,4.7,82.0,1.7,270,0.0,36.1027,127.4839,171.26
1990,1,11,11,5.219,6.8,1.2,0.0,3.4,74.3,0.5,360,2.9,36.1027,127.4839,171.26
1990,1,12,12,3.289,2.7,-1.6,0.2,1.5,71.3,1.4,290,0.0,36.1027,127.4839,171.26
1990,1,13,13,8.999,0.9,-6.6,0.0,-2.7,54.8,1.4,290,8.4,36.1027,127.4839,171.26
1990,1,14,14,7.342,2.5,-10.4,0.0,-4.4,76.3,0.5,250,5.9,36.1027,127.4839,171.26
1990,1,15,15,3.35,0.0,-5.4,0.0,-2.6,74.0,0.5,290,0.0,36.1027,127.4839,171.26
1990,1,16,16,8.656,2.9,-11.2,0.0,-4.7,72.3,0.5,270,7.7,36.1027,127.4839,171.26
1990,1,17,17,8.772,6.6,-9.6,0.0,-2.6,74.0,0.3,270,7.8,36.1027,127.4839,171.26
1990,1,18,18,3.695,5.3,-0.5,4.6,2.9,74.8,1.0,290,0.4,36.1027,127.4839,171.26
1990,1,19,19,7.897,1.1,-7.2,0.0,-2.6,55.0,1.6,290,6.4,36.1027,127.4839,171.26
1990,1,20,20,9.552,-1.4,-12.4,0.0,-7.2,67.0,0.7,340,8.7,36.1027,127.4839,171.26
1990,1,21,21,9.257,3.1,-11.2,0.0,-3.6,64.8,0.6,70,8.2,36.1027,127.4839,171.26
1990,1,22,22,9.384,-1.8,-12.8,2.3,-5.7,59.8,1.9,290,8.3,36.1027,127.4839,171.26
1990,1,23,23,9.512,-4.6,-17.0,0.6,-10.3,67.0,0.8,290,8.4,36.1027,127.4839,171.26
1990,1,24,24,9.643,-6.9,-16.5,0.1,-11.3,63.3,1.1,290,8.5,36.1027,127.4839,171.26
1990,1,25,25,9.848,-6.5,-17.4,0.0,-12.5,65.5,1.0,270,8.7,36.1027,127.4839,171.26
1990,1,26,26,9.768,-2.8,-19.4,0.0,-11.7,63.3,0.8,290,8.5,36.1027,127.4839,171.26
1990,1,27,27,10.049,4.0,-15.7,0.0,-7.3,72.0,0.5,290,8.8,36.1027,127.4839,171.26
1990,1,28,28,3.766,2.8,-10.1,0.3,-3.5,79.3,0.9,320,0.1,36.1027,127.4839,171.26
1990,1,29,29,3.724,6.5,0.9,7.2,3.0,88.8,1.1,250,0.0,36.1027,127.4839,171.26
1990,1,30,30,3.756,2.2,0.0,14.3,0.9,86.8,0.5,20,0.0,36.1027,127.4839,171.26
1990,1,31,31,3.789,1.4,-1.5,14.0,-0.1,84.0,0.5,290,0.0,36.1027,127.4839,171.26
1990,2,1,32,4.561,0.6,-3.6,3.2,-1.9,79.8,0.9,290,2.2,36.1027,127.4839,171.26
1990,2,2,33,4.118,1.5,-3.6,0.0,-1.6,80.0,0.6,230,1.5,36.1027,127.4839,171.26
1990,2,3,34,7.34,2.6,-5.8,0.0,-2.3,76.3,1.2,270,6.4,36.1027,127.4839,171.26
1990,2,4,35,3.621,2.6,-8.9,0.0,-3.1,76.8,0.6,270,0.7,36.1027,127.4839,171.26
1990,2,5,36,5.413,3.4,-2.1,0.0,0.0,74.3,0.9,360,3.4,36.1027,127.4839,171.26
1990,2,6,37,8.406,5.2,-5.6,0.0,-0.9,65.8,0.8,290,7.9,36.1027,127.4839,171.26
1990,2,7,38,7.178,5.2,-10.1,0.0,-3.7,70.3,0.4,270,6.0,36.1027,127.4839,171.26
1990,2,8,39,3.219,1.3,-6.2,0.9,-2.3,84.8,0.2,290,0.0,36.1027,127.4839,171.26
1990,2,9,40,7.037,8.2,-1.8,0.0,2.0,83.0,0.4,270,5.7,36.1027,127.4839,171.26
1990,2,10,41,3.252,3.8,-1.8,25.6,1.7,89.5,0.3,90,0.0,36.1027,127.4839,171.26
1990,2,11,42,6.966,6.9,1.3,0.0,3.6,72.5,2.0,250,5.5,36.1027,127.4839,171.26
1990,2,12,43,9.293,5.2,-3.9,0.0,1.6,57.0,1.7,290,8.9,36.1027,127.4839,171.26
1990,2,13,44,7.576,7.9,-7.8,0.0,-0.5,70.0,0.4,360,6.3,36.1027,127.4839,171.26
1990,2,14,45,3.329,5.2,0.2,0.0,2.5,77.5,0.3,90,0.0,36.1027,127.4839,171.26
1990,2,15,46,3.692,8.6,0.6,2.1,3.9,81.5,0.4,70,0.5,36.1027,127.4839,171.26
1990,2,16,47,7.146,12.2,-0.7,0.0,5.0,76.3,0.4,270,5.5,36.1027,127.4839,171.26
1990,2,17,48,6.842,13.5,-3.2,0.0,3.8,72.0,0.5,360,5.0,36.1027,127.4839,171.26
1990,2,18,49,3.418,8.7,4.0,9.1,6.2,84.8,1.4,110,0.0,36.1027,127.4839,171.26
1990,2,19,50,3.443,7.8,3.5,11.9,6.4,85.8,1.3,270,0.0,36.1027,127.4839,171.26
