year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2009,1,1,1,5.609,-0.5,-9.8,2.0,-4.5,74.0,1.3,50,3.7,35.7265,126.7186,10.68
2009,1,2,2,8.728,3.7,-8.8,0.0,-3.0,75.6,0.4,270,8.4,35.7265,126.7186,10.68
2009,1,3,3,8.753,4.7,-8.6,0.0,-2.0,78.5,0.6,320,8.4,35.7265,126.7186,10.68
2009,1,4,4,5.595,6.0,-4.5,0.0,-0.1,77.0,0.6,320,3.6,35.7265,126.7186,10.68
2009,1,5,5,4.616,5.0,-3.2,0.0,0.3,72.0,1.1,20,2.1,35.7265,126.7186,10.68
2009,1,6,6,6.436,2.6,-5.8,0.0,-1.0,73.9,0.8,320,4.8,35.7265,126.7186,10.68
2009,1,7,7,8.603,4.0,-5.5,0.0,-0.9,69.6,0.9,50,8.0,35.7265,126.7186,10.68
2009,1,8,8,7.83,4.1,-5.5,0.0,-0.7,66.4,1.1,320,6.8,35.7265,126.7186,10.68
2009,1,9,9,5.638,2.1,-6.4,0.1,-2.2,77.1,1.5,340,3.5,35.7265,126.7186,10.68
2009,1,10,10,3.5,-1.1,-4.3,1.5,-2.5,75.6,1.9,340,0.3,35.7265,126.7186,10.68
2009,1,11,11,4.197,-0.1,-6.8,4.5,-3.7,85.1,1.5,20,1.3,35.7265,126.7186,10.68
2009,1,12,12,3.402,-0.8,-6.4,4.5,-3.8,81.8,2.2,340,0.1,35.7265,126.7186,10.68
2009,1,13,13,6.911,0.6,-6.5,0.5,-3.1,75.8,0.9,200,5.2,35.7265,126.7186,10.68
2009,1,14,14,5.641,1.9,-6.3,1.5,-2.7,66.8,2.7,340,3.3,35.7265,126.7186,10.68
2009,1,15,15,9.121,0.3,-12.7,0.0,-6.5,70.6,0.6,180,8.3,35.7265,126.7186,10.68
2009,1,16,16,5.01,5.7,-6.0,0.4,0.5,72.3,1.5,140,2.3,35.7265,126.7186,10.68
2009,1,17,17,8.591,8.6,-0.9,0.0,2.9,68.1,1.0,110,7.4,35.7265,126.7186,10.68
2009,1,18,18,4.022,9.5,0.9,8.0,6.1,80.8,2.3,180,0.8,35.7265,126.7186,10.68
2009,1,19,19,8.546,7.0,-1.5,0.0,2.9,65.8,1.3,340,7.2,35.7265,126.7186,10.68
2009,1,20,20,5.983,8.6,-0.9,0.0,2.6,58.4,1.2,50,3.5,35.7265,126.7186,10.68
2009,1,21,21,4.53,7.9,-0.8,0.0,2.6,64.9,0.5,140,1.4,35.7265,126.7186,10.68
2009,1,22,22,6.987,11.4,-1.5,0.0,4.2,67.9,1.4,110,4.8,35.7265,126.7186,10.68
2009,1,23,23,3.877,2.8,-8.6,4.0,-4.6,76.4,3.1,340,0.4,35.7265,126.7186,10.68
2009,1,24,24,4.483,-1.3,-12.0,0.5,-4.2,68.5,3.3,270,1.2,35.7265,126.7186,10.68
2009,1,25,25,7.414,3.5,-4.5,1.0,-0.4,63.5,2.4,270,5.2,35.7265,126.7186,10.68
2009,1,26,26,7.682,4.0,-2.0,0.4,0.5,69.5,1.5,320,5.5,35.7265,126.7186,10.68
2009,1,27,27,10.151,5.8,-5.0,0.0,-0.6,64.1,0.9,140,8.8,35.7265,126.7186,10.68
2009,1,28,28,10.217,10.1,-6.2,0.0,0.8,68.4,0.8,90,8.8,35.7265,126.7186,10.68
2009,1,29,29,3.767,5.6,-1.3,0.0,2.4,67.3,0.7,70,0.0,35.7265,126.7186,10.68
2009,1,30,30,6.927,14.3,2.8,0.1,7.3,64.6,1.5,50,4.2,35.7265,126.7186,10.68
2009,1,31,31,10.573,13.2,0.3,0.0,5.9,68.8,1.5,50,9.0,35.7265,126.7186,10.68
2009,2,1,32,7.124,12.1,-1.8,0.0,5.0,73.3,0.9,50,6.0,35.7265,126.7186,10.68
2009,2,2,33,5.295,14.4,3.1,0.0,7.9,70.9,1.2,140,3.2,35.7265,126.7186,10.68
2009,2,3,34,4.517,7.5,3.0,0.0,4.9,87.4,1.8,320,2.0,35.7265,126.7186,10.68
2009,2,4,35,5.727,10.1,-0.4,0.0,3.5,74.8,1.3,320,3.8,35.7265,126.7186,10.68
2009,2,5,36,3.485,8.0,-2.3,0.0,3.7,79.0,0.6,320,0.4,35.7265,126.7186,10.68
2009,2,6,37,5.769,9.2,-0.5,0.0,3.4,83.6,1.1,320,3.8,35.7265,126.7186,10.68
2009,2,7,38,5.591,8.5,-2.0,0.0,3.6,82.1,1.0,320,3.5,35.7265,126.7186,10.68
2009,2,8,39,7.965,9.4,-1.9,0.0,3.2,72.3,1.3,320,7.0,35.7265,126.7186,10.68
2009,2,9,40,7.188,8.4,1.4,0.0,4.2,68.0,1.8,320,5.8,35.7265,126.7186,10.68
2009,2,10,41,3.364,8.8,0.1,0.0,4.3,73.4,0.8,160,0.1,35.7265,126.7186,10.68
2009,2,11,42,4.401,10.5,-1.8,0.0,5.2,82.0,1.8,180,1.6,35.7265,126.7186,10.68
2009,2,12,43,4.56,18.0,-1.5,0.0,9.5,70.4,3.2,180,1.8,35.7265,126.7186,10.68
2009,2,13,44,3.353,18.8,5.9,8.5,13.6,78.5,5.9,200,0.0,35.7265,126.7186,10.68
2009,2,14,45,6.465,11.4,1.6,0.0,5.2,76.6,2.0,320,4.5,35.7265,126.7186,10.68
2009,2,15,46,3.394,5.6,-1.5,0.1,1.7,68.8,2.0,340,0.0,35.7265,126.7186,10.68
2009,2,16,47,10.0,1.9,-4.7,0.0,-1.9,42.0,2.8,20,9.5,35.7265,126.7186,10.68
2009,2,17,48,10.261,1.7,-6.7,0.0,-2.2,53.1,1.7,20,9.8,35.7265,126.7186,10.68
2009,2,18,49,9.407,3.8,-5.5,0.0,-0.6,60.6,1.3,50,8.5,35.7265,126.7186,10.68
2009,2,19,50,3.486,3.9,-2.3,4.0,0.2,81.8,1.1,50,0.0,35.7265,126.7186,10.68
2009,2,20,51,5.771,5.3,-1.4,2.0,1.4,67.9,3.3,320,3.2,35.7265,126.7186,10.68
2009,2,21,52,10.066,6.4,-3.9,0.0,0.3,66.1,1.6,110,9.2,35.7265,126.7186,10.68
2009,2,22,53,3.563,5.1,-1.2,8.0,2.4,83.8,1.5,20,0.0,35.7265,126.7186,10.68
2009,2,23,54,7.82,9.5,1.0,0.0,4.7,74.8,1.4,320,5.9,35.7265,126.7186,10.68
2009,2,24,55,3.762,12.5,3.0,1.0,7.6,76.8,0.8,20,0.2,35.7265,126.7186,10.68
2009,2,25,56,5.096,7.4,0.0,7.0,3.8,74.3,2.6,320,2.0,35.7265,126.7186,10.68
2009,2,26,57,5.788,6.6,0.2,0.0,3.1,58.6,2.2,290,2.9,35.7265,126.7186,10.68
2009,2,27,58,7.441,7.4,0.2,0.0,3.7,58.9,1.9,290,5.1,35.7265,126.7186,10.68
2009,2,28,59,9.701,8.5,-2.5,0.0,3.1,64.4,1.7,320,8.1,35.7265,126.7186,10.68
2009,3,1,60,9.495,8.7,-2.5,0.0,3.5,65.1,2.0,340,9.6,35.7265,126.7186,10.68
2009,3,2,61,7.539,8.0,-4.1,0.4,2.4,60.5,1.8,70,6.6,35.7265,126.7186,10.68
2009,3,3,62,3.194,3.7,0.4,9.5,1.8,87.8,0.9,340,0.0,35.7265,126.7186,10.68
2009,3,4,63,8.182,8.2,-0.6,0.0,2.8,80.1,1.1,340,7.5,35.7265,126.7186,10.68
2009,3,5,64,3.219,8.6,0.0,7.0,4.8,88.0,1.2,50,0.0,35.7265,126.7186,10.68
2009,3,6,65,8.372,6.7,0.6,0.0,3.4,66.3,3.3,320,7.7,35.7265,126.7186,10.68
2009,3,7,66,7.733,7.3,-3.8,0.0,2.2,57.4,1.3,320,6.7,35.7265,126.7186,10.68
2009,3,8,67,8.905,12.8,-0.9,0.0,4.4,62.3,1.3,320,8.4,35.7265,126.7186,10.68
2009,3,9,68,7.93,13.0,0.1,0.0,6.0,65.5,1.3,320,6.9,35.7265,126.7186,10.68
2009,3,10,69,9.993,9.7,1.1,0.0,4.7,55.4,2.2,320,9.9,35.7265,126.7186,10.68
2009,3,11,70,7.659,10.8,0.0,0.0,4.3,52.0,1.7,50,6.4,35.7265,126.7186,10.68
2009,3,12,71,6.536,17.2,-1.5,6.0,8.1,55.6,2.3,140,4.7,35.7265,126.7186,10.68
2009,3,13,72,3.695,7.4,0.5,13.5,4.7,76.5,4.3,320,0.5,35.7265,126.7186,10.68
2009,3,14,73,8.732,5.8,-0.5,0.0,2.1,51.8,3.3,320,7.8,35.7265,126.7186,10.68
2009,3,15,74,10.57,13.9,-1.9,0.0,6.6,59.6,3.5,200,10.4,35.7265,126.7186,10.68
2009,3,16,75,7.228,18.4,4.6,0.0,10.7,71.9,3.4,200,5.5,35.7265,126.7186,10.68
2009,3,17,76,9.844,23.5,5.1,0.0,14.8,55.9,3.8,200,9.2,35.7265,126.7186,10.68
2009,3,18,77,7.799,23.6,15.2,0.0,18.9,66.1,5.0,180,6.2,35.7265,126.7186,10.68
2009,3,19,78,6.016,24.3,7.5,0.1,15.1,81.5,3.0,320,3.6,35.7265,126.7186,10.68
2009,3,20,79,8.384,19.2,8.5,0.0,12.1,79.0,1.9,320,6.9,35.7265,126.7186,10.68
2009,3,21,80,5.879,20.5,6.2,11.0,14.2,74.0,2.6,140,3.3,35.7265,126.7186,10.68
2009,3,22,81,7.272,16.3,4.9,1.5,8.3,80.5,3.9,290,5.2,35.7265,126.7186,10.68
2009,3,23,82,8.322,8.6,2.4,0.0,5.4,63.6,2.4,320,6.6,35.7265,126.7186,10.68
2009,3,24,83,10.608,10.3,-1.5,0.0,4.5,51.1,2.0,50,9.7,35.7265,126.7186,10.68
2009,3,25,84,11.761,7.2,0.4,0.0,3.9,51.1,2.6,290,11.2,35.7265,126.7186,10.68
2009,3,26,85,9.357,12.6,0.1,0.0,6.3,60.3,3.3,320,7.8,35.7265,126.7186,10.68
2009,3,27,86,11.469,9.4,-1.2,0.0,4.9,51.1,2.5,340,10.6,35.7265,126.7186,10.68
2009,3,28,87,11.911,10.2,-0.2,0.0,5.2,56.9,1.8,320,11.1,35.7265,126.7186,10.68
2009,3,29,88,10.21,11.5,0.2,0.0,5.6,58.0,1.6,320,8.7,35.7265,126.7186,10.68
2009,3,30,89,7.672,13.8,1.8,0.0,6.7,67.3,1.5,320,5.2,35.7265,126.7186,10.68
2009,3,31,90,8.026,9.7,3.9,0.5,6.0,67.0,2.0,320,5.6,35.7265,126.7186,10.68
2009,4,1,91,8.902,9.0,4.0,0.0,6.0,59.1,3.3,320,8.7,35.7265,126.7186,10.68
2009,4,2,92,9.982,11.9,-0.4,0.0,6.3,65.1,1.8,290,10.3,35.7265,126.7186,10.68
2009,4,3,93,3.79,12.1,3.4,0.0,6.9,65.3,1.3,320,0.9,35.7265,126.7186,10.68
2009,4,4,94,9.841,13.1,5.1,0.0,8.8,66.9,1.8,290,10.0,35.7265,126.7186,10.68
2009,4,5,95,8.742,15.0,4.4,0.0,7.9,80.6,2.0,320,8.3,35.7265,126.7186,10.68
2009,4,6,96,9.84,15.5,3.2,0.0,8.8,70.1,1.8,180,9.9,35.7265,126.7186,10.68
2009,4,7,97,10.344,22.5,6.2,0.0,13.0,64.6,1.5,160,10.6,35.7265,126.7186,10.68
2009,4,8,98,9.509,22.3,5.1,0.0,13.0,62.6,1.4,320,9.3,35.7265,126.7186,10.68
2009,4,9,99,10.962,24.3,4.9,0.0,13.5,57.4,2.0,320,11.4,35.7265,126.7186,10.68
2009,4,10,100,10.804,23.9,5.2,0.0,14.1,55.0,1.9,320,11.1,35.7265,126.7186,10.68
2009,4,11,101,10.171,23.7,5.6,0.0,13.4,57.0,2.0,320,10.1,35.7265,126.7186,10.68
2009,4,12,102,10.217,23.0,7.5,0.0,14.6,53.8,1.9,340,10.1,35.7265,126.7186,10.68
2009,4,13,103,3.9,21.9,8.0,0.0,14.6,58.3,1.0,320,0.8,35.7265,126.7186,10.68
2009,4,14,104,8.939,17.9,9.2,0.0,12.3,81.9,2.4,320,8.1,35.7265,126.7186,10.68
2009,4,15,105,3.532,18.0,8.4,2.0,12.0,75.8,2.0,180,0.2,35.7265,126.7186,10.68
2009,4,16,106,6.812,15.5,5.1,0.0,9.8,73.1,2.0,20,4.9,35.7265,126.7186,10.68
2009,4,17,107,11.723,18.1,2.2,0.0,9.8,61.1,1.9,320,11.9,35.7265,126.7186,10.68
2009,4,18,108,11.575,21.9,4.0,0.0,12.5,46.3,1.7,320,11.6,35.7265,126.7186,10.68
2009,4,19,109,10.795,27.9,5.5,0.0,15.9,45.6,1.9,320,10.4,35.7265,126.7186,10.68
2009,4,20,110,3.511,17.4,11.4,24.0,15.1,79.4,3.5,160,0.0,35.7265,126.7186,10.68
2009,4,21,111,9.285,15.2,9.8,0.4,11.8,72.5,4.1,270,8.1,35.7265,126.7186,10.68
2009,4,22,112,11.694,14.8,6.8,0.0,9.9,69.6,2.3,290,11.4,35.7265,126.7186,10.68
2009,4,23,113,10.688,17.9,4.8,0.0,10.7,71.8,1.6,320,9.9,35.7265,126.7186,10.68
2009,4,24,114,3.618,17.1,9.3,1.0,13.6,72.6,1.3,90,0.0,35.7265,126.7186,10.68
2009,4,25,115,3.936,13.0,8.2,1.0,9.4,76.8,3.6,290,0.4,35.7265,126.7186,10.68
2009,4,26,116,7.609,13.4,7.9,0.0,10.2,72.9,2.8,290,5.4,35.7265,126.7186,10.68
2009,4,27,117,10.663,16.1,6.3,0.0,10.5,70.0,2.0,270,9.5,35.7265,126.7186,10.68
2009,4,28,118,12.5,19.6,4.1,0.0,12.0,62.1,1.4,320,11.9,35.7265,126.7186,10.68
2009,4,29,119,12.58,22.5,4.7,0.0,13.6,48.4,1.7,320,11.9,35.7265,126.7186,10.68
2009,4,30,120,10.502,21.9,6.9,0.0,14.5,46.8,1.8,320,9.0,35.7265,126.7186,10.68
2009,5,1,121,10.153,23.9,8.1,0.0,16.6,54.8,2.0,320,10.6,35.7265,126.7186,10.68
2009,5,2,122,5.493,23.7,12.5,0.5,17.5,68.8,2.6,200,3.5,35.7265,126.7186,10.68
2009,5,3,123,7.826,21.8,13.6,14.0,16.7,83.0,2.1,320,7.0,35.7265,126.7186,10.68
2009,5,4,124,8.448,21.1,10.4,0.0,14.8,81.0,1.5,320,7.9,35.7265,126.7186,10.68
2009,5,5,125,9.673,19.6,10.5,0.0,14.3,76.3,1.7,320,9.7,35.7265,126.7186,10.68
