year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2000,1,1,1,6.292,10.6,-5.5,0.0,1.4,75.1,0.7,160,4.7,35.6092,127.2877,246.85
2000,1,2,2,3.197,7.4,-1.7,3.5,2.5,82.5,1.2,360,0.0,35.6092,127.2877,246.85
2000,1,3,3,8.586,3.9,-5.4,0.0,-0.8,70.6,1.8,340,8.1,35.6092,127.2877,246.85
2000,1,4,4,7.747,9.6,-7.2,0.0,-0.8,70.8,0.5,140,6.8,35.6092,127.2877,246.85
2000,1,5,5,4.835,12.8,-3.3,8.0,5.3,74.0,1.4,140,2.4,35.6092,127.2877,246.85
2000,1,6,6,3.247,8.2,-1.6,1.0,3.9,79.3,2.6,340,0.0,35.6092,127.2877,246.85
2000,1,7,7,3.665,-1.5,-7.6,1.9,-4.9,76.5,2.3,270,0.6,35.6092,127.2877,246.85
2000,1,8,8,4.962,1.3,-6.9,0.0,-3.1,80.8,1.0,230,2.5,35.6092,127.2877,246.85
2000,1,9,9,3.293,0.4,-4.8,1.2,-1.8,83.6,0.6,70,0.0,35.6092,127.2877,246.85
2000,1,10,10,7.585,4.4,-5.9,0.0,-1.1,72.0,1.4,340,6.3,35.6092,127.2877,246.85
2000,1,11,11,7.074,7.4,-9.7,0.0,0.0,66.9,1.2,160,5.5,35.6092,127.2877,246.85
2000,1,12,12,3.347,8.9,1.0,0.0,5.3,71.8,1.8,90,0.0,35.6092,127.2877,246.85
2000,1,13,13,3.367,4.1,-1.4,2.0,1.3,81.9,2.0,320,0.0,35.6092,127.2877,246.85
2000,1,14,14,3.387,1.1,-2.1,0.0,-0.9,71.5,1.8,360,0.0,35.6092,127.2877,246.85
2000,1,15,15,8.807,6.9,-6.7,0.0,-1.5,73.0,1.0,70,7.8,35.6092,127.2877,246.85
2000,1,16,16,5.237,5.4,-4.8,0.0,-0.1,73.9,1.2,70,2.6,35.6092,127.2877,246.85
2000,1,17,17,4.71,2.1,-7.5,0.0,-3.5,74.9,1.2,360,1.8,35.6092,127.2877,246.85
2000,1,18,18,9.299,2.5,-10.1,0.0,-3.9,73.0,1.4,360,8.3,35.6092,127.2877,246.85
2000,1,19,19,3.5,-1.9,-7.2,6.8,-5.4,84.9,2.0,320,0.0,35.6092,127.2877,246.85
2000,1,20,20,7.916,-4.1,-15.9,1.5,-9.0,75.3,2.1,360,6.2,35.6092,127.2877,246.85
2000,1,21,21,9.6,-1.1,-19.0,0.0,-10.9,75.9,0.9,320,8.5,35.6092,127.2877,246.85
2000,1,22,22,3.577,2.1,-13.7,3.5,-3.6,82.0,0.9,140,0.0,35.6092,127.2877,246.85
2000,1,23,23,3.604,4.2,-0.3,4.0,1.5,93.4,0.9,340,0.0,35.6092,127.2877,246.85
2000,1,24,24,7.968,2.2,-3.3,0.0,-0.7,68.6,2.5,340,6.0,35.6092,127.2877,246.85
2000,1,25,25,9.981,-1.7,-8.4,0.0,-5.5,57.4,3.0,360,8.7,35.6092,127.2877,246.85
2000,1,26,26,8.145,-2.9,-9.3,0.0,-7.0,67.4,2.6,320,6.1,35.6092,127.2877,246.85
2000,1,27,27,9.888,-0.7,-13.3,0.0,-7.8,72.3,1.6,340,8.4,35.6092,127.2877,246.85
2000,1,28,28,10.101,3.2,-14.0,0.0,-6.2,72.3,0.9,250,8.6,35.6092,127.2877,246.85
2000,1,29,29,6.009,2.5,-10.9,0.0,-4.3,77.6,0.8,270,3.0,35.6092,127.2877,246.85
2000,1,30,30,4.559,-0.2,-7.1,0.1,-3.7,68.1,2.8,360,1.0,35.6092,127.2877,246.85
2000,1,31,31,10.229,-2.6,-10.8,0.0,-6.9,61.5,2.6,340,8.5,35.6092,127.2877,246.85
2000,2,1,32,7.679,-1.1,-13.5,0.0,-6.9,66.6,1.4,70,6.8,35.6092,127.2877,246.85
2000,2,2,33,6.574,1.8,-7.9,0.0,-3.6,66.8,1.6,360,5.1,35.6092,127.2877,246.85
2000,2,3,34,7.324,3.2,-9.5,0.0,-3.3,69.8,1.4,340,6.2,35.6092,127.2877,246.85
2000,2,4,35,8.812,6.6,-7.4,0.0,-1.8,60.3,1.2,360,8.4,35.6092,127.2877,246.85
2000,2,5,36,4.902,6.7,-9.9,1.5,-0.8,74.0,0.6,250,2.5,35.6092,127.2877,246.85
2000,2,6,37,4.921,3.2,-1.3,0.5,0.5,75.0,1.9,320,2.5,35.6092,127.2877,246.85
2000,2,7,38,3.262,3.8,-4.5,3.9,-1.2,75.3,1.8,270,0.0,35.6092,127.2877,246.85
2000,2,8,39,6.04,-3.7,-12.9,1.9,-7.0,64.9,3.1,340,4.1,35.6092,127.2877,246.85
2000,2,9,40,8.973,-0.1,-14.2,0.0,-7.4,71.4,1.6,250,8.4,35.6092,127.2877,246.85
2000,2,10,41,9.417,3.5,-13.9,0.0,-5.0,71.9,1.1,250,9.0,35.6092,127.2877,246.85
2000,2,11,42,7.21,6.1,-8.5,0.0,-2.0,75.6,0.9,250,5.7,35.6092,127.2877,246.85
2000,2,12,43,8.406,7.0,-8.3,0.0,-1.9,72.9,1.0,250,7.4,35.6092,127.2877,246.85
2000,2,13,44,8.24,10.2,-7.1,0.0,1.0,64.6,0.8,230,7.1,35.6092,127.2877,246.85
2000,2,14,45,6.075,2.2,-4.7,0.2,-1.9,68.5,2.2,340,3.9,35.6092,127.2877,246.85
2000,2,15,46,7.146,-2.1,-7.8,0.5,-5.1,61.4,3.2,340,5.4,35.6092,127.2877,246.85
2000,2,16,47,7.114,-1.6,-11.2,1.3,-5.4,71.0,1.9,320,5.3,35.6092,127.2877,246.85
2000,2,17,48,9.458,1.5,-11.2,0.0,-4.7,65.1,1.8,360,8.6,35.6092,127.2877,246.85
2000,2,18,49,9.509,4.0,-9.3,0.0,-2.2,58.0,1.2,270,8.6,35.6092,127.2877,246.85
2000,2,19,50,4.346,7.2,-3.0,0.0,1.3,52.5,1.0,320,1.2,35.6092,127.2877,246.85
2000,2,20,51,9.262,4.9,-5.4,0.0,-0.8,56.4,2.1,360,8.1,35.6092,127.2877,246.85
2000,2,21,52,10.312,2.6,-10.3,0.0,-3.4,57.8,2.2,20,9.5,35.6092,127.2877,246.85
2000,2,22,53,9.156,3.5,-8.0,0.0,-3.1,55.6,1.4,360,7.8,35.6092,127.2877,246.85
2000,2,23,54,8.277,7.7,-7.3,0.0,-0.4,57.9,1.6,290,6.5,35.6092,127.2877,246.85
2000,2,24,55,10.281,0.8,-6.4,0.0,-3.4,45.6,3.3,340,9.2,35.6092,127.2877,246.85
2000,2,25,56,9.618,3.2,-9.8,0.0,-3.6,55.0,1.2,250,8.2,35.6092,127.2877,246.85
2000,2,26,57,4.858,2.8,-7.4,1.1,-1.3,66.5,1.4,250,1.6,35.6092,127.2877,246.85
2000,2,27,58,10.696,6.6,-9.0,0.0,-0.6,59.1,1.9,270,9.5,35.6092,127.2877,246.85
2000,2,28,59,11.135,1.4,-9.2,1.2,-3.0,53.6,2.4,340,10.0,35.6092,127.2877,246.85
2000,2,29,60,10.91,4.3,-12.6,0.0,-4.4,58.1,1.2,230,9.6,35.6092,127.2877,246.85
2000,3,1,61,9.067,9.1,-10.6,0.0,-1.1,62.4,1.2,250,8.9,35.6092,127.2877,246.85
2000,3,2,62,9.422,15.2,-7.2,0.0,2.6,59.4,0.8,230,9.4,35.6092,127.2877,246.85
2000,3,3,63,6.66,16.0,-4.8,0.5,5.3,56.5,1.1,160,5.2,35.6092,127.2877,246.85
2000,3,4,64,3.22,10.5,-1.8,0.1,5.1,70.5,1.1,70,0.0,35.6092,127.2877,246.85
2000,3,5,65,9.308,13.1,-4.7,0.0,3.1,56.6,1.2,250,9.1,35.6092,127.2877,246.85
2000,3,6,66,5.791,10.8,-7.9,0.0,0.5,55.5,2.0,290,3.8,35.6092,127.2877,246.85
2000,3,7,67,9.709,3.7,-5.8,0.0,-1.9,43.8,2.8,340,9.6,35.6092,127.2877,246.85
2000,3,8,68,8.263,5.2,-9.3,0.0,-2.1,57.5,2.4,320,7.4,35.6092,127.2877,246.85
2000,3,9,69,8.364,5.3,-8.6,0.0,-1.5,55.5,2.1,50,7.5,35.6092,127.2877,246.85
2000,3,10,70,8.535,10.8,-5.8,0.0,2.5,59.9,1.2,270,7.7,35.6092,127.2877,246.85
2000,3,11,71,3.329,10.5,-0.2,0.0,4.4,61.1,1.2,290,0.0,35.6092,127.2877,246.85
2000,3,12,72,8.953,12.9,-3.9,0.0,3.0,56.4,1.2,250,8.2,35.6092,127.2877,246.85
2000,3,13,73,8.789,11.7,-6.2,0.0,2.5,52.0,1.4,270,7.9,35.6092,127.2877,246.85
2000,3,14,74,8.556,12.5,-3.5,0.0,3.4,52.8,1.4,250,7.5,35.6092,127.2877,246.85
2000,3,15,75,7.076,14.4,-7.4,14.5,3.6,59.4,1.9,140,5.3,35.6092,127.2877,246.85
2000,3,16,76,4.751,4.8,-3.3,5.0,1.3,74.0,2.8,290,1.9,35.6092,127.2877,246.85
2000,3,17,77,10.156,12.8,-3.8,0.0,3.6,60.1,1.1,250,9.6,35.6092,127.2877,246.85
2000,3,18,78,9.439,16.4,-3.4,0.0,6.4,52.8,1.9,160,8.5,35.6092,127.2877,246.85
2000,3,19,79,6.39,7.4,-1.6,1.0,3.2,70.9,2.1,270,4.1,35.6092,127.2877,246.85
2000,3,20,80,9.12,14.3,-4.4,0.0,3.7,65.5,1.2,230,7.9,35.6092,127.2877,246.85
2000,3,21,81,5.259,12.1,-2.9,0.0,4.0,68.0,1.0,250,2.4,35.6092,127.2877,246.85
2000,3,22,82,10.372,16.1,-1.9,0.0,7.3,57.1,1.4,160,9.5,35.6092,127.2877,246.85
2000,3,23,83,3.604,8.0,0.7,1.5,4.4,65.9,1.8,290,0.0,35.6092,127.2877,246.85
2000,3,24,84,11.509,7.4,1.0,0.0,3.2,46.0,3.9,340,10.9,35.6092,127.2877,246.85
2000,3,25,85,10.853,11.0,-5.6,0.0,2.9,53.5,2.5,270,9.9,35.6092,127.2877,246.85
2000,3,26,86,10.263,15.9,-3.9,0.0,4.3,60.0,1.8,270,9.0,35.6092,127.2877,246.85
2000,3,27,87,8.934,18.2,-3.1,0.0,9.4,46.6,2.8,180,7.1,35.6092,127.2877,246.85
2000,3,28,88,5.3,12.4,2.1,11.0,6.5,68.5,3.3,160,2.1,35.6092,127.2877,246.85
2000,3,29,89,9.573,8.0,-1.8,0.0,3.5,59.6,3.4,320,7.8,35.6092,127.2877,246.85
2000,3,30,90,12.027,14.4,-4.2,0.0,4.7,56.0,1.2,270,11.0,35.6092,127.2877,246.85
2000,3,31,91,8.802,17.6,-1.9,0.0,7.4,56.9,1.7,360,6.6,35.6092,127.2877,246.85
2000,4,1,92,10.058,19.2,-3.6,0.0,8.1,42.0,1.4,340,10.4,35.6092,127.2877,246.85
2000,4,2,93,5.448,19.9,2.7,0.0,10.8,35.6,1.2,160,3.4,35.6092,127.2877,246.85
2000,4,3,94,10.113,20.2,0.3,0.0,10.5,47.5,1.2,50,10.4,35.6092,127.2877,246.85
2000,4,4,95,5.75,16.7,2.8,0.0,9.7,50.8,0.9,200,3.8,35.6092,127.2877,246.85
2000,4,5,96,7.572,14.1,-1.0,0.0,5.3,51.9,2.2,320,6.5,35.6092,127.2877,246.85
2000,4,6,97,10.745,15.6,-5.8,0.0,4.5,50.9,1.1,250,11.2,35.6092,127.2877,246.85
2000,4,7,98,10.045,14.1,-2.7,0.0,4.7,52.0,1.8,250,10.1,35.6092,127.2877,246.85
2000,4,8,99,10.689,18.1,-5.7,0.0,5.9,42.9,1.2,250,11.0,35.6092,127.2877,246.85
2000,4,9,100,6.336,16.7,-1.7,0.5,8.2,50.3,1.8,200,4.5,35.6092,127.2877,246.85
2000,4,10,101,9.892,10.5,0.5,2.0,4.5,53.5,4.2,290,9.7,35.6092,127.2877,246.85
2000,4,11,102,11.024,15.6,-4.8,0.0,5.1,49.4,2.4,290,11.3,35.6092,127.2877,246.85
2000,4,12,103,10.662,18.7,-2.4,0.0,8.6,51.8,1.4,230,10.7,35.6092,127.2877,246.85
2000,4,13,104,10.299,24.0,1.1,0.0,12.4,56.9,1.7,270,10.1,35.6092,127.2877,246.85
2000,4,14,105,8.901,18.8,3.9,0.0,11.6,47.1,1.7,250,8.0,35.6092,127.2877,246.85
2000,4,15,106,7.769,17.1,2.0,0.0,9.1,46.1,2.2,270,6.3,35.6092,127.2877,246.85
2000,4,16,107,11.007,17.3,-2.0,0.0,7.3,46.9,1.4,250,10.9,35.6092,127.2877,246.85
2000,4,17,108,9.039,18.7,0.2,0.0,9.9,49.4,1.9,270,8.0,35.6092,127.2877,246.85
2000,4,18,109,7.966,20.3,1.4,0.0,12.3,46.6,2.0,140,6.4,35.6092,127.2877,246.85
2000,4,19,110,3.5,14.1,6.9,22.0,11.1,74.5,1.6,360,0.0,35.6092,127.2877,246.85
2000,4,20,111,11.103,20.9,3.9,0.0,12.8,61.8,1.4,160,10.7,35.6092,127.2877,246.85
2000,4,21,112,4.262,14.9,9.8,2.5,11.3,70.8,1.2,140,1.0,35.6092,127.2877,246.85
2000,4,22,113,6.653,18.6,1.0,0.0,9.2,63.3,2.0,250,4.3,35.6092,127.2877,246.85
