year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1989,1,1,1,8.221,5.8,-7.4,0.0,-1.8,82.3,0.3,110,7.6,35.5601,126.8682,44.11
1989,1,2,2,3.733,5.6,-6.4,0.0,0.1,81.0,0.4,140,0.8,35.5601,126.8682,44.11
1989,1,3,3,7.203,7.2,-3.6,0.0,2.2,76.8,0.5,290,6.0,35.5601,126.8682,44.11
1989,1,4,4,8.692,3.4,-7.9,0.0,-2.9,70.5,0.6,110,8.2,35.5601,126.8682,44.11
1989,1,5,5,8.987,9.3,-9.4,0.0,-1.9,67.5,0.3,340,8.6,35.5601,126.8682,44.11
1989,1,6,6,3.253,8.7,-3.5,1.6,3.0,74.3,0.5,140,0.0,35.5601,126.8682,44.11
1989,1,7,7,3.267,11.5,8.7,29.1,9.7,89.8,1.2,70,0.0,35.5601,126.8682,44.11
1989,1,8,8,3.283,11.2,8.5,1.2,10.0,96.3,0.1,160,0.0,35.5601,126.8682,44.11
1989,1,9,9,3.299,11.1,8.1,0.0,9.2,94.8,0.2,360,0.0,35.5601,126.8682,44.11
1989,1,10,10,3.316,10.3,6.8,4.5,7.7,95.8,0.4,340,0.0,35.5601,126.8682,44.11
1989,1,11,11,3.334,10.3,4.8,24.0,7.9,96.0,0.6,340,0.0,35.5601,126.8682,44.11
1989,1,12,12,3.353,4.8,2.5,4.5,3.7,96.0,0.3,290,0.0,35.5601,126.8682,44.11
1989,1,13,13,5.64,3.3,-2.7,0.3,1.2,65.0,0.4,290,3.3,35.5601,126.8682,44.11
1989,1,14,14,8.707,1.9,-5.4,0.0,-2.3,68.5,0.5,360,7.7,35.5601,126.8682,44.11
1989,1,15,15,7.503,2.5,-6.9,0.0,-2.9,80.5,0.8,140,5.9,35.5601,126.8682,44.11
1989,1,16,16,8.308,5.0,-6.8,0.0,-1.6,77.0,0.4,110,7.0,35.5601,126.8682,44.11
1989,1,17,17,8.912,6.9,-5.4,0.0,-0.3,81.0,0.5,110,7.8,35.5601,126.8682,44.11
1989,1,18,18,3.482,3.7,-1.5,27.0,1.8,94.0,0.8,340,0.0,35.5601,126.8682,44.11
1989,1,19,19,3.506,5.7,3.1,16.5,4.7,97.0,0.3,360,0.0,35.5601,126.8682,44.11
1989,1,20,20,6.367,8.4,-1.0,3.7,4.1,86.0,0.5,290,4.0,35.5601,126.8682,44.11
1989,1,21,21,9.471,7.9,-1.2,0.0,2.2,83.0,0.7,140,8.3,35.5601,126.8682,44.11
1989,1,22,22,3.583,7.0,-1.2,0.6,2.5,90.3,0.3,20,0.0,35.5601,126.8682,44.11
1989,1,23,23,3.682,5.4,2.7,14.7,4.2,95.5,0.2,290,0.1,35.5601,126.8682,44.11
1989,1,24,24,3.999,4.7,1.4,0.0,2.5,71.8,0.4,290,0.5,35.5601,126.8682,44.11
1989,1,25,25,6.939,5.4,-2.4,0.0,1.4,78.8,0.4,340,4.5,35.5601,126.8682,44.11
1989,1,26,26,6.328,9.2,-0.2,1.6,2.3,84.0,0.7,290,3.6,35.5601,126.8682,44.11
1989,1,27,27,4.239,-0.2,-6.8,4.9,-3.9,80.3,1.3,340,0.7,35.5601,126.8682,44.11
1989,1,28,28,10.557,-0.7,-11.8,0.0,-6.8,69.8,0.5,20,9.2,35.5601,126.8682,44.11
1989,1,29,29,8.693,0.9,-10.9,0.0,-5.5,73.5,0.6,110,6.6,35.5601,126.8682,44.11
1989,1,30,30,10.323,4.0,-9.9,0.0,-3.2,76.3,0.6,140,8.7,35.5601,126.8682,44.11
1989,1,31,31,4.903,4.2,-5.9,0.0,-1.1,85.8,0.3,110,1.4,35.5601,126.8682,44.11
