year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2023,1,1,1,7.132,5.7,-6.9,0.0,-1.8,78.0,0.9,20.0,5.9,35.4023,127.3351,89.7
2023,1,2,2,8.75,1.8,-7.2,0.0,-3.1,56.0,1.3,20.0,8.3,35.4023,127.3351,89.7
2023,1,3,3,9.175,2.8,-9.9,0.0,-4.3,72.0,1.6,20.0,8.9,35.4023,127.3351,89.7
2023,1,4,4,6.927,5.1,-8.6,0.0,-2.8,75.0,1.3,20.0,5.5,35.4023,127.3351,89.7
2023,1,5,5,6.614,6.7,-5.8,0.0,-0.4,76.9,1.2,20.0,5.0,35.4023,127.3351,89.7
2023,1,6,6,8.254,6.7,-5.0,1.2,0.3,78.8,1.2,20.0,7.4,35.4023,127.3351,89.7
2023,1,7,7,6.325,6.1,-3.8,0.9,1.5,72.6,1.8,90.0,4.5,35.4023,127.3351,89.7
2023,1,8,8,9.061,8.4,-5.6,0.0,0.0,70.8,1.3,20.0,8.5,35.4023,127.3351,89.7
2023,1,9,9,4.27,9.4,-4.0,0.0,1.1,79.3,0.7,110.0,1.4,35.4023,127.3351,89.7
2023,1,10,10,8.247,10.4,-6.0,0.0,0.7,74.1,1.2,20.0,7.2,35.4023,127.3351,89.7
2023,1,11,11,9.516,11.9,-4.2,0.0,2.2,67.6,1.2,20.0,9.0,35.4023,127.3351,89.7
2023,1,12,12,8.252,15.6,-4.5,0.0,5.6,67.1,1.1,20.0,7.1,35.4023,127.3351,89.7
2023,1,13,13,3.805,15.6,9.7,22.1,13.3,94.1,1.4,20.0,0.6,35.4023,127.3351,89.7
2023,1,14,14,3.411,10.4,4.2,0.4,7.8,94.6,0.9,50.0,0.0,35.4023,127.3351,89.7
2023,1,15,15,3.432,4.4,-2.5,1.3,0.5,80.3,1.4,90.0,0.0,35.4023,127.3351,89.7
2023,1,16,16,9.605,0.4,-5.7,0.0,-3.2,63.6,1.3,20.0,8.8,35.4023,127.3351,89.7
2023,1,17,17,9.023,2.9,-7.9,0.0,-3.2,67.4,1.2,20.0,7.9,35.4023,127.3351,89.7
2023,1,18,18,6.321,3.8,-5.4,0.0,-1.7,75.8,1.1,20.0,4.0,35.4023,127.3351,89.7
2023,1,19,19,6.783,4.1,-6.8,0.0,-1.4,74.8,1.0,20.0,4.6,35.4023,127.3351,89.7
2023,1,20,20,7.251,2.2,-6.6,0.2,-1.7,63.8,1.8,20.0,5.2,35.4023,127.3351,89.7
2023,1,21,21,10.3,3.3,-9.9,0.0,-3.9,58.5,1.3,20.0,9.4,35.4023,127.3351,89.7
2023,1,22,22,3.817,5.3,-6.0,0.0,-0.4,59.0,1.0,20.0,0.3,35.4023,127.3351,89.7
2023,1,23,23,8.903,8.9,-4.8,0.0,1.2,65.0,1.7,20.0,7.3,35.4023,127.3351,89.7
2023,1,24,24,8.086,-1.2,-13.0,0.1,-9.3,50.0,2.7,50.0,6.1,35.4023,127.3351,89.7
