year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1997,1,1,1,3.181,10.9,-6.2,20.4,1.9,55.0,3.9,180,0.0,35.6539,127.5224,407.01
1997,1,2,2,5.506,-3.5,-7.0,1.9,-5.7,59.6,3.9,290,3.5,35.6539,127.5224,407.01
1997,1,3,3,8.441,-0.8,-11.3,0.0,-6.2,62.1,2.4,20,7.9,35.6539,127.5224,407.01
1997,1,4,4,7.669,2.8,-11.7,0.0,-6.0,64.0,0.9,360,6.7,35.6539,127.5224,407.01
1997,1,5,5,3.228,1.2,-10.1,6.4,-4.0,67.1,1.7,360,0.0,35.6539,127.5224,407.01
1997,1,6,6,3.375,-4.7,-19.0,3.0,-8.4,64.0,2.3,20,0.2,35.6539,127.5224,407.01
1997,1,7,7,8.488,-2.1,-22.9,0.0,-12.8,69.9,0.9,360,7.8,35.6539,127.5224,407.01
1997,1,8,8,8.656,1.7,-15.9,0.0,-6.9,57.6,2.0,20,8.0,35.6539,127.5224,407.01
1997,1,9,9,7.272,0.7,-18.3,0.0,-8.4,64.0,1.3,360,5.9,35.6539,127.5224,407.01
1997,1,10,10,7.236,2.1,-11.1,0.0,-5.0,55.8,0.9,360,5.8,35.6539,127.5224,407.01
1997,1,11,11,7.404,3.9,-13.1,0.0,-6.4,82.3,0.5,360,6.0,35.6539,127.5224,407.01
1997,1,12,12,3.342,3.1,-9.8,0.0,-4.3,81.1,0.6,50,0.0,35.6539,127.5224,407.01
1997,1,13,13,8.503,7.0,-12.1,0.0,-3.0,74.4,1.1,90,7.5,35.6539,127.5224,407.01
1997,1,14,14,9.027,4.0,-10.5,0.0,-1.8,70.0,2.4,20,8.2,35.6539,127.5224,407.01
1997,1,15,15,7.482,3.5,-14.2,0.0,-6.1,64.8,0.9,360,5.9,35.6539,127.5224,407.01
1997,1,16,16,8.841,3.2,-8.8,0.0,-3.4,59.8,1.5,360,7.8,35.6539,127.5224,407.01
1997,1,17,17,8.679,4.4,-10.2,0.0,-3.2,69.8,1.3,70,7.5,35.6539,127.5224,407.01
1997,1,18,18,9.287,0.9,-11.0,0.0,-3.5,73.3,2.4,20,8.3,35.6539,127.5224,407.01
1997,1,19,19,9.409,4.8,-13.4,0.0,-6.0,74.6,0.5,140,8.4,35.6539,127.5224,407.01
1997,1,20,20,8.684,6.4,-9.5,0.0,-0.9,81.0,1.4,70,7.3,35.6539,127.5224,407.01
1997,1,21,21,9.375,-1.4,-14.3,0.0,-8.2,77.0,4.0,290,8.2,35.6539,127.5224,407.01
1997,1,22,22,9.788,0.0,-17.2,0.0,-9.0,74.5,1.3,360,8.7,35.6539,127.5224,407.01
1997,1,23,23,3.599,-0.7,-11.7,0.0,-5.2,89.5,1.5,360,0.0,35.6539,127.5224,407.01
1997,1,24,24,7.958,-0.8,-7.5,0.0,-5.4,75.6,3.4,20,6.0,35.6539,127.5224,407.01
1997,1,25,25,9.824,2.1,-11.2,0.0,-3.0,75.8,3.0,20,8.5,35.6539,127.5224,407.01
1997,1,26,26,9.74,5.6,-5.8,0.0,-0.9,77.0,1.4,360,8.3,35.6539,127.5224,407.01
1997,1,27,27,4.888,4.1,-7.2,0.6,-2.3,84.8,1.0,20,1.6,35.6539,127.5224,407.01
1997,1,28,28,3.744,1.1,-5.2,1.7,-2.4,89.4,3.5,270,0.0,35.6539,127.5224,407.01
1997,1,29,29,7.114,-0.3,-5.3,2.0,-3.4,86.0,2.9,340,4.5,35.6539,127.5224,407.01
1997,1,30,30,8.582,2.4,-11.8,0.0,-3.6,76.6,1.2,360,6.4,35.6539,127.5224,407.01
1997,1,31,31,7.816,6.0,-9.6,0.7,-2.1,82.8,1.5,290,5.3,35.6539,127.5224,407.01
1997,2,1,32,8.79,2.9,-9.5,0.0,-2.8,78.1,1.4,360,8.5,35.6539,127.5224,407.01
1997,2,2,33,9.078,5.0,-9.3,0.0,-3.7,81.3,1.5,360,8.9,35.6539,127.5224,407.01
1997,2,3,34,9.369,1.8,-12.3,0.0,-6.0,74.8,1.4,20,9.3,35.6539,127.5224,407.01
1997,2,4,35,7.137,4.9,-12.8,0.0,-4.8,70.9,0.9,140,5.9,35.6539,127.5224,407.01
1997,2,5,36,7.628,6.4,-8.5,0.0,-2.2,74.3,1.2,20,6.6,35.6539,127.5224,407.01
1997,2,6,37,7.922,2.3,-7.0,0.0,-1.6,77.4,2.8,360,7.0,35.6539,127.5224,407.01
1997,2,7,38,7.214,6.3,-7.9,0.0,-1.1,79.8,1.2,50,5.9,35.6539,127.5224,407.01
1997,2,8,39,9.261,7.4,-7.0,0.0,-0.8,72.5,1.2,360,8.9,35.6539,127.5224,407.01
1997,2,9,40,9.636,11.3,-8.8,0.0,-0.2,68.6,0.9,360,9.4,35.6539,127.5224,407.01
1997,2,10,41,6.355,5.8,-6.1,0.1,-1.5,82.1,1.9,290,4.5,35.6539,127.5224,407.01
1997,2,11,42,6.588,-0.2,-5.0,2.6,-3.6,84.4,4.1,290,4.8,35.6539,127.5224,407.01
1997,2,12,43,9.556,0.9,-10.2,0.0,-4.2,77.3,2.4,20,9.1,35.6539,127.5224,407.01
1997,2,13,44,9.189,2.4,-13.7,0.0,-5.6,80.9,1.4,20,8.5,35.6539,127.5224,407.01
1997,2,14,45,9.508,6.4,-12.1,0.0,-3.3,70.4,1.0,360,8.9,35.6539,127.5224,407.01
1997,2,15,46,7.067,7.4,-7.9,0.0,0.0,69.9,1.6,200,5.3,35.6539,127.5224,407.01
1997,2,16,47,10.16,2.5,-7.6,0.3,-3.9,68.8,4.0,360,9.7,35.6539,127.5224,407.01
1997,2,17,48,10.143,1.2,-12.0,0.0,-5.5,77.9,2.3,340,9.6,35.6539,127.5224,407.01
1997,2,18,49,5.853,2.3,-12.5,0.3,-5.6,80.1,2.4,20,3.4,35.6539,127.5224,407.01
1997,2,19,50,10.324,4.3,-9.1,0.0,-2.9,72.8,2.2,50,9.7,35.6539,127.5224,407.01
1997,2,20,51,8.047,8.6,-9.0,0.0,0.8,73.6,3.3,200,6.4,35.6539,127.5224,407.01
1997,2,21,52,10.441,4.3,-7.8,0.0,-1.2,59.5,3.5,360,9.7,35.6539,127.5224,407.01
1997,2,22,53,10.503,8.2,-12.1,0.0,-2.7,62.1,1.2,360,9.7,35.6539,127.5224,407.01
1997,2,23,54,10.134,10.9,-8.7,0.0,0.0,74.5,1.2,180,9.1,35.6539,127.5224,407.01
1997,2,24,55,8.752,14.2,-5.7,0.0,4.2,69.6,1.0,180,7.1,35.6539,127.5224,407.01
1997,2,25,56,3.655,11.6,4.6,57.5,8.5,93.9,2.4,180,0.0,35.6539,127.5224,407.01
1997,2,26,57,8.573,15.2,0.5,0.0,7.0,82.0,1.1,360,6.7,35.6539,127.5224,407.01
1997,2,27,58,9.216,16.7,-0.7,0.0,5.5,79.8,0.8,200,7.5,35.6539,127.5224,407.01
1997,2,28,59,4.851,14.2,-0.3,21.0,7.0,88.4,2.8,180,1.5,35.6539,127.5224,407.01
1997,3,1,60,9.648,9.0,-1.6,0.0,2.8,73.1,2.8,360,9.8,35.6539,127.5224,407.01
1997,3,2,61,8.814,6.6,-3.6,0.0,0.4,71.3,2.2,340,8.5,35.6539,127.5224,407.01
1997,3,3,62,9.9,4.7,-6.7,0.0,-1.7,72.6,2.2,360,10.1,35.6539,127.5224,407.01
1997,3,4,63,9.597,10.6,-6.8,0.0,1.5,75.8,1.6,230,9.6,35.6539,127.5224,407.01
1997,3,5,64,9.695,16.0,-3.8,0.0,4.6,70.1,1.0,360,9.7,35.6539,127.5224,407.01
1997,3,6,65,3.242,10.5,-1.0,21.5,6.2,86.6,2.4,180,0.0,35.6539,127.5224,407.01
1997,3,7,66,9.83,12.1,-1.9,0.0,5.1,73.5,2.5,320,9.8,35.6539,127.5224,407.01
1997,3,8,67,9.8,13.5,-4.2,0.0,3.8,69.1,1.8,20,9.7,35.6539,127.5224,407.01
1997,3,9,68,9.568,16.9,-2.7,0.0,6.9,69.9,1.2,20,9.3,35.6539,127.5224,407.01
1997,3,10,69,3.305,9.9,5.0,16.5,7.5,93.6,1.3,20,0.0,35.6539,127.5224,407.01
1997,3,11,70,9.785,16.6,0.1,0.0,7.3,75.5,1.7,360,9.5,35.6539,127.5224,407.01
1997,3,12,71,7.917,15.5,0.5,0.0,7.5,76.1,1.0,90,6.7,35.6539,127.5224,407.01
1997,3,13,72,5.281,18.9,3.8,0.0,9.8,81.4,0.9,90,2.8,35.6539,127.5224,407.01
1997,3,14,73,3.726,13.2,2.5,16.0,6.4,88.9,2.2,360,0.5,35.6539,127.5224,407.01
1997,3,15,74,3.403,5.1,2.4,9.5,3.7,91.9,1.0,360,0.0,35.6539,127.5224,407.01
1997,3,16,75,3.911,6.2,1.0,2.0,3.3,84.0,1.8,360,0.7,35.6539,127.5224,407.01
1997,3,17,76,7.563,10.1,-0.9,0.0,3.2,79.8,1.2,20,5.9,35.6539,127.5224,407.01
1997,3,18,77,10.548,13.6,-2.2,0.0,4.4,79.6,1.3,20,10.1,35.6539,127.5224,407.01
1997,3,19,78,9.69,15.4,-1.1,0.0,5.8,74.5,1.2,360,8.8,35.6539,127.5224,407.01
1997,3,20,79,9.25,14.2,0.9,0.0,6.5,74.6,0.9,140,8.1,35.6539,127.5224,407.01
1997,3,21,80,5.749,12.6,-1.2,0.0,4.1,81.3,1.3,50,3.1,35.6539,127.5224,407.01
1997,3,22,81,10.503,14.6,-2.5,0.0,4.5,72.3,1.3,50,9.7,35.6539,127.5224,407.01
1997,3,23,82,9.703,8.0,-2.2,0.0,1.0,79.8,2.0,270,8.5,35.6539,127.5224,407.01
1997,3,24,83,11.496,12.4,-6.0,0.0,1.7,69.4,1.2,50,10.9,35.6539,127.5224,407.01
1997,3,25,84,8.735,14.7,-5.8,0.0,4.6,62.6,0.9,20,7.0,35.6539,127.5224,407.01
1997,3,26,85,6.238,13.9,-0.8,0.0,5.5,70.3,1.3,20,3.5,35.6539,127.5224,407.01
1997,3,27,86,11.491,16.4,-4.0,0.0,5.3,71.9,1.6,20,10.6,35.6539,127.5224,407.01
1997,3,28,87,10.163,18.0,-2.0,0.0,7.8,62.6,1.8,230,8.7,35.6539,127.5224,407.01
1997,3,29,88,7.485,17.7,1.3,0.0,8.7,71.4,2.5,270,5.0,35.6539,127.5224,407.01
1997,3,30,89,11.939,5.3,-2.6,0.0,0.6,60.5,4.1,360,10.9,35.6539,127.5224,407.01
1997,3,31,90,11.943,13.1,-7.4,0.0,2.2,60.1,1.8,360,10.8,35.6539,127.5224,407.01
1997,4,1,91,9.186,21.0,-3.8,3.0,8.7,58.5,1.7,200,9.1,35.6539,127.5224,407.01
1997,4,2,92,3.191,15.3,5.1,43.5,12.2,96.3,2.1,180,0.0,35.6539,127.5224,407.01
1997,4,3,93,3.203,12.7,9.2,2.5,10.5,93.3,1.9,230,0.0,35.6539,127.5224,407.01
1997,4,4,94,3.215,11.2,8.2,5.0,9.1,93.9,1.2,360,0.0,35.6539,127.5224,407.01
1997,4,5,95,3.228,13.4,7.7,4.0,10.1,90.9,1.1,360,0.0,35.6539,127.5224,407.01
1997,4,6,96,4.245,12.2,4.8,3.0,8.3,87.3,1.9,180,1.5,35.6539,127.5224,407.01
1997,4,7,97,9.226,17.6,2.5,0.0,9.3,78.5,1.7,360,8.9,35.6539,127.5224,407.01
1997,4,8,98,4.752,15.1,4.2,0.0,9.0,76.4,1.3,50,2.2,35.6539,127.5224,407.01
1997,4,9,99,10.784,12.4,3.6,0.0,7.6,53.6,3.6,50,11.1,35.6539,127.5224,407.01
1997,4,10,100,11.031,13.7,-2.2,0.0,5.1,67.6,2.2,320,11.4,35.6539,127.5224,407.01
1997,4,11,101,10.805,16.0,-1.8,0.0,7.5,52.9,3.0,20,11.0,35.6539,127.5224,407.01
1997,4,12,102,11.126,19.0,-2.3,0.0,8.2,60.5,1.8,230,11.4,35.6539,127.5224,407.01
1997,4,13,103,10.766,20.4,-1.3,0.0,10.3,59.4,1.9,200,10.8,35.6539,127.5224,407.01
1997,4,14,104,10.472,21.3,3.6,0.0,12.3,64.6,1.6,270,10.3,35.6539,127.5224,407.01
1997,4,15,105,9.141,19.6,5.5,0.0,11.9,67.1,1.9,180,8.3,35.6539,127.5224,407.01
1997,4,16,106,8.077,17.9,2.5,7.5,8.5,80.0,1.7,110,6.7,35.6539,127.5224,407.01
1997,4,17,107,10.213,16.6,5.2,0.5,10.6,70.0,2.6,200,9.7,35.6539,127.5224,407.01
1997,4,18,108,10.828,17.7,4.2,2.5,9.9,72.6,1.7,360,10.5,35.6539,127.5224,407.01
1997,4,19,109,11.38,20.8,0.0,0.0,10.4,64.3,1.1,360,11.2,35.6539,127.5224,407.01
1997,4,20,110,11.019,22.7,2.0,0.0,12.0,63.1,1.2,180,10.6,35.6539,127.5224,407.01
1997,4,21,111,3.545,15.3,5.4,0.0,10.4,84.6,1.2,200,0.0,35.6539,127.5224,407.01
1997,4,22,112,10.503,20.3,2.4,0.0,10.2,63.4,2.0,20,9.7,35.6539,127.5224,407.01
1997,4,23,113,11.571,19.1,-0.4,0.0,10.2,63.8,1.6,360,11.1,35.6539,127.5224,407.01
1997,4,24,114,9.691,17.4,2.4,0.0,9.7,69.8,1.7,200,8.4,35.6539,127.5224,407.01
1997,4,25,115,10.985,17.7,-0.5,0.0,8.4,66.9,1.8,290,10.1,35.6539,127.5224,407.01
1997,4,26,116,11.784,22.5,-1.0,0.0,10.2,63.6,1.5,360,11.1,35.6539,127.5224,407.01
1997,4,27,117,9.73,21.2,0.3,0.0,11.2,58.4,1.2,200,8.2,35.6539,127.5224,407.01
1997,4,28,118,12.007,22.2,4.1,0.0,14.5,58.0,2.6,230,11.2,35.6539,127.5224,407.01
1997,4,29,119,7.633,24.2,12.7,0.5,17.6,63.4,3.8,200,5.2,35.6539,127.5224,407.01
1997,4,30,120,9.925,22.8,4.9,0.0,14.3,68.4,1.8,20,8.2,35.6539,127.5224,407.01
1997,5,1,121,11.1,25.1,-0.6,0.0,13.0,54.4,1.4,70,12.0,35.6539,127.5224,407.01
1997,5,2,122,7.292,24.3,5.8,0.0,14.6,63.9,1.4,20,6.2,35.6539,127.5224,407.01
1997,5,3,123,8.441,26.7,9.3,0.0,17.0,67.5,1.6,200,7.9,35.6539,127.5224,407.01
1997,5,4,124,8.999,27.0,11.2,2.5,19.1,69.3,3.3,200,8.7,35.6539,127.5224,407.01
