year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1984,1,1,1,4.245,6.5,-1.7,0.0,1.6,66.5,1.6,320,1.4,34.6856,126.9216,45.22
1984,1,2,2,5.48,8.6,-3.0,0.0,1.6,77.8,0.7,320,3.2,34.6856,126.9216,45.22
1984,1,3,3,4.815,3.6,-2.0,0.8,-0.2,83.3,3.8,320,2.2,34.6856,126.9216,45.22
1984,1,4,4,4.49,1.3,-3.4,0.1,-1.0,68.8,2.8,320,1.7,34.6856,126.9216,45.22
1984,1,5,5,6.628,1.1,-6.1,0.0,-3.0,63.5,1.5,320,4.8,34.6856,126.9216,45.22
1984,1,6,6,6.445,2.5,-10.4,0.0,-3.1,69.5,1.2,320,4.5,34.6856,126.9216,45.22
1984,1,7,7,7.502,5.2,-9.0,0.0,-2.3,75.8,0.8,320,6.0,34.6856,126.9216,45.22
1984,1,8,8,5.665,4.4,-6.2,0.0,-1.2,77.5,1.1,320,3.3,34.6856,126.9216,45.22
1984,1,9,9,7.283,8.0,-4.6,0.0,0.4,71.0,1.3,320,5.6,34.6856,126.9216,45.22
1984,1,10,10,8.008,11.2,-5.4,0.0,0.9,71.3,1.7,320,6.6,34.6856,126.9216,45.22
1984,1,11,11,9.368,5.6,-4.7,0.0,0.3,46.3,1.9,320,8.5,34.6856,126.9216,45.22
1984,1,12,12,7.588,7.2,-8.8,0.0,-1.2,71.8,0.8,320,5.9,34.6856,126.9216,45.22
1984,1,13,13,8.537,6.2,-5.0,0.0,-0.3,76.0,1.2,320,7.2,34.6856,126.9216,45.22
1984,1,14,14,6.037,8.0,-8.0,0.0,-0.8,79.3,0.5,140,3.6,34.6856,126.9216,45.22
1984,1,15,15,3.8,2.1,-4.6,3.4,-1.5,66.8,2.9,320,0.4,34.6856,126.9216,45.22
1984,1,16,16,9.446,-0.9,-7.8,0.0,-4.9,63.3,1.8,320,8.3,34.6856,126.9216,45.22
1984,1,17,17,9.136,1.2,-9.0,0.1,-4.3,66.3,1.5,320,7.8,34.6856,126.9216,45.22
1984,1,18,18,3.584,-1.7,-6.8,0.0,-4.3,34.0,1.4,320,0.0,34.6856,126.9216,45.22
1984,1,19,19,8.801,1.8,-6.8,0.0,-2.9,26.0,2.4,320,7.2,34.6856,126.9216,45.22
1984,1,20,20,7.328,2.3,-9.2,0.0,-3.8,55.0,1.7,320,5.1,34.6856,126.9216,45.22
1984,1,21,21,6.861,3.0,-7.0,0.0,-1.9,48.3,1.8,320,4.4,34.6856,126.9216,45.22
1984,1,22,22,6.683,0.9,-8.0,0.1,-3.7,67.8,1.5,320,4.1,34.6856,126.9216,45.22
1984,1,23,23,8.196,3.8,-10.0,0.0,-3.4,70.5,1.1,320,6.1,34.6856,126.9216,45.22
1984,1,24,24,8.985,5.2,-7.4,0.0,-1.8,61.3,1.9,320,7.1,34.6856,126.9216,45.22
1984,1,25,25,5.772,-0.4,-7.2,0.1,-4.2,67.3,1.7,320,2.7,34.6856,126.9216,45.22
1984,1,26,26,7.379,-1.7,-8.2,0.2,-5.5,71.5,3.1,320,4.8,34.6856,126.9216,45.22
1984,1,27,27,7.052,-1.3,-8.6,0.0,-5.9,71.0,1.7,320,4.3,34.6856,126.9216,45.22
1984,1,28,28,6.043,0.1,-7.2,0.0,-4.0,69.0,2.4,320,2.9,34.6856,126.9216,45.22
1984,1,29,29,9.12,3.1,-8.6,0.0,-3.0,45.3,1.4,320,6.9,34.6856,126.9216,45.22
