year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2024,1,1,1,6.699,11.3,-1.8,0.0,4.9,79.6,0.5,340,5.0,34.6151,127.2778,53.27
2024,1,2,2,6.853,11.3,1.0,0.0,6.3,75.8,0.9,320,5.2,34.6151,127.2778,53.27
2024,1,3,3,7.146,9.2,3.7,1.4,6.1,71.5,2.2,320,5.6,34.6151,127.2778,53.27
2024,1,4,4,8.809,10.2,-2.0,0.0,3.2,75.5,1.0,270,8.0,34.6151,127.2778,53.27
2024,1,5,5,6.574,14.2,-1.6,0.0,5.5,82.9,0.6,230,4.7,34.6151,127.2778,53.27
2024,1,6,6,8.591,11.3,1.3,0.0,5.6,61.8,2.1,320,7.6,34.6151,127.2778,53.27
2024,1,7,7,8.0,5.2,-1.1,0.0,2.7,56.4,3.1,320,6.7,34.6151,127.2778,53.27
2024,1,8,8,8.791,6.9,-4.3,0.0,0.3,55.9,1.2,320,7.8,34.6151,127.2778,53.27
2024,1,9,9,3.411,5.0,-3.8,2.6,2.1,88.4,0.5,320,0.0,34.6151,127.2778,53.27
2024,1,10,10,6.98,9.9,-1.4,0.0,4.5,73.6,1.7,320,5.1,34.6151,127.2778,53.27
2024,1,11,11,9.108,9.0,-3.8,0.0,3.1,71.9,1.7,340,8.1,34.6151,127.2778,53.27
2024,1,12,12,9.147,12.5,0.1,0.0,7.1,58.6,1.8,320,8.1,34.6151,127.2778,53.27
2024,1,13,13,9.189,10.6,-1.8,0.0,3.5,50.0,1.4,320,8.1,34.6151,127.2778,53.27
2024,1,14,14,8.736,15.8,-2.8,0.0,7.2,74.3,1.4,290,7.4,34.6151,127.2778,53.27
2024,1,15,15,9.347,8.1,-1.0,0.0,2.9,51.0,3.4,320,8.2,34.6151,127.2778,53.27
2024,1,16,16,8.466,10.2,-5.1,0.0,2.2,55.8,0.6,340,6.9,34.6151,127.2778,53.27
2024,1,17,17,3.569,10.1,1.1,0.0,7.0,73.9,0.5,180,0.0,34.6151,127.2778,53.27
