year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2015,1,1,1,8.37,-4.4,-12.2,0.0,-8.9,37.3,2.7,290.0,8.4,36.9407,128.91679,321.52
2015,1,2,2,8.202,-1.8,-13.2,0.0,-7.5,44.4,3.0,340.0,8.1,36.9407,128.91679,321.52
2015,1,3,3,8.227,2.5,-15.4,0.0,-6.0,48.5,1.6,320.0,8.1,36.9407,128.91679,321.52
2015,1,4,4,6.01,8.0,-6.1,0.0,-1.2,72.0,1.7,160.0,4.6,36.9407,128.91679,321.52
2015,1,5,5,6.482,9.9,-8.8,0.3,-0.7,71.4,0.8,180.0,5.3,36.9407,128.91679,321.52
2015,1,6,6,6.764,3.8,-6.3,2.0,-0.7,59.5,2.4,320.0,5.7,36.9407,128.91679,321.52
2015,1,7,7,8.538,-1.1,-12.3,0.0,-6.7,40.5,2.1,320.0,8.4,36.9407,128.91679,321.52
2015,1,8,8,8.572,2.2,-16.3,0.0,-6.9,50.5,1.6,340.0,8.4,36.9407,128.91679,321.52
2015,1,9,9,8.608,2.8,-11.1,0.0,-4.2,49.9,2.4,320.0,8.4,36.9407,128.91679,321.52
2015,1,10,10,8.712,3.9,-11.2,0.0,-4.6,61.8,1.9,160.0,8.5,36.9407,128.91679,321.52
2015,1,11,11,7.635,3.5,-8.2,0.4,-2.0,60.9,1.9,180.0,6.8,36.9407,128.91679,321.52
2015,1,12,12,8.793,3.9,-12.4,0.0,-5.4,67.6,1.2,200.0,8.5,36.9407,128.91679,321.52
2015,1,13,13,7.976,6.5,-13.0,0.0,-3.9,64.6,1.0,360.0,7.2,36.9407,128.91679,321.52
2015,1,14,14,3.23,5.7,-5.7,0.0,-0.7,58.4,0.8,360.0,0.0,36.9407,128.91679,321.52
2015,1,15,15,4.253,7.7,-5.5,0.0,0.6,72.1,1.5,360.0,1.5,36.9407,128.91679,321.52
2015,1,16,16,4.146,2.5,-7.7,0.0,-2.3,79.6,1.6,290.0,1.3,36.9407,128.91679,321.52
2015,1,17,17,8.689,0.4,-7.5,0.0,-3.6,42.0,3.1,320.0,8.0,36.9407,128.91679,321.52
2015,1,18,18,8.062,3.7,-13.0,0.4,-4.3,57.1,1.3,160.0,7.0,36.9407,128.91679,321.52
2015,1,19,19,8.246,4.1,-7.3,3.0,-0.3,63.8,2.3,180.0,7.2,36.9407,128.91679,321.52
2015,1,20,20,9.117,6.6,-12.4,0.0,-3.5,73.4,0.8,160.0,8.4,36.9407,128.91679,321.52
2015,1,21,21,3.464,5.8,-4.0,0.5,0.8,83.4,0.7,340.0,0.1,36.9407,128.91679,321.52
2015,1,22,22,3.56,4.8,-4.8,2.0,0.2,82.1,1.8,50.0,0.2,36.9407,128.91679,321.52
2015,1,23,23,8.594,4.1,-8.8,0.0,-2.5,79.5,1.4,160.0,7.4,36.9407,128.91679,321.52
2015,1,24,24,9.559,5.9,-8.1,0.0,-2.0,75.3,1.6,160.0,8.7,36.9407,128.91679,321.52
2015,1,25,25,3.717,4.3,-6.2,2.0,-1.0,91.0,0.7,340.0,0.3,36.9407,128.91679,321.52
2015,1,26,26,4.101,9.2,-1.7,2.5,2.6,96.1,0.8,160.0,0.8,36.9407,128.91679,321.52
2015,1,27,27,9.68,4.3,-6.2,0.0,-1.0,74.1,1.6,180.0,8.6,36.9407,128.91679,321.52
2015,1,28,28,7.959,2.8,-10.0,0.0,-4.2,75.3,1.2,100.0,6.1,36.9407,128.91679,321.52
2015,1,29,29,3.7,3.2,-7.8,0.2,-2.5,87.8,0.5,20.0,0.1,36.9407,128.91679,321.52
2015,1,30,30,9.16,1.4,-6.8,0.3,-2.0,56.8,1.9,320.0,7.6,36.9407,128.91679,321.52
2015,1,31,31,10.099,1.2,-12.6,0.0,-5.9,58.0,1.5,160.0,8.8,36.9407,128.91679,321.52
2015,2,1,32,8.624,4.2,-13.5,0.0,-6.1,64.8,1.1,160.0,8.8,36.9407,128.91679,321.52
2015,2,2,33,7.692,5.3,-12.0,0.0,-4.5,67.8,0.7,340.0,7.3,36.9407,128.91679,321.52
2015,2,3,34,7.46,6.0,-10.1,0.0,-3.0,69.9,0.8,340.0,6.9,36.9407,128.91679,321.52
2015,2,4,35,7.805,5.0,-9.2,0.0,-2.8,63.5,1.1,230.0,7.4,36.9407,128.91679,321.52
2015,2,5,36,6.482,3.8,-7.3,0.0,-2.6,65.3,1.3,160.0,5.3,36.9407,128.91679,321.52
2015,2,6,37,8.828,5.5,-9.5,0.0,-3.2,64.6,1.3,200.0,8.9,36.9407,128.91679,321.52
2015,2,7,38,6.662,5.7,-7.0,0.0,-1.4,60.4,1.4,200.0,5.5,36.9407,128.91679,321.52
2015,2,8,39,8.962,-0.1,-14.5,0.0,-7.5,31.0,2.5,320.0,9.0,36.9407,128.91679,321.52
2015,2,9,40,8.739,-2.0,-17.1,0.0,-7.8,46.0,2.3,270.0,8.6,36.9407,128.91679,321.52
2015,2,10,41,6.161,5.1,-3.6,0.0,-0.4,55.0,2.3,320.0,4.6,36.9407,128.91679,321.52
2015,2,11,42,6.257,7.2,-4.9,0.0,1.1,53.3,2.0,320.0,4.7,36.9407,128.91679,321.52
2015,2,12,43,9.255,2.0,-9.2,0.0,-3.6,42.8,2.0,250.0,9.2,36.9407,128.91679,321.52
2015,2,13,44,9.234,2.2,-12.1,0.0,-3.9,31.4,2.0,270.0,9.1,36.9407,128.91679,321.52
2015,2,14,45,8.483,5.9,-11.2,0.0,-2.6,65.9,1.4,320.0,7.9,36.9407,128.91679,321.52
2015,2,15,46,6.991,10.4,-6.7,0.0,2.1,69.5,1.2,160.0,5.6,36.9407,128.91679,321.52
2015,2,16,47,3.274,3.8,-0.4,4.5,1.2,93.9,0.6,20.0,0.0,36.9407,128.91679,321.52
2015,2,17,48,5.386,4.1,-1.9,1.0,0.8,77.6,1.5,290.0,3.1,36.9407,128.91679,321.52
2015,2,18,49,3.388,2.9,-2.9,0.0,-0.2,77.0,1.1,90.0,0.1,36.9407,128.91679,321.52
2015,2,19,50,6.68,5.9,-6.0,0.0,-1.4,74.6,0.8,20.0,4.9,36.9407,128.91679,321.52
2015,2,20,51,9.528,8.3,-8.4,0.0,-0.6,69.1,1.1,340.0,9.0,36.9407,128.91679,321.52
2015,2,21,52,3.395,6.1,-1.5,6.0,2.6,84.6,1.4,330.0,0.0,36.9407,128.91679,321.52
2015,2,22,53,6.948,11.0,-2.7,0.5,4.6,67.4,1.7,320.0,5.1,36.9407,128.91679,321.52
2015,2,23,54,7.69,7.0,-4.2,0.0,-0.1,50.4,1.8,290.0,6.1,36.9407,128.91679,321.52
2015,2,24,55,9.419,7.4,-4.6,0.0,0.2,54.5,1.7,160.0,8.5,36.9407,128.91679,321.52
2015,2,25,56,8.989,9.8,-4.8,0.0,1.8,55.0,0.9,340.0,7.8,36.9407,128.91679,321.52
2015,2,26,57,8.343,6.4,-4.1,0.0,0.7,50.5,2.5,290.0,6.8,36.9407,128.91679,321.52
2015,2,27,58,10.249,3.7,-8.3,0.0,-2.8,37.1,2.3,320.0,9.4,36.9407,128.91679,321.52
2015,2,28,59,4.741,5.1,-8.6,0.3,-1.1,59.3,1.2,160.0,1.6,36.9407,128.91679,321.52
2015,3,1,60,5.381,4.5,-1.1,1.5,0.6,67.0,1.5,290.0,3.7,36.9407,128.91679,321.52
2015,3,2,61,9.286,7.7,-7.0,0.0,0.0,48.3,1.7,315.0,9.8,36.9407,128.91679,321.52
2015,3,3,62,3.944,5.4,-3.1,0.1,0.7,63.0,1.3,340.0,1.4,36.9407,128.91679,321.52
2015,3,4,63,9.407,1.9,-6.0,0.0,-2.6,31.1,3.0,290.0,9.9,36.9407,128.91679,321.52
2015,3,5,64,8.796,4.8,-11.6,0.0,-2.8,47.5,1.2,140.0,8.9,36.9407,128.91679,321.52
2015,3,6,65,8.505,8.1,-8.9,0.0,-1.0,58.8,1.3,340.0,8.4,36.9407,128.91679,321.52
2015,3,7,66,9.508,11.0,-6.8,0.0,1.1,61.1,1.3,160.0,9.9,36.9407,128.91679,321.52
2015,3,8,67,9.286,13.9,-7.7,0.0,3.3,54.6,1.4,180.0,9.5,36.9407,128.91679,321.52
2015,3,9,68,8.087,10.5,-6.5,0.0,2.0,45.4,2.2,320.0,7.6,36.9407,128.91679,321.52
2015,3,10,69,9.039,-0.2,-8.9,0.0,-5.1,25.8,3.4,320.0,9.0,36.9407,128.91679,321.52
2015,3,11,70,7.635,4.4,-9.3,0.0,-1.4,28.4,2.7,290.0,6.8,36.9407,128.91679,321.52
2015,3,12,71,9.914,6.7,-7.9,0.0,-0.3,27.3,2.5,320.0,10.2,36.9407,128.91679,321.52
2015,3,13,72,8.108,8.1,-5.2,6.0,1.1,59.5,1.6,200.0,7.4,36.9407,128.91679,321.52
2015,3,14,73,9.147,10.2,-8.7,0.0,0.3,51.6,1.3,340.0,8.9,36.9407,128.91679,321.52
2015,3,15,74,9.729,13.9,-6.3,0.0,3.1,50.8,1.5,340.0,9.7,36.9407,128.91679,321.52
2015,3,16,75,10.05,17.7,-5.2,0.0,5.2,46.4,1.3,200.0,10.1,36.9407,128.91679,321.52
2015,3,17,76,7.745,19.6,-3.4,0.0,8.2,52.5,1.3,340.0,6.6,36.9407,128.91679,321.52
2015,3,18,77,3.32,10.9,5.9,21.0,7.3,70.4,2.4,140.0,0.0,36.9407,128.91679,321.52
2015,3,19,78,9.471,18.0,3.3,0.0,9.9,76.5,1.6,340.0,9.0,36.9407,128.91679,321.52
2015,3,20,79,8.228,19.1,3.6,0.0,10.3,61.5,1.2,110.0,7.1,36.9407,128.91679,321.52
2015,3,21,80,10.067,17.9,-0.8,0.0,7.8,51.8,1.4,340.0,9.7,36.9407,128.91679,321.52
2015,3,22,81,10.544,14.6,-3.0,0.0,5.7,41.3,2.1,290.0,10.3,36.9407,128.91679,321.52
2015,3,23,82,10.749,9.1,-5.1,0.0,2.6,35.1,2.8,320.0,10.5,36.9407,128.91679,321.52
2015,3,24,83,10.817,10.4,-6.9,0.0,1.5,54.3,1.7,340.0,10.5,36.9407,128.91679,321.52
2015,3,25,84,10.957,12.1,-6.9,0.0,2.0,49.5,1.5,340.0,10.6,36.9407,128.91679,321.52
2015,3,26,85,11.029,16.0,-6.5,0.0,4.2,42.4,1.6,230.0,10.6,36.9407,128.91679,321.52
2015,3,27,86,10.249,17.5,-4.3,0.0,5.9,47.8,1.5,340.0,9.4,36.9407,128.91679,321.52
2015,3,28,87,11.248,18.1,-4.7,0.0,8.5,37.4,1.7,320.0,10.7,36.9407,128.91679,321.52
2015,3,29,88,10.318,18.9,0.9,0.0,10.1,42.0,1.9,340.0,9.3,36.9407,128.91679,321.52
2015,3,30,89,11.33,20.8,-1.3,0.0,9.6,58.4,1.6,340.0,10.6,36.9407,128.91679,321.52
2015,3,31,90,3.693,14.7,3.2,1.0,9.5,81.8,0.7,160.0,0.0,36.9407,128.91679,321.52
2015,4,1,91,3.028,11.0,1.4,0.5,7.3,80.5,1.0,110.0,0.0,36.9407,128.91679,321.52
2015,4,2,92,3.038,14.9,1.7,0.5,8.8,84.3,1.3,320.0,0.0,36.9407,128.91679,321.52
2015,4,3,93,5.095,18.6,6.0,7.5,13.2,72.4,2.5,160.0,3.2,36.9407,128.91679,321.52
2015,4,4,94,7.164,12.6,3.2,6.5,7.3,70.4,2.4,140.0,6.4,36.9407,128.91679,321.52
2015,4,5,95,3.075,9.8,5.0,2.5,7.5,94.6,0.9,160.0,0.0,36.9407,128.91679,321.52
2015,4,6,96,3.089,12.1,6.8,2.0,8.7,86.3,1.1,160.0,0.0,36.9407,128.91679,321.52
2015,4,7,97,3.104,7.0,3.3,0.0,4.5,71.9,1.9,140.0,0.0,36.9407,128.91679,321.52
2015,4,8,98,3.119,7.0,0.8,0.0,4.2,78.3,1.3,140.0,0.0,36.9407,128.91679,321.52
2015,4,9,99,8.804,13.5,-1.5,0.0,5.0,72.5,1.2,360.0,8.7,36.9407,128.91679,321.52
2015,4,10,100,8.254,16.0,-1.7,0.0,6.4,69.1,1.5,340.0,7.8,36.9407,128.91679,321.52
2015,4,11,101,10.458,18.6,-2.2,0.0,7.6,58.4,1.6,340.0,11.1,36.9407,128.91679,321.52
2015,4,12,102,4.904,15.3,-1.7,0.0,7.6,51.3,1.8,340.0,2.6,36.9407,128.91679,321.52
2015,4,13,103,3.21,10.1,6.5,0.5,8.0,60.0,2.8,20.0,0.0,36.9407,128.91679,321.52
2015,4,14,104,5.424,11.9,2.2,14.5,7.0,74.1,2.0,340.0,3.3,36.9407,128.91679,321.52
2015,4,15,105,7.125,15.2,0.9,0.0,7.4,70.1,1.9,340.0,5.8,36.9407,128.91679,321.52
2015,4,16,106,6.561,19.2,0.1,3.5,8.5,65.5,2.1,290.0,4.9,36.9407,128.91679,321.52
2015,4,17,107,10.981,17.7,-1.3,0.0,8.7,47.0,2.1,320.0,11.4,36.9407,128.91679,321.52
2015,4,18,108,8.129,22.1,-0.8,0.0,11.2,41.6,1.6,160.0,7.1,36.9407,128.91679,321.52
2015,4,19,109,3.685,16.4,9.3,21.0,12.3,86.8,1.1,20.0,0.5,36.9407,128.91679,321.52
2015,4,20,110,3.438,11.7,2.6,6.0,8.2,84.6,1.9,20.0,0.1,36.9407,128.91679,321.52
2015,4,21,111,10.136,19.9,-0.7,0.0,9.0,65.8,1.5,340.0,9.8,36.9407,128.91679,321.52
2015,4,22,112,8.746,19.7,1.5,0.0,10.3,59.9,1.7,340.0,7.7,36.9407,128.91679,321.52
2015,4,23,113,10.54,21.9,0.1,0.0,11.1,52.5,1.7,340.0,10.2,36.9407,128.91679,321.52
2015,4,24,114,11.306,22.2,3.0,0.0,12.6,46.3,1.7,160.0,11.2,36.9407,128.91679,321.52
2015,4,25,115,11.8,23.4,0.6,0.0,12.3,46.6,1.7,340.0,11.8,36.9407,128.91679,321.52
2015,4,26,116,11.877,26.1,3.3,0.0,15.9,40.5,1.9,160.0,11.8,36.9407,128.91679,321.52
2015,4,27,117,11.528,25.6,7.7,0.0,16.3,50.8,1.9,160.0,11.2,36.9407,128.91679,321.52
2015,4,28,118,9.389,23.7,4.8,0.0,15.3,53.1,1.3,340.0,8.1,36.9407,128.91679,321.52
2015,4,29,119,3.7,17.0,11.3,1.0,13.9,82.6,1.0,340.0,0.1,36.9407,128.91679,321.52
2015,4,30,120,7.278,23.9,7.7,0.0,15.3,75.3,1.4,340.0,5.0,36.9407,128.91679,321.52
2015,5,1,121,9.896,27.1,8.5,0.0,17.4,67.3,1.4,340.0,10.8,36.9407,128.91679,321.52
2015,5,2,122,8.584,25.7,9.0,0.0,18.6,62.1,1.5,200.0,8.7,36.9407,128.91679,321.52
2015,5,3,123,3.05,19.4,14.5,3.0,15.6,95.5,0.9,340.0,0.0,36.9407,128.91679,321.52
2015,5,4,124,10.432,20.1,4.5,0.0,14.4,53.8,1.9,290.0,11.5,36.9407,128.91679,321.52
2015,5,5,125,10.853,22.0,0.3,0.0,10.9,51.9,1.9,340.0,12.1,36.9407,128.91679,321.52
2015,5,6,126,5.733,20.6,1.5,0.0,11.7,59.3,1.4,160.0,4.1,36.9407,128.91679,321.52
2015,5,7,127,9.185,23.1,3.6,0.0,13.8,53.1,1.4,340.0,9.4,36.9407,128.91679,321.52
2015,5,8,128,8.767,23.3,3.9,0.0,14.7,51.0,1.5,360.0,8.7,36.9407,128.91679,321.52
2015,5,9,129,8.739,23.7,8.1,0.0,16.1,54.5,1.6,340.0,8.6,36.9407,128.91679,321.52
2015,5,10,130,10.674,22.4,5.8,0.0,12.3,69.3,2.0,140.0,11.5,36.9407,128.91679,321.52
2015,5,11,131,7.045,21.7,10.7,7.0,15.8,67.3,1.9,160.0,5.9,36.9407,128.91679,321.52
2015,5,12,132,6.354,17.2,9.8,13.5,14.1,61.6,2.8,200.0,4.8,36.9407,128.91679,321.52
2015,5,13,133,11.286,25.4,9.8,0.0,17.4,44.8,2.9,290.0,12.2,36.9407,128.91679,321.52
2015,5,14,134,10.145,25.7,6.9,0.0,17.7,63.3,1.7,340.0,10.4,36.9407,128.91679,321.52
2015,5,15,135,5.589,25.2,13.1,0.0,18.7,76.9,1.4,200.0,3.5,36.9407,128.91679,321.52
2015,5,16,136,10.184,25.0,8.1,0.0,16.0,55.1,1.8,320.0,10.3,36.9407,128.91679,321.52
2015,5,17,137,10.374,24.5,3.4,0.0,14.6,51.3,1.5,340.0,10.5,36.9407,128.91679,321.52
2015,5,18,138,4.472,20.6,9.0,0.0,14.5,62.8,1.4,230.0,1.7,36.9407,128.91679,321.52
2015,5,19,139,8.995,23.0,7.7,6.0,15.5,73.0,1.8,340.0,8.3,36.9407,128.91679,321.52
2015,5,20,140,8.707,20.6,5.9,1.5,13.0,67.0,1.9,340.0,7.8,36.9407,128.91679,321.52
2015,5,21,141,10.617,24.6,6.4,0.0,16.0,59.1,1.8,320.0,10.5,36.9407,128.91679,321.52
2015,5,22,142,11.788,26.3,8.8,0.0,17.9,47.8,1.8,20.0,12.1,36.9407,128.91679,321.52
2015,5,23,143,11.722,26.9,6.8,0.0,16.5,48.3,1.7,340.0,11.9,36.9407,128.91679,321.52
2015,5,24,144,11.726,28.3,5.0,0.0,16.7,50.3,1.5,340.0,11.8,36.9407,128.91679,321.52
2015,5,25,145,12.222,28.9,6.1,0.0,18.1,53.9,1.4,340.0,12.4,36.9407,128.91679,321.52
2015,5,26,146,12.301,31.0,8.4,0.0,19.5,53.6,1.6,340.0,12.4,36.9407,128.91679,321.52
2015,5,27,147,12.453,30.5,7.2,0.0,18.9,45.8,1.6,340.0,12.5,36.9407,128.91679,321.52
2015,5,28,148,10.533,29.0,9.8,0.0,19.5,50.8,1.5,340.0,9.7,36.9407,128.91679,321.52
2015,5,29,149,10.965,29.1,9.2,0.0,20.0,50.5,1.4,20.0,10.2,36.9407,128.91679,321.52
2015,5,30,150,4.818,21.3,11.1,1.0,16.1,81.8,1.1,160.0,1.6,36.9407,128.91679,321.52
2015,5,31,151,9.226,27.0,9.2,0.0,17.2,66.4,1.4,180.0,7.6,36.9407,128.91679,321.52
2015,6,1,152,9.896,28.3,7.8,0.0,18.6,57.9,1.6,340.0,10.8,36.9407,128.91679,321.52
2015,6,2,153,8.266,29.5,12.4,0.0,20.2,55.4,1.4,340.0,8.2,36.9407,128.91679,321.52
2015,6,3,154,9.505,27.4,9.4,0.0,19.4,39.1,2.0,320.0,10.1,36.9407,128.91679,321.52
2015,6,4,155,9.856,28.2,5.2,0.0,17.9,41.6,1.6,340.0,10.6,36.9407,128.91679,321.52
2015,6,5,156,3.075,16.3,8.4,3.0,12.6,78.0,1.0,320.0,0.0,36.9407,128.91679,321.52
2015,6,6,157,8.441,24.2,6.4,0.0,15.1,70.9,1.5,20.0,8.3,36.9407,128.91679,321.52
2015,6,7,158,11.061,28.2,8.2,0.0,18.3,62.6,1.5,200.0,12.3,36.9407,128.91679,321.52
2015,6,8,159,5.521,24.8,10.5,0.0,17.7,69.4,1.2,340.0,3.7,36.9407,128.91679,321.52
2015,6,9,160,10.628,28.3,9.5,0.0,19.9,58.5,1.9,340.0,11.5,36.9407,128.91679,321.52
2015,6,10,161,10.804,32.3,11.3,0.0,21.5,53.3,1.6,340.0,11.7,36.9407,128.91679,321.52
2015,6,11,162,3.893,25.7,10.8,0.5,18.8,72.4,0.9,90.0,1.1,36.9407,128.91679,321.52
2015,6,12,163,8.332,28.6,14.8,0.0,21.6,62.3,1.7,290.0,7.8,36.9407,128.91679,321.52
2015,6,13,164,8.77,29.1,12.6,14.0,20.7,65.5,1.6,320.0,8.4,36.9407,128.91679,321.52
2015,6,14,165,8.217,27.9,15.7,0.0,21.5,69.3,1.3,200.0,7.5,36.9407,128.91679,321.52
2015,6,15,166,7.058,29.5,15.2,0.0,21.8,69.0,1.2,140.0,5.7,36.9407,128.91679,321.52
2015,6,16,167,6.964,28.1,16.5,2.0,21.1,79.4,1.4,20.0,5.5,36.9407,128.91679,321.52
2015,6,17,168,7.543,26.4,14.9,0.0,19.9,68.8,1.8,140.0,6.3,36.9407,128.91679,321.52
2015,6,18,169,7.52,24.8,16.1,0.0,19.9,67.5,2.1,110.0,6.2,36.9407,128.91679,321.52
2015,6,19,170,8.722,26.2,12.1,8.0,19.0,71.5,1.8,90.0,7.9,36.9407,128.91679,321.52
2015,6,20,171,3.37,21.1,14.5,20.5,16.8,93.6,1.0,360.0,0.0,36.9407,128.91679,321.52
2015,6,21,172,8.348,25.9,14.1,0.0,19.3,78.3,1.2,340.0,7.2,36.9407,128.91679,321.52
2015,6,22,173,8.124,27.7,15.0,4.0,20.0,82.8,1.2,160.0,6.8,36.9407,128.91679,321.52
2015,6,23,174,6.508,27.6,16.2,1.0,20.7,77.6,1.1,140.0,4.4,36.9407,128.91679,321.52
2015,6,24,175,7.811,26.8,16.0,1.5,20.1,80.9,1.2,360.0,6.2,36.9407,128.91679,321.52
2015,6,25,176,6.037,26.2,17.1,3.0,20.2,76.9,1.5,140.0,3.6,36.9407,128.91679,321.52
2015,6,26,177,3.536,22.4,16.8,33.5,19.7,80.5,1.9,50.0,0.0,36.9407,128.91679,321.52
2015,6,27,178,6.41,24.7,15.4,0.0,19.4,76.5,1.7,340.0,4.0,36.9407,128.91679,321.52
2015,6,28,179,6.672,24.4,15.7,0.0,19.6,84.4,1.3,200.0,4.3,36.9407,128.91679,321.52
2015,6,29,180,7.944,29.3,16.0,1.5,21.9,79.5,1.4,230.0,6.0,36.9407,128.91679,321.52
2015,6,30,181,4.457,27.0,17.7,0.4,20.5,83.6,1.0,140.0,1.1,36.9407,128.91679,321.52
2015,7,1,182,6.78,26.8,13.7,1.5,20.1,71.1,1.7,250.0,5.9,36.9407,128.91679,321.52
2015,7,2,183,9.604,27.0,11.3,0.0,19.8,67.4,1.6,360.0,10.3,36.9407,128.91679,321.52
2015,7,3,184,7.14,27.1,12.9,0.0,19.3,71.1,1.5,340.0,6.4,36.9407,128.91679,321.52
2015,7,4,185,8.061,24.4,10.7,0.0,17.4,75.5,1.6,90.0,7.8,36.9407,128.91679,321.52
2015,7,5,186,6.225,25.9,11.9,3.0,18.0,83.4,1.1,140.0,4.9,36.9407,128.91679,321.52
2015,7,6,187,5.797,25.8,16.0,2.5,19.6,81.4,1.2,90.0,4.2,36.9407,128.91679,321.52
2015,7,7,188,3.104,21.8,15.0,15.0,17.9,86.9,0.8,160.0,0.0,36.9407,128.91679,321.52
