year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1987,1,1,1,7.051,3.4,-8.4,0.5,-1.6,60.3,0.8,360,6.3,36.8689,128.5191,210.21
1987,1,2,2,3.047,2.4,-0.6,18.7,1.0,94.5,0.7,360,0.0,36.8689,128.5191,210.21
1987,1,3,3,8.054,3.9,-4.9,0.0,1.0,59.0,7.0,320,7.8,36.8689,128.5191,210.21
1987,1,4,4,8.273,2.8,-10.5,0.0,-4.5,71.5,0.8,360,8.1,36.8689,128.5191,210.21
1987,1,5,5,6.175,4.1,-5.2,0.0,-1.4,68.5,1.0,320,4.8,36.8689,128.5191,210.21
1987,1,6,6,7.491,4.2,-6.0,0.0,-1.3,74.3,3.1,320,6.8,36.8689,128.5191,210.21
1987,1,7,7,3.112,2.2,-7.4,1.2,-3.5,88.8,1.2,180,0.0,36.8689,128.5191,210.21
1987,1,8,8,8.462,6.2,-1.1,0.0,1.3,57.3,4.5,320,8.2,36.8689,128.5191,210.21
1987,1,9,9,8.302,5.3,-4.0,0.0,2.4,45.5,6.6,320,7.9,36.8689,128.5191,210.21
1987,1,10,10,8.535,-0.8,-9.4,0.0,-4.9,44.3,2.8,320,8.2,36.8689,128.5191,210.21
1987,1,11,11,8.508,2.0,-12.0,0.0,-6.4,64.5,0.7,360,8.1,36.8689,128.5191,210.21
1987,1,12,12,5.576,-2.2,-8.9,0.5,-5.8,75.8,3.6,320,3.6,36.8689,128.5191,210.21
1987,1,13,13,8.458,-5.8,-13.2,0.0,-9.4,60.8,7.3,320,7.9,36.8689,128.5191,210.21
1987,1,14,14,8.635,-0.6,-16.5,0.0,-8.5,71.8,3.7,320,8.1,36.8689,128.5191,210.21
1987,1,15,15,8.479,6.6,-9.1,0.0,-2.3,80.5,1.2,360,7.8,36.8689,128.5191,210.21
1987,1,16,16,3.282,2.2,-4.0,7.6,-1.0,93.5,0.7,180,0.0,36.8689,128.5191,210.21
1987,1,17,17,8.843,4.3,-5.0,0.0,-0.6,47.5,6.8,320,8.2,36.8689,128.5191,210.21
1987,1,18,18,8.079,-0.3,-9.3,0.0,-4.2,66.0,4.8,320,7.0,36.8689,128.5191,210.21
1987,1,19,19,9.219,-0.7,-10.0,0.0,-4.2,53.8,3.7,320,8.6,36.8689,128.5191,210.21
1987,1,20,20,9.136,2.1,-12.2,0.0,-6.1,72.5,0.9,360,8.4,36.8689,128.5191,210.21
1987,1,21,21,8.572,5.0,-10.7,0.0,-4.9,72.0,0.8,360,7.5,36.8689,128.5191,210.21
1987,1,22,22,8.695,7.1,-9.5,0.0,-2.3,70.0,0.8,360,7.6,36.8689,128.5191,210.21
1987,1,23,23,3.458,3.7,-2.8,5.9,0.6,80.3,3.9,320,0.0,36.8689,128.5191,210.21
1987,1,24,24,9.298,-2.1,-7.8,0.0,-5.2,60.3,6.1,320,8.3,36.8689,128.5191,210.21
1987,1,25,25,9.5,-1.8,-10.7,0.0,-6.3,59.0,3.5,320,8.5,36.8689,128.5191,210.21
1987,1,26,26,9.563,0.1,-13.2,0.0,-6.2,65.5,2.2,320,8.5,36.8689,128.5191,210.21
1987,1,27,27,9.557,3.3,-9.2,0.0,-2.2,68.8,3.5,320,8.4,36.8689,128.5191,210.21
1987,1,28,28,9.479,6.7,-6.8,0.0,0.7,64.0,2.5,320,8.2,36.8689,128.5191,210.21
1987,1,29,29,8.536,9.5,-5.3,0.0,2.2,71.5,2.2,320,6.8,36.8689,128.5191,210.21
1987,1,30,30,10.192,3.9,-4.6,0.0,-0.6,44.5,5.6,320,9.0,36.8689,128.5191,210.21
1987,1,31,31,10.41,-2.0,-10.4,0.0,-6.0,50.5,4.8,320,9.2,36.8689,128.5191,210.21
1987,2,1,32,8.708,1.3,-14.5,0.0,-7.1,63.3,1.8,320,8.9,36.8689,128.5191,210.21
1987,2,2,33,4.772,-2.5,-7.7,0.3,-5.6,76.3,3.2,320,2.7,36.8689,128.5191,210.21
1987,2,3,34,8.374,-0.1,-9.3,1.7,-4.6,69.8,6.3,320,8.3,36.8689,128.5191,210.21
1987,2,4,35,8.915,0.0,-13.3,0.0,-5.0,62.5,2.4,320,9.1,36.8689,128.5191,210.21
1987,2,5,36,8.945,2.9,-13.2,0.0,-5.6,77.0,2.6,320,9.1,36.8689,128.5191,210.21
1987,2,6,37,7.944,6.0,-8.6,0.0,-2.4,75.5,1.1,320,7.5,36.8689,128.5191,210.21
1987,2,7,38,8.623,9.2,-5.5,0.0,1.7,62.8,3.0,320,8.5,36.8689,128.5191,210.21
1987,2,8,39,9.112,10.9,-7.8,0.0,-0.6,64.3,1.3,340,9.2,36.8689,128.5191,210.21
1987,2,9,40,8.498,17.7,-5.0,0.0,3.3,73.0,0.8,340,8.2,36.8689,128.5191,210.21
1987,2,10,41,3.686,8.5,-0.1,5.1,3.9,87.8,0.7,360,0.8,36.8689,128.5191,210.21
1987,2,11,42,3.18,7.7,3.9,41.4,5.4,96.0,0.9,360,0.0,36.8689,128.5191,210.21
1987,2,12,43,4.982,7.0,0.7,8.9,3.2,89.8,1.0,360,2.7,36.8689,128.5191,210.21
1987,2,13,44,6.866,7.5,-1.2,0.0,2.8,73.3,1.2,180,5.5,36.8689,128.5191,210.21
1987,2,14,45,8.435,4.0,-3.0,0.0,1.8,46.3,5.1,320,7.8,36.8689,128.5191,210.21
1987,2,15,46,9.885,4.0,-8.1,0.0,-1.6,49.3,3.5,320,9.9,36.8689,128.5191,210.21
1987,2,16,47,8.929,5.0,-7.2,0.0,-1.6,60.8,0.9,360,8.4,36.8689,128.5191,210.21
1987,2,17,48,3.305,3.2,-1.0,1.1,0.3,83.3,0.7,360,0.0,36.8689,128.5191,210.21
1987,2,18,49,6.586,6.3,-1.1,0.0,1.4,81.5,0.9,70,4.8,36.8689,128.5191,210.21
1987,2,19,50,5.399,5.1,-1.4,0.0,1.1,76.8,1.2,360,3.0,36.8689,128.5191,210.21
1987,2,20,51,9.89,7.1,-2.5,0.0,1.5,66.0,1.8,320,9.5,36.8689,128.5191,210.21
1987,2,21,52,8.917,8.2,-4.0,0.0,0.4,66.3,1.8,360,8.0,36.8689,128.5191,210.21
1987,2,22,53,9.873,8.7,-4.5,0.0,0.6,58.8,1.7,320,9.3,36.8689,128.5191,210.21
1987,2,23,54,8.612,10.0,-2.7,0.0,2.8,73.0,1.5,180,7.4,36.8689,128.5191,210.21
1987,2,24,55,7.267,4.3,-5.8,0.4,0.5,65.8,4.4,320,5.4,36.8689,128.5191,210.21
1987,2,25,56,10.486,-1.3,-8.0,0.0,-5.0,46.0,8.5,320,9.9,36.8689,128.5191,210.21
1987,2,26,57,10.767,-1.8,-7.0,0.0,-4.5,41.3,8.0,320,10.2,36.8689,128.5191,210.21
1987,2,27,58,10.625,-4.0,-7.7,0.0,-6.0,43.3,7.0,320,9.9,36.8689,128.5191,210.21
1987,2,28,59,8.476,3.2,-6.5,0.7,-2.4,65.8,3.9,320,6.8,36.8689,128.5191,210.21
1987,3,1,60,8.517,0.6,-5.2,0.3,-2.3,65.0,5.0,320,8.6,36.8689,128.5191,210.21
1987,3,2,61,9.435,3.2,-10.3,0.0,-2.8,61.3,2.3,320,10.0,36.8689,128.5191,210.21
1987,3,3,62,9.463,8.7,-6.8,0.0,0.9,65.3,2.3,320,10.0,36.8689,128.5191,210.21
1987,3,4,63,6.346,10.2,-2.0,2.0,2.1,92.0,1.4,90,5.1,36.8689,128.5191,210.21
1987,3,5,64,8.881,10.2,0.3,0.0,4.3,73.0,3.7,320,9.0,36.8689,128.5191,210.21
1987,3,6,65,9.236,9.3,-2.1,0.0,2.5,47.8,2.4,200,9.5,36.8689,128.5191,210.21
1987,3,7,66,6.743,5.7,-1.0,0.0,2.2,67.3,2.6,140,5.6,36.8689,128.5191,210.21
1987,3,8,67,9.047,9.5,-4.2,0.0,3.0,69.8,2.0,320,9.1,36.8689,128.5191,210.21
1987,3,9,68,9.607,12.2,-1.1,0.0,4.8,54.5,1.8,180,9.9,36.8689,128.5191,210.21
1987,3,10,69,3.817,5.6,0.9,0.1,2.8,84.8,1.0,360,1.0,36.8689,128.5191,210.21
1987,3,11,70,10.087,9.7,-1.8,0.0,3.2,68.3,2.1,320,10.5,36.8689,128.5191,210.21
1987,3,12,71,9.077,13.2,-2.3,0.0,4.2,73.0,1.0,320,8.9,36.8689,128.5191,210.21
1987,3,13,72,8.392,17.6,4.6,0.0,10.5,69.3,1.9,320,7.8,36.8689,128.5191,210.21
1987,3,14,73,8.635,10.4,0.9,0.0,7.0,57.8,6.3,320,8.1,36.8689,128.5191,210.21
1987,3,15,74,10.152,8.0,-3.7,0.0,2.5,57.3,2.9,320,10.3,36.8689,128.5191,210.21
1987,3,16,75,9.399,11.4,-3.2,0.0,4.7,61.0,2.1,360,9.1,36.8689,128.5191,210.21
1987,3,17,76,8.776,14.2,-1.3,0.0,5.4,71.5,2.3,320,8.1,36.8689,128.5191,210.21
1987,3,18,77,10.048,14.4,4.7,0.0,9.0,59.8,3.1,320,9.9,36.8689,128.5191,210.21
1987,3,19,78,3.353,5.6,3.8,16.3,4.6,88.0,1.3,360,0.0,36.8689,128.5191,210.21
1987,3,20,79,10.233,13.2,-1.2,0.0,4.6,83.8,0.8,360,10.0,36.8689,128.5191,210.21
1987,3,21,80,10.295,16.6,-0.6,0.0,7.4,78.5,2.3,180,10.0,36.8689,128.5191,210.21
1987,3,22,81,5.578,9.8,4.7,6.1,6.9,84.5,1.1,360,3.1,36.8689,128.5191,210.21
