year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1984,1,1,1,8.676,5.9,-5.3,0.0,-0.5,50.0,1.9,290,8.7,36.5304,129.4117,41.23
1984,1,2,2,6.442,7.0,-3.9,0.0,1.1,64.5,1.4,180,5.2,36.5304,129.4117,41.23
1984,1,3,3,7.044,5.5,-2.5,0.3,0.9,66.0,2.6,290,6.1,36.5304,129.4117,41.23
1984,1,4,4,8.559,1.6,-6.7,0.0,-2.4,53.0,3.7,290,8.4,36.5304,129.4117,41.23
1984,1,5,5,8.848,1.4,-8.3,0.0,-4.4,41.0,3.1,270,8.8,36.5304,129.4117,41.23
1984,1,6,6,8.227,2.2,-6.8,0.0,-3.1,33.5,2.7,270,7.8,36.5304,129.4117,41.23
1984,1,7,7,7.473,5.3,-5.1,0.0,-0.9,36.5,3.1,270,6.6,36.5304,129.4117,41.23
1984,1,8,8,8.948,4.9,-5.7,0.0,-0.4,46.5,2.4,270,8.8,36.5304,129.4117,41.23
1984,1,9,9,8.919,7.1,-3.5,0.0,2.0,43.5,2.4,290,8.7,36.5304,129.4117,41.23
1984,1,10,10,7.833,11.2,-1.9,0.0,3.5,50.0,2.3,270,7.0,36.5304,129.4117,41.23
1984,1,11,11,9.13,5.4,-6.1,0.0,-1.1,32.5,1.9,290,8.9,36.5304,129.4117,41.23
1984,1,12,12,8.373,6.0,-5.8,0.0,-0.1,36.3,1.9,270,7.7,36.5304,129.4117,41.23
1984,1,13,13,9.284,7.1,-4.7,0.0,-0.1,53.3,1.9,180,9.0,36.5304,129.4117,41.23
1984,1,14,14,8.523,7.7,-5.5,0.0,2.5,43.5,2.1,270,7.8,36.5304,129.4117,41.23
1984,1,15,15,6.677,6.3,-6.9,0.0,1.2,29.5,3.1,290,5.0,36.5304,129.4117,41.23
1984,1,16,16,9.631,-1.6,-9.6,0.0,-6.4,27.8,3.3,290,9.3,36.5304,129.4117,41.23
1984,1,17,17,9.479,0.9,-10.6,0.0,-5.3,25.0,2.4,340,9.0,36.5304,129.4117,41.23
1984,1,18,18,7.683,0.1,-7.3,0.0,-4.0,23.8,2.3,290,6.3,36.5304,129.4117,41.23
