year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1986,1,1,1,6.268,-1.3,-10.7,0.0,-5.5,57.0,2.0,290,4.9,36.3531,128.6908,81.09
1986,1,2,2,8.555,-3.2,-12.1,0.0,-8.2,44.0,1.7,270,8.4,36.3531,128.6908,81.09
1986,1,3,3,3.575,-0.6,-13.1,0.2,-6.3,69.3,0.2,20,0.7,36.3531,128.6908,81.09
1986,1,4,4,7.173,-4.7,-11.5,0.0,-7.1,57.5,3.7,320,6.2,36.3531,128.6908,81.09
1986,1,5,5,8.179,-8.6,-13.9,0.0,-11.9,47.5,4.3,290,7.7,36.3531,128.6908,81.09
1986,1,6,6,8.667,-1.5,-13.8,0.0,-8.0,53.3,1.7,270,8.4,36.3531,128.6908,81.09
1986,1,7,7,6.002,3.6,-11.4,0.0,-4.6,68.0,0.3,50,4.3,36.3531,128.6908,81.09
1986,1,8,8,7.876,-1.1,-11.4,0.8,-5.5,52.0,3.1,270,7.1,36.3531,128.6908,81.09
1986,1,9,9,8.107,-1.9,-15.3,0.0,-9.3,57.5,2.1,290,7.4,36.3531,128.6908,81.09
1986,1,10,10,8.674,-3.6,-14.7,0.0,-9.3,56.5,1.6,270,8.2,36.3531,128.6908,81.09
1986,1,11,11,8.379,-1.6,-17.6,0.0,-10.7,60.5,0.7,270,7.7,36.3531,128.6908,81.09
1986,1,12,12,8.419,2.4,-17.3,0.0,-9.6,57.8,0.3,230,7.7,36.3531,128.6908,81.09
1986,1,13,13,8.123,1.5,-9.8,0.0,-3.9,48.0,2.2,320,7.2,36.3531,128.6908,81.09
1986,1,14,14,8.57,4.2,-13.5,0.0,-6.8,66.3,1.1,270,7.8,36.3531,128.6908,81.09
1986,1,15,15,6.985,6.0,-10.5,0.0,-3.8,68.8,0.5,270,5.4,36.3531,128.6908,81.09
1986,1,16,16,7.91,7.4,-9.0,0.0,-2.0,69.3,0.7,270,6.7,36.3531,128.6908,81.09
1986,1,17,17,7.474,7.8,-8.7,0.0,-2.0,70.0,0.7,290,6.0,36.3531,128.6908,81.09
1986,1,18,18,7.517,11.1,-4.0,0.0,0.9,69.0,0.4,270,6.0,36.3531,128.6908,81.09
1986,1,19,19,7.147,9.8,-6.5,0.0,-0.8,68.3,0.4,230,5.4,36.3531,128.6908,81.09
1986,1,20,20,7.677,8.3,-9.7,0.0,-2.5,67.3,0.3,270,6.1,36.3531,128.6908,81.09
1986,1,21,21,7.096,4.8,-5.7,0.0,-1.0,60.5,1.8,290,5.2,36.3531,128.6908,81.09
1986,1,22,22,9.458,-0.9,-10.3,0.0,-4.6,43.5,3.4,270,8.5,36.3531,128.6908,81.09
1986,1,23,23,8.811,5.0,-9.9,0.0,-2.7,61.0,2.2,290,7.5,36.3531,128.6908,81.09
1986,1,24,24,9.648,2.0,-11.9,0.0,-4.3,45.0,2.3,290,8.6,36.3531,128.6908,81.09
1986,1,25,25,8.568,0.5,-12.7,0.0,-7.0,50.0,2.0,320,7.0,36.3531,128.6908,81.09
1986,1,26,26,9.988,-1.8,-13.5,0.0,-7.6,47.3,2.2,270,8.9,36.3531,128.6908,81.09
1986,1,27,27,10.054,0.0,-14.6,0.0,-8.2,51.5,1.3,270,8.9,36.3531,128.6908,81.09
1986,1,28,28,7.437,6.8,-12.3,0.0,-3.8,59.5,1.4,270,5.2,36.3531,128.6908,81.09
1986,1,29,29,9.533,9.1,-11.6,0.0,-3.9,56.8,0.4,320,8.0,36.3531,128.6908,81.09
1986,1,30,30,5.856,8.0,-9.8,0.0,-3.2,73.0,0.6,290,2.9,36.3531,128.6908,81.09
1986,1,31,31,7.747,4.8,-6.6,0.0,-2.1,52.3,1.6,270,5.4,36.3531,128.6908,81.09
1986,2,1,32,7.95,1.2,-12.9,0.0,-7.1,51.5,1.4,270,7.5,36.3531,128.6908,81.09
1986,2,2,33,7.972,4.2,-14.6,0.0,-4.8,64.8,1.4,230,7.5,36.3531,128.6908,81.09
1986,2,3,34,8.906,-2.3,-10.9,0.0,-5.2,45.5,3.3,320,8.9,36.3531,128.6908,81.09
1986,2,4,35,8.934,-1.6,-15.3,0.0,-8.9,52.8,1.7,320,8.9,36.3531,128.6908,81.09
1986,2,5,36,8.898,0.3,-15.2,0.0,-8.5,56.5,1.7,320,8.8,36.3531,128.6908,81.09
1986,2,6,37,8.929,-0.9,-17.4,0.0,-10.2,56.5,1.9,290,8.8,36.3531,128.6908,81.09
1986,2,7,38,9.16,0.3,-17.7,0.0,-9.7,54.8,1.6,290,9.1,36.3531,128.6908,81.09
1986,2,8,39,9.196,2.7,-16.2,0.0,-7.4,51.5,1.5,290,9.1,36.3531,128.6908,81.09
1986,2,9,40,9.167,3.4,-14.7,0.0,-6.9,55.3,1.0,290,9.0,36.3531,128.6908,81.09
1986,2,10,41,8.541,4.8,-14.6,0.0,-5.6,58.5,0.4,230,8.0,36.3531,128.6908,81.09
1986,2,11,42,9.314,4.8,-10.7,0.0,-3.7,48.3,1.1,270,9.1,36.3531,128.6908,81.09
