year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1988,1,1,1,4.557,4.2,-8.6,0.0,-2.6,73.5,0.8,110,2.2,36.1276,128.3228,47.86
1988,1,2,2,8.095,5.9,-5.0,0.0,1.2,67.5,2.6,290,7.6,36.1276,128.3228,47.86
1988,1,3,3,7.596,8.5,-7.4,0.0,-0.8,65.0,0.9,340,6.8,36.1276,128.3228,47.86
1988,1,4,4,4.996,3.8,-4.2,0.7,0.5,66.5,2.5,320,2.8,36.1276,128.3228,47.86
1988,1,5,5,7.975,5.9,-7.2,0.0,-2.0,66.5,2.0,320,7.3,36.1276,128.3228,47.86
1988,1,6,6,8.399,6.9,-8.1,0.0,-2.2,64.3,1.1,340,7.9,36.1276,128.3228,47.86
1988,1,7,7,3.2,5.2,-4.4,0.0,-0.3,71.8,0.8,320,0.0,36.1276,128.3228,47.86
1988,1,8,8,6.006,8.1,-0.8,0.0,2.6,67.5,3.6,290,4.2,36.1276,128.3228,47.86
1988,1,9,9,8.565,1.0,-6.0,0.0,-2.4,48.5,6.6,320,8.0,36.1276,128.3228,47.86
1988,1,10,10,8.869,-1.3,-8.9,0.0,-5.3,41.8,4.8,320,8.4,36.1276,128.3228,47.86
1988,1,11,11,8.975,2.8,-7.6,0.0,-2.8,46.3,3.3,290,8.5,36.1276,128.3228,47.86
1988,1,12,12,7.668,5.5,-6.6,0.0,-1.4,62.0,2.3,320,6.5,36.1276,128.3228,47.86
1988,1,13,13,6.487,9.5,-6.6,0.0,0.2,74.8,1.7,320,4.7,36.1276,128.3228,47.86
1988,1,14,14,7.269,11.3,-6.1,1.2,1.9,76.3,1.0,320,5.8,36.1276,128.3228,47.86
1988,1,15,15,4.303,9.6,-0.9,0.9,4.5,77.5,1.4,320,1.4,36.1276,128.3228,47.86
1988,1,16,16,8.924,3.7,-4.6,0.0,0.2,44.3,5.1,320,8.1,36.1276,128.3228,47.86
1988,1,17,17,8.559,3.4,-6.6,0.0,-1.7,60.5,3.3,290,7.5,36.1276,128.3228,47.86
1988,1,18,18,9.091,4.3,-4.8,0.0,0.2,51.8,2.6,320,8.2,36.1276,128.3228,47.86
1988,1,19,19,9.073,8.8,-7.0,0.0,-1.4,60.0,1.0,320,8.1,36.1276,128.3228,47.86
1988,1,20,20,8.147,7.0,-8.2,0.0,-1.2,70.5,1.0,340,6.7,36.1276,128.3228,47.86
1988,1,21,21,4.052,3.9,-3.0,7.4,0.0,88.0,0.8,90,0.8,36.1276,128.3228,47.86
1988,1,22,22,4.576,8.4,-5.4,1.3,2.2,67.0,3.7,290,1.5,36.1276,128.3228,47.86
1988,1,23,23,8.37,-2.8,-7.4,0.0,-4.9,55.0,7.7,320,6.8,36.1276,128.3228,47.86
1988,1,24,24,9.423,-2.2,-10.2,0.0,-6.6,53.5,4.2,290,8.2,36.1276,128.3228,47.86
1988,1,25,25,6.829,0.3,-6.8,0.0,-3.4,70.3,3.1,320,4.5,36.1276,128.3228,47.86
1988,1,26,26,9.4,2.0,-4.5,0.0,-1.1,45.5,4.3,290,8.0,36.1276,128.3228,47.86
1988,1,27,27,9.172,6.5,-7.0,0.0,0.0,54.5,3.1,320,7.6,36.1276,128.3228,47.86
1988,1,28,28,9.453,8.0,-5.3,0.0,0.2,65.8,1.5,320,7.9,36.1276,128.3228,47.86
1988,1,29,29,9.003,4.5,-4.7,0.0,-0.4,56.0,6.4,290,7.2,36.1276,128.3228,47.86
1988,1,30,30,7.738,0.6,-7.8,0.0,-2.7,45.3,3.7,320,5.4,36.1276,128.3228,47.86
1988,1,31,31,10.317,3.2,-7.7,0.0,-2.6,49.0,2.7,320,8.8,36.1276,128.3228,47.86
1988,2,1,32,8.399,5.5,-10.8,0.0,-3.4,61.3,2.2,320,8.1,36.1276,128.3228,47.86
1988,2,2,33,8.748,2.8,-8.1,0.0,-3.1,44.3,7.0,320,8.6,36.1276,128.3228,47.86
1988,2,3,34,9.035,-1.7,-11.8,0.0,-7.1,43.5,5.7,320,9.0,36.1276,128.3228,47.86
1988,2,4,35,4.077,1.5,-13.2,0.0,-6.5,67.3,1.3,320,1.4,36.1276,128.3228,47.86
1988,2,5,36,3.172,8.4,-7.1,0.0,-0.8,74.5,1.2,320,0.0,36.1276,128.3228,47.86
1988,2,6,37,8.993,0.3,-7.8,0.0,-3.2,47.5,7.6,320,8.8,36.1276,128.3228,47.86
1988,2,7,38,8.894,-1.2,-9.9,0.0,-6.1,46.8,5.3,320,8.6,36.1276,128.3228,47.86
1988,2,8,39,9.127,1.1,-11.0,0.0,-4.2,54.8,4.4,320,8.9,36.1276,128.3228,47.86
1988,2,9,40,7.898,4.0,-8.1,0.0,-2.7,47.8,4.6,320,7.0,36.1276,128.3228,47.86
1988,2,10,41,9.337,3.4,-10.1,0.0,-4.0,44.8,3.3,290,9.1,36.1276,128.3228,47.86
1988,2,11,42,3.939,2.1,-12.2,0.0,-5.4,63.5,0.8,320,1.0,36.1276,128.3228,47.86
1988,2,12,43,6.59,6.3,-10.8,0.0,-2.4,68.8,1.9,320,4.9,36.1276,128.3228,47.86
1988,2,13,44,8.044,9.6,-7.4,0.0,0.5,58.5,1.4,320,7.0,36.1276,128.3228,47.86
1988,2,14,45,7.813,5.7,-6.2,0.0,-1.3,59.8,3.7,320,6.6,36.1276,128.3228,47.86
1988,2,15,46,9.15,2.9,-7.3,0.0,-2.5,38.5,4.8,290,8.5,36.1276,128.3228,47.86
1988,2,16,47,9.404,1.1,-11.1,0.0,-3.8,42.5,3.8,290,8.8,36.1276,128.3228,47.86
1988,2,17,48,9.11,2.1,-9.9,0.0,-3.5,49.8,3.3,290,8.3,36.1276,128.3228,47.86
1988,2,18,49,9.783,1.7,-10.4,0.0,-4.3,52.3,4.3,320,9.2,36.1276,128.3228,47.86
1988,2,19,50,9.351,7.3,-13.1,0.0,-2.0,61.0,1.8,320,8.5,36.1276,128.3228,47.86
1988,2,20,51,5.631,8.8,-4.9,0.0,1.1,55.0,2.5,320,3.1,36.1276,128.3228,47.86
1988,2,21,52,10.023,10.5,-10.1,0.0,0.1,63.0,2.0,340,9.3,36.1276,128.3228,47.86
1988,2,22,53,8.671,12.5,-6.9,0.0,1.2,70.3,1.1,320,7.3,36.1276,128.3228,47.86
1988,2,23,54,5.744,10.5,1.6,0.5,5.1,73.5,1.0,320,3.1,36.1276,128.3228,47.86
1988,2,24,55,3.572,5.0,1.3,2.7,3.2,84.5,0.7,320,0.0,36.1276,128.3228,47.86
1988,2,25,56,6.613,9.7,-0.1,0.0,4.3,75.0,0.8,340,4.2,36.1276,128.3228,47.86
1988,2,26,57,5.505,10.4,0.9,0.0,4.9,70.5,0.8,110,2.6,36.1276,128.3228,47.86
1988,2,27,58,5.618,10.3,0.3,0.0,3.9,72.5,1.8,90,2.7,36.1276,128.3228,47.86
1988,2,28,59,7.921,10.2,-2.3,0.0,2.4,56.5,1.2,320,5.8,36.1276,128.3228,47.86
1988,2,29,60,4.088,5.7,-3.5,0.0,1.3,56.3,0.6,320,0.5,36.1276,128.3228,47.86
1988,3,1,61,6.641,11.0,-0.3,0.0,4.0,53.5,2.1,320,5.4,36.1276,128.3228,47.86
1988,3,2,62,6.594,5.8,-3.7,0.0,0.8,57.0,5.4,320,5.3,36.1276,128.3228,47.86
1988,3,3,63,9.101,2.1,-6.7,0.0,-2.3,48.3,4.7,320,9.1,36.1276,128.3228,47.86
1988,3,4,64,8.801,4.3,-7.8,0.0,-1.3,65.5,2.7,320,8.6,36.1276,128.3228,47.86
1988,3,5,65,5.606,4.9,-6.1,0.7,-2.2,81.5,1.6,320,3.7,36.1276,128.3228,47.86
1988,3,6,66,7.475,6.1,-7.0,0.0,-1.3,61.5,3.0,320,6.5,36.1276,128.3228,47.86
1988,3,7,67,9.092,1.5,-8.6,0.8,-2.8,47.5,4.4,320,8.9,36.1276,128.3228,47.86
1988,3,8,68,7.002,4.9,-6.7,0.3,-1.7,60.5,3.0,320,5.7,36.1276,128.3228,47.86
1988,3,9,69,9.764,9.0,-6.4,0.0,1.7,56.5,2.9,290,9.8,36.1276,128.3228,47.86
1988,3,10,70,10.14,16.1,-4.8,0.0,3.8,59.0,1.3,320,10.3,36.1276,128.3228,47.86
1988,3,11,71,3.267,4.9,-3.0,12.6,1.0,81.8,1.2,320,0.0,36.1276,128.3228,47.86
1988,3,12,72,8.545,12.5,3.9,0.0,7.1,51.8,5.7,320,7.8,36.1276,128.3228,47.86
1988,3,13,73,9.466,19.4,-0.6,0.0,8.3,58.8,1.2,340,9.1,36.1276,128.3228,47.86
1988,3,14,74,3.326,10.5,5.5,8.2,8.1,78.3,0.8,340,0.0,36.1276,128.3228,47.86
1988,3,15,75,8.195,11.0,0.4,0.0,6.5,62.5,2.7,90,7.1,36.1276,128.3228,47.86
1988,3,16,76,4.672,6.2,-1.9,0.0,2.1,63.3,1.0,140,1.9,36.1276,128.3228,47.86
1988,3,17,77,3.667,9.4,0.5,0.0,4.9,68.3,0.9,250,0.4,36.1276,128.3228,47.86
1988,3,18,78,10.406,12.9,-1.7,0.0,5.3,66.8,3.5,320,10.1,36.1276,128.3228,47.86
1988,3,19,79,7.752,10.2,0.1,0.0,5.1,49.0,2.5,320,6.2,36.1276,128.3228,47.86
1988,3,20,80,7.449,11.3,-3.4,0.0,4.1,64.0,1.8,320,5.7,36.1276,128.3228,47.86
1988,3,21,81,3.49,9.1,1.4,7.7,4.9,79.8,0.9,90,0.0,36.1276,128.3228,47.86
1988,3,22,82,5.494,10.5,2.2,3.4,5.1,78.8,1.8,320,2.8,36.1276,128.3228,47.86
1988,3,23,83,10.216,11.4,-0.3,0.0,5.6,41.0,5.1,320,9.4,36.1276,128.3228,47.86
1988,3,24,84,8.638,12.1,-4.5,0.0,4.2,54.3,1.4,110,7.1,36.1276,128.3228,47.86
1988,3,25,85,8.766,15.1,2.9,0.0,8.4,57.8,1.2,90,7.2,36.1276,128.3228,47.86
1988,3,26,86,6.659,12.0,3.3,0.0,7.5,64.3,1.3,320,4.2,36.1276,128.3228,47.86
1988,3,27,87,10.84,15.8,-1.5,0.0,6.7,63.5,1.4,320,9.9,36.1276,128.3228,47.86
1988,3,28,88,4.784,13.0,1.1,0.0,7.2,59.3,1.2,110,1.5,36.1276,128.3228,47.86
1988,3,29,89,7.536,13.6,0.4,0.0,7.3,58.8,2.4,110,5.2,36.1276,128.3228,47.86
1988,3,30,90,11.132,14.6,1.3,0.0,7.2,55.5,1.8,110,10.0,36.1276,128.3228,47.86
1988,3,31,91,11.578,16.8,-1.3,0.0,7.3,55.8,0.9,320,10.5,36.1276,128.3228,47.86
1988,4,1,92,8.073,16.7,3.2,0.0,8.9,59.8,1.1,320,7.6,36.1276,128.3228,47.86
1988,4,2,93,9.14,19.4,1.7,0.0,9.8,61.3,1.3,140,9.2,36.1276,128.3228,47.86
1988,4,3,94,8.185,20.1,2.2,0.0,10.9,64.5,1.3,320,7.7,36.1276,128.3228,47.86
1988,4,4,95,9.129,19.3,2.4,0.0,10.8,69.8,1.7,320,9.1,36.1276,128.3228,47.86
1988,4,5,96,8.172,16.6,4.9,0.0,11.1,50.5,4.3,320,7.6,36.1276,128.3228,47.86
1988,4,6,97,6.221,11.9,-0.7,0.0,6.3,67.5,2.8,110,4.6,36.1276,128.3228,47.86
1988,4,7,98,4.988,11.3,2.5,0.0,7.8,49.5,2.0,90,2.7,36.1276,128.3228,47.86
1988,4,8,99,8.463,12.8,-2.1,0.0,5.8,65.0,1.8,320,7.9,36.1276,128.3228,47.86
1988,4,9,100,9.031,15.8,0.0,0.0,8.0,62.0,2.5,320,8.7,36.1276,128.3228,47.86
1988,4,10,101,10.274,19.9,-0.3,0.0,9.6,55.0,1.9,320,10.5,36.1276,128.3228,47.86
1988,4,11,102,9.042,21.7,1.6,0.0,12.1,53.0,2.2,140,8.6,36.1276,128.3228,47.86
1988,4,12,103,5.713,16.9,7.1,19.3,12.5,77.3,3.5,320,3.6,36.1276,128.3228,47.86
1988,4,13,104,10.278,22.2,2.0,0.0,12.7,45.5,3.8,290,10.3,36.1276,128.3228,47.86
1988,4,14,105,10.939,16.3,3.3,0.0,10.4,40.3,5.7,320,11.2,36.1276,128.3228,47.86
1988,4,15,106,11.13,21.6,1.6,0.0,12.6,41.5,3.1,320,11.4,36.1276,128.3228,47.86
1988,4,16,107,6.867,21.1,3.2,0.0,12.7,54.8,0.8,320,5.1,36.1276,128.3228,47.86
1988,4,17,108,8.352,22.8,4.7,2.7,14.0,64.0,2.8,230,7.2,36.1276,128.3228,47.86
1988,4,18,109,8.399,13.4,4.7,19.2,10.1,57.5,5.3,290,7.2,36.1276,128.3228,47.86
1988,4,19,110,5.387,17.7,2.6,0.8,9.3,71.3,2.9,320,2.8,36.1276,128.3228,47.86
1988,4,20,111,10.244,20.1,0.9,0.0,11.3,60.8,1.4,110,9.7,36.1276,128.3228,47.86
1988,4,21,112,4.263,18.8,5.9,0.0,11.7,51.0,3.6,320,1.1,36.1276,128.3228,47.86
1988,4,22,113,10.083,15.6,1.5,0.0,8.7,41.5,3.6,320,9.3,36.1276,128.3228,47.86
1988,4,23,114,9.506,15.7,0.9,0.0,9.0,50.0,2.7,320,8.4,36.1276,128.3228,47.86
1988,4,24,115,11.563,18.2,3.1,0.0,11.5,52.5,4.5,320,11.2,36.1276,128.3228,47.86
1988,4,25,116,11.635,22.1,1.5,0.0,13.5,48.3,4.1,290,11.2,36.1276,128.3228,47.86
1988,4,26,117,10.194,24.0,11.4,0.0,17.4,38.3,3.6,320,9.1,36.1276,128.3228,47.86
1988,4,27,118,11.783,27.3,6.4,0.0,16.8,52.8,1.8,320,11.2,36.1276,128.3228,47.86
1988,4,28,119,8.14,24.0,7.0,0.4,15.2,78.0,1.7,160,6.1,36.1276,128.3228,47.86
1988,4,29,120,10.177,27.3,13.6,0.0,19.2,67.5,2.5,320,8.8,36.1276,128.3228,47.86
1988,4,30,121,11.722,29.4,11.9,0.0,20.0,49.8,3.2,320,10.8,36.1276,128.3228,47.86
1988,5,1,122,6.445,27.2,11.4,0.1,17.9,54.5,3.3,320,5.1,36.1276,128.3228,47.86
1988,5,2,123,9.401,27.9,4.7,0.0,16.2,37.5,1.8,320,9.6,36.1276,128.3228,47.86
1988,5,3,124,6.091,22.7,10.7,4.9,15.4,82.3,1.1,110,4.5,36.1276,128.3228,47.86
1988,5,4,125,8.079,25.7,9.7,0.1,16.9,64.3,2.1,290,7.5,36.1276,128.3228,47.86
1988,5,5,126,10.935,25.7,4.9,0.0,15.4,48.8,3.0,320,11.8,36.1276,128.3228,47.86
1988,5,6,127,8.993,25.6,3.9,0.0,16.2,54.8,1.3,320,8.8,36.1276,128.3228,47.86
1988,5,7,128,4.855,17.5,9.7,31.5,14.8,77.8,1.1,110,2.5,36.1276,128.3228,47.86
1988,5,8,129,10.19,18.2,7.2,0.0,13.1,65.0,2.0,110,10.5,36.1276,128.3228,47.86
1988,5,9,130,6.232,17.1,6.8,0.0,11.9,68.0,1.1,140,4.5,36.1276,128.3228,47.86
1988,5,10,131,6.059,17.4,10.4,3.4,13.4,83.0,0.9,110,4.2,36.1276,128.3228,47.86
