year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2007,1,1,1,4.32,10.6,-5.5,0.0,2.3,54.1,0.7,250,1.8,35.9744,128.9537,94.1
2007,1,2,2,5.775,13.8,-0.5,0.0,4.7,65.9,0.5,70,4.0,35.9744,128.9537,94.1
2007,1,3,3,3.296,8.8,-0.2,0.0,4.9,77.1,1.8,90,0.2,35.9744,128.9537,94.1
2007,1,4,4,4.824,10.0,-2.5,0.0,2.8,82.3,0.9,110,2.5,35.9744,128.9537,94.1
2007,1,5,5,4.577,10.8,-1.7,0.0,3.7,76.0,0.4,90,2.1,35.9744,128.9537,94.1
2007,1,6,6,4.794,6.0,-2.7,0.0,0.9,62.4,3.4,270,2.4,35.9744,128.9537,94.1
2007,1,7,7,6.343,3.2,-3.7,0.0,-0.6,54.9,5.0,290,4.7,35.9744,128.9537,94.1
2007,1,8,8,6.969,4.5,-2.4,0.0,0.3,47.1,3.5,290,5.6,35.9744,128.9537,94.1
2007,1,9,9,7.133,6.3,-5.8,0.0,-0.6,51.4,1.9,270,5.8,35.9744,128.9537,94.1
2007,1,10,10,7.097,6.3,-6.4,0.0,0.0,58.9,2.1,290,5.7,35.9744,128.9537,94.1
2007,1,11,11,6.455,5.6,-9.0,0.0,-1.7,59.6,1.2,290,4.7,35.9744,128.9537,94.1
2007,1,12,12,5.877,4.5,-6.8,0.0,-0.7,46.4,3.1,290,3.8,35.9744,128.9537,94.1
2007,1,13,13,6.654,2.7,-5.3,0.0,-2.8,48.3,3.1,290,4.9,35.9744,128.9537,94.1
2007,1,14,14,7.371,6.0,-7.9,0.0,-1.9,37.5,2.6,270,5.9,35.9744,128.9537,94.1
2007,1,15,15,7.067,8.8,-9.3,0.0,-1.3,48.6,0.6,90,5.4,35.9744,128.9537,94.1
2007,1,16,16,3.525,7.6,-2.5,0.0,3.0,40.9,0.9,290,0.2,35.9744,128.9537,94.1
2007,1,17,17,5.001,8.8,-0.6,0.0,3.1,51.1,2.2,290,2.3,35.9744,128.9537,94.1
2007,1,18,18,6.838,8.8,-5.8,0.0,2.2,46.9,2.6,290,4.9,35.9744,128.9537,94.1
2007,1,19,19,7.507,8.1,-10.8,0.0,-2.1,53.5,0.7,270,5.8,35.9744,128.9537,94.1
2007,1,20,20,3.974,7.3,-4.6,0.0,2.0,58.8,0.3,110,0.7,35.9744,128.9537,94.1
2007,1,21,21,5.483,10.8,-3.0,0.0,2.3,81.5,0.5,110,2.8,35.9744,128.9537,94.1
2007,1,22,22,7.858,9.1,-6.4,0.0,1.2,65.6,1.3,320,6.1,35.9744,128.9537,94.1
2007,1,23,23,5.699,9.8,-7.0,0.0,0.3,62.1,0.6,320,3.0,35.9744,128.9537,94.1
2007,1,24,24,7.457,10.6,-4.9,0.0,1.0,56.8,0.9,270,5.4,35.9744,128.9537,94.1
2007,1,25,25,8.515,9.3,-8.1,0.0,-0.2,58.3,1.4,290,6.8,35.9744,128.9537,94.1
2007,1,26,26,5.095,6.5,-8.3,0.5,-0.5,75.6,1.6,270,2.0,35.9744,128.9537,94.1
2007,1,27,27,4.551,4.6,-3.2,0.0,1.1,72.6,2.3,290,1.2,35.9744,128.9537,94.1
2007,1,28,28,8.686,6.0,-7.3,0.0,-1.1,68.5,1.8,290,6.8,35.9744,128.9537,94.1
2007,1,29,29,9.187,8.5,-8.0,0.0,-1.5,68.1,0.5,90,7.4,35.9744,128.9537,94.1
2007,1,30,30,6.511,7.3,-9.1,0.0,-1.3,65.1,2.4,290,3.7,35.9744,128.9537,94.1
2007,1,31,31,9.464,4.4,-3.9,0.0,-0.5,46.5,4.4,290,7.6,35.9744,128.9537,94.1
2007,2,1,32,8.113,1.3,-6.0,0.0,-2.5,48.0,3.8,290,7.6,35.9744,128.9537,94.1
2007,2,2,33,8.66,3.5,-7.5,0.0,-2.4,42.6,2.8,290,8.4,35.9744,128.9537,94.1
2007,2,3,34,8.816,9.0,-6.4,0.0,2.3,50.9,3.1,270,8.6,35.9744,128.9537,94.1
2007,2,4,35,8.843,13.6,-4.5,0.0,3.3,46.6,1.1,270,8.6,35.9744,128.9537,94.1
2007,2,5,36,7.947,14.5,-7.6,0.0,3.4,53.3,1.0,270,7.2,35.9744,128.9537,94.1
2007,2,6,37,7.644,16.2,-3.7,0.0,5.5,64.5,0.6,250,6.7,35.9744,128.9537,94.1
2007,2,7,38,7.673,16.2,-2.0,0.0,6.2,79.6,1.3,90,6.7,35.9744,128.9537,94.1
2007,2,8,39,3.234,9.6,5.5,16.0,7.6,95.6,0.5,70,0.0,35.9744,128.9537,94.1
2007,2,9,40,4.054,9.6,4.5,0.5,7.0,82.0,2.2,290,1.2,35.9744,128.9537,94.1
2007,2,10,41,5.955,8.8,0.6,0.0,4.4,63.5,3.4,290,4.0,35.9744,128.9537,94.1
