year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1992,1,1,1,5.686,7.9,-1.1,0.0,2.2,70.3,0.0,20,3.8,35.6682,127.9132,220.88
1992,1,2,2,8.016,8.8,-4.3,0.0,1.5,69.5,0.7,230,7.3,35.6682,127.9132,220.88
1992,1,3,3,7.841,6.8,-5.1,0.0,-1.2,67.3,0.2,90,7.0,35.6682,127.9132,220.88
1992,1,4,4,8.397,6.0,-7.6,0.0,-2.3,68.8,0.1,290,7.8,35.6682,127.9132,220.88
1992,1,5,5,4.159,3.5,-6.7,0.0,-2.1,73.8,0.0,20,1.4,35.6682,127.9132,220.88
1992,1,6,6,3.307,5.2,-0.5,10.0,1.3,86.8,0.0,20,0.1,35.6682,127.9132,220.88
1992,1,7,7,3.523,5.6,-3.3,0.0,2.1,72.8,0.9,230,0.4,35.6682,127.9132,220.88
1992,1,8,8,6.163,5.4,-5.7,0.0,-0.5,77.8,0.0,20,4.3,35.6682,127.9132,220.88
1992,1,9,9,7.269,6.0,-1.0,0.0,1.5,72.0,0.9,270,5.9,35.6682,127.9132,220.88
1992,1,10,10,8.384,7.8,-4.3,0.0,0.5,63.5,0.2,50,7.5,35.6682,127.9132,220.88
1992,1,11,11,8.489,9.4,-8.2,0.0,-1.2,67.5,0.0,20,7.6,35.6682,127.9132,220.88
1992,1,12,12,8.05,7.9,-6.5,0.0,-0.6,75.5,0.3,360,6.9,35.6682,127.9132,220.88
1992,1,13,13,4.936,6.1,-3.8,0.0,0.3,77.0,0.5,320,2.3,35.6682,127.9132,220.88
1992,1,14,14,7.647,6.1,-5.1,0.0,-0.2,70.0,0.8,360,6.2,35.6682,127.9132,220.88
1992,1,15,15,8.515,6.8,-8.2,0.0,-2.1,73.8,0.3,200,7.4,35.6682,127.9132,220.88
1992,1,16,16,6.547,5.9,-7.2,0.2,-1.6,77.8,0.7,230,4.5,35.6682,127.9132,220.88
1992,1,17,17,7.141,1.6,-5.0,0.0,-1.6,60.3,2.1,270,5.3,35.6682,127.9132,220.88
1992,1,18,18,9.283,0.6,-6.3,0.0,-3.2,49.3,2.7,270,8.3,35.6682,127.9132,220.88
1992,1,19,19,9.335,6.3,-9.8,0.0,-2.9,51.5,0.2,360,8.3,35.6682,127.9132,220.88
1992,1,20,20,8.893,7.0,-11.0,0.0,-3.2,67.3,0.0,20,7.6,35.6682,127.9132,220.88
1992,1,21,21,8.59,9.1,-7.2,0.0,-1.5,66.8,0.6,250,7.1,35.6682,127.9132,220.88
1992,1,22,22,8.141,5.3,-4.0,0.0,0.9,60.5,1.7,250,6.4,35.6682,127.9132,220.88
1992,1,23,23,8.838,3.4,-4.7,0.0,-0.3,58.3,2.0,270,7.3,35.6682,127.9132,220.88
1992,1,24,24,9.254,6.3,-9.9,0.0,-2.7,70.8,0.8,230,7.8,35.6682,127.9132,220.88
1992,1,25,25,7.499,9.1,-4.5,0.2,0.6,71.3,0.7,250,5.3,35.6682,127.9132,220.88
1992,1,26,26,9.518,9.3,-8.9,0.0,-1.3,64.8,0.2,50,8.0,35.6682,127.9132,220.88
1992,1,27,27,9.36,11.4,-8.2,0.0,0.0,62.0,0.5,50,7.7,35.6682,127.9132,220.88
1992,1,28,28,8.02,10.5,-8.9,0.5,-0.1,79.3,0.3,250,5.8,35.6682,127.9132,220.88
1992,1,29,29,4.738,10.0,2.5,0.0,6.5,66.3,0.2,50,1.3,35.6682,127.9132,220.88
1992,1,30,30,7.758,9.8,-3.0,0.0,2.0,61.3,0.7,20,5.3,35.6682,127.9132,220.88
1992,1,31,31,3.838,2.5,-3.1,1.6,-1.4,76.0,0.3,360,0.0,35.6682,127.9132,220.88
1992,2,1,32,8.061,3.8,-8.6,0.1,-2.9,71.5,0.2,50,7.4,35.6682,127.9132,220.88
1992,2,2,33,6.694,4.4,-10.5,0.3,-2.7,78.0,0.3,230,5.3,35.6682,127.9132,220.88
1992,2,3,34,3.201,4.0,0.0,10.6,1.8,87.8,0.1,70,0.0,35.6682,127.9132,220.88
1992,2,4,35,8.663,6.0,-4.8,0.0,-0.3,62.3,0.8,20,8.2,35.6682,127.9132,220.88
1992,2,5,36,8.358,7.9,-8.5,0.0,-1.9,65.3,0.5,360,7.7,35.6682,127.9132,220.88
1992,2,6,37,7.852,7.9,-7.5,0.0,-0.9,68.3,1.0,270,6.9,35.6682,127.9132,220.88
1992,2,7,38,9.088,2.6,-6.7,0.0,-1.5,52.5,1.3,20,8.7,35.6682,127.9132,220.88
1992,2,8,39,9.19,2.6,-7.1,0.0,-2.5,54.3,1.4,320,8.8,35.6682,127.9132,220.88
1992,2,9,40,9.159,6.4,-9.4,0.0,-2.4,66.5,0.6,250,8.7,35.6682,127.9132,220.88
1992,2,10,41,8.858,6.8,-8.4,0.0,-1.3,68.0,1.1,250,8.2,35.6682,127.9132,220.88
1992,2,11,42,9.033,8.4,-9.2,0.0,-1.6,63.5,0.4,360,8.4,35.6682,127.9132,220.88
1992,2,12,43,8.528,9.5,-8.7,0.0,-1.0,70.3,0.7,230,7.6,35.6682,127.9132,220.88
1992,2,13,44,8.911,5.4,-3.8,0.3,1.8,63.0,1.7,250,8.1,35.6682,127.9132,220.88
1992,2,14,45,9.298,7.8,-7.8,0.0,-1.4,62.0,0.5,230,8.6,35.6682,127.9132,220.88
1992,2,15,46,6.511,8.6,-7.1,0.0,0.7,66.0,1.7,250,4.5,35.6682,127.9132,220.88
1992,2,16,47,9.601,3.2,-6.4,0.0,-1.4,41.5,1.5,360,8.9,35.6682,127.9132,220.88
1992,2,17,48,9.651,7.3,-10.8,0.0,-3.1,57.3,0.4,20,8.9,35.6682,127.9132,220.88
1992,2,18,49,8.582,8.2,-8.2,0.0,-1.2,70.0,1.0,250,7.3,35.6682,127.9132,220.88
1992,2,19,50,9.546,4.2,-8.5,0.0,-2.1,51.3,1.2,290,8.6,35.6682,127.9132,220.88
1992,2,20,51,10.024,3.6,-11.3,0.0,-4.3,57.0,0.9,320,9.2,35.6682,127.9132,220.88
1992,2,21,52,8.234,3.0,-8.1,0.0,-2.8,61.3,1.8,320,6.6,35.6682,127.9132,220.88
1992,2,22,53,9.784,7.4,-7.0,0.0,-0.2,60.5,0.8,320,8.7,35.6682,127.9132,220.88
1992,2,23,54,7.905,10.0,-7.0,0.2,-0.1,67.8,0.9,140,6.0,35.6682,127.9132,220.88
1992,2,24,55,8.965,6.0,-2.2,0.0,1.0,52.5,1.8,320,7.4,35.6682,127.9132,220.88
1992,2,25,56,10.546,11.0,-5.7,0.0,2.3,56.0,0.8,360,9.5,35.6682,127.9132,220.88
1992,2,26,57,10.247,16.1,-7.3,0.0,2.5,60.3,0.5,230,9.0,35.6682,127.9132,220.88
1992,2,27,58,10.24,20.7,-5.3,0.0,5.8,64.3,0.5,200,8.9,35.6682,127.9132,220.88
1992,2,28,59,4.038,12.4,1.3,1.4,6.8,85.0,0.0,270,0.4,35.6682,127.9132,220.88
1992,2,29,60,5.035,17.6,8.0,1.7,11.3,85.8,0.2,180,1.7,35.6682,127.9132,220.88
1992,3,1,61,3.839,16.6,5.3,0.3,9.4,84.5,1.0,90,1.0,35.6682,127.9132,220.88
1992,3,2,62,3.19,5.6,3.7,0.0,4.9,73.0,0.7,20,0.0,35.6682,127.9132,220.88
1992,3,3,63,7.708,8.2,2.2,0.0,4.4,61.8,1.4,90,6.8,35.6682,127.9132,220.88
1992,3,4,64,8.131,9.0,-1.9,0.6,3.6,64.5,0.9,90,7.4,35.6682,127.9132,220.88
