year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2005,1,1,1,8.882,4.0,-8.0,0.0,-2.1,53.5,1.5,320,8.6,35.562,128.172,32.66
2005,1,2,2,8.905,8.1,-8.3,0.0,-0.9,67.5,0.9,200,8.6,35.562,128.172,32.66
2005,1,3,3,6.604,12.1,-4.4,0.0,4.6,59.9,1.6,250,5.1,35.562,128.172,32.66
2005,1,4,4,8.958,6.8,-6.0,0.0,0.9,33.6,1.9,320,8.6,35.562,128.172,32.66
2005,1,5,5,7.984,5.6,-10.8,0.0,-2.5,55.0,0.4,200,7.1,35.562,128.172,32.66
2005,1,6,6,8.683,10.0,-1.2,0.0,2.9,51.4,0.9,230,8.1,35.562,128.172,32.66
2005,1,7,7,8.445,7.4,-2.2,0.0,3.3,38.0,1.7,320,7.7,35.562,128.172,32.66
2005,1,8,8,7.668,6.6,-8.3,0.0,-1.3,52.5,0.9,320,6.5,35.562,128.172,32.66
2005,1,9,9,9.188,3.0,-8.8,0.0,-2.9,39.5,1.5,320,8.7,35.562,128.172,32.66
2005,1,10,10,9.091,5.1,-10.8,0.0,-1.6,53.8,1.2,200,8.5,35.562,128.172,32.66
2005,1,11,11,9.266,4.5,-5.0,0.0,-0.1,54.6,1.9,250,8.7,35.562,128.172,32.66
2005,1,12,12,9.308,4.8,-8.8,0.0,-2.4,59.9,1.1,200,8.7,35.562,128.172,32.66
2005,1,13,13,7.564,5.0,-8.6,0.0,-2.2,63.4,1.0,20,6.1,35.562,128.172,32.66
2005,1,14,14,7.257,6.8,-9.0,0.0,-1.4,64.5,0.7,50,5.6,35.562,128.172,32.66
2005,1,15,15,9.512,6.4,-5.8,0.0,-0.4,59.3,1.1,320,8.8,35.562,128.172,32.66
2005,1,16,16,5.941,6.6,-5.5,0.0,0.3,60.3,1.8,290,3.6,35.562,128.172,32.66
2005,1,17,17,9.611,10.6,-7.4,0.0,-0.1,66.8,0.6,230,8.8,35.562,128.172,32.66
2005,1,18,18,8.749,9.8,-7.8,0.0,1.0,66.6,0.8,250,7.5,35.562,128.172,32.66
2005,1,19,19,9.786,5.6,-2.0,0.0,1.8,45.0,1.7,290,8.9,35.562,128.172,32.66
2005,1,20,20,9.77,3.7,-4.5,0.0,-0.6,44.4,1.8,340,8.8,35.562,128.172,32.66
2005,1,21,21,10.04,6.3,-8.8,0.0,-2.4,54.3,1.2,20,9.1,35.562,128.172,32.66
2005,1,22,22,5.874,6.5,-7.4,0.0,0.1,47.9,0.5,200,3.2,35.562,128.172,32.66
2005,1,23,23,5.337,10.1,-0.2,1.0,2.7,78.8,0.6,230,2.4,35.562,128.172,32.66
2005,1,24,24,4.722,8.6,-2.0,0.0,2.3,76.0,0.6,50,1.5,35.562,128.172,32.66
2005,1,25,25,3.666,2.4,-4.3,7.0,-0.5,90.3,0.2,230,0.0,35.562,128.172,32.66
