year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2011,1,1,1,7.908,4.0,-7.1,0.0,-2.4,43.0,2.1,340,7.1,35.4885,128.7464,12.6
2011,1,2,2,8.793,8.8,-7.1,0.0,-1.0,58.6,0.9,320,8.4,35.4885,128.7464,12.6
2011,1,3,3,5.62,5.2,-7.8,0.0,-1.1,69.5,1.3,50,3.6,35.4885,128.7464,12.6
2011,1,4,4,8.711,4.6,-5.8,0.0,-0.4,67.0,1.3,340,8.2,35.4885,128.7464,12.6
2011,1,5,5,6.663,6.2,-6.6,0.0,-0.5,55.6,1.8,290,5.1,35.4885,128.7464,12.6
2011,1,6,6,9.105,3.0,-6.7,0.0,-1.6,40.9,2.1,340,8.7,35.4885,128.7464,12.6
2011,1,7,7,9.003,3.8,-10.1,0.0,-3.6,38.5,1.4,340,8.5,35.4885,128.7464,12.6
2011,1,8,8,9.037,6.0,-11.1,0.0,-3.3,48.0,1.0,340,8.5,35.4885,128.7464,12.6
2011,1,9,9,7.377,5.0,-7.1,0.0,-2.5,47.3,2.3,340,6.0,35.4885,128.7464,12.6
2011,1,10,10,9.179,2.6,-12.4,0.0,-5.4,39.1,1.4,320,8.6,35.4885,128.7464,12.6
2011,1,11,11,8.467,5.0,-10.5,0.0,-3.1,46.9,1.2,290,7.5,35.4885,128.7464,12.6
2011,1,12,12,9.26,0.9,-8.2,0.0,-3.8,37.0,2.5,320,8.6,35.4885,128.7464,12.6
2011,1,13,13,9.303,4.4,-11.4,0.0,-4.4,40.3,1.3,320,8.6,35.4885,128.7464,12.6
2011,1,14,14,8.31,7.2,-11.6,0.0,-1.8,47.9,1.2,320,7.1,35.4885,128.7464,12.6
2011,1,15,15,7.866,1.1,-11.9,0.0,-4.6,27.1,4.5,340,6.4,35.4885,128.7464,12.6
2011,1,16,16,9.511,-1.4,-15.8,0.0,-8.6,35.5,2.5,340,8.7,35.4885,128.7464,12.6
2011,1,17,17,9.561,2.9,-14.1,0.0,-5.8,36.5,1.9,320,8.7,35.4885,128.7464,12.6
2011,1,18,18,7.783,3.4,-10.2,0.0,-3.0,42.4,1.4,320,6.1,35.4885,128.7464,12.6
2011,1,19,19,9.665,4.5,-10.9,0.0,-3.9,50.6,1.2,320,8.7,35.4885,128.7464,12.6
2011,1,20,20,6.807,3.0,-9.9,0.0,-4.2,43.3,1.3,320,4.6,35.4885,128.7464,12.6
2011,1,21,21,9.418,4.9,-10.0,0.0,-2.4,30.0,1.8,340,8.2,35.4885,128.7464,12.6
2011,1,22,22,9.905,6.1,-8.3,0.0,-1.3,40.3,1.7,360,8.8,35.4885,128.7464,12.6
2011,1,23,23,3.834,4.7,-5.9,0.0,0.4,39.9,1.1,290,0.3,35.4885,128.7464,12.6
2011,1,24,24,9.082,2.4,-7.4,0.0,-2.1,42.5,2.9,340,7.5,35.4885,128.7464,12.6
2011,1,25,25,8.483,3.2,-11.4,0.0,-4.6,48.5,1.5,340,6.6,35.4885,128.7464,12.6
2011,1,26,26,10.223,3.6,-10.9,0.0,-3.8,40.0,1.8,340,8.9,35.4885,128.7464,12.6
2011,1,27,27,8.005,2.3,-10.3,0.0,-3.4,27.5,2.1,360,5.8,35.4885,128.7464,12.6
2011,1,28,28,9.022,5.4,-6.0,0.0,-1.5,19.6,1.7,20,7.1,35.4885,128.7464,12.6
2011,1,29,29,9.752,1.0,-8.1,0.0,-4.1,25.3,2.6,340,8.0,35.4885,128.7464,12.6
