year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
2008,1,1,1,6.931,0.1,-3.6,0.0,-2.1,51.4,5.0,320,5.6,35.4099,127.8813,138.57
2008,1,2,2,7.882,4.5,-2.4,0.0,0.3,44.4,4.0,290,7.0,35.4099,127.8813,138.57
2008,1,3,3,7.437,7.2,-2.1,0.0,3.8,53.9,3.0,290,6.3,35.4099,127.8813,138.57
2008,1,4,4,7.996,9.5,-3.4,0.0,1.5,60.1,1.0,250,7.1,35.4099,127.8813,138.57
2008,1,5,5,8.089,8.8,-3.6,0.0,1.9,60.8,1.9,340,7.2,35.4099,127.8813,138.57
2008,1,6,6,7.983,11.3,-5.9,0.0,1.4,71.1,0.9,70,7.0,35.4099,127.8813,138.57
2008,1,7,7,8.012,13.2,-3.3,0.0,3.9,66.5,1.5,360,7.0,35.4099,127.8813,138.57
2008,1,8,8,4.452,9.2,2.0,0.0,5.6,53.3,1.7,340,1.7,35.4099,127.8813,138.57
2008,1,9,9,8.143,10.4,-3.8,0.0,1.6,65.1,0.6,90,7.1,35.4099,127.8813,138.57
2008,1,10,10,7.222,12.2,-3.7,0.0,3.9,58.0,0.6,90,5.7,35.4099,127.8813,138.57
2008,1,11,11,3.352,6.0,4.3,20.0,4.7,84.8,0.4,50,0.0,35.4099,127.8813,138.57
2008,1,12,12,3.371,5.2,2.6,12.0,4.1,91.0,1.0,360,0.0,35.4099,127.8813,138.57
2008,1,13,13,6.357,6.2,0.5,0.0,2.8,58.9,2.1,20,4.3,35.4099,127.8813,138.57
2008,1,14,14,8.122,7.4,-2.1,0.0,1.9,66.5,1.0,20,6.8,35.4099,127.8813,138.57
2008,1,15,15,6.145,6.4,-5.2,0.0,0.6,52.1,1.8,360,3.9,35.4099,127.8813,138.57
2008,1,16,16,8.554,2.0,-5.0,0.0,-1.4,29.9,4.1,320,7.3,35.4099,127.8813,138.57
2008,1,17,17,6.775,2.5,-11.0,0.0,-3.8,44.6,1.3,360,4.7,35.4099,127.8813,138.57
2008,1,18,18,7.941,4.8,-7.8,0.0,-1.5,39.3,1.6,340,6.3,35.4099,127.8813,138.57
2008,1,19,19,7.561,6.5,-6.6,0.0,-0.1,48.5,0.6,270,5.7,35.4099,127.8813,138.57
2008,1,20,20,3.548,3.0,-0.1,4.5,1.7,80.9,0.5,340,0.0,35.4099,127.8813,138.57
2008,1,21,21,3.574,2.8,1.0,8.5,2.0,93.1,1.0,290,0.0,35.4099,127.8813,138.57
2008,1,22,22,3.6,2.8,0.3,1.3,1.3,94.9,0.5,290,0.0,35.4099,127.8813,138.57
2008,1,23,23,6.445,4.3,-2.9,2.5,1.1,61.8,4.1,290,3.9,35.4099,127.8813,138.57
2008,1,24,24,9.392,0.8,-5.9,0.0,-3.1,38.6,4.3,320,7.9,35.4099,127.8813,138.57
2008,1,25,25,8.794,4.0,-5.1,0.0,-1.6,44.3,2.1,340,7.0,35.4099,127.8813,138.57
2008,1,26,26,7.602,7.1,-4.2,0.0,-0.4,52.5,1.0,250,5.3,35.4099,127.8813,138.57
2008,1,27,27,9.35,7.5,-8.1,0.0,-1.7,61.6,0.7,250,7.6,35.4099,127.8813,138.57
2008,1,28,28,3.772,1.7,-3.7,0.0,-0.4,69.8,1.1,290,0.0,35.4099,127.8813,138.57
2008,1,29,29,5.892,5.8,-0.9,0.0,1.6,41.3,2.8,270,2.8,35.4099,127.8813,138.57
2008,1,30,30,5.636,2.4,-3.2,0.0,0.2,52.5,3.9,320,2.4,35.4099,127.8813,138.57
2008,1,31,31,10.13,3.1,-3.9,0.0,-1.2,45.3,3.9,320,8.3,35.4099,127.8813,138.57
2008,2,1,32,8.791,7.5,-9.0,0.0,-0.8,42.4,1.5,250,8.4,35.4099,127.8813,138.57
2008,2,2,33,4.486,6.7,-3.3,0.0,-0.1,49.6,0.6,50,1.9,35.4099,127.8813,138.57
2008,2,3,34,6.97,5.7,-4.1,0.0,0.7,48.9,3.3,290,5.6,35.4099,127.8813,138.57
2008,2,4,35,9.0,4.7,-2.0,0.0,0.4,46.0,3.7,320,8.6,35.4099,127.8813,138.57
2008,2,5,36,5.069,4.6,-5.6,0.0,-0.8,40.1,2.1,320,2.7,35.4099,127.8813,138.57
2008,2,6,37,9.127,4.8,-3.3,0.0,-0.5,43.3,3.5,290,8.7,35.4099,127.8813,138.57
2008,2,7,38,9.16,5.0,-3.8,0.0,-0.6,46.0,3.7,360,8.7,35.4099,127.8813,138.57
2008,2,8,39,9.194,6.6,-5.6,0.0,-0.2,46.0,1.9,360,8.7,35.4099,127.8813,138.57
2008,2,9,40,5.492,2.4,-2.9,0.0,-0.4,51.5,3.4,290,3.2,35.4099,127.8813,138.57
2008,2,10,41,9.337,10.2,-8.2,0.0,0.2,50.1,1.0,270,8.8,35.4099,127.8813,138.57
2008,2,11,42,5.611,8.6,-4.3,0.0,2.0,43.4,1.9,320,3.3,35.4099,127.8813,138.57
2008,2,12,43,8.938,1.4,-6.2,0.0,-2.3,30.0,5.2,290,8.1,35.4099,127.8813,138.57
2008,2,13,44,9.462,1.8,-8.6,0.0,-3.4,29.0,4.4,290,8.8,35.4099,127.8813,138.57
2008,2,14,45,9.299,5.0,-3.9,0.0,0.4,44.1,3.4,290,8.5,35.4099,127.8813,138.57
2008,2,15,46,9.902,4.2,-3.7,0.0,0.3,33.4,4.8,290,9.3,35.4099,127.8813,138.57
2008,2,16,47,9.882,4.1,-4.1,0.0,-0.4,33.9,4.7,320,9.2,35.4099,127.8813,138.57
2008,2,17,48,10.003,5.8,-6.7,0.0,-1.4,48.4,1.8,290,9.3,35.4099,127.8813,138.57
2008,2,18,49,10.127,8.3,-9.2,0.0,-1.4,46.0,0.7,320,9.4,35.4099,127.8813,138.57
2008,2,19,50,10.324,8.7,-3.7,0.0,2.1,39.0,3.4,290,9.6,35.4099,127.8813,138.57
2008,2,20,51,10.239,11.6,0.1,0.0,5.3,39.6,3.1,290,9.4,35.4099,127.8813,138.57
2008,2,21,52,9.654,13.0,-6.5,0.0,2.1,51.9,0.8,360,8.5,35.4099,127.8813,138.57
2008,2,22,53,9.926,14.5,-5.2,0.0,4.8,52.8,1.2,70,8.8,35.4099,127.8813,138.57
2008,2,23,54,10.708,9.5,-3.6,0.0,1.1,34.0,5.2,290,9.8,35.4099,127.8813,138.57
2008,2,24,55,10.845,6.4,-9.1,0.0,-1.7,44.4,1.0,20,9.9,35.4099,127.8813,138.57
2008,2,25,56,4.559,6.4,-6.1,0.2,0.5,67.1,1.1,70,1.2,35.4099,127.8813,138.57
