year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1995,1,1,1,8.395,7.3,-2.3,0.0,1.8,37.8,1.8,320,7.6,34.8851,128.6067,45.27
1995,1,2,2,7.607,8.0,-4.1,0.0,1.1,59.5,0.8,110,6.4,34.8851,128.6067,45.27
1995,1,3,3,3.294,5.0,0.9,11.0,3.5,88.8,0.8,270,0.0,34.8851,128.6067,45.27
1995,1,4,4,3.306,6.5,1.3,2.5,4.0,84.3,1.7,270,0.0,34.8851,128.6067,45.27
1995,1,5,5,7.2,4.7,-0.5,0.0,1.9,60.3,2.2,270,5.7,34.8851,128.6067,45.27
1995,1,6,6,8.385,5.5,-1.0,0.0,1.8,39.0,2.2,270,7.4,34.8851,128.6067,45.27
1995,1,7,7,8.347,11.8,-0.5,0.0,6.6,41.8,2.2,250,7.3,34.8851,128.6067,45.27
1995,1,8,8,6.592,13.4,0.1,0.0,6.5,68.3,1.4,340,4.7,34.8851,128.6067,45.27
1995,1,9,9,8.48,11.8,1.1,0.0,7.7,38.5,2.9,270,7.4,34.8851,128.6067,45.27
1995,1,10,10,8.514,3.5,-1.9,0.0,0.9,39.0,2.6,320,7.4,34.8851,128.6067,45.27
1995,1,11,11,8.481,2.2,-4.4,0.0,0.1,35.0,2.2,340,7.3,34.8851,128.6067,45.27
1995,1,12,12,7.892,6.1,-2.9,0.0,1.5,34.8,1.8,270,6.4,34.8851,128.6067,45.27
1995,1,13,13,8.558,4.3,-1.3,0.0,1.4,47.0,2.7,320,7.3,34.8851,128.6067,45.27
1995,1,14,14,8.88,3.0,-3.0,0.0,-0.6,23.3,3.3,320,7.7,34.8851,128.6067,45.27
1995,1,15,15,8.852,6.5,-3.3,0.0,0.5,64.8,1.5,270,7.6,34.8851,128.6067,45.27
1995,1,16,16,8.897,7.3,-4.6,0.0,1.3,67.8,1.0,140,7.6,34.8851,128.6067,45.27
1995,1,17,17,8.943,7.0,-3.4,0.0,0.6,49.0,1.1,110,7.6,34.8851,128.6067,45.27
1995,1,18,18,8.562,7.6,-4.3,0.0,1.8,61.3,1.5,250,7.0,34.8851,128.6067,45.27
1995,1,19,19,8.68,5.4,-1.6,0.0,1.7,55.8,1.6,320,7.1,34.8851,128.6067,45.27
1995,1,20,20,9.09,7.0,-2.0,0.0,2.0,36.3,1.7,320,7.6,34.8851,128.6067,45.27
1995,1,21,21,5.011,7.6,-2.5,2.0,2.5,30.0,0.7,140,1.9,34.8851,128.6067,45.27
1995,1,22,22,3.661,6.0,3.0,31.0,4.7,91.0,1.1,270,0.0,34.8851,128.6067,45.27
1995,1,23,23,9.249,9.3,1.3,0.0,5.7,66.3,2.6,270,7.6,34.8851,128.6067,45.27
1995,1,24,24,9.672,5.0,-1.3,0.0,1.0,56.5,2.3,320,8.1,34.8851,128.6067,45.27
1995,1,25,25,9.51,6.5,-2.6,0.0,1.6,53.0,1.8,340,7.8,34.8851,128.6067,45.27
1995,1,26,26,9.569,6.2,-1.1,0.0,3.4,47.5,2.4,270,7.8,34.8851,128.6067,45.27
1995,1,27,27,9.853,4.3,-3.8,0.0,-0.5,44.0,2.7,320,8.1,34.8851,128.6067,45.27
1995,1,28,28,9.916,5.1,-2.4,0.0,0.8,42.5,2.6,320,8.1,34.8851,128.6067,45.27
1995,1,29,29,10.131,4.2,-5.4,0.0,-0.3,51.0,2.2,320,8.3,34.8851,128.6067,45.27
1995,1,30,30,10.121,1.8,-5.8,0.0,-2.4,39.5,2.0,320,8.2,34.8851,128.6067,45.27
1995,1,31,31,10.264,4.8,-5.6,0.0,0.1,44.8,2.0,320,8.3,34.8851,128.6067,45.27
1995,2,1,32,8.8,4.7,-5.3,0.0,-0.9,41.5,2.2,320,8.2,34.8851,128.6067,45.27
1995,2,2,33,3.283,5.1,-5.5,0.0,-0.2,64.5,0.5,340,0.0,34.8851,128.6067,45.27
1995,2,3,34,8.779,7.7,-2.6,0.0,2.1,60.8,0.9,290,8.1,34.8851,128.6067,45.27
1995,2,4,35,7.38,4.9,0.1,0.0,2.3,45.8,2.3,320,6.0,34.8851,128.6067,45.27
